seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,29206,171537,5.87334794220366
scaffold_1_RagTag,100001,200000,100000,*,21502,104143,4.84340991535671
scaffold_1_RagTag,200001,300000,100000,*,28836,182829,6.340303786933
scaffold_1_RagTag,300001,400000,100000,*,28344,199756,7.04755856618685
scaffold_1_RagTag,400001,500000,100000,*,27868,161303,5.78810822448687
scaffold_1_RagTag,500001,600000,100000,*,28360,192395,6.78402679830748
scaffold_1_RagTag,600001,700000,100000,*,20954,129785,6.19380547866756
scaffold_1_RagTag,700001,800000,100000,*,29811,229446,7.69668914159203
scaffold_1_RagTag,800001,900000,100000,*,29917,209159,6.99130928903299
scaffold_1_RagTag,900001,1000000,100000,*,24101,149710,6.21177544500228
scaffold_1_RagTag,1000001,1100000,100000,*,31780,182054,5.72857142857143
scaffold_1_RagTag,1100001,1200000,100000,*,26186,151370,5.78056977010616
scaffold_1_RagTag,1200001,1300000,100000,*,29683,189489,6.38375501128592
scaffold_1_RagTag,1300001,1400000,100000,*,25264,151491,5.99631887270424
scaffold_1_RagTag,1400001,1500000,100000,*,25263,156674,6.20171792740371
scaffold_1_RagTag,1500001,1600000,100000,*,32148,192124,5.97623491352495
scaffold_1_RagTag,1600001,1700000,100000,*,26412,172675,6.53774799333636
scaffold_1_RagTag,1700001,1800000,100000,*,30759,192448,6.25664033291069
scaffold_1_RagTag,1800001,1900000,100000,*,32825,228281,6.95448591012947
scaffold_1_RagTag,1900001,2000000,100000,*,31908,229714,7.19926037357403
scaffold_1_RagTag,2000001,2100000,100000,*,20513,124245,6.05689075220592
scaffold_1_RagTag,2100001,2200000,100000,*,25473,314050,12.3287402347584
scaffold_1_RagTag,2200001,2300000,100000,*,26475,159917,6.04030217186025
scaffold_1_RagTag,2300001,2400000,100000,*,27188,161170,5.9279829336472
scaffold_1_RagTag,2400001,2500000,100000,*,27417,156740,5.71689098004888
scaffold_1_RagTag,2500001,2600000,100000,*,28262,163554,5.7870639020593
scaffold_1_RagTag,2600001,2700000,100000,*,31580,176410,5.58613046231792
