seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,26141,144003,5.50870280402433
scaffold_1_RagTag,100001,200000,100000,*,28897,208195,7.2047271343046
scaffold_1_RagTag,200001,300000,100000,*,34854,200069,5.74020198542492
scaffold_1_RagTag,300001,400000,100000,*,27015,160628,5.94588191745327
scaffold_1_RagTag,400001,500000,100000,*,25532,166877,6.53599404668651
scaffold_1_RagTag,500001,600000,100000,*,33781,212340,6.28578194843255
scaffold_1_RagTag,600001,700000,100000,*,33212,217143,6.53808864265928
scaffold_1_RagTag,700001,800000,100000,*,31490,206461,6.55639885677993
scaffold_1_RagTag,800001,900000,100000,*,33042,205672,6.22456267780401
scaffold_1_RagTag,900001,1000000,100000,*,28523,211350,7.4098096273183
scaffold_1_RagTag,1000001,1100000,100000,*,29204,207521,7.10591014929462
scaffold_1_RagTag,1100001,1200000,100000,*,29145,210939,7.23757076685538
scaffold_1_RagTag,1200001,1300000,100000,*,30226,193525,6.40260041024284
scaffold_1_RagTag,1300001,1400000,100000,*,30196,218300,7.22943436216717
scaffold_1_RagTag,1400001,1500000,100000,*,27955,142140,5.08460025040243
scaffold_1_RagTag,1500001,1600000,100000,*,19600,90623,4.62362244897959
scaffold_1_RagTag,1600001,1700000,100000,*,22296,126519,5.67451560818084
scaffold_1_RagTag,1700001,1800000,100000,*,26288,148654,5.65482349360925
scaffold_1_RagTag,1800001,1900000,100000,*,25628,133112,5.19400655533011
scaffold_1_RagTag,1900001,2000000,100000,*,21223,115103,5.42350280356217
scaffold_1_RagTag,2000001,2100000,100000,*,30481,170479,5.59295954857124
scaffold_1_RagTag,2100001,2200000,100000,*,24152,136920,5.66909572706194
scaffold_1_RagTag,2200001,2300000,100000,*,22230,138754,6.24174538911381
scaffold_1_RagTag,2300001,2400000,100000,*,23564,120611,5.11844338821932
scaffold_1_RagTag,2400001,2500000,100000,*,29428,176927,6.01219926600517
scaffold_1_RagTag,2500001,2600000,100000,*,22159,126988,5.73076402364728
scaffold_1_RagTag,2600001,2700000,100000,*,20517,99393,4.84442169907881
scaffold_1_RagTag,2700001,2800000,100000,*,27100,162311,5.98933579335793
scaffold_1_RagTag,2800001,2900000,100000,*,25786,145624,5.64740556891336
scaffold_1_RagTag,2900001,3000000,100000,*,28815,147542,5.12031927815374
scaffold_1_RagTag,3000001,3100000,100000,*,25900,134629,5.19803088803089
