seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,33134,300133,9.0581577835456
scaffold_1_RagTag,100001,200000,100000,*,29616,316032,10.6709886547812
scaffold_1_RagTag,200001,300000,100000,*,35785,283100,7.91113595081738
scaffold_1_RagTag,300001,400000,100000,*,28820,244484,8.48313671061763
scaffold_1_RagTag,400001,500000,100000,*,28379,261185,9.20346030515522
scaffold_1_RagTag,500001,600000,100000,*,35080,344620,9.82383124287343
scaffold_1_RagTag,600001,700000,100000,*,34600,413735,11.9576589595376
scaffold_1_RagTag,700001,800000,100000,*,32505,360534,11.0916474388556
scaffold_1_RagTag,800001,900000,100000,*,34890,392363,11.2457151046145
scaffold_1_RagTag,900001,1000000,100000,*,30107,398190,13.2258278805593
scaffold_1_RagTag,1000001,1100000,100000,*,30429,396906,13.043675441191
scaffold_1_RagTag,1100001,1200000,100000,*,30698,393104,12.8055247898886
scaffold_1_RagTag,1200001,1300000,100000,*,31511,374484,11.884230903494
scaffold_1_RagTag,1300001,1400000,100000,*,31778,386996,12.1781106425829
scaffold_1_RagTag,1400001,1500000,100000,*,32567,300093,9.21463444591151
scaffold_1_RagTag,1500001,1600000,100000,*,27158,282564,10.404448044775
scaffold_1_RagTag,1600001,1700000,100000,*,25422,218877,8.60974746282747
scaffold_1_RagTag,1700001,1800000,100000,*,30633,218800,7.14262396761662
scaffold_1_RagTag,1800001,1900000,100000,*,29475,200921,6.81665818490246
scaffold_1_RagTag,1900001,2000000,100000,*,29586,188726,6.37889542351112
scaffold_1_RagTag,2000001,2100000,100000,*,33859,224577,6.6327121297144
scaffold_1_RagTag,2100001,2200000,100000,*,27664,196698,7.11025159051475
scaffold_1_RagTag,2200001,2300000,100000,*,29026,252973,8.7153930958451
scaffold_1_RagTag,2300001,2400000,100000,*,29288,176699,6.03315350996995
scaffold_1_RagTag,2400001,2500000,100000,*,33556,221684,6.60638931934676
scaffold_1_RagTag,2500001,2600000,100000,*,29448,190745,6.47734990491714
scaffold_1_RagTag,2600001,2700000,100000,*,29504,195617,6.63018573752711
scaffold_1_RagTag,2700001,2800000,100000,*,30858,196205,6.35831875040508
scaffold_1_RagTag,2800001,2900000,100000,*,31811,250770,7.88312219043727
scaffold_1_RagTag,2900001,3000000,100000,*,34068,206231,6.05351062580721
scaffold_1_RagTag,3000001,3100000,100000,*,29699,201105,6.77144011582882
scaffold_1_RagTag,3100001,3200000,100000,*,30234,178496,5.90381689488655
scaffold_1_RagTag,3200001,3300000,100000,*,24321,150874,6.20344558200732
scaffold_1_RagTag,3300001,3400000,100000,*,31006,188525,6.08027478552538
scaffold_1_RagTag,3400001,3500000,100000,*,33103,201803,6.09621484457602
scaffold_1_RagTag,3500001,3600000,100000,*,30141,217608,7.21966756245646
scaffold_1_RagTag,3600001,3700000,100000,*,32989,201639,6.11231016399406
scaffold_1_RagTag,3700001,3800000,100000,*,33449,196000,5.85966695566385
scaffold_1_RagTag,3800001,3900000,100000,*,34030,219684,6.45559800176315
scaffold_1_RagTag,3900001,4000000,100000,*,34086,197811,5.80329167400106
scaffold_1_RagTag,4000001,4100000,100000,*,32887,193134,5.87265484842035
scaffold_1_RagTag,4100001,4200000,100000,*,34867,204059,5.85249663005134
scaffold_1_RagTag,4200001,4300000,100000,*,31392,197101,6.27870158002039
scaffold_1_RagTag,4300001,4400000,100000,*,33750,210336,6.23217777777778
scaffold_1_RagTag,4400001,4500000,100000,*,33991,219212,6.44911888441058
scaffold_1_RagTag,4500001,4600000,100000,*,32053,195560,6.10114497862915
scaffold_1_RagTag,4600001,4700000,100000,*,32494,216559,6.66458423093494
scaffold_1_RagTag,4700001,4800000,100000,*,29987,176178,5.87514589655517
scaffold_1_RagTag,4800001,4900000,100000,*,32238,225453,6.99339289037782
scaffold_1_RagTag,4900001,5000000,100000,*,32247,207360,6.43036561540608
scaffold_1_RagTag,5000001,5100000,100000,*,34741,240026,6.90901240609079
scaffold_1_RagTag,5100001,5200000,100000,*,31135,200043,6.42502007387185
scaffold_1_RagTag,5200001,5300000,100000,*,24755,161482,6.52320743284185
scaffold_1_RagTag,5300001,5400000,100000,*,30593,200684,6.55980126172654
scaffold_1_RagTag,5400001,5500000,100000,*,31259,183540,5.87158898237308
scaffold_1_RagTag,5500001,5600000,100000,*,32243,175187,5.43333436714946
scaffold_1_RagTag,5600001,5700000,100000,*,32501,246555,7.5860742746377
scaffold_1_RagTag,5700001,5800000,100000,*,29304,180863,6.17195604695605
scaffold_1_RagTag,5800001,5900000,100000,*,32689,191905,5.87062926366668
scaffold_1_RagTag,5900001,6000000,100000,*,31373,188892,6.02084595033946
scaffold_1_RagTag,6000001,6100000,100000,*,34640,204807,5.91244226327945
scaffold_1_RagTag,6100001,6200000,100000,*,35009,218474,6.24050958325002
scaffold_1_RagTag,6200001,6300000,100000,*,34277,197506,5.76205618928144
scaffold_1_RagTag,6300001,6400000,100000,*,30338,207102,6.8264882325796
scaffold_1_RagTag,6400001,6500000,100000,*,33956,178636,5.26080810460596
scaffold_1_RagTag,6500001,6600000,100000,*,33400,200926,6.01574850299401
scaffold_1_RagTag,6600001,6700000,100000,*,33857,201982,5.96573825206014
scaffold_1_RagTag,6700001,6800000,100000,*,33564,204137,6.08202240495769
scaffold_1_RagTag,6800001,6900000,100000,*,34714,208894,6.01757216108775
scaffold_1_RagTag,6900001,7000000,100000,*,27645,217040,7.85096762524869
scaffold_1_RagTag,7000001,7100000,100000,*,32481,220416,6.78599796804286
scaffold_1_RagTag,7100001,7200000,100000,*,28282,229117,8.10115974824977
scaffold_1_RagTag,7200001,7300000,100000,*,31658,199548,6.30324088697959
scaffold_1_RagTag,7300001,7400000,100000,*,30169,215504,7.14322649076867
scaffold_1_RagTag,7400001,7500000,100000,*,30259,206867,6.83654449915728
scaffold_1_RagTag,7500001,7600000,100000,*,33269,216658,6.51230875589888
scaffold_1_RagTag,7600001,7700000,100000,*,28675,202078,7.0471839581517
scaffold_1_RagTag,7700001,7800000,100000,*,33353,212910,6.38353371510809
scaffold_1_RagTag,7800001,7900000,100000,*,32474,206834,6.36921845168442
scaffold_1_RagTag,7900001,8000000,100000,*,30935,210080,6.79101341522547
scaffold_1_RagTag,8000001,8100000,100000,*,33489,240285,7.1750425512855
scaffold_1_RagTag,8100001,8200000,100000,*,31917,209312,6.55800983801736
scaffold_1_RagTag,8200001,8300000,100000,*,32389,202266,6.24489795918367
scaffold_1_RagTag,8300001,8400000,100000,*,34288,192031,5.6005307979468
scaffold_1_RagTag,8400001,8500000,100000,*,26003,294841,11.3387301465216
scaffold_1_RagTag,8500001,8600000,100000,*,26864,179892,6.69639666468136
scaffold_1_RagTag,8600001,8700000,100000,*,28367,209987,7.40250995875489
