seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,22450,180778,8.05247216035635
scaffold_1_RagTag,100001,200000,100000,*,8390,35863,4.27449344457688
scaffold_1_RagTag,200001,300000,100000,*,26904,191219,7.10745614035088
scaffold_1_RagTag,300001,400000,100000,*,29418,213482,7.25684954789585
scaffold_1_RagTag,400001,500000,100000,*,29543,205362,6.95129133804962
scaffold_1_RagTag,500001,600000,100000,*,28718,227696,7.92868584163243
scaffold_1_RagTag,600001,700000,100000,*,20999,137599,6.55264536406496
scaffold_1_RagTag,700001,800000,100000,*,27892,210039,7.53043883550839
scaffold_1_RagTag,800001,900000,100000,*,29137,208346,7.15056457425267
scaffold_1_RagTag,900001,1000000,100000,*,26434,200442,7.58273435726716
scaffold_1_RagTag,1000001,1100000,100000,*,32309,212366,6.57296728465753
scaffold_1_RagTag,1100001,1200000,100000,*,27019,169306,6.26618305636774
scaffold_1_RagTag,1200001,1300000,100000,*,29695,213526,7.19063815457148
scaffold_1_RagTag,1300001,1400000,100000,*,11930,55601,4.66060352053646
scaffold_1_RagTag,1400001,1500000,100000,*,10427,39980,3.83427639781337
scaffold_1_RagTag,1500001,1600000,100000,*,32341,204770,6.33159147830927
scaffold_1_RagTag,1600001,1700000,100000,*,27316,188679,6.90727046419681
scaffold_1_RagTag,1700001,1800000,100000,*,32047,215755,6.73245545604893
scaffold_1_RagTag,1800001,1900000,100000,*,33161,237264,7.15491088929767
scaffold_1_RagTag,1900001,2000000,100000,*,32165,250694,7.79399968910306
scaffold_1_RagTag,2000001,2100000,100000,*,20383,125997,6.18147475837708
scaffold_1_RagTag,2100001,2200000,100000,*,24666,292691,11.8661720587043
scaffold_1_RagTag,2200001,2300000,100000,*,26962,174180,6.46020324901713
scaffold_1_RagTag,2300001,2400000,100000,*,27399,177597,6.48187890068981
scaffold_1_RagTag,2400001,2500000,100000,*,32125,228435,7.11081712062257
scaffold_1_RagTag,2500001,2600000,100000,*,28647,178795,6.24131671728279
scaffold_1_RagTag,2600001,2700000,100000,*,32912,219134,6.65817938745746
scaffold_1_RagTag,2700001,2800000,100000,*,33697,215088,6.38300145413538
scaffold_1_RagTag,2800001,2900000,100000,*,28682,230712,8.0437905306464
