seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,29777,190716,6.4048090808342
scaffold_1_RagTag,100001,200000,100000,*,24346,146238,6.00665407048386
scaffold_1_RagTag,200001,300000,100000,*,31870,167279,5.24879196736743
scaffold_1_RagTag,300001,400000,100000,*,26109,218905,8.38427362212264
scaffold_1_RagTag,400001,500000,100000,*,19250,154309,8.01605194805195
scaffold_1_RagTag,500001,600000,100000,*,28306,148182,5.23500317953791
scaffold_1_RagTag,600001,700000,100000,*,29109,166161,5.70823456662888
scaffold_1_RagTag,700001,800000,100000,*,26934,140260,5.20754436771367
scaffold_1_RagTag,800001,900000,100000,*,28610,141665,4.95159035302342
scaffold_1_RagTag,900001,1000000,100000,*,22148,121849,5.50158027812895
scaffold_1_RagTag,1000001,1100000,100000,*,23713,145659,6.14258001939864
scaffold_1_RagTag,1100001,1200000,100000,*,25112,131267,5.22726186683657
scaffold_1_RagTag,1200001,1300000,100000,*,24893,127182,5.10914714980115
scaffold_1_RagTag,1300001,1400000,100000,*,28440,179801,6.32211673699015
scaffold_1_RagTag,1400001,1500000,100000,*,27788,174907,6.29433568446812
scaffold_1_RagTag,1500001,1600000,100000,*,16231,83652,5.15384141457704
scaffold_1_RagTag,1600001,1700000,100000,*,16918,113987,6.73761673956732
scaffold_1_RagTag,1700001,1800000,100000,*,26606,162090,6.09223483424791
scaffold_1_RagTag,1800001,1900000,100000,*,25534,143727,5.62884781076212
scaffold_1_RagTag,1900001,2000000,100000,*,23173,123836,5.34397790532085
scaffold_1_RagTag,2000001,2100000,100000,*,30380,174411,5.74098090849243
scaffold_1_RagTag,2100001,2200000,100000,*,23479,145830,6.21108224370714
scaffold_1_RagTag,2200001,2300000,100000,*,23462,175274,7.47054812036485
scaffold_1_RagTag,2300001,2400000,100000,*,24435,125686,5.14368733374258
scaffold_1_RagTag,2400001,2500000,100000,*,30106,190151,6.31604995681924
scaffold_1_RagTag,2500001,2600000,100000,*,21512,127152,5.91074748977315
scaffold_1_RagTag,2600001,2700000,100000,*,19724,114001,5.7798113972825
scaffold_1_RagTag,2700001,2800000,100000,*,26916,171193,6.36026898499034
scaffold_1_RagTag,2800001,2900000,100000,*,25445,156774,6.16128905482413
scaffold_1_RagTag,2900001,3000000,100000,*,29273,155472,5.31110579715096
scaffold_1_RagTag,3000001,3100000,100000,*,26274,158120,6.01811676942985
scaffold_1_RagTag,3100001,3200000,100000,*,27772,151712,5.46276825579721
scaffold_1_RagTag,3200001,3300000,100000,*,15378,70044,4.55481857198595
scaffold_1_RagTag,3300001,3400000,100000,*,26972,157885,5.85366305798606
scaffold_1_RagTag,3400001,3500000,100000,*,31167,171853,5.51394102736869
scaffold_1_RagTag,3500001,3600000,100000,*,22579,140723,6.2324726515789
scaffold_1_RagTag,3600001,3700000,100000,*,30215,179518,5.94135363230184
scaffold_1_RagTag,3700001,3800000,100000,*,30533,162879,5.33452330265614
scaffold_1_RagTag,3800001,3900000,100000,*,31352,184512,5.88517478948711
scaffold_1_RagTag,3900001,4000000,100000,*,29482,163654,5.55098025914117
scaffold_1_RagTag,4000001,4100000,100000,*,27608,132198,4.78839466821211
scaffold_1_RagTag,4100001,4200000,100000,*,34146,216376,6.33678908217654
scaffold_1_RagTag,4200001,4300000,100000,*,29840,179429,6.01303619302949
scaffold_1_RagTag,4300001,4400000,100000,*,32029,199508,6.22897998688688
scaffold_1_RagTag,4400001,4500000,100000,*,33067,224074,6.77636314150059
scaffold_1_RagTag,4500001,4600000,100000,*,31225,187188,5.99481184947958
scaffold_1_RagTag,4600001,4700000,100000,*,24988,157333,6.29634224427725
scaffold_1_RagTag,4700001,4800000,100000,*,24836,133361,5.36966500241585
scaffold_1_RagTag,4800001,4900000,100000,*,28291,152924,5.40539394153618
scaffold_1_RagTag,4900001,5000000,100000,*,28507,195844,6.87003192198407
scaffold_1_RagTag,5000001,5100000,100000,*,30178,176298,5.84193783550931
scaffold_1_RagTag,5100001,5200000,100000,*,27963,165639,5.92350606158138
scaffold_1_RagTag,5200001,5300000,100000,*,21147,122696,5.80205230056273
scaffold_1_RagTag,5300001,5400000,100000,*,23458,124462,5.30573791457072
scaffold_1_RagTag,5400001,5500000,100000,*,24528,125842,5.13054468362688
scaffold_1_RagTag,5500001,5600000,100000,*,29532,141332,4.78572396044968
scaffold_1_RagTag,5600001,5700000,100000,*,28833,177506,6.15634862830784
scaffold_1_RagTag,5700001,5800000,100000,*,25461,165349,6.49420682612623
scaffold_1_RagTag,5800001,5900000,100000,*,29680,178748,6.02250673854447
scaffold_1_RagTag,5900001,6000000,100000,*,26444,135081,5.1081908939646
scaffold_1_RagTag,6000001,6100000,100000,*,27538,138281,5.02146125354056
scaffold_1_RagTag,6100001,6200000,100000,*,23314,129479,5.55370163850047
scaffold_1_RagTag,6200001,6300000,100000,*,32563,181275,5.56690108405245
scaffold_1_RagTag,6300001,6400000,100000,*,27419,173412,6.32451949378168
scaffold_1_RagTag,6400001,6500000,100000,*,31864,152397,4.78273286467487
scaffold_1_RagTag,6500001,6600000,100000,*,31323,175406,5.5999106088178
scaffold_1_RagTag,6600001,6700000,100000,*,22849,126932,5.55525405925861
scaffold_1_RagTag,6700001,6800000,100000,*,27550,150580,5.46569872958258
scaffold_1_RagTag,6800001,6900000,100000,*,30219,165865,5.4887653463053
scaffold_1_RagTag,6900001,7000000,100000,*,23975,150126,6.26177267987487
scaffold_1_RagTag,7000001,7100000,100000,*,26634,145385,5.45862431478561
scaffold_1_RagTag,7100001,7200000,100000,*,23200,134103,5.78030172413793
scaffold_1_RagTag,7200001,7300000,100000,*,25164,120815,4.80110475282149
scaffold_1_RagTag,7300001,7400000,100000,*,26783,163820,6.11656647873651
