seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,28472,115159,4.04464034841248
scaffold_1_RagTag,100001,200000,100000,*,27446,112359,4.09382059316476
scaffold_1_RagTag,200001,300000,100000,*,29020,126202,4.34879393521709
scaffold_1_RagTag,300001,400000,100000,*,31076,166994,5.37372892264127
scaffold_1_RagTag,400001,500000,100000,*,29927,142497,4.76148628328934
scaffold_1_RagTag,500001,600000,100000,*,28970,156347,5.39685881946842
scaffold_1_RagTag,600001,700000,100000,*,26756,130284,4.86933771864255
scaffold_1_RagTag,700001,800000,100000,*,30156,165431,5.48584029712163
scaffold_1_RagTag,800001,900000,100000,*,31436,167049,5.31393943249777
scaffold_1_RagTag,900001,1000000,100000,*,28299,138420,4.89133891656949
scaffold_1_RagTag,1000001,1100000,100000,*,33719,157337,4.66612295738308
scaffold_1_RagTag,1100001,1200000,100000,*,30320,144174,4.75507915567282
scaffold_1_RagTag,1200001,1300000,100000,*,32242,160959,4.99221512313132
scaffold_1_RagTag,1300001,1400000,100000,*,29518,150664,5.10413984687309
scaffold_1_RagTag,1400001,1500000,100000,*,26736,124427,4.65391232794734
scaffold_1_RagTag,1500001,1600000,100000,*,31847,152050,4.77439005243822
scaffold_1_RagTag,1600001,1700000,100000,*,28306,147027,5.19419910972939
scaffold_1_RagTag,1700001,1800000,100000,*,31530,152385,4.83301617507136
scaffold_1_RagTag,1800001,1900000,100000,*,32598,171853,5.27188784588012
scaffold_1_RagTag,1900001,2000000,100000,*,31493,159290,5.05794938557775
scaffold_1_RagTag,2000001,2100000,100000,*,20451,100419,4.91022443890274
scaffold_1_RagTag,2100001,2200000,100000,*,28944,203144,7.01851851851852
scaffold_1_RagTag,2200001,2300000,100000,*,31626,159849,5.05435401252134
scaffold_1_RagTag,2300001,2400000,100000,*,27530,128583,4.67065019978206
scaffold_1_RagTag,2400001,2500000,100000,*,32832,153452,4.67385477582846
scaffold_1_RagTag,2500001,2600000,100000,*,28831,133788,4.64042176823558
scaffold_1_RagTag,2600001,2700000,100000,*,32498,148588,4.57221982891255
