seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,32191,159712,4.96138672299711
scaffold_1_RagTag,100001,200000,100000,*,28863,164125,5.6863458406957
scaffold_1_RagTag,200001,300000,100000,*,35298,167498,4.74525468865092
scaffold_1_RagTag,300001,400000,100000,*,27669,129349,4.67487079402942
scaffold_1_RagTag,400001,500000,100000,*,27581,134097,4.86193394003118
scaffold_1_RagTag,500001,600000,100000,*,33841,172805,5.10637983511126
scaffold_1_RagTag,600001,700000,100000,*,33407,170647,5.10812105247403
scaffold_1_RagTag,700001,800000,100000,*,32269,159097,4.9303356162261
scaffold_1_RagTag,800001,900000,100000,*,33218,162200,4.88289481606358
scaffold_1_RagTag,900001,1000000,100000,*,29023,158359,5.45632774006822
scaffold_1_RagTag,1000001,1100000,100000,*,29282,157617,5.38272658971382
scaffold_1_RagTag,1100001,1200000,100000,*,29846,159889,5.35713328419219
scaffold_1_RagTag,1200001,1300000,100000,*,30465,148415,4.87165599868702
scaffold_1_RagTag,1300001,1400000,100000,*,30370,157875,5.19838656568983
scaffold_1_RagTag,1400001,1500000,100000,*,31711,149903,4.72716092207751
scaffold_1_RagTag,1500001,1600000,100000,*,26152,126290,4.82907617008259
scaffold_1_RagTag,1600001,1700000,100000,*,28057,160175,5.70891399650711
scaffold_1_RagTag,1700001,1800000,100000,*,30258,176165,5.8220966356005
scaffold_1_RagTag,1800001,1900000,100000,*,29452,176338,5.98730137172348
scaffold_1_RagTag,1900001,2000000,100000,*,29388,153641,5.2280182387369
scaffold_1_RagTag,2000001,2100000,100000,*,33753,186131,5.51450241460018
scaffold_1_RagTag,2100001,2200000,100000,*,27935,160116,5.73173438339001
scaffold_1_RagTag,2200001,2300000,100000,*,28750,183078,6.36793043478261
scaffold_1_RagTag,2300001,2400000,100000,*,29410,146266,4.97334240054403
scaffold_1_RagTag,2400001,2500000,100000,*,33757,185544,5.49645999348283
scaffold_1_RagTag,2500001,2600000,100000,*,32070,172079,5.36573121297162
scaffold_1_RagTag,2600001,2700000,100000,*,30309,158400,5.22617044442245
scaffold_1_RagTag,2700001,2800000,100000,*,30745,163299,5.3114002276793
scaffold_1_RagTag,2800001,2900000,100000,*,31882,200024,6.27388495075591
scaffold_1_RagTag,2900001,3000000,100000,*,34008,170508,5.01376146788991
