seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,26587,195231,7.34310001128371
scaffold_1_RagTag,100001,200000,100000,*,29223,256851,8.78934400985525
scaffold_1_RagTag,200001,300000,100000,*,35547,279743,7.86966551326413
scaffold_1_RagTag,300001,400000,100000,*,27466,219879,8.00549770625501
scaffold_1_RagTag,400001,500000,100000,*,26726,212350,7.94544638180049
scaffold_1_RagTag,500001,600000,100000,*,34759,281088,8.08676889438707
scaffold_1_RagTag,600001,700000,100000,*,34093,285040,8.36066054615317
scaffold_1_RagTag,700001,800000,100000,*,32311,269029,8.32623564730278
scaffold_1_RagTag,800001,900000,100000,*,33818,278548,8.23667869182092
scaffold_1_RagTag,900001,1000000,100000,*,29080,271858,9.34862448418157
scaffold_1_RagTag,1000001,1100000,100000,*,29673,263708,8.88713645401543
scaffold_1_RagTag,1100001,1200000,100000,*,29749,277641,9.33278429527043
scaffold_1_RagTag,1200001,1300000,100000,*,30575,258189,8.4444480784955
scaffold_1_RagTag,1300001,1400000,100000,*,30871,290165,9.39927439992226
scaffold_1_RagTag,1400001,1500000,100000,*,29318,204002,6.95825090388157
scaffold_1_RagTag,1500001,1600000,100000,*,20549,123760,6.02267750255487
scaffold_1_RagTag,1600001,1700000,100000,*,23975,181098,7.55361835245047
scaffold_1_RagTag,1700001,1800000,100000,*,27742,193166,6.96294427222262
scaffold_1_RagTag,1800001,1900000,100000,*,26730,183870,6.87878787878788
scaffold_1_RagTag,1900001,2000000,100000,*,22887,156156,6.82291257045484
scaffold_1_RagTag,2000001,2100000,100000,*,31307,225645,7.207493531798
scaffold_1_RagTag,2100001,2200000,100000,*,24665,180076,7.30087168051895
scaffold_1_RagTag,2200001,2300000,100000,*,23589,181505,7.69447623892492
scaffold_1_RagTag,2300001,2400000,100000,*,24833,164797,6.63620988201184
scaffold_1_RagTag,2400001,2500000,100000,*,30603,240227,7.84978596869588
scaffold_1_RagTag,2500001,2600000,100000,*,23157,175068,7.56004663816557
scaffold_1_RagTag,2600001,2700000,100000,*,21482,134015,6.23847872637557
scaffold_1_RagTag,2700001,2800000,100000,*,28320,217614,7.68411016949153
scaffold_1_RagTag,2800001,2900000,100000,*,26883,185006,6.8818956217684
scaffold_1_RagTag,2900001,3000000,100000,*,30555,209178,6.8459499263623
scaffold_1_RagTag,3000001,3100000,100000,*,26907,182005,6.76422492288252
scaffold_1_RagTag,3100001,3200000,100000,*,29111,225047,7.73065164370856
scaffold_1_RagTag,3200001,3300000,100000,*,16886,101012,5.98199692052588
scaffold_1_RagTag,3300001,3400000,100000,*,27971,201700,7.21104000572021
scaffold_1_RagTag,3400001,3500000,100000,*,32196,233789,7.26142999130327
scaffold_1_RagTag,3500001,3600000,100000,*,22699,157148,6.92312436671219
scaffold_1_RagTag,3600001,3700000,100000,*,31029,231915,7.4741370975539
scaffold_1_RagTag,3700001,3800000,100000,*,31510,203720,6.46524912726119
scaffold_1_RagTag,3800001,3900000,100000,*,32646,232302,7.11578753905532
scaffold_1_RagTag,3900001,4000000,100000,*,32644,239376,7.33292488665605
scaffold_1_RagTag,4000001,4100000,100000,*,31026,209535,6.75352929800812
scaffold_1_RagTag,4100001,4200000,100000,*,33453,237977,7.11377156009924
scaffold_1_RagTag,4200001,4300000,100000,*,30991,241199,7.7828724468394
scaffold_1_RagTag,4300001,4400000,100000,*,32955,251203,7.62260658473676
scaffold_1_RagTag,4400001,4500000,100000,*,33698,277866,8.24577126238946
scaffold_1_RagTag,4500001,4600000,100000,*,32308,258672,8.00643803392349
scaffold_1_RagTag,4600001,4700000,100000,*,25656,203566,7.93444028687247
scaffold_1_RagTag,4700001,4800000,100000,*,27631,212716,7.69845463428758
scaffold_1_RagTag,4800001,4900000,100000,*,33277,300930,9.04318297923491
scaffold_1_RagTag,4900001,5000000,100000,*,33032,282130,8.54111164930976
scaffold_1_RagTag,5000001,5100000,100000,*,34148,276387,8.09379758697435
scaffold_1_RagTag,5100001,5200000,100000,*,30465,232590,7.63466272772034
scaffold_1_RagTag,5200001,5300000,100000,*,21669,154419,7.12626332548802
scaffold_1_RagTag,5300001,5400000,100000,*,25987,165649,6.37430253588333
scaffold_1_RagTag,5400001,5500000,100000,*,26206,165006,6.29649698542319
scaffold_1_RagTag,5500001,5600000,100000,*,30717,193575,6.30188494970212
scaffold_1_RagTag,5600001,5700000,100000,*,29487,205401,6.96581544409401
scaffold_1_RagTag,5700001,5800000,100000,*,26382,191213,7.24785838829505
scaffold_1_RagTag,5800001,5900000,100000,*,30679,218031,7.10684833273575
scaffold_1_RagTag,5900001,6000000,100000,*,27233,177172,6.50578342452172
scaffold_1_RagTag,6000001,6100000,100000,*,29048,182303,6.275922610851
scaffold_1_RagTag,6100001,6200000,100000,*,24428,159307,6.52149173080072
scaffold_1_RagTag,6200001,6300000,100000,*,32643,227547,6.97077474496829
scaffold_1_RagTag,6300001,6400000,100000,*,27891,200450,7.18690617044925
scaffold_1_RagTag,6400001,6500000,100000,*,33012,215974,6.54228765297468
scaffold_1_RagTag,6500001,6600000,100000,*,32080,226038,7.046072319202
scaffold_1_RagTag,6600001,6700000,100000,*,24657,158703,6.43642778926877
scaffold_1_RagTag,6700001,6800000,100000,*,28940,207963,7.18600552868003
scaffold_1_RagTag,6800001,6900000,100000,*,31573,223402,7.07572926234441
scaffold_1_RagTag,6900001,7000000,100000,*,25105,198811,7.91917944632543
scaffold_1_RagTag,7000001,7100000,100000,*,28016,175467,6.26309965733866
scaffold_1_RagTag,7100001,7200000,100000,*,24580,165616,6.73783563873068
scaffold_1_RagTag,7200001,7300000,100000,*,25956,160298,6.17575897672985
scaffold_1_RagTag,7300001,7400000,100000,*,27591,199447,7.22869776376355
scaffold_1_RagTag,7400001,7500000,100000,*,22845,136177,5.96091048369446
scaffold_1_RagTag,7500001,7600000,100000,*,29098,218812,7.51982954154925
scaffold_1_RagTag,7600001,7700000,100000,*,26562,205827,7.74892703862661
scaffold_1_RagTag,7700001,7800000,100000,*,29434,211176,7.17456003261534
scaffold_1_RagTag,7800001,7900000,100000,*,29973,206959,6.90484769625997
scaffold_1_RagTag,7900001,8000000,100000,*,27267,196962,7.22345692595445
scaffold_1_RagTag,8000001,8100000,100000,*,26273,180142,6.85654474175009
scaffold_1_RagTag,8100001,8200000,100000,*,26594,202110,7.59983454914642
scaffold_1_RagTag,8200001,8300000,100000,*,30054,210102,6.99081653024556
scaffold_1_RagTag,8300001,8400000,100000,*,29988,198604,6.62278244631186
scaffold_1_RagTag,8400001,8500000,100000,*,15468,139378,9.01073183346263
scaffold_1_RagTag,8500001,8600000,100000,*,22216,155657,7.0065268275117
scaffold_1_RagTag,8600001,8700000,100000,*,24083,166601,6.91778432919487
scaffold_1_RagTag,8700001,8800000,100000,*,26027,193588,7.43796826372613
scaffold_1_RagTag,8800001,8900000,100000,*,26722,196176,7.34136666417184
scaffold_1_RagTag,8900001,9000000,100000,*,26565,205690,7.74289478637305
scaffold_1_RagTag,9000001,9100000,100000,*,23948,154394,6.44705194588275
scaffold_1_RagTag,9100001,9200000,100000,*,21589,160534,7.43591643892723
scaffold_1_RagTag,9200001,9300000,100000,*,19965,139508,6.98762834961182
scaffold_1_RagTag,9300001,9400000,100000,*,24535,173475,7.07051151416344
scaffold_1_RagTag,9400001,9500000,100000,*,29038,244277,8.41232178524692
scaffold_1_RagTag,9500001,9600000,100000,*,12851,83088,6.46548906699868
scaffold_1_RagTag,9600001,9700000,100000,*,27611,221280,8.01419724023034
scaffold_1_RagTag,9700001,9800000,100000,*,23225,176556,7.60198062432723
scaffold_1_RagTag,9800001,9900000,100000,*,25247,175407,6.94763734305066
scaffold_1_RagTag,9900001,10000000,100000,*,24653,205138,8.32101569788667
scaffold_1_RagTag,10000001,10100000,100000,*,14264,81186,5.69167134043747
scaffold_1_RagTag,10100001,10200000,100000,*,21532,115295,5.35458851941297
scaffold_1_RagTag,10200001,10300000,100000,*,26976,186506,6.91377520759193
scaffold_1_RagTag,10300001,10400000,100000,*,26590,204469,7.68969537420083
scaffold_1_RagTag,10400001,10500000,100000,*,28493,197106,6.91769908398554
scaffold_1_RagTag,10500001,10600000,100000,*,25440,201401,7.91670597484277
scaffold_1_RagTag,10600001,10700000,100000,*,26442,177361,6.70754859692913
scaffold_1_RagTag,10700001,10800000,100000,*,27452,201346,7.33447471951042
scaffold_1_RagTag,10800001,10900000,100000,*,21016,129559,6.16477921583555
scaffold_1_RagTag,10900001,11000000,100000,*,23437,177131,7.55775056534539
scaffold_1_RagTag,11000001,11100000,100000,*,22630,293091,12.9514361467079
scaffold_1_RagTag,11100001,11200000,100000,*,27899,216017,7.74282232338077
scaffold_1_RagTag,11200001,11300000,100000,*,32589,276354,8.47997790665562
scaffold_1_RagTag,11300001,11400000,100000,*,19656,130809,6.65491452991453
scaffold_1_RagTag,11400001,11500000,100000,*,21998,114143,5.18878988999
scaffold_1_RagTag,11500001,11600000,100000,*,14605,68458,4.68729887024991
scaffold_1_RagTag,11600001,11700000,100000,*,10258,39590,3.85942678884773
scaffold_1_RagTag,11700001,11800000,100000,*,18325,360399,19.6670668485675
scaffold_1_RagTag,11800001,11900000,100000,*,27910,182125,6.52543891078466
scaffold_1_RagTag,11900001,12000000,100000,*,26301,249528,9.48739591650508
scaffold_1_RagTag,12000001,12100000,100000,*,27923,220477,7.89589227518533
scaffold_1_RagTag,12100001,12200000,100000,*,29039,289670,9.97520575777403
scaffold_1_RagTag,12200001,12300000,100000,*,24655,297336,12.0598661529102
scaffold_1_RagTag,12300001,12400000,100000,*,24297,188136,7.74317817014446
scaffold_1_RagTag,12400001,12500000,100000,*,23577,183765,7.79424863214149
scaffold_1_RagTag,12500001,12600000,100000,*,26621,240544,9.03587393411217
scaffold_1_RagTag,12600001,12700000,100000,*,15883,117825,7.41830888371214
scaffold_1_RagTag,12700001,12800000,100000,*,27409,198213,7.231675726951
scaffold_1_RagTag,12800001,12900000,100000,*,27887,187291,6.71606841897658
scaffold_1_RagTag,12900001,13000000,100000,*,23694,167526,7.07039756900481
scaffold_1_RagTag,13000001,13100000,100000,*,25492,230844,9.05554683822376
scaffold_1_RagTag,13100001,13200000,100000,*,24504,178852,7.29888997714659
scaffold_1_RagTag,13200001,13300000,100000,*,27626,210935,7.63537971476146
scaffold_1_RagTag,13300001,13400000,100000,*,30361,231302,7.61839201607325
scaffold_1_RagTag,13400001,13500000,100000,*,31196,276478,8.86261059110142
scaffold_1_RagTag,13500001,13600000,100000,*,22368,162155,7.24941881258941
scaffold_1_RagTag,13600001,13700000,100000,*,23030,195574,8.49214068606166
scaffold_1_RagTag,13700001,13800000,100000,*,27905,225223,8.07106253359613
scaffold_1_RagTag,13800001,13900000,100000,*,21330,137771,6.45902484763244
scaffold_1_RagTag,13900001,14000000,100000,*,22411,137841,6.15059568961671
scaffold_1_RagTag,14000001,14100000,100000,*,24549,193365,7.87669558841501
scaffold_1_RagTag,14100001,14200000,100000,*,22600,198695,8.79181415929204
scaffold_1_RagTag,14200001,14300000,100000,*,26212,235738,8.99351442087593
scaffold_1_RagTag,14300001,14400000,100000,*,20002,134603,6.72947705229477
scaffold_1_RagTag,14400001,14500000,100000,*,20715,144459,6.97364228819696
