seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,28466,152778,5.36703435677651
scaffold_1_RagTag,100001,200000,100000,*,21194,95174,4.4906105501557
scaffold_1_RagTag,200001,300000,100000,*,28176,163933,5.81817859170926
scaffold_1_RagTag,300001,400000,100000,*,27643,158984,5.7513294504938
scaffold_1_RagTag,400001,500000,100000,*,27602,138100,5.00326063328744
scaffold_1_RagTag,500001,600000,100000,*,28144,161742,5.74694428652644
scaffold_1_RagTag,600001,700000,100000,*,20785,115201,5.54250661534761
scaffold_1_RagTag,700001,800000,100000,*,29028,184209,6.34590739975196
scaffold_1_RagTag,800001,900000,100000,*,29151,169371,5.81012658227848
scaffold_1_RagTag,900001,1000000,100000,*,23945,123903,5.17448319064523
scaffold_1_RagTag,1000001,1100000,100000,*,31471,161008,5.11607511677417
scaffold_1_RagTag,1100001,1200000,100000,*,25264,131407,5.2013537048765
scaffold_1_RagTag,1200001,1300000,100000,*,29805,164222,5.50988089246771
scaffold_1_RagTag,1300001,1400000,100000,*,24476,125281,5.11852426867135
scaffold_1_RagTag,1400001,1500000,100000,*,25040,132313,5.28406549520767
scaffold_1_RagTag,1500001,1600000,100000,*,31301,164447,5.25372991278234
scaffold_1_RagTag,1600001,1700000,100000,*,26237,145339,5.53946716469108
scaffold_1_RagTag,1700001,1800000,100000,*,31033,164012,5.28508362066188
scaffold_1_RagTag,1800001,1900000,100000,*,32212,191781,5.95371290202409
scaffold_1_RagTag,1900001,2000000,100000,*,31606,200024,6.32867177118269
scaffold_1_RagTag,2000001,2100000,100000,*,20017,107727,5.38177549083279
scaffold_1_RagTag,2100001,2200000,100000,*,25075,279328,11.1397008973081
scaffold_1_RagTag,2200001,2300000,100000,*,25963,141091,5.43431036474984
scaffold_1_RagTag,2300001,2400000,100000,*,26775,138180,5.16078431372549
scaffold_1_RagTag,2400001,2500000,100000,*,26754,139905,5.22931150482171
scaffold_1_RagTag,2500001,2600000,100000,*,27913,146804,5.25934152545409
scaffold_1_RagTag,2600001,2700000,100000,*,31436,160235,5.09718157526403
scaffold_1_RagTag,2700001,2800000,100000,*,31781,163396,5.14131084610302
scaffold_1_RagTag,2800001,2900000,100000,*,17237,85516,4.96118814178801
scaffold_1_RagTag,2900001,3000000,100000,*,27855,140939,5.05973792855861
