seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,32763,218748,6.67667795989378
scaffold_1_RagTag,100001,200000,100000,*,29192,217066,7.43580432995341
scaffold_1_RagTag,200001,300000,100000,*,35280,211139,5.98466553287982
scaffold_1_RagTag,300001,400000,100000,*,28043,174896,6.23670791284813
scaffold_1_RagTag,400001,500000,100000,*,27971,189881,6.7884952271996
scaffold_1_RagTag,500001,600000,100000,*,34266,212222,6.1933695208078
scaffold_1_RagTag,600001,700000,100000,*,33232,222739,6.7025457390467
scaffold_1_RagTag,700001,800000,100000,*,31585,202480,6.41063796105746
scaffold_1_RagTag,800001,900000,100000,*,33833,214255,6.33272248987675
scaffold_1_RagTag,900001,1000000,100000,*,29425,226112,7.68435004248088
scaffold_1_RagTag,1000001,1100000,100000,*,29830,210171,7.04562520952062
scaffold_1_RagTag,1100001,1200000,100000,*,30103,225280,7.48363950436834
scaffold_1_RagTag,1200001,1300000,100000,*,30569,199304,6.51980764827112
scaffold_1_RagTag,1300001,1400000,100000,*,30384,209741,6.90300816219063
scaffold_1_RagTag,1400001,1500000,100000,*,31309,177045,5.6547638059344
scaffold_1_RagTag,1500001,1600000,100000,*,26006,160874,6.18603399215566
scaffold_1_RagTag,1600001,1700000,100000,*,24918,175175,7.03005859218236
scaffold_1_RagTag,1700001,1800000,100000,*,3658,7957,2.17523236741389
scaffold_1_RagTag,1800001,1900000,100000,*,3793,18084,4.76773002900079
scaffold_1_RagTag,1900001,2000000,100000,*,3317,6009,1.81157672595719
scaffold_1_RagTag,2000001,2100000,100000,*,3091,3144,1.0171465545131
scaffold_1_RagTag,2100001,2200000,100000,*,4906,17401,3.54688136975133
scaffold_1_RagTag,2200001,2300000,100000,*,6760,51578,7.62988165680473
scaffold_1_RagTag,2300001,2400000,100000,*,3294,6245,1.89587128111718
scaffold_1_RagTag,2400001,2500000,100000,*,3574,5679,1.58897593732513
scaffold_1_RagTag,2500001,2600000,100000,*,3531,11494,3.25516850750496
scaffold_1_RagTag,2600001,2700000,100000,*,3424,8062,2.35455607476635
scaffold_1_RagTag,2700001,2800000,100000,*,3512,9568,2.72437357630979
scaffold_1_RagTag,2800001,2900000,100000,*,4801,25139,5.23620079150177
scaffold_1_RagTag,2900001,3000000,100000,*,3077,6870,2.23269418264543
scaffold_1_RagTag,3000001,3100000,100000,*,2925,3702,1.26564102564103
scaffold_1_RagTag,3100001,3200000,100000,*,3534,5829,1.64940577249576
scaffold_1_RagTag,3200001,3300000,100000,*,1384,1775,1.28251445086705
scaffold_1_RagTag,3300001,3400000,100000,*,4050,9309,2.29851851851852
scaffold_1_RagTag,3400001,3500000,100000,*,3286,10065,3.06299452221546
scaffold_1_RagTag,3500001,3600000,100000,*,3370,14856,4.40830860534125
scaffold_1_RagTag,3600001,3700000,100000,*,2779,4087,1.47067290392227
scaffold_1_RagTag,3700001,3800000,100000,*,3626,6824,1.88196359624931
scaffold_1_RagTag,3800001,3900000,100000,*,3079,5945,1.93082169535563
scaffold_1_RagTag,3900001,4000000,100000,*,3174,5723,1.80308758664146
scaffold_1_RagTag,4000001,4100000,100000,*,2579,4649,1.80263668088406
scaffold_1_RagTag,4100001,4200000,100000,*,2122,2074,0.977379830348728
scaffold_1_RagTag,4200001,4300000,100000,*,3216,6122,1.90360696517413
scaffold_1_RagTag,4300001,4400000,100000,*,3246,3896,1.20024645717807
scaffold_1_RagTag,4400001,4500000,100000,*,3642,14384,3.94947830862164
scaffold_1_RagTag,4500001,4600000,100000,*,3519,9488,2.69622051719238
scaffold_1_RagTag,4600001,4700000,100000,*,7475,34173,4.57163879598662
scaffold_1_RagTag,4700001,4800000,100000,*,3298,7224,2.1904184354154
scaffold_1_RagTag,4800001,4900000,100000,*,6806,40517,5.95312959153688
scaffold_1_RagTag,4900001,5000000,100000,*,26873,169307,6.30026420570833
scaffold_1_RagTag,5000001,5100000,100000,*,35125,238614,6.79328113879004
scaffold_1_RagTag,5100001,5200000,100000,*,22206,135919,6.12082320093668
scaffold_1_RagTag,5200001,5300000,100000,*,2749,3538,1.2870134594398
scaffold_1_RagTag,5300001,5400000,100000,*,3481,13567,3.89744326343005
scaffold_1_RagTag,5400001,5500000,100000,*,3124,10362,3.3169014084507
scaffold_1_RagTag,5500001,5600000,100000,*,2869,3676,1.2812826768909
scaffold_1_RagTag,5600001,5700000,100000,*,5846,34687,5.93345877523093
scaffold_1_RagTag,5700001,5800000,100000,*,5995,33893,5.6535446205171
scaffold_1_RagTag,5800001,5900000,100000,*,5596,24675,4.40939957112223
scaffold_1_RagTag,5900001,6000000,100000,*,3976,9224,2.31991951710262
scaffold_1_RagTag,6000001,6100000,100000,*,2961,3560,1.20229652144546
scaffold_1_RagTag,6100001,6200000,100000,*,3423,6267,1.83085013146363
scaffold_1_RagTag,6200001,6300000,100000,*,27900,96722,3.46673835125448
scaffold_1_RagTag,6300001,6400000,100000,*,28777,112957,3.9252528060604
scaffold_1_RagTag,6400001,6500000,100000,*,31450,102011,3.24359300476948
scaffold_1_RagTag,6500001,6600000,100000,*,31274,111489,3.56491014900556
scaffold_1_RagTag,6600001,6700000,100000,*,31382,113743,3.62446625454082
scaffold_1_RagTag,6700001,6800000,100000,*,31125,112874,3.62647389558233
scaffold_1_RagTag,6800001,6900000,100000,*,32315,110163,3.40903605136933
scaffold_1_RagTag,6900001,7000000,100000,*,26635,119756,4.49618922470434
