seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,33060,199304,6.02855414398064
scaffold_1_RagTag,100001,200000,100000,*,29476,183237,6.21648120504817
scaffold_1_RagTag,200001,300000,100000,*,36056,209152,5.80075438207233
scaffold_1_RagTag,300001,400000,100000,*,28716,161751,5.63278311742583
scaffold_1_RagTag,400001,500000,100000,*,28029,161524,5.76274572763923
scaffold_1_RagTag,500001,600000,100000,*,34878,207777,5.95725098916222
scaffold_1_RagTag,600001,700000,100000,*,34130,200258,5.86750659244067
scaffold_1_RagTag,700001,800000,100000,*,32179,185356,5.76015413779173
scaffold_1_RagTag,800001,900000,100000,*,34418,198038,5.75390783892149
scaffold_1_RagTag,900001,1000000,100000,*,29719,187325,6.30320670278273
scaffold_1_RagTag,1000001,1100000,100000,*,30065,180924,6.01776151671379
scaffold_1_RagTag,1100001,1200000,100000,*,30327,186689,6.15586770864246
scaffold_1_RagTag,1200001,1300000,100000,*,31162,184554,5.92240549387074
scaffold_1_RagTag,1300001,1400000,100000,*,31150,190156,6.1045264847512
scaffold_1_RagTag,1400001,1500000,100000,*,31924,182631,5.7208056634507
scaffold_1_RagTag,1500001,1600000,100000,*,26613,152749,5.73963852252658
scaffold_1_RagTag,1600001,1700000,100000,*,28487,175853,6.17309650015797
scaffold_1_RagTag,1700001,1800000,100000,*,31121,195527,6.2827993959063
scaffold_1_RagTag,1800001,1900000,100000,*,30310,194494,6.4168261299901
scaffold_1_RagTag,1900001,2000000,100000,*,30319,174673,5.76117286190178
scaffold_1_RagTag,2000001,2100000,100000,*,34493,215123,6.23671469573537
scaffold_1_RagTag,2100001,2200000,100000,*,28249,178101,6.30468335162307
scaffold_1_RagTag,2200001,2300000,100000,*,29174,224760,7.70412010694454
scaffold_1_RagTag,2300001,2400000,100000,*,30088,175068,5.81853230523797
scaffold_1_RagTag,2400001,2500000,100000,*,34478,204197,5.92253030918267
scaffold_1_RagTag,2500001,2600000,100000,*,30063,176548,5.87260087150318
scaffold_1_RagTag,2600001,2700000,100000,*,30555,167902,5.4950744558992
scaffold_1_RagTag,2700001,2800000,100000,*,31471,189348,6.01658669886562
scaffold_1_RagTag,2800001,2900000,100000,*,32619,224501,6.88252245623716
scaffold_1_RagTag,2900001,3000000,100000,*,34630,202908,5.85931273462316
scaffold_1_RagTag,3000001,3100000,100000,*,30674,188058,6.13086001173632
scaffold_1_RagTag,3100001,3200000,100000,*,31414,180160,5.73502260138792
scaffold_1_RagTag,3200001,3300000,100000,*,24968,139680,5.59436078180071
scaffold_1_RagTag,3300001,3400000,100000,*,32087,192517,5.99984417365288
scaffold_1_RagTag,3400001,3500000,100000,*,34149,206610,6.05025037336379
scaffold_1_RagTag,3500001,3600000,100000,*,30751,189370,6.15817371792787
scaffold_1_RagTag,3600001,3700000,100000,*,33616,205182,6.10370061875297
scaffold_1_RagTag,3700001,3800000,100000,*,34763,206645,5.94439490262636
scaffold_1_RagTag,3800001,3900000,100000,*,34990,208143,5.94864246927694
scaffold_1_RagTag,3900001,4000000,100000,*,35294,215228,6.09814699382331
scaffold_1_RagTag,4000001,4100000,100000,*,33885,204048,6.02177954847278
scaffold_1_RagTag,4100001,4200000,100000,*,35704,221858,6.21381357831055
scaffold_1_RagTag,4200001,4300000,100000,*,32023,200537,6.26228023608032
scaffold_1_RagTag,4300001,4400000,100000,*,34604,211361,6.10799329557277
scaffold_1_RagTag,4400001,4500000,100000,*,34823,215883,6.19943715360538
scaffold_1_RagTag,4500001,4600000,100000,*,32713,187721,5.73842203405374
scaffold_1_RagTag,4600001,4700000,100000,*,33406,219411,6.56801173441897
scaffold_1_RagTag,4700001,4800000,100000,*,31213,170644,5.46708102393234
scaffold_1_RagTag,4800001,4900000,100000,*,33303,224067,6.72813260066661
scaffold_1_RagTag,4900001,5000000,100000,*,33243,198871,5.98234214721896
scaffold_1_RagTag,5000001,5100000,100000,*,35544,204905,5.76482669367544
scaffold_1_RagTag,5100001,5200000,100000,*,32115,185900,5.78857231823136
scaffold_1_RagTag,5200001,5300000,100000,*,25351,149783,5.90836653386454
scaffold_1_RagTag,5300001,5400000,100000,*,31462,184261,5.85662068527112
scaffold_1_RagTag,5400001,5500000,100000,*,32390,175174,5.40827415869095
scaffold_1_RagTag,5500001,5600000,100000,*,33822,187856,5.55425462716575
scaffold_1_RagTag,5600001,5700000,100000,*,33423,210623,6.30173832390869
scaffold_1_RagTag,5700001,5800000,100000,*,30201,192202,6.36409390417536
scaffold_1_RagTag,5800001,5900000,100000,*,33503,197318,5.88956212876459
scaffold_1_RagTag,5900001,6000000,100000,*,31759,186158,5.86158254353097
scaffold_1_RagTag,6000001,6100000,100000,*,35852,211803,5.90770389378556
scaffold_1_RagTag,6100001,6200000,100000,*,36121,212936,5.89507488718474
scaffold_1_RagTag,6200001,6300000,100000,*,35375,204720,5.78713780918728
scaffold_1_RagTag,6300001,6400000,100000,*,31434,194959,6.20216962524655
scaffold_1_RagTag,6400001,6500000,100000,*,35261,196631,5.57644423016931
