seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,30188,172327,5.7084603153571
scaffold_1_RagTag,100001,200000,100000,*,28798,150873,5.23900965344816
scaffold_1_RagTag,200001,300000,100000,*,30689,190447,6.20570888592004
scaffold_1_RagTag,300001,400000,100000,*,32829,217680,6.63072283651649
scaffold_1_RagTag,400001,500000,100000,*,31206,205297,6.57876690380055
scaffold_1_RagTag,500001,600000,100000,*,30399,206439,6.79097996644626
scaffold_1_RagTag,600001,700000,100000,*,27893,176120,6.3141289929373
scaffold_1_RagTag,700001,800000,100000,*,31250,228259,7.304288
scaffold_1_RagTag,800001,900000,100000,*,32843,222501,6.77468562555187
scaffold_1_RagTag,900001,1000000,100000,*,29626,183857,6.20593397691217
scaffold_1_RagTag,1000001,1100000,100000,*,34644,211039,6.09164646114767
scaffold_1_RagTag,1100001,1200000,100000,*,31571,193748,6.1368977859428
scaffold_1_RagTag,1200001,1300000,100000,*,33998,217649,6.40181775398553
scaffold_1_RagTag,1300001,1400000,100000,*,31120,203411,6.53634318766067
scaffold_1_RagTag,1400001,1500000,100000,*,28315,183366,6.47593148507858
scaffold_1_RagTag,1500001,1600000,100000,*,33613,214538,6.38259006931842
scaffold_1_RagTag,1600001,1700000,100000,*,29553,198863,6.72902920177309
scaffold_1_RagTag,1700001,1800000,100000,*,33643,210858,6.26751478762298
scaffold_1_RagTag,1800001,1900000,100000,*,34252,226328,6.60773093541983
scaffold_1_RagTag,1900001,2000000,100000,*,32860,222914,6.78374923919659
scaffold_1_RagTag,2000001,2100000,100000,*,21669,138935,6.41169412524805
scaffold_1_RagTag,2100001,2200000,100000,*,30580,314965,10.2997056899935
scaffold_1_RagTag,2200001,2300000,100000,*,32501,218531,6.72382388234208
scaffold_1_RagTag,2300001,2400000,100000,*,29566,191637,6.48166813231414
scaffold_1_RagTag,2400001,2500000,100000,*,34267,230289,6.72043073510958
scaffold_1_RagTag,2500001,2600000,100000,*,29980,189051,6.30590393595731
scaffold_1_RagTag,2600001,2700000,100000,*,33972,217844,6.41245731779112
scaffold_1_RagTag,2700001,2800000,100000,*,35123,220768,6.28556786151525
scaffold_1_RagTag,2800001,2900000,100000,*,29434,179623,6.10256845824557
scaffold_1_RagTag,2900001,3000000,100000,*,33543,205792,6.13516978207077
scaffold_1_RagTag,3000001,3100000,100000,*,34360,233897,6.80724679860303
