seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,31050,257355,8.28840579710145
scaffold_1_RagTag,100001,200000,100000,*,26287,200426,7.62452923498307
scaffold_1_RagTag,200001,300000,100000,*,33724,251556,7.45925750207567
scaffold_1_RagTag,300001,400000,100000,*,27439,304516,11.0979263092678
scaffold_1_RagTag,400001,500000,100000,*,20997,215158,10.2470829166071
scaffold_1_RagTag,500001,600000,100000,*,30683,215182,7.01306912622625
scaffold_1_RagTag,600001,700000,100000,*,30175,230990,7.65501242750621
scaffold_1_RagTag,700001,800000,100000,*,28396,200697,7.06779123820256
scaffold_1_RagTag,800001,900000,100000,*,30984,210672,6.7993803253292
scaffold_1_RagTag,900001,1000000,100000,*,24617,177696,7.21842629077467
scaffold_1_RagTag,1000001,1100000,100000,*,25378,193609,7.62900937820159
scaffold_1_RagTag,1100001,1200000,100000,*,26714,189752,7.10309201167927
scaffold_1_RagTag,1200001,1300000,100000,*,26919,178921,6.64664363460753
scaffold_1_RagTag,1300001,1400000,100000,*,29414,246981,8.39671584959543
scaffold_1_RagTag,1400001,1500000,100000,*,29539,262649,8.89160093435797
scaffold_1_RagTag,1500001,1600000,100000,*,18542,118174,6.37331463704023
scaffold_1_RagTag,1600001,1700000,100000,*,19465,158920,8.16439763678397
scaffold_1_RagTag,1700001,1800000,100000,*,28686,217979,7.59879383671477
scaffold_1_RagTag,1800001,1900000,100000,*,27496,207522,7.54735234215886
scaffold_1_RagTag,1900001,2000000,100000,*,24900,166056,6.6689156626506
scaffold_1_RagTag,2000001,2100000,100000,*,31769,243114,7.65255437690831
scaffold_1_RagTag,2100001,2200000,100000,*,24907,194635,7.81446982775926
scaffold_1_RagTag,2200001,2300000,100000,*,25186,248318,9.85936631461923
scaffold_1_RagTag,2300001,2400000,100000,*,26108,178259,6.82775394515091
scaffold_1_RagTag,2400001,2500000,100000,*,31453,265168,8.43061075255143
scaffold_1_RagTag,2500001,2600000,100000,*,23278,183027,7.86266002233869
scaffold_1_RagTag,2600001,2700000,100000,*,22393,166295,7.4262046175144
scaffold_1_RagTag,2700001,2800000,100000,*,28563,245168,8.58341210657144
scaffold_1_RagTag,2800001,2900000,100000,*,27609,208464,7.55058133217429
scaffold_1_RagTag,2900001,3000000,100000,*,31211,236050,7.56303867226298
scaffold_1_RagTag,3000001,3100000,100000,*,27797,214235,7.7071266683455
scaffold_1_RagTag,3100001,3200000,100000,*,29327,218892,7.46383878337368
scaffold_1_RagTag,3200001,3300000,100000,*,17302,104087,6.01589411628713
scaffold_1_RagTag,3300001,3400000,100000,*,29060,232111,7.98730213351686
scaffold_1_RagTag,3400001,3500000,100000,*,32631,244779,7.50142502528271
scaffold_1_RagTag,3500001,3600000,100000,*,24485,186514,7.61748008985093
scaffold_1_RagTag,3600001,3700000,100000,*,31975,255058,7.97679437060203
scaffold_1_RagTag,3700001,3800000,100000,*,32360,234410,7.2438195302843
scaffold_1_RagTag,3800001,3900000,100000,*,32709,256165,7.83163655263077
scaffold_1_RagTag,3900001,4000000,100000,*,31525,235931,7.48393338620143
scaffold_1_RagTag,4000001,4100000,100000,*,29806,204009,6.84456149768503
scaffold_1_RagTag,4100001,4200000,100000,*,35212,313198,8.89463819152562
scaffold_1_RagTag,4200001,4300000,100000,*,31250,269541,8.625312
scaffold_1_RagTag,4300001,4400000,100000,*,33069,280756,8.49000574556231
scaffold_1_RagTag,4400001,4500000,100000,*,34177,299321,8.7579658834889
scaffold_1_RagTag,4500001,4600000,100000,*,31705,261618,8.2516322346633
scaffold_1_RagTag,4600001,4700000,100000,*,27700,227374,8.2084476534296
scaffold_1_RagTag,4700001,4800000,100000,*,26456,179939,6.80144390686423
scaffold_1_RagTag,4800001,4900000,100000,*,29764,216702,7.28067464050531
scaffold_1_RagTag,4900001,5000000,100000,*,30482,261014,8.56288957417492
scaffold_1_RagTag,5000001,5100000,100000,*,32178,239745,7.45058735782211
scaffold_1_RagTag,5100001,5200000,100000,*,29703,227274,7.65155034844965
scaffold_1_RagTag,5200001,5300000,100000,*,22465,171876,7.65083463164923
scaffold_1_RagTag,5300001,5400000,100000,*,25847,180711,6.99156575231168
scaffold_1_RagTag,5400001,5500000,100000,*,26117,176165,6.74522341769728
scaffold_1_RagTag,5500001,5600000,100000,*,31666,211592,6.68199330512221
scaffold_1_RagTag,5600001,5700000,100000,*,30944,240205,7.76257109617373
scaffold_1_RagTag,5700001,5800000,100000,*,27119,248153,9.15052177440171
scaffold_1_RagTag,5800001,5900000,100000,*,31140,256777,8.24588953114965
scaffold_1_RagTag,5900001,6000000,100000,*,28641,200766,7.00974127998324
scaffold_1_RagTag,6000001,6100000,100000,*,29904,205714,6.87914660246121
scaffold_1_RagTag,6100001,6200000,100000,*,26239,183427,6.99062464270742
scaffold_1_RagTag,6200001,6300000,100000,*,33879,258041,7.61654712358688
scaffold_1_RagTag,6300001,6400000,100000,*,28809,228817,7.94255267451144
scaffold_1_RagTag,6400001,6500000,100000,*,33423,239505,7.1658737994794
scaffold_1_RagTag,6500001,6600000,100000,*,32846,251575,7.65922791207453
scaffold_1_RagTag,6600001,6700000,100000,*,25442,173667,6.82599638393208
scaffold_1_RagTag,6700001,6800000,100000,*,29433,234387,7.96340841912139
scaffold_1_RagTag,6800001,6900000,100000,*,32257,241251,7.47902780791766
scaffold_1_RagTag,6900001,7000000,100000,*,25771,210684,8.1752357300842
scaffold_1_RagTag,7000001,7100000,100000,*,28473,194857,6.84357110244793
scaffold_1_RagTag,7100001,7200000,100000,*,24908,175714,7.05452063594026
scaffold_1_RagTag,7200001,7300000,100000,*,27676,176358,6.37223587223587
scaffold_1_RagTag,7300001,7400000,100000,*,27929,215440,7.71384582333775
scaffold_1_RagTag,7400001,7500000,100000,*,24193,149098,6.16285702475923
scaffold_1_RagTag,7500001,7600000,100000,*,29883,234184,7.83669644948633
scaffold_1_RagTag,7600001,7700000,100000,*,26779,219873,8.21065013630083
scaffold_1_RagTag,7700001,7800000,100000,*,30517,241146,7.90202182390143
scaffold_1_RagTag,7800001,7900000,100000,*,30217,226992,7.51206274613628
scaffold_1_RagTag,7900001,8000000,100000,*,28102,219516,7.8114013237492
scaffold_1_RagTag,8000001,8100000,100000,*,27100,229403,8.46505535055351
scaffold_1_RagTag,8100001,8200000,100000,*,26768,247654,9.2518679019725
scaffold_1_RagTag,8200001,8300000,100000,*,30424,226239,7.43620168288194
scaffold_1_RagTag,8300001,8400000,100000,*,30561,222697,7.28696704950754
scaffold_1_RagTag,8400001,8500000,100000,*,18055,226515,12.5458321794517
scaffold_1_RagTag,8500001,8600000,100000,*,22306,175926,7.88693625033623
scaffold_1_RagTag,8600001,8700000,100000,*,24980,181237,7.25528422738191
scaffold_1_RagTag,8700001,8800000,100000,*,26321,222005,8.43451996504692
scaffold_1_RagTag,8800001,8900000,100000,*,27150,200998,7.40324125230203
scaffold_1_RagTag,8900001,9000000,100000,*,26434,219006,8.28501172732087
scaffold_1_RagTag,9000001,9100000,100000,*,25048,164252,6.55748961992973
scaffold_1_RagTag,9100001,9200000,100000,*,22223,174318,7.84403545875894
scaffold_1_RagTag,9200001,9300000,100000,*,20465,135770,6.63425360371366
scaffold_1_RagTag,9300001,9400000,100000,*,24861,176200,7.08740597723342
scaffold_1_RagTag,9400001,9500000,100000,*,29819,273435,9.16982460847111
scaffold_1_RagTag,9500001,9600000,100000,*,15162,100063,6.59959108297058
scaffold_1_RagTag,9600001,9700000,100000,*,28312,233119,8.23392907601017
scaffold_1_RagTag,9700001,9800000,100000,*,22235,156335,7.03103215651001
scaffold_1_RagTag,9800001,9900000,100000,*,25882,182942,7.0683100224094
scaffold_1_RagTag,9900001,10000000,100000,*,25611,236245,9.22435672172113
scaffold_1_RagTag,10000001,10100000,100000,*,16848,111440,6.61443494776828
scaffold_1_RagTag,10100001,10200000,100000,*,23323,125366,5.37520902113793
scaffold_1_RagTag,10200001,10300000,100000,*,26935,181657,6.74427325041767
scaffold_1_RagTag,10300001,10400000,100000,*,27417,250828,9.14863041178831
scaffold_1_RagTag,10400001,10500000,100000,*,28699,209147,7.28760583992474
