seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,22639,205190,9.063562878219
scaffold_1_RagTag,100001,200000,100000,*,8457,40137,4.74600922312877
scaffold_1_RagTag,200001,300000,100000,*,27548,216356,7.85378248874691
scaffold_1_RagTag,300001,400000,100000,*,29581,238645,8.06750955004902
scaffold_1_RagTag,400001,500000,100000,*,29687,235714,7.93997372587328
scaffold_1_RagTag,500001,600000,100000,*,29159,247701,8.49483864330053
scaffold_1_RagTag,600001,700000,100000,*,21080,156537,7.42585388994307
scaffold_1_RagTag,700001,800000,100000,*,28600,239568,8.3765034965035
scaffold_1_RagTag,800001,900000,100000,*,30110,233774,7.76399867153769
scaffold_1_RagTag,900001,1000000,100000,*,26970,230714,8.55446792732666
scaffold_1_RagTag,1000001,1100000,100000,*,32810,251357,7.66098750380981
scaffold_1_RagTag,1100001,1200000,100000,*,27105,197087,7.27124146836377
scaffold_1_RagTag,1200001,1300000,100000,*,30510,244356,8.00904621435595
scaffold_1_RagTag,1300001,1400000,100000,*,12470,64104,5.14065757818765
scaffold_1_RagTag,1400001,1500000,100000,*,10430,44973,4.31188878235858
scaffold_1_RagTag,1500001,1600000,100000,*,32567,235696,7.23726471581662
scaffold_1_RagTag,1600001,1700000,100000,*,27729,216160,7.79544880810704
scaffold_1_RagTag,1700001,1800000,100000,*,32153,250812,7.80057848412279
scaffold_1_RagTag,1800001,1900000,100000,*,33106,265613,8.02310759378964
scaffold_1_RagTag,1900001,2000000,100000,*,32553,292942,8.99892483027678
scaffold_1_RagTag,2000001,2100000,100000,*,20691,144371,6.97747813058818
scaffold_1_RagTag,2100001,2200000,100000,*,24905,342063,13.7347119052399
scaffold_1_RagTag,2200001,2300000,100000,*,27624,200305,7.25112221256878
scaffold_1_RagTag,2300001,2400000,100000,*,28028,201909,7.20383188240331
scaffold_1_RagTag,2400001,2500000,100000,*,32362,259721,8.02549286199864
scaffold_1_RagTag,2500001,2600000,100000,*,29067,203010,6.98420889668696
scaffold_1_RagTag,2600001,2700000,100000,*,32972,245604,7.4488657042339
scaffold_1_RagTag,2700001,2800000,100000,*,34101,253074,7.42130729304126
scaffold_1_RagTag,2800001,2900000,100000,*,28953,264141,9.12309605222257
scaffold_1_RagTag,2900001,3000000,100000,*,32108,233552,7.27395041734147
scaffold_1_RagTag,3000001,3100000,100000,*,32784,265796,8.10749145924841
scaffold_1_RagTag,3100001,3200000,100000,*,31922,258749,8.10566380552597
scaffold_1_RagTag,3200001,3300000,100000,*,30786,276801,8.99113233287858
scaffold_1_RagTag,3300001,3400000,100000,*,33550,297724,8.87403874813711
scaffold_1_RagTag,3400001,3500000,100000,*,34201,248379,7.26233151077454
scaffold_1_RagTag,3500001,3600000,100000,*,27389,338310,12.3520391398007
scaffold_1_RagTag,3600001,3700000,100000,*,30563,255451,8.35817818931388
scaffold_1_RagTag,3700001,3800000,100000,*,28784,224724,7.80725403001668
scaffold_1_RagTag,3800001,3900000,100000,*,31190,233787,7.49557550496954
scaffold_1_RagTag,3900001,4000000,100000,*,27996,253636,9.05972281754536
scaffold_1_RagTag,4000001,4100000,100000,*,30263,265611,8.77675709612398
scaffold_1_RagTag,4100001,4200000,100000,*,29629,230677,7.78551419217658
scaffold_1_RagTag,4200001,4300000,100000,*,31563,1374177,43.5375914836993
scaffold_1_RagTag,4300001,4400000,100000,*,29570,226797,7.66983429151167
scaffold_1_RagTag,4400001,4500000,100000,*,32706,265152,8.10713630526509
scaffold_1_RagTag,4500001,4600000,100000,*,25763,270356,10.4939642122424
scaffold_1_RagTag,4600001,4700000,100000,*,31454,310512,9.87193997583773
scaffold_1_RagTag,4700001,4800000,100000,*,21194,183984,8.68094743795414
scaffold_1_RagTag,4800001,4900000,100000,*,28799,228662,7.93992846973853
scaffold_1_RagTag,4900001,5000000,100000,*,25145,216414,8.60664147941937
scaffold_1_RagTag,5000001,5100000,100000,*,28677,246743,8.60421243505248
scaffold_1_RagTag,5100001,5200000,100000,*,27778,245566,8.84030527755778
scaffold_1_RagTag,5200001,5300000,100000,*,28703,223305,7.77984879629307
scaffold_1_RagTag,5300001,5400000,100000,*,30762,267351,8.69094987322021
scaffold_1_RagTag,5400001,5500000,100000,*,32751,269904,8.24109187505725
scaffold_1_RagTag,5500001,5600000,100000,*,30480,263674,8.6507217847769
scaffold_1_RagTag,5600001,5700000,100000,*,27457,229107,8.34421094802783
scaffold_1_RagTag,5700001,5800000,100000,*,26284,200103,7.61311063765028
scaffold_1_RagTag,5800001,5900000,100000,*,28288,228306,8.07077205882353
scaffold_1_RagTag,5900001,6000000,100000,*,30134,215195,7.14126899847349
scaffold_1_RagTag,6000001,6100000,100000,*,33684,264449,7.85087875549222
scaffold_1_RagTag,6100001,6200000,100000,*,28983,222579,7.67963978884173
scaffold_1_RagTag,6200001,6300000,100000,*,23885,246172,10.3065522294327
scaffold_1_RagTag,6300001,6400000,100000,*,31106,236990,7.61878737221115
scaffold_1_RagTag,6400001,6500000,100000,*,32073,254774,7.9435662395161
scaffold_1_RagTag,6500001,6600000,100000,*,31827,243555,7.65246488830238
scaffold_1_RagTag,6600001,6700000,100000,*,28054,253741,9.04473515363228
scaffold_1_RagTag,6700001,6800000,100000,*,33347,254729,7.63873811737188
scaffold_1_RagTag,6800001,6900000,100000,*,33164,260914,7.86738632251839
scaffold_1_RagTag,6900001,7000000,100000,*,32898,249531,7.58498996899508
scaffold_1_RagTag,7000001,7100000,100000,*,27769,207998,7.49029493319889
scaffold_1_RagTag,7100001,7200000,100000,*,33674,240318,7.13660390805963
scaffold_1_RagTag,7200001,7300000,100000,*,21116,157613,7.46415040727411
scaffold_1_RagTag,7300001,7400000,100000,*,24897,227241,9.12724424629473
scaffold_1_RagTag,7400001,7500000,100000,*,31743,234740,7.3950162240494
scaffold_1_RagTag,7500001,7600000,100000,*,34531,241886,7.00489415307984
scaffold_1_RagTag,7600001,7700000,100000,*,28939,220148,7.60731193199489
scaffold_1_RagTag,7700001,7800000,100000,*,31784,258982,8.14818776743015
scaffold_1_RagTag,7800001,7900000,100000,*,30830,270830,8.78462536490431
scaffold_1_RagTag,7900001,8000000,100000,*,28052,250970,8.9465991729645
scaffold_1_RagTag,8000001,8100000,100000,*,29537,257210,8.70806107593865
scaffold_1_RagTag,8100001,8200000,100000,*,17631,179065,10.1562588622313
scaffold_1_RagTag,8200001,8300000,100000,*,30336,250129,8.24528612869198
scaffold_1_RagTag,8300001,8400000,100000,*,31295,218863,6.99354529477552
scaffold_1_RagTag,8400001,8500000,100000,*,31633,232877,7.36183732178421
scaffold_1_RagTag,8500001,8600000,100000,*,29963,256250,8.55221439775723
scaffold_1_RagTag,8600001,8700000,100000,*,26292,240302,9.13973832344439
scaffold_1_RagTag,8700001,8800000,100000,*,30681,266768,8.69489260454353
scaffold_1_RagTag,8800001,8900000,100000,*,25375,242865,9.57103448275862
scaffold_1_RagTag,8900001,9000000,100000,*,29892,207406,6.93851197644855
scaffold_1_RagTag,9000001,9100000,100000,*,32652,260527,7.9788986892074
scaffold_1_RagTag,9100001,9200000,100000,*,29136,266174,9.1355711147721
scaffold_1_RagTag,9200001,9300000,100000,*,28166,231739,8.22761485478946
