seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,30241,165058,5.45808670348203
scaffold_1_RagTag,100001,200000,100000,*,29272,157722,5.38815250068325
scaffold_1_RagTag,200001,300000,100000,*,30794,179906,5.84224199519387
scaffold_1_RagTag,300001,400000,100000,*,32481,208162,6.40873125827407
scaffold_1_RagTag,400001,500000,100000,*,31003,188799,6.08970099667774
scaffold_1_RagTag,500001,600000,100000,*,30306,206895,6.82686596713522
scaffold_1_RagTag,600001,700000,100000,*,27841,167932,6.03182356955569
scaffold_1_RagTag,700001,800000,100000,*,31399,218859,6.9702538297398
scaffold_1_RagTag,800001,900000,100000,*,32643,213222,6.53193640290414
scaffold_1_RagTag,900001,1000000,100000,*,29614,181757,6.13753630039846
scaffold_1_RagTag,1000001,1100000,100000,*,35028,216648,6.18499486125385
scaffold_1_RagTag,1100001,1200000,100000,*,31550,189997,6.02209191759113
scaffold_1_RagTag,1200001,1300000,100000,*,34206,212046,6.19908787931942
scaffold_1_RagTag,1300001,1400000,100000,*,30838,196240,6.36357740450094
scaffold_1_RagTag,1400001,1500000,100000,*,27815,161769,5.81589070645335
scaffold_1_RagTag,1500001,1600000,100000,*,33723,210124,6.23088100109717
scaffold_1_RagTag,1600001,1700000,100000,*,29418,180023,6.11948466925012
scaffold_1_RagTag,1700001,1800000,100000,*,33382,197271,5.90950212689473
scaffold_1_RagTag,1800001,1900000,100000,*,34351,225863,6.57515065063608
scaffold_1_RagTag,1900001,2000000,100000,*,32810,210973,6.43014324900945
scaffold_1_RagTag,2000001,2100000,100000,*,21962,136757,6.22698297058556
scaffold_1_RagTag,2100001,2200000,100000,*,30327,254170,8.38098064431035
scaffold_1_RagTag,2200001,2300000,100000,*,32853,210093,6.39494110126929
scaffold_1_RagTag,2300001,2400000,100000,*,29472,176457,5.98727605863192
scaffold_1_RagTag,2400001,2500000,100000,*,34238,222965,6.51220865704772
scaffold_1_RagTag,2500001,2600000,100000,*,29935,182827,6.10746617671622
scaffold_1_RagTag,2600001,2700000,100000,*,34198,207930,6.08018012749284
scaffold_1_RagTag,2700001,2800000,100000,*,35117,212249,6.04405273799015
scaffold_1_RagTag,2800001,2900000,100000,*,28991,169071,5.83184436549274
scaffold_1_RagTag,2900001,3000000,100000,*,33518,200386,5.97845933528254
scaffold_1_RagTag,3000001,3100000,100000,*,34323,217176,6.32741893191155
scaffold_1_RagTag,3100001,3200000,100000,*,33564,217208,6.4714575140031
scaffold_1_RagTag,3200001,3300000,100000,*,30951,213860,6.90963135278343
scaffold_1_RagTag,3300001,3400000,100000,*,35088,257191,7.32988486092111
scaffold_1_RagTag,3400001,3500000,100000,*,34618,209307,6.04618984343405
scaffold_1_RagTag,3500001,3600000,100000,*,27628,248524,8.99536701896627
scaffold_1_RagTag,3600001,3700000,100000,*,31436,213048,6.77719811680875
scaffold_1_RagTag,3700001,3800000,100000,*,29460,183763,6.2377121520706
scaffold_1_RagTag,3800001,3900000,100000,*,31747,199973,6.29895738179986
scaffold_1_RagTag,3900001,4000000,100000,*,28216,180188,6.38602211511199
scaffold_1_RagTag,4000001,4100000,100000,*,31279,189848,6.0695035007513
scaffold_1_RagTag,4100001,4200000,100000,*,33632,215922,6.42013558515699
scaffold_1_RagTag,4200001,4300000,100000,*,33309,259655,7.79534059863701
scaffold_1_RagTag,4300001,4400000,100000,*,30765,187552,6.09627823825776
scaffold_1_RagTag,4400001,4500000,100000,*,33769,220753,6.53714945660221
scaffold_1_RagTag,4500001,4600000,100000,*,26028,198016,7.60780697710158
scaffold_1_RagTag,4600001,4700000,100000,*,32003,225200,7.03684029622223
scaffold_1_RagTag,4700001,4800000,100000,*,23403,147867,6.31829252659915
scaffold_1_RagTag,4800001,4900000,100000,*,32273,198307,6.1446720168562
scaffold_1_RagTag,4900001,5000000,100000,*,26186,176396,6.73627129000229
scaffold_1_RagTag,5000001,5100000,100000,*,31750,201580,6.34897637795276
scaffold_1_RagTag,5100001,5200000,100000,*,28408,183130,6.44642354266404
scaffold_1_RagTag,5200001,5300000,100000,*,29750,198159,6.66080672268908
scaffold_1_RagTag,5300001,5400000,100000,*,32527,220700,6.78513235158484
scaffold_1_RagTag,5400001,5500000,100000,*,33304,220878,6.63217631515734
scaffold_1_RagTag,5500001,5600000,100000,*,31359,200781,6.40265952358175
scaffold_1_RagTag,5600001,5700000,100000,*,27877,176365,6.32654159342827
scaffold_1_RagTag,5700001,5800000,100000,*,29706,175494,5.90769541506766
scaffold_1_RagTag,5800001,5900000,100000,*,32285,209372,6.48511692736565
scaffold_1_RagTag,5900001,6000000,100000,*,32859,196822,5.98989622325695
scaffold_1_RagTag,6000001,6100000,100000,*,34161,214829,6.28872105617517
scaffold_1_RagTag,6100001,6200000,100000,*,30344,208789,6.88073424729765
scaffold_1_RagTag,6200001,6300000,100000,*,25247,257002,10.179506476017
scaffold_1_RagTag,6300001,6400000,100000,*,31515,185260,5.87847056957005
scaffold_1_RagTag,6400001,6500000,100000,*,33252,207741,6.24747383616023
scaffold_1_RagTag,6500001,6600000,100000,*,34257,213513,6.23268237148612
scaffold_1_RagTag,6600001,6700000,100000,*,28883,188144,6.51400477789703
scaffold_1_RagTag,6700001,6800000,100000,*,34261,205261,5.99109774962786
scaffold_1_RagTag,6800001,6900000,100000,*,34396,216603,6.29733108500989
scaffold_1_RagTag,6900001,7000000,100000,*,33279,206809,6.21439947113795
scaffold_1_RagTag,7000001,7100000,100000,*,29979,179777,5.99676440174789
scaffold_1_RagTag,7100001,7200000,100000,*,34547,205989,5.96257272700958
scaffold_1_RagTag,7200001,7300000,100000,*,22433,136559,6.08741586056256
scaffold_1_RagTag,7300001,7400000,100000,*,26632,155622,5.84342144788225
scaffold_1_RagTag,7400001,7500000,100000,*,31912,183277,5.74320005013788
scaffold_1_RagTag,7500001,7600000,100000,*,35753,210214,5.87961849355299
scaffold_1_RagTag,7600001,7700000,100000,*,31035,190789,6.14754309650395
scaffold_1_RagTag,7700001,7800000,100000,*,32644,204853,6.27536453865948
scaffold_1_RagTag,7800001,7900000,100000,*,31191,197376,6.32797922477638
scaffold_1_RagTag,7900001,8000000,100000,*,29334,203121,6.92442217222336
scaffold_1_RagTag,8000001,8100000,100000,*,31472,208122,6.61292577529232
scaffold_1_RagTag,8100001,8200000,100000,*,20090,134499,6.69482329517173
scaffold_1_RagTag,8200001,8300000,100000,*,33100,196845,5.94697885196375
scaffold_1_RagTag,8300001,8400000,100000,*,33348,206470,6.19137579465035
scaffold_1_RagTag,8400001,8500000,100000,*,34667,212013,6.11570081056913
scaffold_1_RagTag,8500001,8600000,100000,*,30346,204448,6.73723060699928
scaffold_1_RagTag,8600001,8700000,100000,*,27258,175728,6.44684129429892
scaffold_1_RagTag,8700001,8800000,100000,*,32083,211913,6.6051491444067
scaffold_1_RagTag,8800001,8900000,100000,*,26748,175941,6.57772543741588
scaffold_1_RagTag,8900001,9000000,100000,*,31592,195949,6.20248797163839
scaffold_1_RagTag,9000001,9100000,100000,*,35303,228066,6.46024417188341
scaffold_1_RagTag,9100001,9200000,100000,*,30948,208057,6.72279307225023
scaffold_1_RagTag,9200001,9300000,100000,*,29527,182126,6.16811731635452
scaffold_1_RagTag,9300001,9400000,100000,*,28629,192955,6.73984421390897
scaffold_1_RagTag,9400001,9500000,100000,*,30940,216692,7.00361990950226
scaffold_1_RagTag,9500001,9600000,100000,*,34051,211184,6.20199113095063
scaffold_1_RagTag,9600001,9700000,100000,*,30282,202502,6.68720692160359
scaffold_1_RagTag,9700001,9800000,100000,*,32763,220736,6.73735616396545
scaffold_1_RagTag,9800001,9900000,100000,*,34353,229927,6.69306901871743
scaffold_1_RagTag,9900001,10000000,100000,*,31565,199350,6.31553936321875
scaffold_1_RagTag,10000001,10100000,100000,*,27682,207609,7.49978325265516
scaffold_1_RagTag,10100001,10200000,100000,*,31305,190988,6.1008784539211
scaffold_1_RagTag,10200001,10300000,100000,*,28923,191669,6.6268713480621
