seqnames,start,end,width,strand,dens,window_scores,coverage
scaffold_1_RagTag,1,100000,100000,*,33081,230176,6.95795169432605
scaffold_1_RagTag,100001,200000,100000,*,29325,237141,8.08664961636829
scaffold_1_RagTag,200001,300000,100000,*,36075,243514,6.75021483021483
scaffold_1_RagTag,300001,400000,100000,*,28644,185342,6.47053484150258
scaffold_1_RagTag,400001,500000,100000,*,28215,200683,7.11263512316144
scaffold_1_RagTag,500001,600000,100000,*,34751,236072,6.79324335990331
scaffold_1_RagTag,600001,700000,100000,*,34308,245828,7.16532587151685
scaffold_1_RagTag,700001,800000,100000,*,32798,225216,6.86676016830295
scaffold_1_RagTag,800001,900000,100000,*,34666,233958,6.74891824842785
scaffold_1_RagTag,900001,1000000,100000,*,29888,244514,8.1810091006424
scaffold_1_RagTag,1000001,1100000,100000,*,30155,232074,7.69603714143591
scaffold_1_RagTag,1100001,1200000,100000,*,30680,246098,8.02144719687093
scaffold_1_RagTag,1200001,1300000,100000,*,31041,214788,6.91949357301633
scaffold_1_RagTag,1300001,1400000,100000,*,31026,232602,7.4970025140205
scaffold_1_RagTag,1400001,1500000,100000,*,32160,204190,6.34919154228856
scaffold_1_RagTag,1500001,1600000,100000,*,26586,176377,6.63420597306853
scaffold_1_RagTag,1600001,1700000,100000,*,28354,214793,7.57540382309374
scaffold_1_RagTag,1700001,1800000,100000,*,31202,254025,8.14130504454843
scaffold_1_RagTag,1800001,1900000,100000,*,30424,242693,7.97702471732843
scaffold_1_RagTag,1900001,2000000,100000,*,30514,219582,7.19610670511896
scaffold_1_RagTag,2000001,2100000,100000,*,34486,270317,7.8384561851186
scaffold_1_RagTag,2100001,2200000,100000,*,28517,228890,8.02644036890276
scaffold_1_RagTag,2200001,2300000,100000,*,29218,266980,9.13751796837566
scaffold_1_RagTag,2300001,2400000,100000,*,29997,207459,6.91599159915992
scaffold_1_RagTag,2400001,2500000,100000,*,34626,260128,7.51250505400566
scaffold_1_RagTag,2500001,2600000,100000,*,32702,243802,7.45526267506574
scaffold_1_RagTag,2600001,2700000,100000,*,31127,224569,7.21460468403637
scaffold_1_RagTag,2700001,2800000,100000,*,31842,241501,7.58435399786446
scaffold_1_RagTag,2800001,2900000,100000,*,32419,296303,9.13979456491564
scaffold_1_RagTag,2900001,3000000,100000,*,34373,241449,7.02437960026765
scaffold_1_RagTag,3000001,3100000,100000,*,30577,231205,7.56140236125192
scaffold_1_RagTag,3100001,3200000,100000,*,31260,212476,6.79705694177863
scaffold_1_RagTag,3200001,3300000,100000,*,25120,174668,6.95334394904459
scaffold_1_RagTag,3300001,3400000,100000,*,32646,239319,7.33072964528579
scaffold_1_RagTag,3400001,3500000,100000,*,34539,228563,6.61753380236834
scaffold_1_RagTag,3500001,3600000,100000,*,31241,252896,8.09500336096796
scaffold_1_RagTag,3600001,3700000,100000,*,33704,243526,7.22543318300498
scaffold_1_RagTag,3700001,3800000,100000,*,34690,238898,6.88665321418276
scaffold_1_RagTag,3800001,3900000,100000,*,35029,255612,7.29715378686231
scaffold_1_RagTag,3900001,4000000,100000,*,35250,240599,6.82550354609929
scaffold_1_RagTag,4000001,4100000,100000,*,34643,232321,6.70614554166787
scaffold_1_RagTag,4100001,4200000,100000,*,35449,246504,6.95376456317527
scaffold_1_RagTag,4200001,4300000,100000,*,31834,223688,7.02670101149714
scaffold_1_RagTag,4300001,4400000,100000,*,34641,252794,7.29753759995381
scaffold_1_RagTag,4400001,4500000,100000,*,34535,238273,6.89946431156797
scaffold_1_RagTag,4500001,4600000,100000,*,32351,221082,6.83385366758369
scaffold_1_RagTag,4600001,4700000,100000,*,33062,241660,7.30929768314077
scaffold_1_RagTag,4700001,4800000,100000,*,31133,207233,6.65637747727492
scaffold_1_RagTag,4800001,4900000,100000,*,32971,255342,7.74444208546905
scaffold_1_RagTag,4900001,5000000,100000,*,32610,235049,7.20788101809261
scaffold_1_RagTag,5000001,5100000,100000,*,35172,272503,7.74772546343682
scaffold_1_RagTag,5100001,5200000,100000,*,32163,233564,7.26188477443025
scaffold_1_RagTag,5200001,5300000,100000,*,25553,191784,7.50534183853168
scaffold_1_RagTag,5300001,5400000,100000,*,31518,224777,7.13170251919538
scaffold_1_RagTag,5400001,5500000,100000,*,32268,216550,6.71098301723069
scaffold_1_RagTag,5500001,5600000,100000,*,33534,208830,6.22741098586509
scaffold_1_RagTag,5600001,5700000,100000,*,33853,266181,7.86284819661478
scaffold_1_RagTag,5700001,5800000,100000,*,30097,191242,6.3541881250623
scaffold_1_RagTag,5800001,5900000,100000,*,33836,212243,6.27269771840643
scaffold_1_RagTag,5900001,6000000,100000,*,31776,216310,6.80733887210473
scaffold_1_RagTag,6000001,6100000,100000,*,35632,240156,6.7398967220476
scaffold_1_RagTag,6100001,6200000,100000,*,35775,256196,7.16131376659679
scaffold_1_RagTag,6200001,6300000,100000,*,35732,242330,6.78187618941005
scaffold_1_RagTag,6300001,6400000,100000,*,31486,239182,7.59645556755383
scaffold_1_RagTag,6400001,6500000,100000,*,35822,227631,6.3545028194964
scaffold_1_RagTag,6500001,6600000,100000,*,34617,242414,7.00274431637635
scaffold_1_RagTag,6600001,6700000,100000,*,34832,244479,7.01880454754249
scaffold_1_RagTag,6700001,6800000,100000,*,34581,226547,6.55119863508863
scaffold_1_RagTag,6800001,6900000,100000,*,35624,241846,6.78885021333932
scaffold_1_RagTag,6900001,7000000,100000,*,28321,248488,8.7739839694926
scaffold_1_RagTag,7000001,7100000,100000,*,33468,259310,7.74799808772559
scaffold_1_RagTag,7100001,7200000,100000,*,29009,283703,9.77982695025682
scaffold_1_RagTag,7200001,7300000,100000,*,32351,227488,7.03186918487837
scaffold_1_RagTag,7300001,7400000,100000,*,30824,248427,8.05953153386971
scaffold_1_RagTag,7400001,7500000,100000,*,30602,233864,7.64211489445134
scaffold_1_RagTag,7500001,7600000,100000,*,33960,256360,7.54888103651355
scaffold_1_RagTag,7600001,7700000,100000,*,29679,251160,8.46254927726675
scaffold_1_RagTag,7700001,7800000,100000,*,34042,239657,7.0400387756301
scaffold_1_RagTag,7800001,7900000,100000,*,33282,242731,7.29316146866174
scaffold_1_RagTag,7900001,8000000,100000,*,31625,241010,7.62086956521739
scaffold_1_RagTag,8000001,8100000,100000,*,34217,277452,8.10860098781307
scaffold_1_RagTag,8100001,8200000,100000,*,32560,249803,7.67208230958231
scaffold_1_RagTag,8200001,8300000,100000,*,33218,240190,7.23071828526702
scaffold_1_RagTag,8300001,8400000,100000,*,35213,236961,6.72936131542328
scaffold_1_RagTag,8400001,8500000,100000,*,26441,254695,9.63257819295791
scaffold_1_RagTag,8500001,8600000,100000,*,27674,213035,7.6980198019802
scaffold_1_RagTag,8600001,8700000,100000,*,29143,255694,8.77377071681021
scaffold_1_RagTag,8700001,8800000,100000,*,30820,276273,8.96408176508761
scaffold_1_RagTag,8800001,8900000,100000,*,30782,244822,7.95341433305178
scaffold_1_RagTag,8900001,9000000,100000,*,28683,218571,7.62022800962242
scaffold_1_RagTag,9000001,9100000,100000,*,29276,218423,7.46082115043039
scaffold_1_RagTag,9100001,9200000,100000,*,29553,238438,8.06814874970392
scaffold_1_RagTag,9200001,9300000,100000,*,26628,211854,7.95606128886886
scaffold_1_RagTag,9300001,9400000,100000,*,30397,244721,8.05082738428134
scaffold_1_RagTag,9400001,9500000,100000,*,30603,230468,7.53089566382381
scaffold_1_RagTag,9500001,9600000,100000,*,26904,197458,7.33935474278918
scaffold_1_RagTag,9600001,9700000,100000,*,33036,240968,7.29410340234895
scaffold_1_RagTag,9700001,9800000,100000,*,29081,227785,7.83277741480692
scaffold_1_RagTag,9800001,9900000,100000,*,33507,242281,7.2307577521115
scaffold_1_RagTag,9900001,10000000,100000,*,29248,269014,9.19768873085339
scaffold_1_RagTag,10000001,10100000,100000,*,25088,221488,8.82844387755102
scaffold_1_RagTag,10100001,10200000,100000,*,33135,242823,7.32829334540516
scaffold_1_RagTag,10200001,10300000,100000,*,32396,266562,8.22823805408075
scaffold_1_RagTag,10300001,10400000,100000,*,30314,256888,8.47423632644982
scaffold_1_RagTag,10400001,10500000,100000,*,32782,225442,6.8770056738454
scaffold_1_RagTag,10500001,10600000,100000,*,29726,246745,8.30064589921281
scaffold_1_RagTag,10600001,10700000,100000,*,34406,208065,6.04734639307098
scaffold_1_RagTag,10700001,10800000,100000,*,33732,232210,6.8839677457607
scaffold_1_RagTag,10800001,10900000,100000,*,30209,206282,6.82849481942467
scaffold_1_RagTag,10900001,11000000,100000,*,31092,245676,7.90158240061752
scaffold_1_RagTag,11000001,11100000,100000,*,27440,242280,8.82944606413994
scaffold_1_RagTag,11100001,11200000,100000,*,32384,241194,7.44793725296443
scaffold_1_RagTag,11200001,11300000,100000,*,34593,236929,6.84904460439973
scaffold_1_RagTag,11300001,11400000,100000,*,23644,179035,7.57211131788192
scaffold_1_RagTag,11400001,11500000,100000,*,30634,209793,6.8483710909447
scaffold_1_RagTag,11500001,11600000,100000,*,24101,169597,7.03692792830173
scaffold_1_RagTag,11600001,11700000,100000,*,25552,214336,8.38822792736381
scaffold_1_RagTag,11700001,11800000,100000,*,32318,283842,8.78278358809332
scaffold_1_RagTag,11800001,11900000,100000,*,29047,243637,8.38768203256791
scaffold_1_RagTag,11900001,12000000,100000,*,27206,224312,8.24494596780122
scaffold_1_RagTag,12000001,12100000,100000,*,29211,271861,9.30680223203588
scaffold_1_RagTag,12100001,12200000,100000,*,32178,228519,7.10171545776618
scaffold_1_RagTag,12200001,12300000,100000,*,30453,235091,7.71979772107838
scaffold_1_RagTag,12300001,12400000,100000,*,26465,201768,7.62395616852447
scaffold_1_RagTag,12400001,12500000,100000,*,30304,246527,8.13513067581837
scaffold_1_RagTag,12500001,12600000,100000,*,31114,242106,7.78125602622614
scaffold_1_RagTag,12600001,12700000,100000,*,25300,216143,8.54320158102767
scaffold_1_RagTag,12700001,12800000,100000,*,31467,218536,6.94492643086408
scaffold_1_RagTag,12800001,12900000,100000,*,31994,238684,7.46027380133775
scaffold_1_RagTag,12900001,13000000,100000,*,31727,261148,8.23109654237716
scaffold_1_RagTag,13000001,13100000,100000,*,30009,266617,8.88456796294445
scaffold_1_RagTag,13100001,13200000,100000,*,28015,225503,8.04936641085133
scaffold_1_RagTag,13200001,13300000,100000,*,32343,245030,7.57598243824011
scaffold_1_RagTag,13300001,13400000,100000,*,33176,260603,7.8551663853388
scaffold_1_RagTag,13400001,13500000,100000,*,32300,239593,7.4177399380805
scaffold_1_RagTag,13500001,13600000,100000,*,27375,238896,8.72679452054795
scaffold_1_RagTag,13600001,13700000,100000,*,31714,255130,8.04471211452355
scaffold_1_RagTag,13700001,13800000,100000,*,33217,247491,7.45073305837372
scaffold_1_RagTag,13800001,13900000,100000,*,30154,209691,6.95400278570007
scaffold_1_RagTag,13900001,14000000,100000,*,30328,234999,7.74858216829333
scaffold_1_RagTag,14000001,14100000,100000,*,30580,251078,8.21052975801177
scaffold_1_RagTag,14100001,14200000,100000,*,26448,213690,8.0796279491833
scaffold_1_RagTag,14200001,14300000,100000,*,29994,271842,9.06321264252851
scaffold_1_RagTag,14300001,14400000,100000,*,26971,195372,7.2437803566794
scaffold_1_RagTag,14400001,14500000,100000,*,26612,222837,8.37355328423268
scaffold_1_RagTag,14500001,14600000,100000,*,28043,374367,13.3497486003637
scaffold_1_RagTag,14600001,14700000,100000,*,23014,211718,9.19953072043104
scaffold_1_RagTag,14700001,14800000,100000,*,29854,254710,8.53185502780197
scaffold_1_RagTag,14800001,14900000,100000,*,25103,176334,7.02441939210453
scaffold_1_RagTag,14900001,15000000,100000,*,30933,220307,7.12207028092975
scaffold_1_RagTag,15000001,15100000,100000,*,28062,223635,7.96931793884969
scaffold_1_RagTag,15100001,15200000,100000,*,34608,238673,6.896469024503
scaffold_1_RagTag,15200001,15300000,100000,*,30253,228197,7.54295441774369
scaffold_1_RagTag,15300001,15400000,100000,*,22370,156442,6.99338399642378
scaffold_1_RagTag,15400001,15500000,100000,*,24642,191231,7.76036847658469
scaffold_1_RagTag,15500001,15600000,100000,*,28534,242403,8.49523375622065
scaffold_1_RagTag,15600001,15700000,100000,*,20573,186126,9.04710056870656
scaffold_1_RagTag,15700001,15800000,100000,*,21606,277332,12.8358789225215
scaffold_1_RagTag,15800001,15900000,100000,*,32573,257399,7.9022196297547
scaffold_1_RagTag,15900001,16000000,100000,*,30905,242125,7.83449280051772
scaffold_1_RagTag,16000001,16100000,100000,*,21588,163708,7.58328701130258
scaffold_1_RagTag,16100001,16200000,100000,*,32900,252160,7.6644376899696
scaffold_1_RagTag,16200001,16300000,100000,*,30264,218892,7.23275178429818
scaffold_1_RagTag,16300001,16400000,100000,*,27673,239578,8.65746395403462
scaffold_1_RagTag,16400001,16500000,100000,*,30174,270988,8.98084443560681
scaffold_1_RagTag,16500001,16600000,100000,*,28072,231382,8.24244799088059
scaffold_1_RagTag,16600001,16700000,100000,*,27959,212106,7.58632282985801
scaffold_1_RagTag,16700001,16800000,100000,*,27776,235286,8.47083813364055
scaffold_1_RagTag,16800001,16900000,100000,*,28631,209043,7.30128182738989
scaffold_1_RagTag,16900001,17000000,100000,*,26040,330460,12.6904761904762
scaffold_1_RagTag,17000001,17100000,100000,*,25848,254473,9.84497833488084
scaffold_1_RagTag,17100001,17200000,100000,*,26074,279771,10.7298841758073
scaffold_1_RagTag,17200001,17300000,100000,*,22450,201708,8.98476614699332
scaffold_1_RagTag,17300001,17400000,100000,*,29671,248751,8.38364059182367
scaffold_1_RagTag,17400001,17500000,100000,*,28697,217965,7.59539324668084
scaffold_1_RagTag,17500001,17600000,100000,*,30698,265059,8.6344061502378
scaffold_1_RagTag,17600001,17700000,100000,*,23956,197192,8.23142427784271
scaffold_1_RagTag,17700001,17800000,100000,*,26499,368173,13.8938450507566
scaffold_1_RagTag,17800001,17900000,100000,*,27182,333623,12.2736737546906
scaffold_1_RagTag,17900001,18000000,100000,*,29531,229755,7.78012935559243
scaffold_1_RagTag,18000001,18100000,100000,*,30790,245818,7.98369600519649
scaffold_1_RagTag,18100001,18200000,100000,*,30721,231120,7.52319260440741
scaffold_1_RagTag,18200001,18300000,100000,*,26835,213018,7.93806595863611
scaffold_1_RagTag,18300001,18400000,100000,*,30369,233722,7.69607165201357
scaffold_1_RagTag,18400001,18500000,100000,*,26326,205865,7.81983590366938
scaffold_1_RagTag,18500001,18600000,100000,*,28509,250286,8.77919253569048
scaffold_1_RagTag,18600001,18700000,100000,*,29528,244917,8.29439853698185
scaffold_1_RagTag,18700001,18800000,100000,*,26373,202663,7.68448792325484
scaffold_1_RagTag,18800001,18900000,100000,*,30221,275572,9.11855994176235
scaffold_1_RagTag,18900001,19000000,100000,*,27705,223440,8.06497022198159
scaffold_1_RagTag,19000001,19100000,100000,*,23802,195009,8.19296697756491
scaffold_1_RagTag,19100001,19200000,100000,*,27434,245955,8.96533498578406
scaffold_1_RagTag,19200001,19300000,100000,*,30757,254461,8.2732711252723
scaffold_1_RagTag,19300001,19400000,100000,*,21886,184033,8.40870876359316
scaffold_1_RagTag,19400001,19500000,100000,*,25283,203115,8.03365898034252
scaffold_1_RagTag,19500001,19600000,100000,*,26806,203765,7.60146982018951
scaffold_1_RagTag,19600001,19700000,100000,*,27558,231806,8.41156832861601
scaffold_1_RagTag,19700001,19800000,100000,*,21736,313437,14.4201785057048
scaffold_1_RagTag,19800001,19900000,100000,*,28063,233956,8.33681359797598
