context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.274058731710745	1
CHG	none	-100	mean	upstream	0.17275104121955	1
CHH	none	-100	mean	upstream	0.0699010190954725	1
CG	none	-200	mean	upstream	0.31055271218503	1
CHG	none	-200	mean	upstream	0.184610718574383	1
CHH	none	-200	mean	upstream	0.076205770732862	1
CG	none	-300	mean	upstream	0.330891150887229	1
CHG	none	-300	mean	upstream	0.195666455848669	1
CHH	none	-300	mean	upstream	0.0791013700545932	1
CG	none	-400	mean	upstream	0.35047322298049	1
CHG	none	-400	mean	upstream	0.199478796309608	1
CHH	none	-400	mean	upstream	0.0815924918203969	1
CG	none	-500	mean	upstream	0.362394027202216	1
CHG	none	-500	mean	upstream	0.201243341075473	1
CHH	none	-500	mean	upstream	0.083034846964951	1
CG	none	-600	mean	upstream	0.364414328323405	1
CHG	none	-600	mean	upstream	0.192626683906866	1
CHH	none	-600	mean	upstream	0.0827831674888462	1
CG	none	-700	mean	upstream	0.370490766231936	1
CHG	none	-700	mean	upstream	0.191672947404147	1
CHH	none	-700	mean	upstream	0.0814295648640725	1
CG	none	-800	mean	upstream	0.378369427571045	1
CHG	none	-800	mean	upstream	0.187211197909673	1
CHH	none	-800	mean	upstream	0.0817615306496257	1
CG	none	-900	mean	upstream	0.386360006138087	1
CHG	none	-900	mean	upstream	0.18581457047645	1
CHH	none	-900	mean	upstream	0.0807887203099854	1
CG	none	-1000	mean	upstream	0.390768109080593	1
CHG	none	-1000	mean	upstream	0.18331008284352	1
CHH	none	-1000	mean	upstream	0.080294374443596	1
CG	none	-1100	mean	upstream	0.399206914380996	1
CHG	none	-1100	mean	upstream	0.181662827460633	1
CHH	none	-1100	mean	upstream	0.0793621321250798	1
CG	none	-1200	mean	upstream	0.406443921148416	1
CHG	none	-1200	mean	upstream	0.17771053677967	1
CHH	none	-1200	mean	upstream	0.0781919630735533	1
CG	none	-1300	mean	upstream	0.405647257121762	1
CHG	none	-1300	mean	upstream	0.180376895752807	1
CHH	none	-1300	mean	upstream	0.0783519563209621	1
CG	none	-1400	mean	upstream	0.411308639685715	1
CHG	none	-1400	mean	upstream	0.178214006403283	1
CHH	none	-1400	mean	upstream	0.0770942296843061	1
CG	none	-1500	mean	upstream	0.414214822289095	1
CHG	none	-1500	mean	upstream	0.177784040529984	1
CHH	none	-1500	mean	upstream	0.0759134315318635	1
CG	none	-1600	mean	upstream	0.414995321308794	1
CHG	none	-1600	mean	upstream	0.175570337230074	1
CHH	none	-1600	mean	upstream	0.0759733753537603	1
CG	none	-1700	mean	upstream	0.411959317735945	1
CHG	none	-1700	mean	upstream	0.170665364384735	1
CHH	none	-1700	mean	upstream	0.0759815778971494	1
CG	none	-1800	mean	upstream	0.408552047757927	1
CHG	none	-1800	mean	upstream	0.170724845294011	1
CHH	none	-1800	mean	upstream	0.0745989862416505	1
CG	none	-1900	mean	upstream	0.40920820354129	1
CHG	none	-1900	mean	upstream	0.170051929669162	1
CHH	none	-1900	mean	upstream	0.0741850077347585	1
CG	none	-2000	mean	upstream	0.409675842252137	1
CHG	none	-2000	mean	upstream	0.170124321747908	1
CHH	none	-2000	mean	upstream	0.0742248106546146	1
CG	none	2000	mean	downstream	0.36009438813062	1
CHG	none	2000	mean	downstream	0.169252272559357	1
CHH	none	2000	mean	downstream	0.0691600433070253	1
CG	none	2100	mean	downstream	0.370704871162429	1
CHG	none	2100	mean	downstream	0.167547177901789	1
CHH	none	2100	mean	downstream	0.0714935405413898	1
CG	none	2200	mean	downstream	0.393597394324534	1
CHG	none	2200	mean	downstream	0.167890938278002	1
CHH	none	2200	mean	downstream	0.0719123242100805	1
CG	none	2300	mean	downstream	0.402488376695056	1
CHG	none	2300	mean	downstream	0.162549478071165	1
CHH	none	2300	mean	downstream	0.0717716170770772	1
CG	none	2400	mean	downstream	0.409228996694372	1
CHG	none	2400	mean	downstream	0.162879604551666	1
CHH	none	2400	mean	downstream	0.0715721836778567	1
CG	none	2500	mean	downstream	0.41041772714993	1
CHG	none	2500	mean	downstream	0.163080069889222	1
CHH	none	2500	mean	downstream	0.0713970125942586	1
CG	none	2600	mean	downstream	0.411307124094766	1
CHG	none	2600	mean	downstream	0.160594944990756	1
CHH	none	2600	mean	downstream	0.0721055632603037	1
CG	none	2700	mean	downstream	0.412742266741914	1
CHG	none	2700	mean	downstream	0.160820143749147	1
CHH	none	2700	mean	downstream	0.071763609158247	1
CG	none	2800	mean	downstream	0.418130197810888	1
CHG	none	2800	mean	downstream	0.162403422588339	1
CHH	none	2800	mean	downstream	0.0704544743184213	1
CG	none	2900	mean	downstream	0.416322808646525	1
CHG	none	2900	mean	downstream	0.163675126143154	1
CHH	none	2900	mean	downstream	0.0697576958629227	1
CG	none	3000	mean	downstream	0.417200593130717	1
CHG	none	3000	mean	downstream	0.16026255103364	1
CHH	none	3000	mean	downstream	0.0700164617140268	1
CG	none	3100	mean	downstream	0.420691587333102	1
CHG	none	3100	mean	downstream	0.158784342020353	1
CHH	none	3100	mean	downstream	0.0708169806825624	1
CG	none	3200	mean	downstream	0.421569645786114	1
CHG	none	3200	mean	downstream	0.157561326494856	1
CHH	none	3200	mean	downstream	0.0703751980786251	1
CG	none	3300	mean	downstream	0.4219540738102	1
CHG	none	3300	mean	downstream	0.159451135427825	1
