context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.304468809530903	1
CHG	none	-100	mean	upstream	0.1890712000851	1
CHH	none	-100	mean	upstream	0.0843192531334782	1
CG	none	-200	mean	upstream	0.346019729250084	1
CHG	none	-200	mean	upstream	0.203088640621431	1
CHH	none	-200	mean	upstream	0.0927247879261344	1
CG	none	-300	mean	upstream	0.376747474862101	1
CHG	none	-300	mean	upstream	0.222576746208128	1
CHH	none	-300	mean	upstream	0.0986149318971225	1
CG	none	-400	mean	upstream	0.393865687737131	1
CHG	none	-400	mean	upstream	0.226114517776528	1
CHH	none	-400	mean	upstream	0.0999792445483367	1
CG	none	-500	mean	upstream	0.405024291282252	1
CHG	none	-500	mean	upstream	0.229437176519112	1
CHH	none	-500	mean	upstream	0.101367548471846	1
CG	none	-600	mean	upstream	0.412657600034734	1
CHG	none	-600	mean	upstream	0.223944964826596	1
CHH	none	-600	mean	upstream	0.100954993698725	1
CG	none	-700	mean	upstream	0.419584012669097	1
CHG	none	-700	mean	upstream	0.220317973845104	1
CHH	none	-700	mean	upstream	0.099396147964431	1
CG	none	-800	mean	upstream	0.419961206501345	1
CHG	none	-800	mean	upstream	0.214009972458943	1
CHH	none	-800	mean	upstream	0.0983823596797191	1
CG	none	-900	mean	upstream	0.428118674366707	1
CHG	none	-900	mean	upstream	0.213028620699873	1
CHH	none	-900	mean	upstream	0.0972014345136547	1
CG	none	-1000	mean	upstream	0.434717901733714	1
CHG	none	-1000	mean	upstream	0.211523831776441	1
CHH	none	-1000	mean	upstream	0.0970611885538649	1
CG	none	-1100	mean	upstream	0.437507818667097	1
CHG	none	-1100	mean	upstream	0.208591071028018	1
CHH	none	-1100	mean	upstream	0.095932694405334	1
CG	none	-1200	mean	upstream	0.440438992654174	1
CHG	none	-1200	mean	upstream	0.199997444922353	1
CHH	none	-1200	mean	upstream	0.0941121678829705	1
CG	none	-1300	mean	upstream	0.441312577807607	1
CHG	none	-1300	mean	upstream	0.202782489177674	1
CHH	none	-1300	mean	upstream	0.0924639176366398	1
CG	none	-1400	mean	upstream	0.443259744430597	1
CHG	none	-1400	mean	upstream	0.199495505169641	1
CHH	none	-1400	mean	upstream	0.0918479406474505	1
CG	none	-1500	mean	upstream	0.448184632104559	1
CHG	none	-1500	mean	upstream	0.198968079581396	1
CHH	none	-1500	mean	upstream	0.0915397644041092	1
CG	none	-1600	mean	upstream	0.446872314044333	1
CHG	none	-1600	mean	upstream	0.198227969418005	1
CHH	none	-1600	mean	upstream	0.0905367150813391	1
CG	none	-1700	mean	upstream	0.449184943432686	1
CHG	none	-1700	mean	upstream	0.195708630439831	1
CHH	none	-1700	mean	upstream	0.0909917158116844	1
CG	none	-1800	mean	upstream	0.444459164269952	1
CHG	none	-1800	mean	upstream	0.193690797163319	1
CHH	none	-1800	mean	upstream	0.0899539890496064	1
CG	none	-1900	mean	upstream	0.448418990880542	1
CHG	none	-1900	mean	upstream	0.193437543447968	1
CHH	none	-1900	mean	upstream	0.0889348590915282	1
CG	none	-2000	mean	upstream	0.442266967793477	1
CHG	none	-2000	mean	upstream	0.193344286526267	1
CHH	none	-2000	mean	upstream	0.0882878866773313	1
CG	none	2000	mean	downstream	0.393560865922631	1
CHG	none	2000	mean	downstream	0.188706039333947	1
CHH	none	2000	mean	downstream	0.0834066165111238	1
CG	none	2100	mean	downstream	0.411827070308585	1
CHG	none	2100	mean	downstream	0.189614085172691	1
CHH	none	2100	mean	downstream	0.086148731873583	1
CG	none	2200	mean	downstream	0.420696286989863	1
CHG	none	2200	mean	downstream	0.187770689066292	1
CHH	none	2200	mean	downstream	0.0861413528918644	1
CG	none	2300	mean	downstream	0.433835965833433	1
CHG	none	2300	mean	downstream	0.18039354755883	1
CHH	none	2300	mean	downstream	0.0867109768843802	1
CG	none	2400	mean	downstream	0.439580823161584	1
CHG	none	2400	mean	downstream	0.183307656189322	1
CHH	none	2400	mean	downstream	0.0846291051632211	1
CG	none	2500	mean	downstream	0.442141868829452	1
CHG	none	2500	mean	downstream	0.183733317434418	1
CHH	none	2500	mean	downstream	0.0853817272510808	1
CG	none	2600	mean	downstream	0.4447893725628	1
CHG	none	2600	mean	downstream	0.182130467526707	1
CHH	none	2600	mean	downstream	0.085070726401879	1
CG	none	2700	mean	downstream	0.446182292755875	1
CHG	none	2700	mean	downstream	0.182356890965064	1
CHH	none	2700	mean	downstream	0.0843991071975914	1
CG	none	2800	mean	downstream	0.448613362191538	1
CHG	none	2800	mean	downstream	0.181389167910856	1
CHH	none	2800	mean	downstream	0.0837804326367213	1
CG	none	2900	mean	downstream	0.452217467909095	1
CHG	none	2900	mean	downstream	0.182290283543129	1
CHH	none	2900	mean	downstream	0.0835423853826389	1
CG	none	3000	mean	downstream	0.447856311224865	1
CHG	none	3000	mean	downstream	0.181928785801166	1
CHH	none	3000	mean	downstream	0.0835206063200247	1
CG	none	3100	mean	downstream	0.447517040993948	1
CHG	none	3100	mean	downstream	0.179334681947726	1
CHH	none	3100	mean	downstream	0.0834765016312132	1
CG	none	3200	mean	downstream	0.447748840646908	1
CHG	none	3200	mean	downstream	0.177169810780303	1
CHH	none	3200	mean	downstream	0.0833244365754955	1
CG	none	3300	mean	downstream	0.44948687437339	1
CHG	none	3300	mean	downstream	0.178669565242232	1
CHH	none	3300	mean	downstream	0.0823258669920163	1
CG	none	3400	mean	downstream	0.447303570761712	1
CHG	none	3400	mean	downstream	0.179644399069906	1
CHH	none	3400	mean	downstream	0.0820745709919426	1
CG	none	3500	mean	downstream	0.440463015911791	1
CHG	none	3500	mean	downstream	0.178051119032094	1
CHH	none	3500	mean	downstream	0.0821638271872155	1
CG	none	3600	mean	downstream	0.445609012138691	1
CHG	none	3600	mean	downstream	0.177930182547966	1
CHH	none	3600	mean	downstream	0.0819331940727393	1
CG	none	3700	mean	downstream	0.442898382724542	1
CHG	none	3700	mean	downstream	0.179063844760894	1
CHH	none	3700	mean	downstream	0.0826365681763372	1
CG	none	3800	mean	downstream	0.443241094239651	1
CHG	none	3800	mean	downstream	0.179386977011617	1
CHH	none	3800	mean	downstream	0.0827881411540748	1
