context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.27865758418038	1
CHG	none	-100	mean	upstream	0.178797638150985	1
CHH	none	-100	mean	upstream	0.0793819670540141	1
CG	none	-200	mean	upstream	0.317898642035477	1
CHG	none	-200	mean	upstream	0.190698799660408	1
CHH	none	-200	mean	upstream	0.0885472765739822	1
CG	none	-300	mean	upstream	0.344726426983803	1
CHG	none	-300	mean	upstream	0.203555744583447	1
CHH	none	-300	mean	upstream	0.0929194577663093	1
CG	none	-400	mean	upstream	0.362698132805803	1
CHG	none	-400	mean	upstream	0.21118121509378	1
CHH	none	-400	mean	upstream	0.0958489890054202	1
CG	none	-500	mean	upstream	0.374211466054791	1
CHG	none	-500	mean	upstream	0.213243683092752	1
CHH	none	-500	mean	upstream	0.0961808445764583	1
CG	none	-600	mean	upstream	0.374435004180236	1
CHG	none	-600	mean	upstream	0.20321544919292	1
CHH	none	-600	mean	upstream	0.0947496144950425	1
CG	none	-700	mean	upstream	0.376670302803832	1
CHG	none	-700	mean	upstream	0.20162887052908	1
CHH	none	-700	mean	upstream	0.092419464423601	1
CG	none	-800	mean	upstream	0.382698455933687	1
CHG	none	-800	mean	upstream	0.196301949332186	1
CHH	none	-800	mean	upstream	0.0922761959390549	1
CG	none	-900	mean	upstream	0.390999073442141	1
CHG	none	-900	mean	upstream	0.195182845174259	1
CHH	none	-900	mean	upstream	0.0911656954733541	1
CG	none	-1000	mean	upstream	0.39433830787302	1
CHG	none	-1000	mean	upstream	0.19377101300994	1
CHH	none	-1000	mean	upstream	0.0908108610932652	1
CG	none	-1100	mean	upstream	0.400993555173741	1
CHG	none	-1100	mean	upstream	0.191904866665728	1
CHH	none	-1100	mean	upstream	0.0887996941755808	1
CG	none	-1200	mean	upstream	0.408480921471185	1
CHG	none	-1200	mean	upstream	0.188008128396458	1
CHH	none	-1200	mean	upstream	0.0876422193271292	1
CG	none	-1300	mean	upstream	0.406521974064403	1
CHG	none	-1300	mean	upstream	0.190803459142067	1
CHH	none	-1300	mean	upstream	0.0886576098362423	1
CG	none	-1400	mean	upstream	0.412090836553592	1
CHG	none	-1400	mean	upstream	0.188667159709998	1
CHH	none	-1400	mean	upstream	0.0872940467852377	1
