context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.324443753856078	1
CHG	none	-100	mean	upstream	0.200138632012521	1
CHH	none	-100	mean	upstream	0.0841349511475588	1
CG	none	-200	mean	upstream	0.365604458886076	1
CHG	none	-200	mean	upstream	0.215717621347844	1
CHH	none	-200	mean	upstream	0.0950676106938736	1
CG	none	-300	mean	upstream	0.400819393378166	1
CHG	none	-300	mean	upstream	0.237157774610341	1
CHH	none	-300	mean	upstream	0.101087792066596	1
CG	none	-400	mean	upstream	0.422086267689336	1
CHG	none	-400	mean	upstream	0.241666590656617	1
CHH	none	-400	mean	upstream	0.101819062525468	1
CG	none	-500	mean	upstream	0.43589666188733	1
CHG	none	-500	mean	upstream	0.246699178841301	1
CHH	none	-500	mean	upstream	0.102999370243539	1
CG	none	-600	mean	upstream	0.446079458712219	1
CHG	none	-600	mean	upstream	0.242111007166584	1
CHH	none	-600	mean	upstream	0.102113187648051	1
CG	none	-700	mean	upstream	0.454899939427974	1
CHG	none	-700	mean	upstream	0.236655890677203	1
CHH	none	-700	mean	upstream	0.10047701273322	1
CG	none	-800	mean	upstream	0.457629579831243	1
CHG	none	-800	mean	upstream	0.231954983758617	1
CHH	none	-800	mean	upstream	0.0995059149145673	1
CG	none	-900	mean	upstream	0.468553887962835	1
CHG	none	-900	mean	upstream	0.231254578073136	1
CHH	none	-900	mean	upstream	0.0983453526278728	1
CG	none	-1000	mean	upstream	0.476062822186437	1
CHG	none	-1000	mean	upstream	0.230620919185872	1
CHH	none	-1000	mean	upstream	0.0968974471535606	1
CG	none	-1100	mean	upstream	0.47853391827463	1
CHG	none	-1100	mean	upstream	0.226055902951221	1
CHH	none	-1100	mean	upstream	0.0954941337361695	1
CG	none	-1200	mean	upstream	0.481758043041277	1
CHG	none	-1200	mean	upstream	0.218330579168471	1
CHH	none	-1200	mean	upstream	0.0938825982142865	1
CG	none	-1300	mean	upstream	0.482680514369096	1
CHG	none	-1300	mean	upstream	0.220264850813637	1
CHH	none	-1300	mean	upstream	0.0929606392039294	1
CG	none	-1400	mean	upstream	0.483541245912189	1
CHG	none	-1400	mean	upstream	0.216122447643254	1
CHH	none	-1400	mean	upstream	0.0916814169482334	1
CG	none	-1500	mean	upstream	0.485191728078035	1
CHG	none	-1500	mean	upstream	0.215295445382598	1
CHH	none	-1500	mean	upstream	0.0907910487445345	1
CG	none	-1600	mean	upstream	0.484329607251701	1
CHG	none	-1600	mean	upstream	0.213520919715988	1
CHH	none	-1600	mean	upstream	0.0904033583013696	1
CG	none	-1700	mean	upstream	0.487057252173967	1
CHG	none	-1700	mean	upstream	0.211532330116618	1
CHH	none	-1700	mean	upstream	0.0909384189426406	1
CG	none	-1800	mean	upstream	0.482389389155853	1
CHG	none	-1800	mean	upstream	0.209980955430912	1
CHH	none	-1800	mean	upstream	0.0904819317901373	1
CG	none	-1900	mean	upstream	0.483034594021649	1
CHG	none	-1900	mean	upstream	0.208838898980113	1
CHH	none	-1900	mean	upstream	0.0886652342780373	1
CG	none	-2000	mean	upstream	0.477341115690021	1
CHG	none	-2000	mean	upstream	0.209239473466486	1
CHH	none	-2000	mean	upstream	0.0875663010651228	1
CG	none	2000	mean	downstream	0.415220389271883	1
CHG	none	2000	mean	downstream	0.196559213904869	1
CHH	none	2000	mean	downstream	0.0828731457510716	1
CG	none	2100	mean	downstream	0.43221567620635	1
CHG	none	2100	mean	downstream	0.198129346589718	1
CHH	none	2100	mean	downstream	0.086124800281098	1
CG	none	2200	mean	downstream	0.443433754967116	1
CHG	none	2200	mean	downstream	0.194789611399009	1
CHH	none	2200	mean	downstream	0.0851007429661416	1
CG	none	2300	mean	downstream	0.455731707700015	1
CHG	none	2300	mean	downstream	0.18814731920888	1
CHH	none	2300	mean	downstream	0.0865075827412969	1
CG	none	2400	mean	downstream	0.465682088380941	1
CHG	none	2400	mean	downstream	0.190795716429016	1
CHH	none	2400	mean	downstream	0.0841529535097855	1
CG	none	2500	mean	downstream	0.46981807838084	1
CHG	none	2500	mean	downstream	0.192247076210886	1
CHH	none	2500	mean	downstream	0.0842382803649612	1
CG	none	2600	mean	downstream	0.474501269092614	1
