context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.348580771982017	1
CHG	none	-100	mean	upstream	0.215213386866594	1
CHH	none	-100	mean	upstream	0.0752405945510823	1
CG	none	-200	mean	upstream	0.383493019757625	1
CHG	none	-200	mean	upstream	0.222487850335387	1
CHH	none	-200	mean	upstream	0.0816918781474063	1
CG	none	-300	mean	upstream	0.403103108511104	1
CHG	none	-300	mean	upstream	0.230838039869037	1
CHH	none	-300	mean	upstream	0.084655045408564	1
CG	none	-400	mean	upstream	0.414972564599167	1
CHG	none	-400	mean	upstream	0.235712208476815	1
CHH	none	-400	mean	upstream	0.0861368153415831	1
CG	none	-500	mean	upstream	0.423832582928876	1
CHG	none	-500	mean	upstream	0.237626372724923	1
CHH	none	-500	mean	upstream	0.0864277182943911	1
CG	none	-600	mean	upstream	0.424949781479452	1
CHG	none	-600	mean	upstream	0.230532870244498	1
CHH	none	-600	mean	upstream	0.0854458275329625	1
CG	none	-700	mean	upstream	0.424646805480632	1
CHG	none	-700	mean	upstream	0.230861667934735	1
CHH	none	-700	mean	upstream	0.0837295068564348	1
CG	none	-800	mean	upstream	0.431021774581245	1
CHG	none	-800	mean	upstream	0.22634851039267	1
CHH	none	-800	mean	upstream	0.0834266766000882	1
CG	none	-900	mean	upstream	0.43631097210399	1
CHG	none	-900	mean	upstream	0.225876826881898	1
CHH	none	-900	mean	upstream	0.082591282018299	1
CG	none	-1000	mean	upstream	0.439306335536953	1
CHG	none	-1000	mean	upstream	0.227268703366435	1
CHH	none	-1000	mean	upstream	0.082261956744392	1
CG	none	-1100	mean	upstream	0.443071410810795	1
CHG	none	-1100	mean	upstream	0.224284403890949	1
CHH	none	-1100	mean	upstream	0.0815115951435233	1
CG	none	-1200	mean	upstream	0.451172307561873	1
CHG	none	-1200	mean	upstream	0.222082402525927	1
CHH	none	-1200	mean	upstream	0.080696859000491	1
CG	none	-1300	mean	upstream	0.449453051828209	1
CHG	none	-1300	mean	upstream	0.222334579558669	1
CHH	none	-1300	mean	upstream	0.0809649970956915	1
CG	none	-1400	mean	upstream	0.453376664062048	1
CHG	none	-1400	mean	upstream	0.220820537505668	1
CHH	none	-1400	mean	upstream	0.08005233827262	1
CG	none	-1500	mean	upstream	0.454330729554895	1
CHG	none	-1500	mean	upstream	0.22174689661185	1
CHH	none	-1500	mean	upstream	0.07870730590199	1
CG	none	-1600	mean	upstream	0.456755865294508	1
CHG	none	-1600	mean	upstream	0.219910739330077	1
CHH	none	-1600	mean	upstream	0.0786676406391632	1
CG	none	-1700	mean	upstream	0.456440321772221	1
CHG	none	-1700	mean	upstream	0.215667969736363	1
CHH	none	-1700	mean	upstream	0.079133042045686	1
CG	none	-1800	mean	upstream	0.45324973235399	1
CHG	none	-1800	mean	upstream	0.216102832771635	1
CHH	none	-1800	mean	upstream	0.0776726287696669	1
CG	none	-1900	mean	upstream	0.454905620691709	1
CHG	none	-1900	mean	upstream	0.21527875414189	1
CHH	none	-1900	mean	upstream	0.077456849683442	1
CG	none	-2000	mean	upstream	0.449909428730279	1
CHG	none	-2000	mean	upstream	0.215745622314189	1
CHH	none	-2000	mean	upstream	0.0775227645958853	1
CG	none	2000	mean	downstream	0.41849155982826	1
CHG	none	2000	mean	downstream	0.210389567765983	1
CHH	none	2000	mean	downstream	0.0732613512260798	1
CG	none	2100	mean	downstream	0.424460578615264	1
CHG	none	2100	mean	downstream	0.209183900289018	1
CHH	none	2100	mean	downstream	0.0748941778671188	1
CG	none	2200	mean	downstream	0.43402717465012	1
CHG	none	2200	mean	downstream	0.209562879688696	1
CHH	none	2200	mean	downstream	0.0762930628531089	1
CG	none	2300	mean	downstream	0.441158884940012	1
CHG	none	2300	mean	downstream	0.2061375676688	1
CHH	none	2300	mean	downstream	0.0765671622376546	1
CG	none	2400	mean	downstream	0.447517131704103	1
CHG	none	2400	mean	downstream	0.207117405002175	1
CHH	none	2400	mean	downstream	0.0756440005647623	1
CG	none	2500	mean	downstream	0.448611046260542	1
CHG	none	2500	mean	downstream	0.208937984075904	1
CHH	none	2500	mean	downstream	0.075670272690077	1
CG	none	2600	mean	downstream	0.449733429496926	1
CHG	none	2600	mean	downstream	0.205939999051451	1
CHH	none	2600	mean	downstream	0.0757013137651588	1
CG	none	2700	mean	downstream	0.451010586415238	1
CHG	none	2700	mean	downstream	0.206468894960124	1
CHH	none	2700	mean	downstream	0.0759716938012314	1
CG	none	2800	mean	downstream	0.456101393987	1
CHG	none	2800	mean	downstream	0.209231567758591	1
CHH	none	2800	mean	downstream	0.0747857596116275	1
CG	none	2900	mean	downstream	0.4555429846909	1
CHG	none	2900	mean	downstream	0.210120744168364	1
CHH	none	2900	mean	downstream	0.0743020567221749	1
CG	none	3000	mean	downstream	0.454529296607895	1
CHG	none	3000	mean	downstream	0.208759230053975	1
CHH	none	3000	mean	downstream	0.0743249854145626	1
CG	none	3100	mean	downstream	0.457390093634772	1
CHG	none	3100	mean	downstream	0.204142492971114	1
CHH	none	3100	mean	downstream	0.0751586456223456	1
CG	none	3200	mean	downstream	0.458034096208466	1
CHG	none	3200	mean	downstream	0.203291769086154	1
CHH	none	3200	mean	downstream	0.0743082994977257	1
CG	none	3300	mean	downstream	0.456739466372877	1
CHG	none	3300	mean	downstream	0.205302178606463	1
CHH	none	3300	mean	downstream	0.0733481657197919	1
CG	none	3400	mean	downstream	0.455207852305452	1
CHG	none	3400	mean	downstream	0.205762961297568	1
CHH	none	3400	mean	downstream	0.0737272347208248	1
CG	none	3500	mean	downstream	0.449606691592415	1
CHG	none	3500	mean	downstream	0.203722223918122	1
CHH	none	3500	mean	downstream	0.0740449027932474	1
