context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.331318265618576	1
CHG	none	-100	mean	upstream	0.205352562990512	1
CHH	none	-100	mean	upstream	0.0866588695037943	1
CG	none	-200	mean	upstream	0.371652050501357	1
CHG	none	-200	mean	upstream	0.220093067108831	1
CHH	none	-200	mean	upstream	0.0980859678387949	1
CG	none	-300	mean	upstream	0.404457597527076	1
CHG	none	-300	mean	upstream	0.240104158220741	1
CHH	none	-300	mean	upstream	0.105152969160255	1
CG	none	-400	mean	upstream	0.426896812771421	1
CHG	none	-400	mean	upstream	0.244306399865266	1
CHH	none	-400	mean	upstream	0.10621415571459	1
CG	none	-500	mean	upstream	0.438777526563141	1
CHG	none	-500	mean	upstream	0.249169578844691	1
CHH	none	-500	mean	upstream	0.107197750416489	1
CG	none	-600	mean	upstream	0.448389752924851	1
CHG	none	-600	mean	upstream	0.243096307840712	1
CHH	none	-600	mean	upstream	0.105395958446755	1
CG	none	-700	mean	upstream	0.456994100745411	1
CHG	none	-700	mean	upstream	0.240261904160574	1
CHH	none	-700	mean	upstream	0.103880469815157	1
CG	none	-800	mean	upstream	0.460652801426643	1
CHG	none	-800	mean	upstream	0.235125936104843	1
CHH	none	-800	mean	upstream	0.101459640764783	1
CG	none	-900	mean	upstream	0.471349269308693	1
CHG	none	-900	mean	upstream	0.23455168035281	1
CHH	none	-900	mean	upstream	0.100823312827454	1
CG	none	-1000	mean	upstream	0.477356159113722	1
CHG	none	-1000	mean	upstream	0.233143984274445	1
CHH	none	-1000	mean	upstream	0.0992396797678567	1
CG	none	-1100	mean	upstream	0.479453665585699	1
CHG	none	-1100	mean	upstream	0.230215451799128	1
CHH	none	-1100	mean	upstream	0.0984135767318457	1
CG	none	-1200	mean	upstream	0.484812637810913	1
CHG	none	-1200	mean	upstream	0.222789839570896	1
CHH	none	-1200	mean	upstream	0.0971205501758681	1
CG	none	-1300	mean	upstream	0.483563514935392	1
CHG	none	-1300	mean	upstream	0.22412360965053	1
CHH	none	-1300	mean	upstream	0.0953686418297355	1
CG	none	-1400	mean	upstream	0.483630815938514	1
CHG	none	-1400	mean	upstream	0.221933968474156	1
CHH	none	-1400	mean	upstream	0.0937084167074003	1
CG	none	-1500	mean	upstream	0.486109273590768	1
CHG	none	-1500	mean	upstream	0.219727763328798	1
CHH	none	-1500	mean	upstream	0.0924548455201221	1
CG	none	-1600	mean	upstream	0.486751401396112	1
CHG	none	-1600	mean	upstream	0.218454882930202	1
CHH	none	-1600	mean	upstream	0.0919544784214167	1
CG	none	-1700	mean	upstream	0.48774812590545	1
CHG	none	-1700	mean	upstream	0.217013353000943	1
CHH	none	-1700	mean	upstream	0.0933173562790724	1
CG	none	-1800	mean	upstream	0.482271584308039	1
CHG	none	-1800	mean	upstream	0.214241735890049	1
CHH	none	-1800	mean	upstream	0.0917644928623146	1
CG	none	-1900	mean	upstream	0.483625144070086	1
CHG	none	-1900	mean	upstream	0.213829129157825	1
CHH	none	-1900	mean	upstream	0.0903557004659897	1
CG	none	-2000	mean	upstream	0.477821334582294	1
CHG	none	-2000	mean	upstream	0.213116248903353	1
CHH	none	-2000	mean	upstream	0.0891255015219895	1
CG	none	2000	mean	downstream	0.419801837545591	1
CHG	none	2000	mean	downstream	0.201908340686995	1
CHH	none	2000	mean	downstream	0.0850205076621893	1
CG	none	2100	mean	downstream	0.434929312060302	1
CHG	none	2100	mean	downstream	0.203597843891184	1
CHH	none	2100	mean	downstream	0.0883870774658752	1
CG	none	2200	mean	downstream	0.445305989216821	1
CHG	none	2200	mean	downstream	0.201313620360305	1
CHH	none	2200	mean	downstream	0.088969034558287	1
CG	none	2300	mean	downstream	0.457541714931818	1
CHG	none	2300	mean	downstream	0.19468571903439	1
CHH	none	2300	mean	downstream	0.0896207642413928	1
CG	none	2400	mean	downstream	0.466459574369118	1
CHG	none	2400	mean	downstream	0.197007427053882	1
CHH	none	2400	mean	downstream	0.0877152344344059	1
