context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.282629928668777	1
CHG	none	-100	mean	upstream	0.179431283609299	1
CHH	none	-100	mean	upstream	0.0651767828363609	1
CG	none	-200	mean	upstream	0.316894012480407	1
CHG	none	-200	mean	upstream	0.189410743851853	1
CHH	none	-200	mean	upstream	0.0705634203616847	1
CG	none	-300	mean	upstream	0.336649699066024	1
CHG	none	-300	mean	upstream	0.197925831429898	1
CHH	none	-300	mean	upstream	0.0724588440444079	1
CG	none	-400	mean	upstream	0.356372629219142	1
CHG	none	-400	mean	upstream	0.200669194118661	1
CHH	none	-400	mean	upstream	0.0750929492861558	1
CG	none	-500	mean	upstream	0.367152511932285	1
CHG	none	-500	mean	upstream	0.201021123315878	1
CHH	none	-500	mean	upstream	0.0758869491585353	1
CG	none	-600	mean	upstream	0.372575746184813	1
CHG	none	-600	mean	upstream	0.193930527985297	1
CHH	none	-600	mean	upstream	0.0754205287676996	1
CG	none	-700	mean	upstream	0.379422350835475	1
CHG	none	-700	mean	upstream	0.191444062288082	1
CHH	none	-700	mean	upstream	0.0743266122466568	1
CG	none	-800	mean	upstream	0.388600365994369	1
CHG	none	-800	mean	upstream	0.187189007806407	1
CHH	none	-800	mean	upstream	0.074178281724134	1
CG	none	-900	mean	upstream	0.39895927412841	1
CHG	none	-900	mean	upstream	0.186567263869475	1
CHH	none	-900	mean	upstream	0.0732176164420189	1
CG	none	-1000	mean	upstream	0.405051521423148	1
CHG	none	-1000	mean	upstream	0.185667685615737	1
CHH	none	-1000	mean	upstream	0.0734264224574712	1
CG	none	-1100	mean	upstream	0.413595563272826	1
CHG	none	-1100	mean	upstream	0.183526426420899	1
CHH	none	-1100	mean	upstream	0.0715847959659816	1
CG	none	-1200	mean	upstream	0.420264629581099	1
CHG	none	-1200	mean	upstream	0.181055260347514	1
CHH	none	-1200	mean	upstream	0.0710659551652301	1
CG	none	-1300	mean	upstream	0.422334694690108	1
CHG	none	-1300	mean	upstream	0.181669141948155	1
CHH	none	-1300	mean	upstream	0.0710517007943943	1
CG	none	-1400	mean	upstream	0.425393755907983	1
CHG	none	-1400	mean	upstream	0.178587714279698	1
CHH	none	-1400	mean	upstream	0.0702538228462374	1
CG	none	-1500	mean	upstream	0.431310017498552	1
CHG	none	-1500	mean	upstream	0.178752277795807	1
CHH	none	-1500	mean	upstream	0.0702610504555743	1
CG	none	-1600	mean	upstream	0.431586742769483	1
CHG	none	-1600	mean	upstream	0.175908789210507	1
CHH	none	-1600	mean	upstream	0.0698519663656138	1
