context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.318582582184006	1
CHG	none	-100	mean	upstream	0.19572425439063	1
CHH	none	-100	mean	upstream	0.0886648198337007	1
CG	none	-200	mean	upstream	0.360714517663917	1
CHG	none	-200	mean	upstream	0.210104208123798	1
CHH	none	-200	mean	upstream	0.0992066774425212	1
CG	none	-300	mean	upstream	0.392352601782137	1
CHG	none	-300	mean	upstream	0.2275237122169	1
CHH	none	-300	mean	upstream	0.104711240834058	1
CG	none	-400	mean	upstream	0.411061807835251	1
CHG	none	-400	mean	upstream	0.232709718770964	1
CHH	none	-400	mean	upstream	0.106298837618293	1
CG	none	-500	mean	upstream	0.422786264590317	1
CHG	none	-500	mean	upstream	0.23491699598413	1
CHH	none	-500	mean	upstream	0.107251380100804	1
CG	none	-600	mean	upstream	0.430326911230757	1
CHG	none	-600	mean	upstream	0.228260507693877	1
CHH	none	-600	mean	upstream	0.105984544747524	1
CG	none	-700	mean	upstream	0.438018259784719	1
CHG	none	-700	mean	upstream	0.225607946533244	1
CHH	none	-700	mean	upstream	0.10333718332908	1
CG	none	-800	mean	upstream	0.440603057838466	1
CHG	none	-800	mean	upstream	0.219451339107601	1
CHH	none	-800	mean	upstream	0.102454041434051	1
CG	none	-900	mean	upstream	0.449780968413632	1
CHG	none	-900	mean	upstream	0.217814629376294	1
CHH	none	-900	mean	upstream	0.10118007052205	1
CG	none	-1000	mean	upstream	0.45682741890908	1
CHG	none	-1000	mean	upstream	0.217318891330565	1
CHH	none	-1000	mean	upstream	0.100297137906513	1
CG	none	-1100	mean	upstream	0.461158769081487	1
CHG	none	-1100	mean	upstream	0.214773714183821	1
CHH	none	-1100	mean	upstream	0.0992933202378305	1
CG	none	-1200	mean	upstream	0.465085715077682	1
CHG	none	-1200	mean	upstream	0.205752084573989	1
CHH	none	-1200	mean	upstream	0.0976507698200298	1
CG	none	-1300	mean	upstream	0.46776436788193	1
CHG	none	-1300	mean	upstream	0.208477241574188	1
CHH	none	-1300	mean	upstream	0.0967156639722249	1
CG	none	-1400	mean	upstream	0.468212942183337	1
CHG	none	-1400	mean	upstream	0.206222390059716	1
CHH	none	-1400	mean	upstream	0.0960422996407876	1
CG	none	-1500	mean	upstream	0.46952082232357	1
CHG	none	-1500	mean	upstream	0.206484117409338	1
CHH	none	-1500	mean	upstream	0.0945934427734121	1
CG	none	-1600	mean	upstream	0.470035453793888	1
CHG	none	-1600	mean	upstream	0.203815327645756	1
CHH	none	-1600	mean	upstream	0.0943186216507133	1
CG	none	-1700	mean	upstream	0.475802031008329	1
CHG	none	-1700	mean	upstream	0.201584847948656	1
CHH	none	-1700	mean	upstream	0.0948283469770191	1
CG	none	-1800	mean	upstream	0.471836074372137	1
CHG	none	-1800	mean	upstream	0.200979604364842	1
CHH	none	-1800	mean	upstream	0.0941227948205861	1
CG	none	-1900	mean	upstream	0.47112642967599	1
CHG	none	-1900	mean	upstream	0.199555417258954	1
CHH	none	-1900	mean	upstream	0.0932509480775207	1
CG	none	-2000	mean	upstream	0.464837937642195	1
CHG	none	-2000	mean	upstream	0.198272951806271	1
CHH	none	-2000	mean	upstream	0.0922125903344632	1
CG	none	2000	mean	downstream	0.417717322834641	1
CHG	none	2000	mean	downstream	0.194064520040904	1
CHH	none	2000	mean	downstream	0.0892435721556061	1
CG	none	2100	mean	downstream	0.436637375284846	1
CHG	none	2100	mean	downstream	0.196368968048647	1
CHH	none	2100	mean	downstream	0.0922311544640162	1
CG	none	2200	mean	downstream	0.446140103799246	1
CHG	none	2200	mean	downstream	0.194342065475597	1
CHH	none	2200	mean	downstream	0.0920588149131711	1
CG	none	2300	mean	downstream	0.460735748614962	1
CHG	none	2300	mean	downstream	0.185998578690453	1
CHH	none	2300	mean	downstream	0.0919569677309855	1
CG	none	2400	mean	downstream	0.466428475726088	1
CHG	none	2400	mean	downstream	0.189962857972667	1
CHH	none	2400	mean	downstream	0.0901404271910881	1
CG	none	2500	mean	downstream	0.467883017346076	1
CHG	none	2500	mean	downstream	0.190154482862488	1
CHH	none	2500	mean	downstream	0.0905483808529304	1
CG	none	2600	mean	downstream	0.47323076775916	1
CHG	none	2600	mean	downstream	0.189120076912111	1
CHH	none	2600	mean	downstream	0.0898340206603176	1
CG	none	2700	mean	downstream	0.475515832394053	1
CHG	none	2700	mean	downstream	0.189548549990273	1
CHH	none	2700	mean	downstream	0.0892907163173424	1
CG	none	2800	mean	downstream	0.477918676744877	1
CHG	none	2800	mean	downstream	0.18815402621973	1
CHH	none	2800	mean	downstream	0.0884209788553653	1
CG	none	2900	mean	downstream	0.480341996551804	1
CHG	none	2900	mean	downstream	0.189788160642492	1
CHH	none	2900	mean	downstream	0.0881598682843244	1
CG	none	3000	mean	downstream	0.475821460177458	1
CHG	none	3000	mean	downstream	0.18895874944295	1
CHH	none	3000	mean	downstream	0.0881748507958947	1
CG	none	3100	mean	downstream	0.476246004273924	1
CHG	none	3100	mean	downstream	0.185095804211132	1
CHH	none	3100	mean	downstream	0.08808373197795	1
CG	none	3200	mean	downstream	0.476947697932531	1
CHG	none	3200	mean	downstream	0.18397137773924	1
CHH	none	3200	mean	downstream	0.0877393437984165	1
CG	none	3300	mean	downstream	0.477654337366559	1
CHG	none	3300	mean	downstream	0.185500519126769	1
CHH	none	3300	mean	downstream	0.0868883088004755	1
CG	none	3400	mean	downstream	0.4763361779533	1
CHG	none	3400	mean	downstream	0.187323156254143	1
CHH	none	3400	mean	downstream	0.0869777559334835	1
CG	none	3500	mean	downstream	0.468600882907086	1
CHG	none	3500	mean	downstream	0.183538760572525	1
CHH	none	3500	mean	downstream	0.0872229067880348	1
CG	none	3600	mean	downstream	0.469854957468385	1
CHG	none	3600	mean	downstream	0.184475633242117	1
CHH	none	3600	mean	downstream	0.087153045810642	1
CG	none	3700	mean	downstream	0.467817144764355	1
