context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.331612415539169	1
CHG	none	-100	mean	upstream	0.210279816051391	1
CHH	none	-100	mean	upstream	0.0877334880525323	1
CG	none	-200	mean	upstream	0.375439933948921	1
CHG	none	-200	mean	upstream	0.225609025982013	1
CHH	none	-200	mean	upstream	0.0980458267238757	1
CG	none	-300	mean	upstream	0.410754586093739	1
CHG	none	-300	mean	upstream	0.24741231520735	1
CHH	none	-300	mean	upstream	0.104283749836256	1
CG	none	-400	mean	upstream	0.43199701502267	1
CHG	none	-400	mean	upstream	0.25173750727082	1
CHH	none	-400	mean	upstream	0.105123973826077	1
CG	none	-500	mean	upstream	0.444680020735132	1
CHG	none	-500	mean	upstream	0.257319966485611	1
CHH	none	-500	mean	upstream	0.106497684261765	1
CG	none	-600	mean	upstream	0.455455687371915	1
CHG	none	-600	mean	upstream	0.252403929847685	1
CHH	none	-600	mean	upstream	0.105249782131542	1
CG	none	-700	mean	upstream	0.463313992288508	1
CHG	none	-700	mean	upstream	0.248105430729067	1
CHH	none	-700	mean	upstream	0.103324628088574	1
CG	none	-800	mean	upstream	0.466526988709145	1
CHG	none	-800	mean	upstream	0.241501897426682	1
CHH	none	-800	mean	upstream	0.101530071064085	1
CG	none	-900	mean	upstream	0.475733327597225	1
CHG	none	-900	mean	upstream	0.241031842013079	1
CHH	none	-900	mean	upstream	0.100031683527884	1
CG	none	-1000	mean	upstream	0.482831683105152	1
CHG	none	-1000	mean	upstream	0.239798067455079	1
CHH	none	-1000	mean	upstream	0.0993187732808217	1
CG	none	-1100	mean	upstream	0.48637309380427	1
CHG	none	-1100	mean	upstream	0.23630783619654	1
CHH	none	-1100	mean	upstream	0.0976530096425065	1
CG	none	-1200	mean	upstream	0.488140141032301	1
CHG	none	-1200	mean	upstream	0.227423396350393	1
CHH	none	-1200	mean	upstream	0.0961181805554173	1
CG	none	-1300	mean	upstream	0.489228219024134	1
CHG	none	-1300	mean	upstream	0.229602310759759	1
CHH	none	-1300	mean	upstream	0.0947001926344797	1
CG	none	-1400	mean	upstream	0.488850132481524	1
CHG	none	-1400	mean	upstream	0.2250843737507	1
CHH	none	-1400	mean	upstream	0.0929497977718772	1
CG	none	-1500	mean	upstream	0.492889428819343	1
CHG	none	-1500	mean	upstream	0.223522508744886	1
CHH	none	-1500	mean	upstream	0.0921519380645677	1
CG	none	-1600	mean	upstream	0.491656741285685	1
CHG	none	-1600	mean	upstream	0.221882048269022	1
CHH	none	-1600	mean	upstream	0.0914445992283719	1
CG	none	-1700	mean	upstream	0.494423644451668	1
CHG	none	-1700	mean	upstream	0.221253982992061	1
CHH	none	-1700	mean	upstream	0.0923127930791868	1
CG	none	-1800	mean	upstream	0.488669186635344	1
CHG	none	-1800	mean	upstream	0.217418334327887	1
CHH	none	-1800	mean	upstream	0.0912189982726285	1
CG	none	-1900	mean	upstream	0.489117566125444	1
CHG	none	-1900	mean	upstream	0.216489527528433	1
CHH	none	-1900	mean	upstream	0.0898638876939198	1
CG	none	-2000	mean	upstream	0.483781132977728	1
CHG	none	-2000	mean	upstream	0.216974097006694	1
CHH	none	-2000	mean	upstream	0.0893770801356134	1
CG	none	2000	mean	downstream	0.423459724016551	1
CHG	none	2000	mean	downstream	0.206326657138403	1
CHH	none	2000	mean	downstream	0.0843692498157727	1
CG	none	2100	mean	downstream	0.44029308057042	1
CHG	none	2100	mean	downstream	0.206990329319605	1
CHH	none	2100	mean	downstream	0.0878529121113054	1
CG	none	2200	mean	downstream	0.452090818560017	1
CHG	none	2200	mean	downstream	0.204429166532193	1
CHH	none	2200	mean	downstream	0.0874492127840164	1
CG	none	2300	mean	downstream	0.463783864466256	1
CHG	none	2300	mean	downstream	0.196555717200338	1
CHH	none	2300	mean	downstream	0.0882227367355594	1
CG	none	2400	mean	downstream	0.473458635221639	1
CHG	none	2400	mean	downstream	0.199227562810799	1
CHH	none	2400	mean	downstream	0.0860236105484352	1
CG	none	2500	mean	downstream	0.477335662859358	1
CHG	none	2500	mean	downstream	0.200311423430541	1
CHH	none	2500	mean	downstream	0.0859349406118274	1
CG	none	2600	mean	downstream	0.482794614096587	1
CHG	none	2600	mean	downstream	0.200220793047372	1
CHH	none	2600	mean	downstream	0.08547180294009	1
CG	none	2700	mean	downstream	0.486576454093434	1
CHG	none	2700	mean	downstream	0.201687983858536	1
CHH	none	2700	mean	downstream	0.0846509921866852	1
CG	none	2800	mean	downstream	0.490430304077863	1
CHG	none	2800	mean	downstream	0.198556572610888	1
CHH	none	2800	mean	downstream	0.0846450804004242	1
CG	none	2900	mean	downstream	0.492224708697562	1
CHG	none	2900	mean	downstream	0.201838684133688	1
CHH	none	2900	mean	downstream	0.0837396233501591	1
CG	none	3000	mean	downstream	0.489441368959942	1
CHG	none	3000	mean	downstream	0.201742055977336	1
CHH	none	3000	mean	downstream	0.0839946299775822	1
CG	none	3100	mean	downstream	0.489157723835081	1
CHG	none	3100	mean	downstream	0.198590547463815	1
CHH	none	3100	mean	downstream	0.0838476740852716	1
CG	none	3200	mean	downstream	0.489086061972727	1
CHG	none	3200	mean	downstream	0.195509239443586	1
CHH	none	3200	mean	downstream	0.0826269537022765	1
CG	none	3300	mean	downstream	0.490914334212178	1
CHG	none	3300	mean	downstream	0.197684715143543	1
CHH	none	3300	mean	downstream	0.082103215436346	1
CG	none	3400	mean	downstream	0.487647848086597	1
CHG	none	3400	mean	downstream	0.198330635737341	1
CHH	none	3400	mean	downstream	0.0816233863933113	1
CG	none	3500	mean	downstream	0.48327813611236	1
CHG	none	3500	mean	downstream	0.19654474266173	1
CHH	none	3500	mean	downstream	0.0819674921019924	1
CG	none	3600	mean	downstream	0.486833952397841	1
CHG	none	3600	mean	downstream	0.197285875405833	1
CHH	none	3600	mean	downstream	0.0828030769382221	1
CG	none	3700	mean	downstream	0.481745589102823	1
CHG	none	3700	mean	downstream	0.198356777932857	1
CHH	none	3700	mean	downstream	0.0826967440369096	1
CG	none	3800	mean	downstream	0.483090647627648	1
CHG	none	3800	mean	downstream	0.199151242605898	1
CHH	none	3800	mean	downstream	0.0827960994235268	1
CG	none	3900	mean	downstream	0.476386302605526	1
CHG	none	3900	mean	downstream	0.196688897071515	1
CHH	none	3900	mean	downstream	0.0830762917071076	1
CG	none	0	mean	inside	0.337530003143876	1
CHG	none	0	mean	inside	0.223697161788919	1
CHH	none	0	mean	inside	0.0819786387625994	1
CG	none	100	mean	inside	0.346572704879434	1
CHG	none	100	mean	inside	0.222326491278721	1
CHH	none	100	mean	inside	0.0780806396362201	1
CG	none	200	mean	inside	0.379421149385547	1
CHG	none	200	mean	inside	0.217891660524578	1
CHH	none	200	mean	inside	0.076480057908316	1
CG	none	300	mean	inside	0.419643386058132	1
CHG	none	300	mean	inside	0.218319175727201	1
CHH	none	300	mean	inside	0.0774037041941886	1
CG	none	400	mean	inside	0.460145167509385	1
CHG	none	400	mean	inside	0.220475560853144	1
CHH	none	400	mean	inside	0.0780609930766322	1
CG	none	500	mean	inside	0.498292639497498	1
CHG	none	500	mean	inside	0.219354547472386	1
CHH	none	500	mean	inside	0.0782769682770518	1
CG	none	600	mean	inside	0.526757172772699	1
CHG	none	600	mean	inside	0.21603804109627	1
CHH	none	600	mean	inside	0.0776123906438522	1
CG	none	700	mean	inside	0.552337262928544	1
CHG	none	700	mean	inside	0.213514313289896	1
CHH	none	700	mean	inside	0.0772689679019871	1
