context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.276098640649354	1
CHG	none	-100	mean	upstream	0.171470635506732	1
CHH	none	-100	mean	upstream	0.0845347198708703	1
CG	none	-200	mean	upstream	0.316531853084169	1
CHG	none	-200	mean	upstream	0.183673984235004	1
CHH	none	-200	mean	upstream	0.0960230289975994	1
CG	none	-300	mean	upstream	0.342881852012489	1
CHG	none	-300	mean	upstream	0.197722615540209	1
CHH	none	-300	mean	upstream	0.100927877488435	1
CG	none	-400	mean	upstream	0.361064600602505	1
CHG	none	-400	mean	upstream	0.20259705849214	1
CHH	none	-400	mean	upstream	0.103932744892724	1
CG	none	-500	mean	upstream	0.371721016939095	1
CHG	none	-500	mean	upstream	0.20447909825605	1
CHH	none	-500	mean	upstream	0.104777470464298	1
CG	none	-600	mean	upstream	0.373365112529138	1
CHG	none	-600	mean	upstream	0.195495533699106	1
CHH	none	-600	mean	upstream	0.103673421556649	1
CG	none	-700	mean	upstream	0.37511315811023	1
CHG	none	-700	mean	upstream	0.192243162527645	1
CHH	none	-700	mean	upstream	0.100479720451074	1
CG	none	-800	mean	upstream	0.380658446087532	1
CHG	none	-800	mean	upstream	0.187720107765004	1
CHH	none	-800	mean	upstream	0.0998931320541574	1
CG	none	-900	mean	upstream	0.389406251631828	1
CHG	none	-900	mean	upstream	0.185303142285312	1
CHH	none	-900	mean	upstream	0.0978143962408959	1
CG	none	-1000	mean	upstream	0.392179050369738	1
CHG	none	-1000	mean	upstream	0.185244440371554	1
CHH	none	-1000	mean	upstream	0.097844722825608	1
CG	none	-1100	mean	upstream	0.399628883619229	1
CHG	none	-1100	mean	upstream	0.181376779397597	1
CHH	none	-1100	mean	upstream	0.0948803067469914	1
CG	none	-1200	mean	upstream	0.407256095854739	1
CHG	none	-1200	mean	upstream	0.179071040110836	1
CHH	none	-1200	mean	upstream	0.093754974774837	1
CG	none	-1300	mean	upstream	0.405375594763582	1
CHG	none	-1300	mean	upstream	0.181197893417547	1
CHH	none	-1300	mean	upstream	0.0944187105218403	1
CG	none	-1400	mean	upstream	0.411052596343929	1
CHG	none	-1400	mean	upstream	0.178251117655631	1
CHH	none	-1400	mean	upstream	0.0928541014194984	1
CG	none	-1500	mean	upstream	0.413530918192846	1
CHG	none	-1500	mean	upstream	0.178158628700875	1
CHH	none	-1500	mean	upstream	0.0910717017131507	1
CG	none	-1600	mean	upstream	0.414691393875848	1
CHG	none	-1600	mean	upstream	0.175362057720938	1
CHH	none	-1600	mean	upstream	0.0916194472174181	1
CG	none	-1700	mean	upstream	0.41019262938292	1
CHG	none	-1700	mean	upstream	0.170670728935531	1
CHH	none	-1700	mean	upstream	0.0913861477753729	1
CG	none	-1800	mean	upstream	0.407383542830775	1
CHG	none	-1800	mean	upstream	0.170718957854936	1
CHH	none	-1800	mean	upstream	0.0882090363878114	1
CG	none	-1900	mean	upstream	0.410467504312325	1
CHG	none	-1900	mean	upstream	0.168453513821515	1
CHH	none	-1900	mean	upstream	0.0885559699048366	1
CG	none	-2000	mean	upstream	0.407347295840427	1
CHG	none	-2000	mean	upstream	0.169935266167841	1
CHH	none	-2000	mean	upstream	0.0883439528971222	1
CG	none	2000	mean	downstream	0.362814929964708	1
CHG	none	2000	mean	downstream	0.168689309763594	1
