context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.267592172983557	1
CHG	none	-100	mean	upstream	0.170230305433593	1
CHH	none	-100	mean	upstream	0.0736321881095721	1
CG	none	-200	mean	upstream	0.304043040164677	1
CHG	none	-200	mean	upstream	0.182351771813503	1
CHH	none	-200	mean	upstream	0.0806189165420937	1
CG	none	-300	mean	upstream	0.324895843834876	1
CHG	none	-300	mean	upstream	0.192520573449543	1
CHH	none	-300	mean	upstream	0.0838726794527338	1
CG	none	-400	mean	upstream	0.343924223263521	1
CHG	none	-400	mean	upstream	0.197662335043166	1
CHH	none	-400	mean	upstream	0.0869201469226176	1
CG	none	-500	mean	upstream	0.355579141606067	1
CHG	none	-500	mean	upstream	0.199227892952693	1
CHH	none	-500	mean	upstream	0.0875331109678447	1
CG	none	-600	mean	upstream	0.358679803357332	1
CHG	none	-600	mean	upstream	0.189814529818468	1
CHH	none	-600	mean	upstream	0.0875702040139708	1
CG	none	-700	mean	upstream	0.364461477683287	1
CHG	none	-700	mean	upstream	0.188439589291158	1
CHH	none	-700	mean	upstream	0.0867896824831501	1
CG	none	-800	mean	upstream	0.371430298819954	1
CHG	none	-800	mean	upstream	0.184318592941119	1
CHH	none	-800	mean	upstream	0.0858627370760642	1
CG	none	-900	mean	upstream	0.379326240110898	1
CHG	none	-900	mean	upstream	0.18390817275831	1
CHH	none	-900	mean	upstream	0.0856936394908394	1
CG	none	-1000	mean	upstream	0.383943096889357	1
CHG	none	-1000	mean	upstream	0.181624630578141	1
CHH	none	-1000	mean	upstream	0.0846833820402298	1
CG	none	-1100	mean	upstream	0.391397479024887	1
CHG	none	-1100	mean	upstream	0.179244976481023	1
CHH	none	-1100	mean	upstream	0.0832243618395509	1
CG	none	-1200	mean	upstream	0.401353136849425	1
CHG	none	-1200	mean	upstream	0.176022049133179	1
CHH	none	-1200	mean	upstream	0.0828664162131712	1
CG	none	-1300	mean	upstream	0.399809252701055	1
CHG	none	-1300	mean	upstream	0.177343342508006	1
CHH	none	-1300	mean	upstream	0.0824377364073058	1
CG	none	-1400	mean	upstream	0.405244314399929	1
CHG	none	-1400	mean	upstream	0.175684295304103	1
CHH	none	-1400	mean	upstream	0.0814462323680261	1
CG	none	-1500	mean	upstream	0.408284977587923	1
CHG	none	-1500	mean	upstream	0.175721419118315	1
CHH	none	-1500	mean	upstream	0.0805985983544486	1
CG	none	-1600	mean	upstream	0.409937233625894	1
CHG	none	-1600	mean	upstream	0.173029389504433	1
CHH	none	-1600	mean	upstream	0.0807280547842712	1
CG	none	-1700	mean	upstream	0.406089219111955	1
CHG	none	-1700	mean	upstream	0.167923758091686	1
CHH	none	-1700	mean	upstream	0.0798167214172964	1
CG	none	-1800	mean	upstream	0.403187793203669	1
CHG	none	-1800	mean	upstream	0.168066711627732	1
CHH	none	-1800	mean	upstream	0.0787489014623238	1
CG	none	-1900	mean	upstream	0.405126560348498	1
CHG	none	-1900	mean	upstream	0.167249806882487	1
CHH	none	-1900	mean	upstream	0.0784296486246289	1
CG	none	-2000	mean	upstream	0.403902571307049	1
CHG	none	-2000	mean	upstream	0.167343522134344	1
CHH	none	-2000	mean	upstream	0.078168808942411	1
CG	none	2000	mean	downstream	0.353704401408303	1
CHG	none	2000	mean	downstream	0.167599046243858	1
CHH	none	2000	mean	downstream	0.0726155497763679	1
CG	none	2100	mean	downstream	0.364674569104877	1
