context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.300131011004485	1
CHG	none	-100	mean	upstream	0.190275238563056	1
CHH	none	-100	mean	upstream	0.0890001118188037	1
CG	none	-200	mean	upstream	0.341448810049559	1
CHG	none	-200	mean	upstream	0.205833206289749	1
CHH	none	-200	mean	upstream	0.099230387647683	1
CG	none	-300	mean	upstream	0.371677720100132	1
CHG	none	-300	mean	upstream	0.224234979148932	1
CHH	none	-300	mean	upstream	0.105467181384205	1
CG	none	-400	mean	upstream	0.389540917901309	1
CHG	none	-400	mean	upstream	0.228997002035579	1
CHH	none	-400	mean	upstream	0.107442294757844	1
CG	none	-500	mean	upstream	0.400573967905859	1
CHG	none	-500	mean	upstream	0.231715811969373	1
CHH	none	-500	mean	upstream	0.10891203732636	1
CG	none	-600	mean	upstream	0.408245646869948	1
CHG	none	-600	mean	upstream	0.226158678672026	1
CHH	none	-600	mean	upstream	0.108308414973054	1
CG	none	-700	mean	upstream	0.414216587803076	1
CHG	none	-700	mean	upstream	0.222300693299569	1
CHH	none	-700	mean	upstream	0.107093272094199	1
CG	none	-800	mean	upstream	0.415855260143167	1
CHG	none	-800	mean	upstream	0.215846674802194	1
CHH	none	-800	mean	upstream	0.105332394741126	1
CG	none	-900	mean	upstream	0.423836740983358	1
CHG	none	-900	mean	upstream	0.21443252465632	1
CHH	none	-900	mean	upstream	0.104425668692364	1
CG	none	-1000	mean	upstream	0.429677626605684	1
CHG	none	-1000	mean	upstream	0.21303080849994	1
CHH	none	-1000	mean	upstream	0.10360266089042	1
CG	none	-1100	mean	upstream	0.432660156220743	1
CHG	none	-1100	mean	upstream	0.210073925179531	1
CHH	none	-1100	mean	upstream	0.101961645050268	1
CG	none	-1200	mean	upstream	0.434885451074584	1
CHG	none	-1200	mean	upstream	0.201432285491933	1
CHH	none	-1200	mean	upstream	0.10025134242437	1
CG	none	-1300	mean	upstream	0.43733437611909	1
CHG	none	-1300	mean	upstream	0.203916967699844	1
CHH	none	-1300	mean	upstream	0.0989655104573025	1
CG	none	-1400	mean	upstream	0.439303562474448	1
CHG	none	-1400	mean	upstream	0.200414307330444	1
CHH	none	-1400	mean	upstream	0.0973627630595359	1
CG	none	-1500	mean	upstream	0.44233184365136	1
CHG	none	-1500	mean	upstream	0.199187680337231	1
CHH	none	-1500	mean	upstream	0.0967943583612162	1
CG	none	-1600	mean	upstream	0.44110637000225	1
CHG	none	-1600	mean	upstream	0.19844454645377	1
CHH	none	-1600	mean	upstream	0.0970631295217702	1
CG	none	-1700	mean	upstream	0.444007890312256	1
CHG	none	-1700	mean	upstream	0.195835164723017	1
CHH	none	-1700	mean	upstream	0.0970840393407267	1
CG	none	-1800	mean	upstream	0.438346563153524	1
