context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.315398819259124	1
CHG	none	-100	mean	upstream	0.188048644075598	1
CHH	none	-100	mean	upstream	0.0786104384202347	1
CG	none	-200	mean	upstream	0.356221722747015	1
CHG	none	-200	mean	upstream	0.199158283242966	1
CHH	none	-200	mean	upstream	0.0876942639240166	1
CG	none	-300	mean	upstream	0.379425044999155	1
CHG	none	-300	mean	upstream	0.211426027820977	1
CHH	none	-300	mean	upstream	0.0919777255629133	1
CG	none	-400	mean	upstream	0.395485383071475	1
CHG	none	-400	mean	upstream	0.214948683436059	1
CHH	none	-400	mean	upstream	0.0933506178935829	1
CG	none	-500	mean	upstream	0.405569775935573	1
CHG	none	-500	mean	upstream	0.214910896625835	1
CHH	none	-500	mean	upstream	0.0937319245474334	1
CG	none	500	mean	downstream	0.39827358042023	1
CHG	none	500	mean	downstream	0.184853049647587	1
CHH	none	500	mean	downstream	0.0762862099357867	1
CG	none	600	mean	downstream	0.410250691668089	1
CHG	none	600	mean	downstream	0.182235741562378	1
CHH	none	600	mean	downstream	0.0787322677639968	1
CG	none	700	mean	downstream	0.42249383827487	1
CHG	none	700	mean	downstream	0.184464702784704	1
CHH	none	700	mean	downstream	0.0801568229893696	1
CG	none	800	mean	downstream	0.428795760760412	1
CHG	none	800	mean	downstream	0.176562079901514	1
CHH	none	800	mean	downstream	0.0809429327337311	1
CG	none	900	mean	downstream	0.436132492901283	1
CHG	none	900	mean	downstream	0.179263369009852	1
CHH	none	900	mean	downstream	0.0798425279157006	1
CG	none	0	mean	inside	0.31745527317647	1
CHG	none	0	mean	inside	0.195949788276136	1
CHH	none	0	mean	inside	0.0770454341040867	1
CG	none	25	mean	inside	0.323712045278441	1
CHG	none	25	mean	inside	0.197849341031159	1
CHH	none	25	mean	inside	0.0751603867885059	1
CG	none	50	mean	inside	0.352491727892076	1
CHG	none	50	mean	inside	0.196485941387101	1
CHH	none	50	mean	inside	0.0772869384463345	1
CG	none	75	mean	inside	0.387953976509502	1
CHG	none	75	mean	inside	0.198138832687593	1
CHH	none	75	mean	inside	0.077701859116165	1
CG	none	100	mean	inside	0.41925119637777	1
CHG	none	100	mean	inside	0.194766962814669	1
CHH	none	100	mean	inside	0.0782869647085545	1
CG	none	125	mean	inside	0.443582154218973	1
CHG	none	125	mean	inside	0.191634251014352	1
CHH	none	125	mean	inside	0.0767286430733379	1
CG	none	150	mean	inside	0.473990834273003	1
CHG	none	150	mean	inside	0.191462097188926	1
CHH	none	150	mean	inside	0.0775521076234586	1
CG	none	175	mean	inside	0.494335915247656	1
CHG	none	175	mean	inside	0.189470094648315	1
CHH	none	175	mean	inside	0.0770293454183013	1
CG	none	200	mean	inside	0.509311616577164	1
CHG	none	200	mean	inside	0.188077096987707	1
CHH	none	200	mean	inside	0.0754809874137951	1
CG	none	225	mean	inside	0.517857851795514	1
CHG	none	225	mean	inside	0.186933737157199	1
CHH	none	225	mean	inside	0.0758561636064193	1
CG	none	250	mean	inside	0.527928198724142	1
CHG	none	250	mean	inside	0.188526478800939	1
CHH	none	250	mean	inside	0.074402650205957	1
CG	none	275	mean	inside	0.539741354192668	1
CHG	none	275	mean	inside	0.188678117489488	1
CHH	none	275	mean	inside	0.0766403105899044	1
CG	none	300	mean	inside	0.540070484125361	1
CHG	none	300	mean	inside	0.187805610498506	1
CHH	none	300	mean	inside	0.0758079638624858	1
CG	none	325	mean	inside	0.549189742074229	1
CHG	none	325	mean	inside	0.185846944982945	1
CHH	none	325	mean	inside	0.074544360892248	1
CG	none	350	mean	inside	0.552736922903398	1
CHG	none	350	mean	inside	0.187995908239324	1
CHH	none	350	mean	inside	0.0740909520385704	1
CG	none	375	mean	inside	0.551036266963595	1
CHG	none	375	mean	inside	0.18796948904052	1
CHH	none	375	mean	inside	0.073930102747756	1
CG	none	400	mean	inside	0.55341320410526	1
CHG	none	400	mean	inside	0.189309253873458	1
CHH	none	400	mean	inside	0.0747175703321271	1
CG	none	425	mean	inside	0.546268998706006	1
CHG	none	425	mean	inside	0.189500143042194	1
CHH	none	425	mean	inside	0.0736287484500657	1
CG	none	450	mean	inside	0.52702862023425	1
CHG	none	450	mean	inside	0.194030410380352	1
CHH	none	450	mean	inside	0.0744322204422151	1
CG	none	475	mean	inside	0.46659836231301	1
CHG	none	475	mean	inside	0.198617527254194	1
CHH	none	475	mean	inside	0.0777840549729241	1
