context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.325637556549519	1
CHG	none	-100	mean	upstream	0.19069157120851	1
CHH	none	-100	mean	upstream	0.0791651393010218	1
CG	none	-200	mean	upstream	0.36505764061934	1
CHG	none	-200	mean	upstream	0.204760426842123	1
CHH	none	-200	mean	upstream	0.0896385307909423	1
CG	none	-300	mean	upstream	0.399597355569008	1
CHG	none	-300	mean	upstream	0.222672659610572	1
CHH	none	-300	mean	upstream	0.0948177228964123	1
CG	none	-400	mean	upstream	0.419899367407483	1
CHG	none	-400	mean	upstream	0.226190753535521	1
CHH	none	-400	mean	upstream	0.0955215589697467	1
CG	none	-500	mean	upstream	0.432977272092942	1
CHG	none	-500	mean	upstream	0.231411744231986	1
CHH	none	-500	mean	upstream	0.0967667104990848	1
CG	none	500	mean	downstream	0.415191580941828	1
CHG	none	500	mean	downstream	0.18768758150237	1
CHH	none	500	mean	downstream	0.0775028127113863	1
CG	none	600	mean	downstream	0.429663249497379	1
CHG	none	600	mean	downstream	0.187978347763409	1
CHH	none	600	mean	downstream	0.0805951532243766	1
CG	none	700	mean	downstream	0.440515961091738	1
CHG	none	700	mean	downstream	0.186731708314911	1
CHH	none	700	mean	downstream	0.0802316282757885	1
CG	none	800	mean	downstream	0.453404059056376	1
CHG	none	800	mean	downstream	0.17971306742771	1
CHH	none	800	mean	downstream	0.0811541302379946	1
CG	none	900	mean	downstream	0.462051407119603	1
CHG	none	900	mean	downstream	0.181458916862016	1
CHH	none	900	mean	downstream	0.0787235884759703	1
CG	none	0	mean	inside	0.332964272367164	1
CHG	none	0	mean	inside	0.20328762351905	1
CHH	none	0	mean	inside	0.075290151140597	1
CG	none	25	mean	inside	0.343233153907743	1
CHG	none	25	mean	inside	0.203301202901965	1
CHH	none	25	mean	inside	0.0725506112389951	1
CG	none	50	mean	inside	0.374597742618144	1
CHG	none	50	mean	inside	0.19996911028194	1
CHH	none	50	mean	inside	0.0718543340515441	1
CG	none	75	mean	inside	0.413782802445567	1
CHG	none	75	mean	inside	0.201045760878731	1
CHH	none	75	mean	inside	0.0740091554172077	1
CG	none	100	mean	inside	0.453650820916517	1
CHG	none	100	mean	inside	0.203300426841083	1
CHH	none	100	mean	inside	0.074566979569648	1
CG	none	125	mean	inside	0.490461250023597	1
CHG	none	125	mean	inside	0.202603441351847	1
CHH	none	125	mean	inside	0.0741481476453395	1
CG	none	150	mean	inside	0.518979258711716	1
CHG	none	150	mean	inside	0.199723192141685	1
CHH	none	150	mean	inside	0.0739924433008835	1
CG	none	175	mean	inside	0.542928436206548	1
CHG	none	175	mean	inside	0.197526223727493	1
CHH	none	175	mean	inside	0.0737980321311473	1
CG	none	200	mean	inside	0.556687966777127	1
CHG	none	200	mean	inside	0.196009129676455	1
CHH	none	200	mean	inside	0.0729770825456761	1
CG	none	225	mean	inside	0.570682942629886	1
CHG	none	225	mean	inside	0.195596051510377	1
CHH	none	225	mean	inside	0.0731442843227109	1
CG	none	250	mean	inside	0.580626460371906	1
CHG	none	250	mean	inside	0.197981863190602	1
CHH	none	250	mean	inside	0.0723576549305328	1
CG	none	275	mean	inside	0.591446495180889	1
CHG	none	275	mean	inside	0.198817842643058	1
CHH	none	275	mean	inside	0.0728059754031961	1
CG	none	300	mean	inside	0.600381179207544	1
CHG	none	300	mean	inside	0.196285413527444	1
CHH	none	300	mean	inside	0.0727023517724537	1
CG	none	325	mean	inside	0.601733243483818	1
CHG	none	325	mean	inside	0.194545399388742	1
CHH	none	325	mean	inside	0.0714877938518292	1
CG	none	350	mean	inside	0.605645228025056	1
CHG	none	350	mean	inside	0.192162288388442	1
CHH	none	350	mean	inside	0.0713359727552827	1
CG	none	375	mean	inside	0.605682658494124	1
CHG	none	375	mean	inside	0.192768195919901	1
CHH	none	375	mean	inside	0.070740258931233	1
CG	none	400	mean	inside	0.603986221018023	1
CHG	none	400	mean	inside	0.192743679930655	1
CHH	none	400	mean	inside	0.0713159013051949	1
CG	none	425	mean	inside	0.591502738378477	1
CHG	none	425	mean	inside	0.194771929653508	1
CHH	none	425	mean	inside	0.0711166900989992	1
CG	none	450	mean	inside	0.565364819626732	1
CHG	none	450	mean	inside	0.201647653391404	1
CHH	none	450	mean	inside	0.0724872117427324	1
CG	none	475	mean	inside	0.490245105093979	1
CHG	none	475	mean	inside	0.205142463602086	1
CHH	none	475	mean	inside	0.0781293428567858	1
