context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.316115749806354	1
CHG	none	-100	mean	upstream	0.167245760370685	1
CHH	none	-100	mean	upstream	0.0803318975378016	1
CG	none	-200	mean	upstream	0.357518872750547	1
CHG	none	-200	mean	upstream	0.17838482918237	1
CHH	none	-200	mean	upstream	0.0908162174040525	1
CG	none	-300	mean	upstream	0.382939487920803	1
CHG	none	-300	mean	upstream	0.191434343447799	1
CHH	none	-300	mean	upstream	0.0943091486664848	1
CG	none	-400	mean	upstream	0.400056027921086	1
CHG	none	-400	mean	upstream	0.194995737312579	1
CHH	none	-400	mean	upstream	0.0962106317899816	1
CG	none	-500	mean	upstream	0.410503864347135	1
CHG	none	-500	mean	upstream	0.195728168524322	1
CHH	none	-500	mean	upstream	0.0967114574810709	1
CG	none	500	mean	downstream	0.403783154926455	1
CHG	none	500	mean	downstream	0.165675916413492	1
CHH	none	500	mean	downstream	0.0783803673503511	1
CG	none	600	mean	downstream	0.413823721344871	1
CHG	none	600	mean	downstream	0.163273451590686	1
CHH	none	600	mean	downstream	0.0810444478404411	1
CG	none	700	mean	downstream	0.426171435269498	1
CHG	none	700	mean	downstream	0.164051621960863	1
CHH	none	700	mean	downstream	0.081807727686832	1
CG	none	800	mean	downstream	0.433425035251247	1
CHG	none	800	mean	downstream	0.157538493655583	1
CHH	none	800	mean	downstream	0.0816873253083776	1
CG	none	900	mean	downstream	0.440287091545877	1
CHG	none	900	mean	downstream	0.158740392088618	1
CHH	none	900	mean	downstream	0.0800307292117057	1
CG	none	0	mean	inside	0.316952469906177	1
CHG	none	0	mean	inside	0.175056174854206	1
CHH	none	0	mean	inside	0.0780094856448076	1
CG	none	25	mean	inside	0.323406456425879	1
CHG	none	25	mean	inside	0.175447404890191	1
CHH	none	25	mean	inside	0.0742344433196668	1
CG	none	50	mean	inside	0.351999071732608	1
CHG	none	50	mean	inside	0.172587969579367	1
CHH	none	50	mean	inside	0.0758633703817801	1
CG	none	75	mean	inside	0.388762768571073	1
CHG	none	75	mean	inside	0.173550549837325	1
CHH	none	75	mean	inside	0.0768360251647229	1
CG	none	100	mean	inside	0.422021172369773	1
CHG	none	100	mean	inside	0.172430895927435	1
CHH	none	100	mean	inside	0.0771119794487002	1
CG	none	125	mean	inside	0.446308140244956	1
CHG	none	125	mean	inside	0.169081633502692	1
CHH	none	125	mean	inside	0.0752516193236063	1
CG	none	150	mean	inside	0.476950335497656	1
CHG	none	150	mean	inside	0.168740075569568	1
CHH	none	150	mean	inside	0.0763919968001246	1
CG	none	175	mean	inside	0.496788035266242	1
CHG	none	175	mean	inside	0.166627876769663	1
CHH	none	175	mean	inside	0.0753301554422574	1
CG	none	200	mean	inside	0.512137622353181	1
CHG	none	200	mean	inside	0.165912627934599	1
CHH	none	200	mean	inside	0.0744196875284807	1
CG	none	225	mean	inside	0.521260100581717	1
CHG	none	225	mean	inside	0.164090439481703	1
CHH	none	225	mean	inside	0.0742666245335843	1
CG	none	250	mean	inside	0.532025149809685	1
CHG	none	250	mean	inside	0.166087473279381	1
CHH	none	250	mean	inside	0.0730661639318522	1
CG	none	275	mean	inside	0.542217931699975	1
CHG	none	275	mean	inside	0.165325276804877	1
CHH	none	275	mean	inside	0.0749127191961441	1
CG	none	300	mean	inside	0.54306695604199	1
CHG	none	300	mean	inside	0.164966568959106	1
CHH	none	300	mean	inside	0.0738244613073096	1
CG	none	325	mean	inside	0.552037110331357	1
CHG	none	325	mean	inside	0.162607810239317	1
CHH	none	325	mean	inside	0.0730569944943341	1
CG	none	350	mean	inside	0.555774991903315	1
CHG	none	350	mean	inside	0.164481509605184	1
CHH	none	350	mean	inside	0.0721965775703126	1
CG	none	375	mean	inside	0.555159708250808	1
CHG	none	375	mean	inside	0.164848595285618	1
CHH	none	375	mean	inside	0.0727888098917707	1
CG	none	400	mean	inside	0.557210443893995	1
CHG	none	400	mean	inside	0.165942724696403	1
CHH	none	400	mean	inside	0.0735889386292866	1
CG	none	425	mean	inside	0.551295237420912	1
CHG	none	425	mean	inside	0.167530984893552	1
CHH	none	425	mean	inside	0.0737845770117777	1
CG	none	450	mean	inside	0.530840632784129	1
CHG	none	450	mean	inside	0.172136269546368	1
CHH	none	450	mean	inside	0.0744438971265151	1
CG	none	475	mean	inside	0.470449544135238	1
CHG	none	475	mean	inside	0.177373256012258	1
CHH	none	475	mean	inside	0.0782508410195868	1
