context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.325778757945288	1
CHG	none	-100	mean	upstream	0.188833625914636	1
CHH	none	-100	mean	upstream	0.0873487342693726	1
CG	none	-200	mean	upstream	0.367287057864105	1
CHG	none	-200	mean	upstream	0.203386985360784	1
CHH	none	-200	mean	upstream	0.0995094113391438	1
CG	none	-300	mean	upstream	0.402339696564517	1
CHG	none	-300	mean	upstream	0.223759922985073	1
CHH	none	-300	mean	upstream	0.105892017996331	1
CG	none	-400	mean	upstream	0.423852704673621	1
CHG	none	-400	mean	upstream	0.227452261623342	1
CHH	none	-400	mean	upstream	0.106818346545218	1
CG	none	-500	mean	upstream	0.437572285692352	1
CHG	none	-500	mean	upstream	0.232440016588185	1
CHH	none	-500	mean	upstream	0.108203790400816	1
CG	none	500	mean	downstream	0.417344116005149	1
CHG	none	500	mean	downstream	0.185433816937705	1
CHH	none	500	mean	downstream	0.0854625760802688	1
CG	none	600	mean	downstream	0.433698939698624	1
CHG	none	600	mean	downstream	0.186859535496385	1
CHH	none	600	mean	downstream	0.0889807366007458	1
CG	none	700	mean	downstream	0.445453990412546	1
CHG	none	700	mean	downstream	0.184729854460654	1
CHH	none	700	mean	downstream	0.088502115607296	1
CG	none	800	mean	downstream	0.457766277789416	1
CHG	none	800	mean	downstream	0.177220577607179	1
CHH	none	800	mean	downstream	0.0891241993689696	1
CG	none	900	mean	downstream	0.467490300597714	1
CHG	none	900	mean	downstream	0.179529326184167	1
CHH	none	900	mean	downstream	0.0863018110518628	1
CG	none	0	mean	inside	0.332901550561218	1
CHG	none	0	mean	inside	0.201256099428862	1
CHH	none	0	mean	inside	0.0826582196171803	1
CG	none	25	mean	inside	0.343907742406773	1
CHG	none	25	mean	inside	0.200142645443922	1
CHH	none	25	mean	inside	0.0791634680146437	1
CG	none	50	mean	inside	0.37735495301978	1
CHG	none	50	mean	inside	0.19583589852643	1
CHH	none	50	mean	inside	0.0776981592261219	1
CG	none	75	mean	inside	0.418314354461125	1
CHG	none	75	mean	inside	0.197356959288397	1
CHH	none	75	mean	inside	0.0792551495162132	1
CG	none	100	mean	inside	0.459337855778632	1
CHG	none	100	mean	inside	0.19895558241094	1
CHH	none	100	mean	inside	0.0794951655837097	1
CG	none	125	mean	inside	0.497733355073395	1
CHG	none	125	mean	inside	0.19845726070637	1
CHH	none	125	mean	inside	0.0793489455926536	1
CG	none	150	mean	inside	0.525771921859254	1
CHG	none	150	mean	inside	0.194838186326828	1
CHH	none	150	mean	inside	0.079073833188867	1
CG	none	175	mean	inside	0.550006057624819	1
CHG	none	175	mean	inside	0.192782519281531	1
CHH	none	175	mean	inside	0.0789854939724033	1
CG	none	200	mean	inside	0.564278777781005	1
CHG	none	200	mean	inside	0.191427529760468	1
CHH	none	200	mean	inside	0.0777111767458287	1
CG	none	225	mean	inside	0.578138110909788	1
CHG	none	225	mean	inside	0.190823919041324	1
CHH	none	225	mean	inside	0.0776903462820533	1
CG	none	250	mean	inside	0.588822261439606	1
CHG	none	250	mean	inside	0.19336005446104	1
CHH	none	250	mean	inside	0.0773589168618638	1
CG	none	275	mean	inside	0.600317855470766	1
CHG	none	275	mean	inside	0.193954465617853	1
CHH	none	275	mean	inside	0.0771040732650221	1
CG	none	300	mean	inside	0.609644373174205	1
CHG	none	300	mean	inside	0.191445268253502	1
CHH	none	300	mean	inside	0.07731351572179	1
CG	none	325	mean	inside	0.611501823181418	1
CHG	none	325	mean	inside	0.189622051079349	1
CHH	none	325	mean	inside	0.0759080503111934	1
CG	none	350	mean	inside	0.615216480295041	1
CHG	none	350	mean	inside	0.187055369914832	1
CHH	none	350	mean	inside	0.0755453566386531	1
CG	none	375	mean	inside	0.614181205735383	1
CHG	none	375	mean	inside	0.187746367985428	1
CHH	none	375	mean	inside	0.0748313851578699	1
CG	none	400	mean	inside	0.612787577749282	1
CHG	none	400	mean	inside	0.188671432576262	1
CHH	none	400	mean	inside	0.0764092674497265	1
CG	none	425	mean	inside	0.600842116492978	1
CHG	none	425	mean	inside	0.190691940286176	1
CHH	none	425	mean	inside	0.0766684854047691	1
CG	none	450	mean	inside	0.572204737198297	1
CHG	none	450	mean	inside	0.197729688321101	1
CHH	none	450	mean	inside	0.0788166266949971	1
CG	none	475	mean	inside	0.495738744645691	1
CHG	none	475	mean	inside	0.203274861137898	1
CHH	none	475	mean	inside	0.0859330414613004	1
