context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.278456346420305	1
CHG	none	-100	mean	upstream	0.173298271488333	1
CHH	none	-100	mean	upstream	0.068250151796301	1
CG	none	-200	mean	upstream	0.311884710388343	1
CHG	none	-200	mean	upstream	0.183048634313806	1
CHH	none	-200	mean	upstream	0.073779480402209	1
CG	none	-300	mean	upstream	0.334043147477479	1
CHG	none	-300	mean	upstream	0.192921500922916	1
CHH	none	-300	mean	upstream	0.0764908182903427	1
CG	none	-400	mean	upstream	0.3531046598656	1
CHG	none	-400	mean	upstream	0.196660233850234	1
CHH	none	-400	mean	upstream	0.0795914118892427	1
CG	none	-500	mean	upstream	0.364995948360143	1
CHG	none	-500	mean	upstream	0.196010996405611	1
CHH	none	-500	mean	upstream	0.0811088317154809	1
CG	none	-600	mean	upstream	0.36993624775316	1
CHG	none	-600	mean	upstream	0.189142804680452	1
CHH	none	-600	mean	upstream	0.0804814287639798	1
CG	none	-700	mean	upstream	0.379145487255508	1
CHG	none	-700	mean	upstream	0.187921942137326	1
CHH	none	-700	mean	upstream	0.0789626880569123	1
CG	none	-800	mean	upstream	0.386640206271593	1
CHG	none	-800	mean	upstream	0.183557581570875	1
CHH	none	-800	mean	upstream	0.0790584931442258	1
CG	none	-900	mean	upstream	0.397889427140453	1
CHG	none	-900	mean	upstream	0.183731091070687	1
CHH	none	-900	mean	upstream	0.0780575702897076	1
CG	none	-1000	mean	upstream	0.404207008244589	1
CHG	none	-1000	mean	upstream	0.182176677701697	1
CHH	none	-1000	mean	upstream	0.0775998611066502	1
CG	none	-1100	mean	upstream	0.412920733622067	1
CHG	none	-1100	mean	upstream	0.17944039236377	1
CHH	none	-1100	mean	upstream	0.0761691340156548	1
CG	none	-1200	mean	upstream	0.419075228921516	1
CHG	none	-1200	mean	upstream	0.177729911011402	1
CHH	none	-1200	mean	upstream	0.0756619023278512	1
CG	none	-1300	mean	upstream	0.420210930547347	1
CHG	none	-1300	mean	upstream	0.17834594107708	1
CHH	none	-1300	mean	upstream	0.0756455120950482	1
CG	none	-1400	mean	upstream	0.4242581001954	1
CHG	none	-1400	mean	upstream	0.175078304025858	1
CHH	none	-1400	mean	upstream	0.0748905284721664	1
CG	none	-1500	mean	upstream	0.429107959244937	1
CHG	none	-1500	mean	upstream	0.174746079703682	1
CHH	none	-1500	mean	upstream	0.0745234016292672	1
CG	none	-1600	mean	upstream	0.428587982640734	1
CHG	none	-1600	mean	upstream	0.171378763621619	1
CHH	none	-1600	mean	upstream	0.0738986534169275	1
CG	none	-1700	mean	upstream	0.424297447639151	1
CHG	none	-1700	mean	upstream	0.167390670594493	1
CHH	none	-1700	mean	upstream	0.0735382789187374	1
CG	none	-1800	mean	upstream	0.42114325253003	1
CHG	none	-1800	mean	upstream	0.167752350623451	1
CHH	none	-1800	mean	upstream	0.0728545179249516	1
CG	none	-1900	mean	upstream	0.42178495366533	1
CHG	none	-1900	mean	upstream	0.166214382520365	1
CHH	none	-1900	mean	upstream	0.0723564734505487	1
CG	none	-2000	mean	upstream	0.424017912707807	1
CHG	none	-2000	mean	upstream	0.168029057654276	1
CHH	none	-2000	mean	upstream	0.071856241354189	1
CG	none	2000	mean	downstream	0.369983915527696	1
CHG	none	2000	mean	downstream	0.170220334646635	1
CHH	none	2000	mean	downstream	0.0679329609329881	1
CG	none	2100	mean	downstream	0.383111815543701	1
CHG	none	2100	mean	downstream	0.167745747900328	1
CHH	none	2100	mean	downstream	0.0703481112934999	1
CG	none	2200	mean	downstream	0.40588985656017	1
CHG	none	2200	mean	downstream	0.167163195034132	1
CHH	none	2200	mean	downstream	0.0708053546457802	1
CG	none	2300	mean	downstream	0.415499825790731	1
CHG	none	2300	mean	downstream	0.161748474985626	1
CHH	none	2300	mean	downstream	0.070238084842131	1
CG	none	2400	mean	downstream	0.419702672102013	1
CHG	none	2400	mean	downstream	0.160821092705825	1
CHH	none	2400	mean	downstream	0.0695639241409915	1
CG	none	2500	mean	downstream	0.423251291526285	1
CHG	none	2500	mean	downstream	0.161838119745206	1
CHH	none	2500	mean	downstream	0.0697737987874321	1
CG	none	2600	mean	downstream	0.424458728482894	1
CHG	none	2600	mean	downstream	0.159534666498798	1
CHH	none	2600	mean	downstream	0.0695801481233362	1
CG	none	2700	mean	downstream	0.425464411597328	1
CHG	none	2700	mean	downstream	0.159720347180358	1
CHH	none	2700	mean	downstream	0.0701901063087821	1
CG	none	2800	mean	downstream	0.4324783720402	1
CHG	none	2800	mean	downstream	0.161514579820975	1
CHH	none	2800	mean	downstream	0.069126684873598	1
CG	none	2900	mean	downstream	0.432976424782601	1
CHG	none	2900	mean	downstream	0.162109027870954	1
CHH	none	2900	mean	downstream	0.0684455418990468	1
CG	none	3000	mean	downstream	0.435040471815935	1
CHG	none	3000	mean	downstream	0.15874482688901	1
CHH	none	3000	mean	downstream	0.0683244614711527	1
CG	none	3100	mean	downstream	0.438108518244047	1
CHG	none	3100	mean	downstream	0.157362674628577	1
CHH	none	3100	mean	downstream	0.0693377750033824	1
CG	none	3200	mean	downstream	0.440759202156052	1
CHG	none	3200	mean	downstream	0.156975286694714	1
CHH	none	3200	mean	downstream	0.0690950337545629	1
CG	none	3300	mean	downstream	0.441122824559379	1
CHG	none	3300	mean	downstream	0.15872750723002	1
CHH	none	3300	mean	downstream	0.067910529433802	1
CG	none	3400	mean	downstream	0.43533699369146	1
CHG	none	3400	mean	downstream	0.158794496363889	1
CHH	none	3400	mean	downstream	0.0675367857893915	1
CG	none	3500	mean	downstream	0.433658428061646	1
CHG	none	3500	mean	downstream	0.155686096736529	1
CHH	none	3500	mean	downstream	0.0678269251441733	1
CG	none	3600	mean	downstream	0.433974982508807	1
CHG	none	3600	mean	downstream	0.154726602565673	1
CHH	none	3600	mean	downstream	0.0677483070374415	1
CG	none	3700	mean	downstream	0.432875889629503	1
CHG	none	3700	mean	downstream	0.157738860946698	1
CHH	none	3700	mean	downstream	0.0677393555453527	1
CG	none	3800	mean	downstream	0.427041542552279	1
CHG	none	3800	mean	downstream	0.158793513573342	1
CHH	none	3800	mean	downstream	0.0682280767123636	1
CG	none	3900	mean	downstream	0.42821123132472	1
CHG	none	3900	mean	downstream	0.15772871113974	1
CHH	none	3900	mean	downstream	0.0686970072099608	1
CG	none	0	mean	inside	0.277368734855784	1
CHG	none	0	mean	inside	0.174361624855804	1
CHH	none	0	mean	inside	0.0678005423945338	1
CG	none	100	mean	inside	0.28795572060154	1
CHG	none	100	mean	inside	0.16934862946699	1
CHH	none	100	mean	inside	0.0651857847452846	1
CG	none	200	mean	inside	0.322146846918498	1
CHG	none	200	mean	inside	0.167061946854261	1
CHH	none	200	mean	inside	0.0650154863365777	1
CG	none	300	mean	inside	0.364336883450647	1
CHG	none	300	mean	inside	0.166105061949333	1
CHH	none	300	mean	inside	0.0659583193635566	1
CG	none	400	mean	inside	0.405310789947548	1
CHG	none	400	mean	inside	0.166317297053996	1
CHH	none	400	mean	inside	0.0665891973963171	1
CG	none	500	mean	inside	0.437767567780763	1
CHG	none	500	mean	inside	0.16310552369499	1
CHH	none	500	mean	inside	0.0653717087625503	1
CG	none	600	mean	inside	0.469871784812279	1
