context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.31542498355972	1
CHG	none	-100	mean	upstream	0.190410117154099	1
CHH	none	-100	mean	upstream	0.081170813310011	1
CG	none	-200	mean	upstream	0.357115835848409	1
CHG	none	-200	mean	upstream	0.203661316974291	1
CHH	none	-200	mean	upstream	0.0899799971798192	1
CG	none	-300	mean	upstream	0.387667884909968	1
CHG	none	-300	mean	upstream	0.220385363105914	1
CHH	none	-300	mean	upstream	0.0951855920063844	1
CG	none	-400	mean	upstream	0.407455303345696	1
CHG	none	-400	mean	upstream	0.225393401957128	1
CHH	none	-400	mean	upstream	0.0965715255775327	1
CG	none	-500	mean	upstream	0.419290079353783	1
CHG	none	-500	mean	upstream	0.228756450001329	1
CHH	none	-500	mean	upstream	0.0970263238661845	1
CG	none	-600	mean	upstream	0.42656750887608	1
CHG	none	-600	mean	upstream	0.221312176620458	1
CHH	none	-600	mean	upstream	0.0967509268821156	1
CG	none	-700	mean	upstream	0.434038386670959	1
CHG	none	-700	mean	upstream	0.218337095781499	1
CHH	none	-700	mean	upstream	0.0946811322991331	1
CG	none	-800	mean	upstream	0.436275532502429	1
CHG	none	-800	mean	upstream	0.212544972767062	1
CHH	none	-800	mean	upstream	0.0933490230838175	1
CG	none	-900	mean	upstream	0.44568726220944	1
CHG	none	-900	mean	upstream	0.211179639807866	1
CHH	none	-900	mean	upstream	0.0922708797171096	1
CG	none	-1000	mean	upstream	0.453854264255147	1
CHG	none	-1000	mean	upstream	0.210773638910713	1
CHH	none	-1000	mean	upstream	0.0917504409189172	1
CG	none	-1100	mean	upstream	0.457751189695882	1
CHG	none	-1100	mean	upstream	0.207749654326144	1
CHH	none	-1100	mean	upstream	0.0907631541377717	1
CG	none	-1200	mean	upstream	0.46180489678942	1
CHG	none	-1200	mean	upstream	0.200150358540716	1
CHH	none	-1200	mean	upstream	0.0891563686981227	1
CG	none	-1300	mean	upstream	0.465136462446455	1
CHG	none	-1300	mean	upstream	0.203445756227993	1
CHH	none	-1300	mean	upstream	0.0886901946921015	1
CG	none	-1400	mean	upstream	0.465552047406133	1
CHG	none	-1400	mean	upstream	0.200356945844678	1
CHH	none	-1400	mean	upstream	0.0879493389725435	1
CG	none	-1500	mean	upstream	0.467456885605662	1
CHG	none	-1500	mean	upstream	0.199836790057625	1
CHH	none	-1500	mean	upstream	0.0867472581243419	1
CG	none	-1600	mean	upstream	0.468303372708786	1
CHG	none	-1600	mean	upstream	0.197325341130855	1
CHH	none	-1600	mean	upstream	0.0862272323679605	1
CG	none	-1700	mean	upstream	0.472724257472917	1
CHG	none	-1700	mean	upstream	0.19550257640976	1
CHH	none	-1700	mean	upstream	0.0865846933162223	1
CG	none	-1800	mean	upstream	0.469406803323921	1
CHG	none	-1800	mean	upstream	0.195291867761487	1
CHH	none	-1800	mean	upstream	0.0864670532234423	1
CG	none	-1900	mean	upstream	0.468605778078684	1
CHG	none	-1900	mean	upstream	0.194729218496211	1
CHH	none	-1900	mean	upstream	0.0855939476523245	1
CG	none	-2000	mean	upstream	0.460440404100193	1
CHG	none	-2000	mean	upstream	0.193048046560259	1
CHH	none	-2000	mean	upstream	0.0847375305091222	1
CG	none	2000	mean	downstream	0.413837761470106	1
CHG	none	2000	mean	downstream	0.188263685130988	1
CHH	none	2000	mean	downstream	0.0813100382420397	1
