context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.331287902509575	1
CHG	none	-100	mean	upstream	0.215431917878765	1
CHH	none	-100	mean	upstream	0.1057243387795	1
CG	none	-200	mean	upstream	0.373973512898533	1
CHG	none	-200	mean	upstream	0.232757574569155	1
CHH	none	-200	mean	upstream	0.118382505423844	1
CG	none	-300	mean	upstream	0.409135902301566	1
CHG	none	-300	mean	upstream	0.25599297428475	1
CHH	none	-300	mean	upstream	0.125673362910873	1
CG	none	-400	mean	upstream	0.429702530921017	1
CHG	none	-400	mean	upstream	0.258963733691061	1
CHH	none	-400	mean	upstream	0.12721760655664	1
CG	none	-500	mean	upstream	0.442417414415274	1
CHG	none	-500	mean	upstream	0.265245984021769	1
CHH	none	-500	mean	upstream	0.128833499654337	1
CG	none	-600	mean	upstream	0.451695603801275	1
CHG	none	-600	mean	upstream	0.258677291173642	1
CHH	none	-600	mean	upstream	0.127950311669879	1
CG	none	-700	mean	upstream	0.45950290416699	1
CHG	none	-700	mean	upstream	0.254995885023576	1
CHH	none	-700	mean	upstream	0.126210032257057	1
CG	none	-800	mean	upstream	0.46210136056235	1
CHG	none	-800	mean	upstream	0.248409332772206	1
CHH	none	-800	mean	upstream	0.124094491851483	1
CG	none	-900	mean	upstream	0.47184211559074	1
CHG	none	-900	mean	upstream	0.248052527017499	1
CHH	none	-900	mean	upstream	0.122174626017661	1
CG	none	-1000	mean	upstream	0.478904785111368	1
CHG	none	-1000	mean	upstream	0.246563864833838	1
CHH	none	-1000	mean	upstream	0.121096470124013	1
CG	none	-1100	mean	upstream	0.482316649556629	1
CHG	none	-1100	mean	upstream	0.242401765823015	1
CHH	none	-1100	mean	upstream	0.119611384625179	1
CG	none	-1200	mean	upstream	0.484674341433316	1
CHG	none	-1200	mean	upstream	0.233309622884695	1
CHH	none	-1200	mean	upstream	0.117397643956188	1
CG	none	-1300	mean	upstream	0.485520219118683	1
CHG	none	-1300	mean	upstream	0.235342527251437	1
CHH	none	-1300	mean	upstream	0.116326190469088	1
CG	none	-1400	mean	upstream	0.486104598015789	1
CHG	none	-1400	mean	upstream	0.230441981301636	1
CHH	none	-1400	mean	upstream	0.114014511979388	1
CG	none	-1500	mean	upstream	0.489860027533897	1
CHG	none	-1500	mean	upstream	0.229712243498818	1
CHH	none	-1500	mean	upstream	0.112520588492151	1
CG	none	-1600	mean	upstream	0.488882027188596	1
CHG	none	-1600	mean	upstream	0.227845243147881	1
CHH	none	-1600	mean	upstream	0.112243877759926	1
CG	none	-1700	mean	upstream	0.491597548046001	1
CHG	none	-1700	mean	upstream	0.227247806402573	1
CHH	none	-1700	mean	upstream	0.113219796380742	1
CG	none	-1800	mean	upstream	0.485624006881607	1
CHG	none	-1800	mean	upstream	0.224216747096679	1
CHH	none	-1800	mean	upstream	0.112216117999365	1
CG	none	-1900	mean	upstream	0.487101919167681	1
CHG	none	-1900	mean	upstream	0.222434873333213	1
CHH	none	-1900	mean	upstream	0.110665452493558	1
CG	none	-2000	mean	upstream	0.481058423317155	1
CHG	none	-2000	mean	upstream	0.222668375153702	1
CHH	none	-2000	mean	upstream	0.108965450864989	1
CG	none	2000	mean	downstream	0.42077472506865	1
CHG	none	2000	mean	downstream	0.211748150935318	1
CHH	none	2000	mean	downstream	0.103184440472906	1
CG	none	2100	mean	downstream	0.436454114436084	1
CHG	none	2100	mean	downstream	0.213331812184531	1
CHH	none	2100	mean	downstream	0.106853804591919	1
CG	none	2200	mean	downstream	0.448469287364339	1
CHG	none	2200	mean	downstream	0.209520054000336	1
CHH	none	2200	mean	downstream	0.106062086173345	1
CG	none	2300	mean	downstream	0.460840927111219	1
CHG	none	2300	mean	downstream	0.20207934734197	1
CHH	none	2300	mean	downstream	0.106692924320478	1
CG	none	2400	mean	downstream	0.469847748112948	1
CHG	none	2400	mean	downstream	0.204282034482474	1
CHH	none	2400	mean	downstream	0.104020213555454	1
CG	none	2500	mean	downstream	0.474319565147725	1
CHG	none	2500	mean	downstream	0.206731830881268	1
CHH	none	2500	mean	downstream	0.105036568858721	1
CG	none	2600	mean	downstream	0.480307782933674	1
CHG	none	2600	mean	downstream	0.205425669030778	1
CHH	none	2600	mean	downstream	0.103562100587013	1
CG	none	2700	mean	downstream	0.483690595328135	1
CHG	none	2700	mean	downstream	0.207112026697963	1
CHH	none	2700	mean	downstream	0.103818106317574	1
CG	none	2800	mean	downstream	0.487984355891956	1
CHG	none	2800	mean	downstream	0.203986923060678	1
CHH	none	2800	mean	downstream	0.102650215370339	1
CG	none	2900	mean	downstream	0.489078639326232	1
CHG	none	2900	mean	downstream	0.20706850738126	1
CHH	none	2900	mean	downstream	0.102307932316559	1
CG	none	3000	mean	downstream	0.485154788414727	1
CHG	none	3000	mean	downstream	0.207234923358808	1
CHH	none	3000	mean	downstream	0.102118460293212	1
CG	none	3100	mean	downstream	0.485990752766743	1
CHG	none	3100	mean	downstream	0.203955033437574	1
CHH	none	3100	mean	downstream	0.102103833928278	1
CG	none	3200	mean	downstream	0.485556856372757	1
CHG	none	3200	mean	downstream	0.201100961987178	1
CHH	none	3200	mean	downstream	0.101238971137229	1
CG	none	3300	mean	downstream	0.486448226910412	1
CHG	none	3300	mean	downstream	0.203103986758605	1
CHH	none	3300	mean	downstream	0.100337713780052	1
CG	none	3400	mean	downstream	0.484075251206197	1
CHG	none	3400	mean	downstream	0.203955520387191	1
CHH	none	3400	mean	downstream	0.0995224313151551	1
CG	none	3500	mean	downstream	0.479805944721422	1
CHG	none	3500	mean	downstream	0.20218842947447	1
CHH	none	3500	mean	downstream	0.0999240238020726	1
CG	none	3600	mean	downstream	0.48497366286997	1
CHG	none	3600	mean	downstream	0.201482238208862	1
CHH	none	3600	mean	downstream	0.100361689613889	1
CG	none	3700	mean	downstream	0.478871959571196	1
CHG	none	3700	mean	downstream	0.204314519010129	1
CHH	none	3700	mean	downstream	0.101254925130891	1
CG	none	3800	mean	downstream	0.480462423972088	1
CHG	none	3800	mean	downstream	0.204666794646973	1
CHH	none	3800	mean	downstream	0.101434962095866	1
CG	none	3900	mean	downstream	0.473516535817719	1
CHG	none	3900	mean	downstream	0.202511449368105	1
CHH	none	3900	mean	downstream	0.101244071900391	1
CG	none	0	mean	inside	0.337485661287423	1
CHG	none	0	mean	inside	0.228784590180221	1
CHH	none	0	mean	inside	0.101135054240162	1
CG	none	100	mean	inside	0.345555950259324	1
CHG	none	100	mean	inside	0.227740210254572	1
CHH	none	100	mean	inside	0.0970134416195667	1
CG	none	200	mean	inside	0.377267816621662	1
CHG	none	200	mean	inside	0.222903989400096	1
CHH	none	200	mean	inside	0.0947003019681506	1
CG	none	300	mean	inside	0.417185213780792	1
CHG	none	300	mean	inside	0.223605054980752	1
CHH	none	300	mean	inside	0.0963968001123986	1
CG	none	400	mean	inside	0.456984993712454	1
CHG	none	400	mean	inside	0.225209242268826	1
CHH	none	400	mean	inside	0.096595402468555	1
CG	none	500	mean	inside	0.494998259554878	1
CHG	none	500	mean	inside	0.224612183591867	1
CHH	none	500	mean	inside	0.0963452421375141	1
CG	none	600	mean	inside	0.523820018422807	1
CHG	none	600	mean	inside	0.221421894223983	1
CHH	none	600	mean	inside	0.095976758249795	1
CG	none	700	mean	inside	0.548646034066212	1
CHG	none	700	mean	inside	0.21883196329077	1
CHH	none	700	mean	inside	0.0955726920471715	1
CG	none	800	mean	inside	0.563220078339514	1
CHG	none	800	mean	inside	0.216591455377024	1
CHH	none	800	mean	inside	0.0944395766069296	1
CG	none	900	mean	inside	0.578134170286272	1
CHG	none	900	mean	inside	0.216363018340557	1
CHH	none	900	mean	inside	0.0947188240980456	1
CG	none	1000	mean	inside	0.58886155546549	1
CHG	none	1000	mean	inside	0.219299249606372	1
CHH	none	1000	mean	inside	0.0939973591592774	1
CG	none	1100	mean	inside	0.60142608653824	1
CHG	none	1100	mean	inside	0.219701972319932	1
CHH	none	1100	mean	inside	0.094000172500814	1
CG	none	1200	mean	inside	0.611168138735234	1
CHG	none	1200	mean	inside	0.216952402431192	1
CHH	none	1200	mean	inside	0.0937239449667011	1
CG	none	1300	mean	inside	0.613015011977537	1
CHG	none	1300	mean	inside	0.215600208090352	1
CHH	none	1300	mean	inside	0.0922413423461641	1
CG	none	1400	mean	inside	0.616551491209875	1
CHG	none	1400	mean	inside	0.213150567113746	1
CHH	none	1400	mean	inside	0.0922553541731209	1
CG	none	1500	mean	inside	0.615577233160305	1
CHG	none	1500	mean	inside	0.213428765888634	1
CHH	none	1500	mean	inside	0.0915674589953877	1
CG	none	1600	mean	inside	0.615345549329086	1
CHG	none	1600	mean	inside	0.214617095263278	1
CHH	none	1600	mean	inside	0.0932951201214531	1
CG	none	1700	mean	inside	0.60328919401338	1
CHG	none	1700	mean	inside	0.21660204642667	1
CHH	none	1700	mean	inside	0.0933174543813567	1
CG	none	1800	mean	inside	0.574654858143572	1
CHG	none	1800	mean	inside	0.224678778410054	1
CHH	none	1800	mean	inside	0.0962035091771893	1
CG	none	1900	mean	inside	0.499792157103059	1
CHG	none	1900	mean	inside	0.230967556565383	1
CHH	none	1900	mean	inside	0.104252312115834	1
