context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.272552061508188	1
CHG	none	-100	mean	upstream	0.147479866490749	1
CHH	none	-100	mean	upstream	0.0651460779994803	1
CG	none	-200	mean	upstream	0.31215353929871	1
CHG	none	-200	mean	upstream	0.158482059268246	1
CHH	none	-200	mean	upstream	0.0738560372665887	1
CG	none	-300	mean	upstream	0.338585196929595	1
CHG	none	-300	mean	upstream	0.170947719692764	1
CHH	none	-300	mean	upstream	0.0770084353631523	1
CG	none	-400	mean	upstream	0.356002770261763	1
CHG	none	-400	mean	upstream	0.175545964193022	1
CHH	none	-400	mean	upstream	0.0797023577966491	1
CG	none	-500	mean	upstream	0.367225243649995	1
CHG	none	-500	mean	upstream	0.177448112095985	1
CHH	none	-500	mean	upstream	0.0805440045473826	1
CG	none	-600	mean	upstream	0.36842805319306	1
CHG	none	-600	mean	upstream	0.169050241692096	1
CHH	none	-600	mean	upstream	0.0795913247642697	1
CG	none	-700	mean	upstream	0.370790366287833	1
CHG	none	-700	mean	upstream	0.166981457904335	1
CHH	none	-700	mean	upstream	0.0775797773490418	1
CG	none	-800	mean	upstream	0.376006737515885	1
CHG	none	-800	mean	upstream	0.163416221163184	1
CHH	none	-800	mean	upstream	0.0772256893635397	1
CG	none	-900	mean	upstream	0.384875474911058	1
CHG	none	-900	mean	upstream	0.16179033207655	1
CHH	none	-900	mean	upstream	0.0754952058748897	1
CG	none	-1000	mean	upstream	0.388191360786005	1
CHG	none	-1000	mean	upstream	0.161452965904955	1
CHH	none	-1000	mean	upstream	0.0752625322440062	1
CG	none	-1100	mean	upstream	0.395316978507483	1
CHG	none	-1100	mean	upstream	0.157809834499972	1
CHH	none	-1100	mean	upstream	0.0734218018376059	1
CG	none	-1200	mean	upstream	0.402646060724671	1
CHG	none	-1200	mean	upstream	0.155025417879825	1
CHH	none	-1200	mean	upstream	0.0724625506657203	1
CG	none	-1300	mean	upstream	0.400254885825024	1
CHG	none	-1300	mean	upstream	0.156578751288705	1
CHH	none	-1300	mean	upstream	0.0731835685556005	1
CG	none	-1400	mean	upstream	0.406350891112365	1
CHG	none	-1400	mean	upstream	0.154691625858984	1
CHH	none	-1400	mean	upstream	0.0721059636712695	1
CG	none	-1500	mean	upstream	0.40874582134539	1
CHG	none	-1500	mean	upstream	0.154768222643795	1
CHH	none	-1500	mean	upstream	0.0705480274035732	1
CG	none	-1600	mean	upstream	0.409664735050293	1
CHG	none	-1600	mean	upstream	0.152572016126242	1
CHH	none	-1600	mean	upstream	0.0714469951509796	1
CG	none	-1700	mean	upstream	0.405468898975278	1
CHG	none	-1700	mean	upstream	0.148061699326319	1
CHH	none	-1700	mean	upstream	0.0710818279292032	1
CG	none	-1800	mean	upstream	0.403248201684007	1
CHG	none	-1800	mean	upstream	0.148473641270909	1
CHH	none	-1800	mean	upstream	0.0689496268438479	1
CG	none	-1900	mean	upstream	0.405952210025568	1
CHG	none	-1900	mean	upstream	0.146163404091596	1
CHH	none	-1900	mean	upstream	0.0689432642586717	1
CG	none	-2000	mean	upstream	0.403332258157328	1
CHG	none	-2000	mean	upstream	0.147643932910901	1
CHH	none	-2000	mean	upstream	0.0686424880056498	1
CG	none	2000	mean	downstream	0.358849185919126	1
CHG	none	2000	mean	downstream	0.145385419460503	1
CHH	none	2000	mean	downstream	0.0641060768604149	1
CG	none	2100	mean	downstream	0.370594717949815	1
CHG	none	2100	mean	downstream	0.143967387437555	1
CHH	none	2100	mean	downstream	0.06651314752182	1
CG	none	2200	mean	downstream	0.384446178101385	1
CHG	none	2200	mean	downstream	0.142644736527053	1
CHH	none	2200	mean	downstream	0.0669786209439444	1
CG	none	2300	mean	downstream	0.3924782075688	1
CHG	none	2300	mean	downstream	0.138107662244539	1
CHH	none	2300	mean	downstream	0.0660250733912822	1
CG	none	2400	mean	downstream	0.400047682947104	1
CHG	none	2400	mean	downstream	0.138816035310085	1
CHH	none	2400	mean	downstream	0.0650638937876493	1
CG	none	2500	mean	downstream	0.400219119220548	1
CHG	none	2500	mean	downstream	0.14007531701279	1
CHH	none	2500	mean	downstream	0.0648795704323027	1
CG	none	2600	mean	downstream	0.401782198112753	1
CHG	none	2600	mean	downstream	0.137244267930867	1
CHH	none	2600	mean	downstream	0.0646358467807339	1
