seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	rawDiff
scaffold_9	64777	66230	1454	*	58	31.8648432622692	-1.55551981622266	-43.9396030511132	4.13308534821244e-05	0.000777678614008434	5181530	5181587	58	-0.579914293973115
scaffold_134	308425	309256	832	*	31	16.3310951344717	-1.60493262323104	-40.3937526317511	4.13308534821244e-05	0.000777678614008434	844658	844688	31	-0.612396252380622
scaffold_177	197693	198685	993	*	73	28.4392807070885	-1.30003691259619	-39.5186445307368	4.13308534821244e-05	0.000777678614008434	1546393	1546465	73	-0.457341150219139
scaffold_181	253900	259155	5256	*	159	78.0913562660208	-1.33104727481014	-38.9695839400413	4.13308534821244e-05	0.000777678614008434	1627190	1627348	159	-0.471574710380706
scaffold_17	771868	773867	2000	*	85	39.8932925234019	-1.38817665538337	-35.7831004370554	4.13308534821244e-05	0.000777678614008434	1442929	1443013	85	-0.507685873769878
scaffold_41	920233	921814	1582	*	97	45.3760852164135	-1.24427203886407	-35.3807200420758	4.13308534821244e-05	0.000777678614008434	3648676	3648772	97	-0.465279403166259
scaffold_18	566500	567044	545	*	25	9.7651725072231	-1.33579994002623	-34.8617125256512	4.13308534821244e-05	0.000777678614008434	1584606	1584630	25	-0.4872786790571
scaffold_916	795	1906	1112	*	43	27.1865235367758	-1.53676956618595	-33.5412316912916	4.13308534821244e-05	0.000777678614008434	5281099	5281141	43	-0.580260731563127
scaffold_70	123127	123387	261	*	12	8.62674601354264	-1.97297855779236	-33.3036431847958	4.13308534821244e-05	0.000777678614008434	4711512	4711523	12	-0.736041997522365
scaffold_7	584985	586123	1139	*	25	14.9850574832813	-1.69303086552565	-33.0324439839957	4.13308534821244e-05	0.000777678614008434	4662128	4662152	25	-0.653425323562877
scaffold_17	769506	771033	1528	*	57	32.3279764924515	-1.50509897599393	-31.7020935272548	4.13308534821244e-05	0.000777678614008434	1442825	1442881	57	-0.591742837519358
scaffold_177	191069	192647	1579	*	78	33.5974517827445	-1.20386119915675	-31.2772079696701	4.13308534821244e-05	0.000777678614008434	1546069	1546146	78	-0.398949430389593
scaffold_4	1681684	1682974	1291	*	42	27.9577068790955	-1.72963391659178	-31.0211707337424	4.13308534821244e-05	0.000777678614008434	3549304	3549345	42	-0.679592733080117
scaffold_233	38171	40422	2252	*	77	34.9082226300224	-1.35466068306206	-30.3762064809635	4.13308534821244e-05	0.000777678614008434	2321940	2322016	77	-0.424441341156862
scaffold_97	473264	474552	1289	*	31	14.1402820670761	-1.40418583128202	-29.6405528247005	4.13308534821244e-05	0.000777678614008434	5380149	5380179	31	-0.503304884535877
scaffold_402	2177	2940	764	*	38	9.56292357226868	-0.858853200063003	-29.242260447442	4.13308534821244e-05	0.000777678614008434	3613414	3613451	38	-0.289969259602459
scaffold_122	184611	185243	633	*	38	21.8964555350841	-1.52069027897237	-29.1918573133708	4.13308534821244e-05	0.000777678614008434	628463	628500	38	-0.485485976893749
scaffold_177	200008	201205	1198	*	50	20.8055588483851	-1.24233047104036	-29.181128528923	4.13308534821244e-05	0.000777678614008434	1546551	1546600	50	-0.385393471988407
scaffold_11	1493912	1494628	717	*	22	13.3211547382692	-1.7155230460023	-29.1335376386987	4.13308534821244e-05	0.000777678614008434	389178	389199	22	-0.579416769158543
scaffold_18	569436	570513	1078	*	59	23.9694970188604	-1.20304393096478	-29.0544475642304	4.13308534821244e-05	0.000777678614008434	1584757	1584815	59	-0.381938701691609
scaffold_1564	1775	1990	216	*	8	6.80465543012297	-2.09749815770706	-28.9928606445504	4.13308534821244e-05	0.000777678614008434	1229387	1229394	8	-0.842678290345041
scaffold_64	236776	237489	714	*	37	22.7936629510732	-1.62291383974807	-28.5064450316793	4.13308534821244e-05	0.000777678614008434	4507075	4507111	37	-0.571908822960056
scaffold_325	90490	91473	984	*	44	16.1818881956981	-1.24388347034843	-28.1376703989509	4.13308534821244e-05	0.000777678614008434	3133124	3133167	44	-0.435479914254695
scaffold_95	275678	276504	827	*	48	21.1494961594842	-1.35193458013573	-27.880891117774	4.13308534821244e-05	0.000777678614008434	5340238	5340285	48	-0.453277444074893
scaffold_273	57341	58080	740	*	36	18.2521635542602	-1.48335409224493	-27.7778157329986	4.13308534821244e-05	0.000777678614008434	2676661	2676696	36	-0.515486918275878
scaffold_72	610422	611561	1140	*	33	15.817682201135	-1.43417187629305	-27.5348570449435	4.13308534821244e-05	0.000777678614008434	4766312	4766344	33	-0.556028091940463
scaffold_86	236529	237173	645	*	27	12.4116440790172	-1.33990184015733	-27.2491894502408	4.13308534821244e-05	0.000777678614008434	5112797	5112823	27	-0.499603172302879
scaffold_150	62476	63246	771	*	36	13.638270101061	-1.13455990132869	-27.1733399294694	4.13308534821244e-05	0.000777678614008434	1148603	1148638	36	-0.370189355928719
scaffold_17	1501696	1503614	1919	*	63	28.2941773061805	-1.31760633488166	-27.0194444788234	4.13308534821244e-05	0.000777678614008434	1463453	1463515	63	-0.431122144025134
scaffold_100	90261	92375	2115	*	128	49.2671220309102	-0.989530898365775	-27.0067529567391	4.13308534821244e-05	0.000777678614008434	196503	196630	128	-0.37016613173916
scaffold_140	414953	415336	384	*	14	9.47744036583091	-1.7896525943087	-26.2199814748216	4.13308534821244e-05	0.000777678614008434	985479	985492	14	-0.716111295378489
