seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	rawDiff
scaffold_2328	303151	307985	4835	*	286	193.282585160931	-1.7811000952838	-87.5996183667987	3.27128790604861e-05	0.000789083559393595	5062213	5062498	286	-0.66953446657448
scaffold_2251	412504	417457	4954	*	316	164.026142139075	-1.45098997815842	-76.5540244076781	3.27128790604861e-05	0.000789083559393595	1783540	1783855	316	-0.500677593296656
scaffold_2280	446616	450217	3602	*	232	84.9629342537139	-1.1394321685311	-59.9376098457562	3.27128790604861e-05	0.000789083559393595	3659593	3659824	232	-0.351882143964837
scaffold_2311	65291	71123	5833	*	402	158.906558781377	-1.15336092012716	-59.5748507813379	3.27128790604861e-05	0.000789083559393595	4679801	4680202	402	-0.395127196606452
scaffold_2242	4471154	4475469	4316	*	339	128.195686122425	-1.05893495896676	-56.5819111743929	3.27128790604861e-05	0.000789083559393595	748163	748501	339	-0.350276754854208
scaffold_2327	222795	227599	4805	*	367	120.553100409782	-1.09906838182545	-55.7617148665132	3.27128790604861e-05	0.000789083559393595	5039091	5039457	367	-0.333046459180777
scaffold_2691	1156	6203	5048	*	324	134.545814058432	-1.22667236584712	-47.3246864149465	3.27128790604861e-05	0.000789083559393595	6532447	6532770	324	-0.417693353147697
scaffold_2251	409193	410965	1773	*	132	66.3435773031973	-1.41637394238173	-45.9955670983541	3.27128790604861e-05	0.000789083559393595	1783305	1783436	132	-0.516651779244266
scaffold_2294	421965	425229	3265	*	229	92.4194187711262	-1.27046838405271	-45.5283342925666	3.27128790604861e-05	0.000789083559393595	4201732	4201960	229	-0.425508378089691
scaffold_2274	540406	546357	5952	*	388	118.38666301229	-1.04965607325111	-43.9496490312338	3.27128790604861e-05	0.000789083559393595	3400243	3400630	388	-0.339658001679243
scaffold_2342	189796	192540	2745	*	154	79.8350616541142	-1.36352465819969	-43.6155818763023	3.27128790604861e-05	0.000789083559393595	5290855	5291008	154	-0.511565117732019
scaffold_2253	2187121	2190974	3854	*	189	84.3568037798712	-1.32382404930003	-42.0159292946185	3.27128790604861e-05	0.000789083559393595	2065932	2066120	189	-0.43040095049085
scaffold_2262	1191434	1194859	3426	*	144	51.6974562036674	-1.14929785936722	-39.4421842228477	3.27128790604861e-05	0.000789083559393595	2718295	2718438	144	-0.347156383936301
scaffold_2276	1220269	1224315	4047	*	259	96.0413133066593	-1.12846084365681	-39.2556925442598	3.27128790604861e-05	0.000789083559393595	3503677	3503935	259	-0.365379460561703
scaffold_2346	322400	323198	799	*	61	38.1902824606799	-1.61153692926285	-39.1313110523829	3.27128790604861e-05	0.000789083559393595	5361115	5361175	61	-0.612586865224855
scaffold_2340	323872	325361	1490	*	101	43.7986997305322	-1.21664556507711	-37.0281273956008	3.27128790604861e-05	0.000789083559393595	5262772	5262872	101	-0.403080303257841
scaffold_2250	1951866	1954226	2361	*	190	47.982792541043	-0.905895010713505	-36.9667504618493	3.27128790604861e-05	0.000789083559393595	1742709	1742898	190	-0.24898205394866
scaffold_2434	26693	31984	5292	*	295	145.533854842468	-1.33290458549779	-36.4017922603666	3.27128790604861e-05	0.000789083559393595	6188113	6188407	295	-0.490103089375223
scaffold_2247	1185348	1187783	2436	*	150	61.8254058832379	-1.13574365223543	-36.2955305838438	3.27128790604861e-05	0.000789083559393595	1376936	1377085	150	-0.418551662325319
scaffold_2382	77021	79132	2112	*	128	62.3241272513389	-1.29162002179312	-35.8720770005673	3.27128790604861e-05	0.000789083559393595	5832392	5832519	128	-0.46502894899784
scaffold_2274	506875	509704	2830	*	111	56.1195822269381	-1.45010166059786	-35.3841137969943	3.27128790604861e-05	0.000789083559393595	3399546	3399656	111	-0.509933348366405
scaffold_2340	327947	330702	2756	*	200	78.5882684784906	-1.1603795459954	-35.0311134343997	3.27128790604861e-05	0.000789083559393595	5263006	5263205	200	-0.334540960753877
scaffold_2253	412154	416612	4459	*	251	78.1311557835609	-0.993395115889359	-34.8907999988066	3.27128790604861e-05	0.000789083559393595	1989006	1989256	251	-0.315674440021295
scaffold_2280	479983	480230	248	*	9	7.70838346254174	-2.55266339599502	-34.4924858565879	3.27128790604861e-05	0.000789083559393595	3660521	3660529	9	-0.956138328093952
scaffold_2273	276759	278955	2197	*	158	62.5679463692353	-1.10771476483632	-33.9939530346051	3.27128790604861e-05	0.000789083559393595	3349552	3349709	158	-0.387737635772925
scaffold_2251	661425	663169	1745	*	98	23.2791169084705	-0.82130073672889	-33.5096637485235	3.27128790604861e-05	0.000789083559393595	1794174	1794271	98	-0.232089736262377
scaffold_2289	197495	199177	1683	*	99	39.3745114517698	-1.24775070077662	-33.3505705990305	3.27128790604861e-05	0.000789083559393595	4016318	4016416	99	-0.438680166257848
scaffold_2283	42214	45755	3542	*	125	55.1465007443403	1.12200240327165	33.2556739017196	3.27128790604861e-05	0.000789083559393595	3777263	3777387	125	0.432501563986706
scaffold_2267	722106	722930	825	*	38	24.7769304868917	-1.68453792462688	-32.7078908492989	3.27128790604861e-05	0.000789083559393595	3025615	3025652	38	-0.617747044318482
scaffold_2293	272610	274245	1636	*	115	69.7357150002231	-1.74747679368342	-32.6411995356092	3.27128790604861e-05	0.000789083559393595	4154214	4154328	115	-0.549177887312958
scaffold_2306	609809	610463	655	*	18	11.1210088661647	-1.57144481443211	-32.5250048220926	3.27128790604861e-05	0.000789083559393595	4572933	4572950	18	-0.627411946493698
scaffold_2286	476613	478091	1479	*	77	43.3672790714174	-1.55076313807375	-31.1717122157175	3.27128790604861e-05	0.000789083559393595	3925548	3925624	77	-0.546840109495391
scaffold_2298	287504	288387	884	*	43	34.6641998000855	-2.13197457872497	-31.1014808606195	3.27128790604861e-05	0.000789083559393595	4327202	4327244	43	-0.719951203866938
scaffold_2302	237	529	293	*	21	14.3757759971295	1.94331661967545	30.9699606940225	3.27128790604861e-05	0.000789083559393595	4434259	4434279	21	0.712616392717071
scaffold_2458	956	2271	1316	*	79	31.2866514395587	-1.25250362986421	-30.9417181414868	3.27128790604861e-05	0.000789083559393595	6280386	6280464	79	-0.403730888376303
scaffold_2359	313667	317297	3631	*	189	89.6872841689757	-1.30403862576031	-30.6629404442451	3.27128790604861e-05	0.000789083559393595	5565197	5565385	189	-0.460805339090795
scaffold_2315	533790	534675	886	*	56	23.2514626890948	-1.30023036430564	-30.4046264375875	3.27128790604861e-05	0.000789083559393595	4786323	4786378	56	-0.388985903246082
scaffold_2340	255415	255646	232	*	21	10.6010545261674	-2.06867199092969	-30.0593988927549	3.27128790604861e-05	0.000789083559393595	5260545	5260565	21	-0.781518129137177
scaffold_2300	745661	746417	757	*	57	21.9669071229864	-1.10116293840778	-30.0062812838145	3.27128790604861e-05	0.000789083559393595	4402245	4402301	57	-0.380531127802254
scaffold_2241	5131936	5133083	1148	*	65	37.0200048513611	-1.53532628083408	-29.9462834950966	3.27128790604861e-05	0.000789083559393595	505852	505916	65	-0.485549854730687
scaffold_2299	145963	148067	2105	*	167	44.4888706461041	-0.793793171027213	-29.8997871745089	3.27128790604861e-05	0.000789083559393595	4349361	4349527	167	-0.257849663018209
scaffold_2740	5888	7026	1139	*	101	57.3273857304685	-1.68913127124126	-29.6564818391059	3.27128790604861e-05	0.000789083559393595	6545382	6545482	101	-0.56699552354974
scaffold_2290	2964	4212	1249	*	91	41.1708891532352	-1.2198766305402	-29.6338577804334	3.27128790604861e-05	0.000789083559393595	4043802	4043892	91	-0.412990133732761
scaffold_2253	404369	405892	1524	*	104	42.7049378775356	-1.17256235835688	-29.5517405187677	3.27128790604861e-05	0.000789083559393595	1988679	1988782	104	-0.384189134950934
scaffold_2307	595982	597011	1030	*	65	26.8866559443675	-1.31783015461753	-29.395448041542	3.27128790604861e-05	0.000789083559393595	4598502	4598566	65	-0.399880884378619
scaffold_2273	1072149	1073926	1778	*	115	34.7848952927082	-0.926067373903522	-29.1004149594195	3.27128790604861e-05	0.000789083559393595	3379972	3380086	115	-0.290336050044515
scaffold_2367	276464	278140	1677	*	102	38.4098742646604	-1.09217048375295	-28.8074158543237	3.27128790604861e-05	0.000789083559393595	5670877	5670978	102	-0.353480279727933
scaffold_2286	835077	835821	745	*	27	15.0925748877492	-1.47788771420547	-28.7875245446204	3.27128790604861e-05	0.000789083559393595	3935400	3935426	27	-0.564197924738524
scaffold_2370	202109	204617	2509	*	115	36.5622099571094	-1.08045993453835	-28.7289472358096	3.27128790604861e-05	0.000789083559393595	5707722	5707836	115	-0.276421468104768
scaffold_2245	918739	919653	915	*	52	20.8277678944587	-1.20670413715097	-28.7118139826156	3.27128790604861e-05	0.000789083559393595	1091008	1091059	52	-0.409972064230852
scaffold_2324	120034	121269	1236	*	86	24.8753388075266	-1.00802098634809	-28.5975643711946	3.27128790604861e-05	0.000789083559393595	4974623	4974708	86	-0.338616687525819
scaffold_2375	176397	177326	930	*	39	13.6062821625651	-1.14006953596368	-28.0000080344771	3.27128790604861e-05	0.000789083559393595	5765223	5765261	39	-0.348281728218626
scaffold_2242	488091	490280	2190	*	82	27.6457261437846	-1.08854596313654	-27.976876733411	3.27128790604861e-05	0.000789083559393595	574334	574415	82	-0.288870046766779
scaffold_2275	497985	498443	459	*	30	11.5617264032771	-1.4462914155703	-27.8344560389232	3.27128790604861e-05	0.000789083559393595	3424690	3424719	30	-0.515790103049834
scaffold_2285	801904	803050	1147	*	46	16.6629635214103	-1.12952652985963	-27.3826896330333	3.27128790604861e-05	0.000789083559393595	3899559	3899604	46	-0.400229958556506
scaffold_2276	802260	803789	1530	*	96	32.1125603302882	-1.01586384618269	-27.2505413866551	3.27128790604861e-05	0.000789083559393595	3487081	3487176	96	-0.335584577602458
scaffold_2325	450268	451569	1302	*	68	22.0499045118161	-1.09364041072184	-27.2125389923491	3.27128790604861e-05	0.000789083559393595	5007521	5007588	68	-0.325380439132091
scaffold_2249	21693	22185	493	*	60	13.9643882518733	-0.813880654326872	-26.9370936422753	3.27128790604861e-05	0.000789083559393595	1549097	1549156	60	-0.260746514813207
scaffold_2387	194643	195857	1215	*	68	31.487636747393	1.3605770398011	26.7465751248944	3.27128790604861e-05	0.000789083559393595	5885499	5885566	68	0.485068224930979
scaffold_2301	414912	415783	872	*	63	19.3467694181972	-1.19338516685982	-26.7444671858151	3.27128790604861e-05	0.000789083559393595	4418688	4418750	63	-0.297124932706565
scaffold_2335	114675	114845	171	*	11	3.14016452924309	-2.28163391326969	-26.5497950708701	3.27128790604861e-05	0.000789083559393595	5190111	5190121	11	-0.842834942834943
scaffold_2273	436283	439365	3083	*	179	45.8369784764536	-0.768698734457963	-26.4562271243677	3.27128790604861e-05	0.000789083559393595	3355583	3355761	179	-0.242714796999677
scaffold_2292	722051	724360	2310	*	102	29.1378376182669	-0.926065588177233	-26.3087589533263	3.27128790604861e-05	0.000789083559393595	4136461	4136562	102	-0.275846957393582
scaffold_3510	87	283	197	*	16	5.55049065064759	-1.03098952076333	-26.0737112690387	3.27128790604861e-05	0.000789083559393595	6636981	6636996	16	-0.330120600247382
scaffold_2247	599791	600880	1090	*	35	17.7995182993933	-1.61375160738578	-25.6634819711933	3.27128790604861e-05	0.000789083559393595	1355558	1355592	35	-0.514428162805424
scaffold_2317	502866	503889	1024	*	46	20.95851178291	-1.32399182110738	-25.6337313646728	3.27128790604861e-05	0.000789083559393595	4825952	4825997	46	-0.445198165666425
scaffold_3330	2050	2185	136	*	12	7.1952934028535	-1.6049293382887	-25.191433134759	3.27128790604861e-05	0.000789083559393595	6626074	6626085	12	-0.601907870514593
scaffold_2315	540259	541500	1242	*	69	17.0753130765225	-0.867974998146771	-25.0967165572101	3.27128790604861e-05	0.000789083559393595	4786596	4786664	69	-0.272556535843335
scaffold_2253	396139	396879	741	*	26	14.3884452085792	-1.53141303601831	-25.0896015548527	3.27128790604861e-05	0.000789083559393595	1988357	1988382	26	-0.578563064620119
scaffold_2463	22317	23746	1430	*	121	41.0221430227877	-1.15502458498277	-24.869967543266	3.27128790604861e-05	0.000789083559393595	6297893	6298013	121	-0.343730679440896
scaffold_3689	941	1356	416	*	31	19.7373238354776	-1.70648694150712	-24.7083773770441	3.27128790604861e-05	0.000789083559393595	6645292	6645322	31	-0.661244343115411
scaffold_2729	10508	10962	455	*	29	10.2322963936623	-1.08289792351827	-24.456668422061	3.27128790604861e-05	0.000789083559393595	6542371	6542399	29	-0.357586763121413
scaffold_2431	15431	16419	989	*	62	18.8627591172631	-0.941349930719398	-24.4535309657238	3.27128790604861e-05	0.000789083559393595	6175155	6175216	62	-0.320198699052344
scaffold_2306	199107	200490	1384	*	86	30.2485617961366	-1.13144140405029	-24.4423149568845	3.27128790604861e-05	0.000789083559393595	4558699	4558784	86	-0.374075248480633
scaffold_2592	6085	7256	1172	*	57	20.1871600866886	-1.16461956366535	-24.317218082414	3.27128790604861e-05	0.000789083559393595	6487751	6487807	57	-0.342889766442029
scaffold_2263	71925	73773	1849	*	71	30.3110709254365	-1.21857424689824	-24.2993118774208	3.27128790604861e-05	0.000789083559393595	2737829	2737899	71	-0.419158186482808
scaffold_2287	706089	706942	854	*	26	9.81754822687916	-1.16436904212823	-24.0105168020107	3.27128790604861e-05	0.000789083559393595	3969837	3969862	26	-0.400449654588764
scaffold_2301	417467	418133	667	*	45	10.8231994125704	-1.02455022667815	-23.9550355253848	3.27128790604861e-05	0.000789083559393595	4418866	4418910	45	-0.303718639587477
scaffold_2313	170738	171937	1200	*	63	26.8703391532087	-1.24659905912003	-23.9538040384359	3.27128790604861e-05	0.000789083559393595	4728173	4728235	63	-0.380538364542955
scaffold_2292	617669	618250	582	*	22	15.2447774100671	-1.94363427698814	-23.8659236494704	3.27128790604861e-05	0.000789083559393595	4133238	4133259	22	-0.738663966504876
scaffold_2267	595716	596501	786	*	28	14.3939658666695	-1.50151121902379	-23.6908665299194	3.27128790604861e-05	0.000789083559393595	3020830	3020857	28	-0.541114326462003
scaffold_2303	572743	573664	922	*	32	14.0756324138081	-1.42226547496647	-23.5281067340199	3.27128790604861e-05	0.000789083559393595	4484567	4484598	32	-0.501739646434448
scaffold_2248	2060813	2061468	656	*	46	19.1374228723766	-1.37840888576211	-23.5136313959532	3.27128790604861e-05	0.000789083559393595	1520663	1520708	46	-0.408179611044893
scaffold_2352	304848	308203	3356	*	137	53.3043918201572	0.836631123969149	23.441895616906	3.27128790604861e-05	0.000789083559393595	5452771	5452907	137	0.385963493263094
scaffold_2361	265540	266577	1038	*	73	26.6353022670647	-1.08457979213851	-23.3817194955009	3.27128790604861e-05	0.000789083559393595	5589055	5589127	73	-0.36856449930895
