seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_2251,412671,417381,4711,*,1212,163.956650621094,-0.545813340225085,-72.7314434107782,6.75904021628929e-05,0.000709135246312353,8694534,8695745,1212
scaffold_2730,1148,4703,3556,*,888,128.297516381179,-0.472699346153296,-68.911367142515,6.75904021628929e-05,0.000709135246312353,33056060,33056947,888
scaffold_2328,302729,308272,5544,*,1446,209.570218676568,-0.522305627631925,-62.0920370459983,6.75904021628929e-05,0.000709135246312353,25513176,25514621,1446
scaffold_2348,395077,399158,4082,*,839,143.727886345927,-0.532014171016148,-60.7069009279218,6.75904021628929e-05,0.000709135246312353,27260653,27261491,839
scaffold_2348,405399,408101,2703,*,573,96.7060710355536,-0.512847682502207,-53.7076753337995,6.75904021628929e-05,0.000709135246312353,27261492,27262064,573
scaffold_2293,272518,273986,1469,*,395,199.279974470739,-1.50108929627731,-47.8448314422598,6.75904021628929e-05,0.000709135246312353,20787564,20787958,395
scaffold_2311,65790,69129,3340,*,955,124.792303080561,-0.417200705923002,-45.3996880207408,6.75904021628929e-05,0.000709135246312353,23517410,23518364,955
scaffold_2327,224401,226679,2279,*,612,81.6803514559921,-0.479598216153115,-44.3641861228001,6.75904021628929e-05,0.000709135246312353,25383801,25384412,612
scaffold_2251,408774,410702,1929,*,470,86.8043029433088,-0.644357919683262,-41.9146715440581,6.75904021628929e-05,0.000709135246312353,8693591,8694060,470
scaffold_2253,396103,396964,862,*,192,79.7117731614454,-1.28566442536265,-41.8823324700965,6.75904021628929e-05,0.000709135246312353,9683753,9683944,192
scaffold_2290,471815,477034,5220,*,1551,251.929875936357,-0.441510689849408,-40.5890601273009,6.75904021628929e-05,0.000709135246312353,20285737,20287287,1551
scaffold_2298,287226,288573,1348,*,331,149.588386681784,-1.35553538449411,-40.3115824728767,6.75904021628929e-05,0.000709135246312353,21654861,21655191,331
scaffold_2340,323739,325559,1821,*,503,63.5453615770147,-0.531283661650801,-38.5562262448018,6.75904021628929e-05,0.000709135246312353,26582808,26583310,503
scaffold_2292,617417,618292,876,*,216,99.8754636768103,-1.47167284707223,-37.3260851648737,6.75904021628929e-05,0.000709135246312353,20676925,20677140,216
scaffold_2434,26515,27582,1068,*,303,96.775023607629,-1.11527120374788,-36.3198534971428,6.75904021628929e-05,0.000709135246312353,31282593,31282895,303
scaffold_2389,147909,149038,1130,*,304,100.912691388681,-1.08086307683903,-36.1985438206211,6.75904021628929e-05,0.000709135246312353,29853134,29853437,304
scaffold_2267,722080,722997,918,*,245,97.1352219017138,-1.2882243101371,-35.3343082652458,6.75904021628929e-05,0.000709135246312353,15000527,15000771,245
scaffold_2333,333344,334439,1096,*,298,77.9454391801191,0.734801573730056,33.8168366335553,6.75904021628929e-05,0.000709135246312353,26037829,26038126,298
scaffold_2280,479977,480220,244,*,60,44.2324981022725,-2.26591552413413,-33.5060035417256,6.75904021628929e-05,0.000709135246312353,18195369,18195428,60
scaffold_2382,76902,79939,3038,*,657,113.476475938563,-0.577543305415124,-33.3745549357963,6.75904021628929e-05,0.000709135246312353,29479273,29479929,657
scaffold_2434,31030,32086,1057,*,291,43.5673010235055,-0.530264385059242,-33.3419014093405,6.75904021628929e-05,0.000709135246312353,31283858,31284148,291
scaffold_2340,255414,255713,300,*,70,20.9471554512377,-1.81721261433388,-33.2741787556439,6.75904021628929e-05,0.000709135246312353,26571464,26571533,70
scaffold_2291,5630,6410,781,*,235,106.180059518695,-1.35624832479192,-31.3946068737538,6.75904021628929e-05,0.000709135246312353,20392518,20392752,235
scaffold_2242,4472143,4473768,1626,*,465,50.2536087364711,-0.387252137792261,-30.6819985408302,6.75904021628929e-05,0.000709135246312353,3605445,3605909,465
scaffold_2253,2189236,2190802,1567,*,328,42.2455936711288,-0.501253525691601,-30.1702351943709,6.75904021628929e-05,0.000709135246312353,10072013,10072340,328
scaffold_2240,965279,965925,647,*,131,45.2720113060641,-1.28823105163818,-29.8753621829429,6.75904021628929e-05,0.000709135246312353,193393,193523,131
scaffold_2253,401989,403097,1109,*,286,93.7857906834582,-1.02719766164243,-29.824560160744,6.75904021628929e-05,0.000709135246312353,9684876,9685161,286
scaffold_2290,617738,621840,4103,*,1051,147.339449918847,-0.392380632753015,-29.5266676295007,6.75904021628929e-05,0.000709135246312353,20318581,20319631,1051
scaffold_2286,477065,477793,729,*,190,26.0437926229848,-0.55056396186558,-29.4581815737335,6.75904021628929e-05,0.000709135246312353,19545180,19545369,190
scaffold_2293,269459,270513,1055,*,256,106.015942004234,-1.24958923418722,-29.2028715524259,6.75904021628929e-05,0.000709135246312353,20786996,20787251,256
scaffold_2317,63551,66392,2842,*,786,108.07078529398,-0.360989386870399,-29.0738540078312,6.75904021628929e-05,0.000709135246312353,24221513,24222298,786
scaffold_2352,307258,307770,513,*,156,17.2569702275217,0.580545859674981,29.0451775555433,6.75904021628929e-05,0.000709135246312353,27552378,27552533,156
scaffold_2265,44762,45467,706,*,222,35.7225806530329,-0.598292006606088,-29.0389434131623,6.75904021628929e-05,0.000709135246312353,14201947,14202168,222
scaffold_2429,119037,122910,3874,*,936,172.265589021573,-0.492427104293634,-28.9900252941362,6.75904021628929e-05,0.000709135246312353,31184475,31185410,936
scaffold_2283,44331,45746,1416,*,357,37.9339310117668,0.491329274884869,28.8839961081542,6.75904021628929e-05,0.000709135246312353,18802378,18802734,357
scaffold_2458,721,2319,1599,*,416,47.1161833525779,-0.429672340005442,-28.8229885740827,6.75904021628929e-05,0.000709135246312353,31752649,31753064,416
scaffold_2249,1872898,1873031,134,*,32,15.1889920361115,1.52039207122119,28.5372839924583,6.75904021628929e-05,0.000709135246312353,7938007,7938038,32
scaffold_2319,93161,94475,1315,*,369,124.980948920165,-0.885895487590512,-28.2215457153361,6.75904021628929e-05,0.000709135246312353,24453193,24453561,369
scaffold_2263,815390,816833,1444,*,318,72.8512881282665,-0.815569509998545,-28.0577797333837,6.75904021628929e-05,0.000709135246312353,13706801,13707118,318
scaffold_2346,322302,323249,948,*,217,74.325408958989,-1.10734047246707,-27.5861712033224,6.75904021628929e-05,0.000709135246312353,27089098,27089314,217
scaffold_2463,18121,19071,951,*,206,57.5527729313118,-1.01985037679639,-27.4272303487216,6.75904021628929e-05,0.000709135246312353,31833760,31833965,206
scaffold_2247,599614,600507,894,*,255,52.1885516521103,-0.970322353488221,-27.367420654216,6.75904021628929e-05,0.000709135246312353,6578798,6579052,255
scaffold_2286,835271,836040,770,*,195,51.0859541384185,-0.907259460973529,-27.234722337022,6.75904021628929e-05,0.000709135246312353,19603032,19603226,195
scaffold_2250,1951978,1952698,721,*,154,19.7107224010724,-0.535023849330269,-26.828164375762,6.75904021628929e-05,0.000709135246312353,8504452,8504605,154
scaffold_2249,1725783,1727379,1597,*,362,96.422550463776,-0.927857846676538,-26.5526231062765,6.75904021628929e-05,0.000709135246312353,7910595,7910956,362
scaffold_2365,42741,43604,864,*,155,58.7214730771503,1.53867117174115,25.398558342226,6.75904021628929e-05,0.000709135246312353,28458365,28458519,155
scaffold_2274,521633,523576,1944,*,299,47.2453637155376,-0.403999178654039,-25.2816487765956,6.75904021628929e-05,0.000709135246312353,16886704,16887002,299
scaffold_2273,277874,278908,1035,*,272,38.6252216336112,-0.456720723396929,-25.178104389381,6.75904021628929e-05,0.000709135246312353,16627390,16627661,272
scaffold_2240,600803,601299,497,*,130,14.8294964612217,-0.649871823604597,-24.9945835845349,6.75904021628929e-05,0.000709135246312353,121819,121948,130
scaffold_2423,87230,87888,659,*,164,21.6143975712177,-0.552262977888802,-24.8800178996688,6.75904021628929e-05,0.000709135246312353,31019324,31019487,164
scaffold_2375,176798,177206,409,*,102,10.6795938348794,-0.463496603624918,-24.874806175309,6.75904021628929e-05,0.000709135246312353,29126012,29126113,102
scaffold_2253,2187515,2188378,864,*,193,21.5385199875379,-0.476639855742647,-24.7577457096921,6.75904021628929e-05,0.000709135246312353,10071589,10071781,193
scaffold_2307,199816,200763,948,*,197,27.9180505326143,-0.533933109194587,-24.4478772152131,6.75904021628929e-05,0.000709135246312353,23003126,23003322,197
scaffold_2328,81281,81836,556,*,130,20.1298778148661,-1.44431130465565,-24.3998743563651,6.75904021628929e-05,0.000709135246312353,25468397,25468526,130
scaffold_2338,136742,137558,817,*,201,45.4333590082669,-0.836411854413552,-24.3693601403926,6.75904021628929e-05,0.000709135246312353,26382760,26382960,201
scaffold_2262,489120,489835,716,*,129,31.2795767195279,1.155712701884,24.2544807575605,6.75904021628929e-05,0.000709135246312353,13325784,13325912,129
scaffold_2337,21933,22719,787,*,198,63.8165881219835,-0.964497835876349,-24.1170355707764,6.75904021628929e-05,0.000709135246312353,26267726,26267923,198
scaffold_2242,4126019,4126730,712,*,151,33.0633602666326,-0.841916329453459,-24.0134558810601,6.75904021628929e-05,0.000709135246312353,3536905,3537055,151
scaffold_2581,1422,2030,609,*,140,54.4481129282429,-1.28593111136009,-23.9139547371825,6.75904021628929e-05,0.000709135246312353,32734783,32734922,140
scaffold_2357,56458,57146,689,*,182,24.6438712062809,-0.525347239458675,-23.8276764455672,6.75904021628929e-05,0.000709135246312353,27904059,27904240,182
scaffold_2290,614437,616793,2357,*,615,78.7778558696215,-0.370664360318273,-23.7741451760445,6.75904021628929e-05,0.000709135246312353,20317747,20318361,615
scaffold_2281,1059034,1059676,643,*,140,31.0203930493757,-0.807835501720085,-23.7118096399614,6.75904021628929e-05,0.000709135246312353,18535561,18535700,140
scaffold_2328,391783,392396,614,*,170,24.0894155207936,-0.541643379515763,-23.6623165531402,6.75904021628929e-05,0.000709135246312353,25530517,25530686,170
scaffold_2740,5903,6906,1004,*,269,83.8800435013813,-1.04636572119303,-23.6087042506475,6.75904021628929e-05,0.000709135246312353,33071012,33071280,269
scaffold_2263,112269,113372,1104,*,277,69.2738833504592,-1.07445998643366,-23.596162626564,6.75904021628929e-05,0.000709135246312353,13568750,13569026,277
scaffold_2268,1012295,1012894,600,*,168,26.8608924037226,-0.612288072497233,-23.5358527667121,6.75904021628929e-05,0.000709135246312353,15347629,15347796,168
scaffold_2342,189512,190625,1114,*,237,26.5650907120965,-0.389673255445825,-23.4390405846878,6.75904021628929e-05,0.000709135246312353,26730432,26730668,237
scaffold_2305,552262,552465,204,*,55,28.8443834639602,1.27729204732661,23.08924159546,6.75904021628929e-05,0.000709135246312353,22787626,22787680,55
scaffold_3330,1962,2310,349,*,72,28.0783605366411,-1.23542485318611,-23.0765007130206,6.75904021628929e-05,0.000709135246312353,33517730,33517801,72
scaffold_2248,2060966,2061381,416,*,99,12.2786841136863,-0.625448528283608,-23.0441552745266,6.75904021628929e-05,0.000709135246312353,7423625,7423723,99
scaffold_2303,523849,524779,931,*,296,46.6210530962706,-0.477014117460243,-22.9981138779239,6.75904021628929e-05,0.000709135246312353,22474340,22474635,296
scaffold_2319,535073,535992,920,*,127,42.6696375767947,-0.913004441111627,-22.9061476869304,6.75904021628929e-05,0.000709135246312353,24530726,24530852,127
scaffold_3506,944,1580,637,*,106,31.6049185812282,-0.830694347603741,-22.827164311624,6.75904021628929e-05,0.000709135246312353,33580865,33580970,106
scaffold_2379,115186,115986,801,*,164,26.2010872793307,-0.695119829003089,-22.687339749581,6.75904021628929e-05,0.000709135246312353,29330624,29330787,164
scaffold_2314,252255,252875,621,*,139,20.4212183314673,-0.581662734907512,-22.5949880786646,6.75904021628929e-05,0.000709135246312353,23912978,23913116,139
scaffold_2273,1072331,1073162,832,*,247,30.7044738654352,-0.408103722144579,-22.4790258950927,6.75904021628929e-05,0.000709135246312353,16782640,16782886,247
scaffold_2241,5132396,5133414,1019,*,210,54.586431553685,-0.881573033954383,-22.4080840482649,6.75904021628929e-05,0.000709135246312353,2438038,2438247,210
scaffold_2418,82246,82637,392,*,85,13.078889486467,-0.779631908823534,-22.39389419634,6.75904021628929e-05,0.000709135246312353,30871324,30871408,85
scaffold_2297,253863,255622,1760,*,441,120.686636532424,-0.904760826266451,-22.3218107529493,6.75904021628929e-05,0.000709135246312353,21493980,21494420,441
scaffold_2251,1654027,1655180,1154,*,293,45.5928638961662,-0.507489441277356,-22.0699925087395,6.75904021628929e-05,0.000709135246312353,8953853,8954145,293
scaffold_2429,51350,52865,1516,*,268,35.0234107258701,-0.413557185861012,-22.0627780632296,6.75904021628929e-05,0.000709135246312353,31172126,31172393,268
scaffold_2319,191127,191992,866,*,209,36.1774558904453,-0.555668375695531,-21.8916446010731,6.75904021628929e-05,0.000709135246312353,24473390,24473598,209
scaffold_2274,167733,168240,508,*,148,25.520319698444,-0.509525422649362,-21.8449163952185,6.75904021628929e-05,0.000709135246312353,16861883,16862030,148
scaffold_2276,383318,383581,264,*,65,41.2686353589415,-1.82574346149973,-21.7837837504682,6.75904021628929e-05,0.000709135246312353,17227298,17227362,65
