seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	rawDiff
scaffold_2247	1182723	1187924	5202	*	391	304.328055879893	-2.02799971537363	-93.3866121793573	8.41750841750842e-05	0.000720661767173395	1238728	1239118	391	-0.756919609072536
scaffold_2286	823641	824220	580	*	44	39.382879055982	-2.30749751215128	-81.9593900386939	8.41750841750842e-05	0.000720661767173395	3668548	3668591	44	-0.88511612686807
scaffold_2286	835015	835888	874	*	30	25.6438097903057	-2.27612066091538	-75.3892708710229	8.41750841750842e-05	0.000720661767173395	3668661	3668690	30	-0.886960607846621
scaffold_2273	276816	278427	1612	*	150	105.970184879225	-1.81126737308487	-63.2294583762657	8.41750841750842e-05	0.000720661767173395	3103060	3103209	150	-0.698160125202729
scaffold_2303	594005	595574	1570	*	88	55.7682617379689	-1.62053756877971	-57.0392761994525	8.41750841750842e-05	0.000720661767173395	4230543	4230630	88	-0.629568685849516
scaffold_2247	1169787	1178679	8893	*	534	339.652967776176	-1.65442961167235	-56.2184146223092	8.41750841750842e-05	0.000720661767173395	1238051	1238584	534	-0.600265001839173
scaffold_2375	176460	177355	896	*	39	18.5349007493824	-1.53624759543291	-55.3133039330339	8.41750841750842e-05	0.000720661767173395	5515660	5515698	39	-0.538688582391235
scaffold_2410	2363	4187	1825	*	53	40.6999532933455	-2.05510121190781	-55.1528778973564	8.41750841750842e-05	0.000720661767173395	5808791	5808843	53	-0.755821087193456
scaffold_2242	488024	490410	2387	*	74	57.3140042833959	-2.1050670458868	-54.5431733194591	8.41750841750842e-05	0.000720661767173395	513197	513270	74	-0.640759224969138
scaffold_2263	815596	816740	1145	*	55	41.5412948813465	-1.96636144719124	-52.6234873808912	8.41750841750842e-05	0.000720661767173395	2539038	2539092	55	-0.745736388221204
scaffold_3196	1465	3008	1544	*	186	33.6517153804652	-0.468650654412921	-49.2104688435507	8.41750841750842e-05	0.000720661767173395	6409108	6409293	186	-0.192306232341121
scaffold_2333	44745	47280	2536	*	111	95.8638563825552	-2.28850618460096	-47.4112230551611	8.41750841750842e-05	0.000720661767173395	4897188	4897298	111	-0.83161474648632
scaffold_2253	2187701	2191213	3513	*	173	120.601002191983	-1.95555396009068	-46.6696156396349	8.41750841750842e-05	0.000720661767173395	1865427	1865599	173	-0.683016679327179
scaffold_2267	595580	596522	943	*	34	25.8107692000597	-2.05127808417246	-46.2963909206969	8.41750841750842e-05	0.000720661767173395	2787143	2787176	34	-0.787881184844884
scaffold_2289	197180	198966	1787	*	76	64.7915285992343	-2.01517147620672	-45.2957615698437	8.41750841750842e-05	0.000720661767173395	3755100	3755175	76	-0.830293767574295
scaffold_3689	1015	1334	320	*	16	14.3668589416296	-2.42865855411866	-43.9147625873438	8.41750841750842e-05	0.000720661767173395	6443496	6443511	16	-0.927144510922084
scaffold_2292	617663	618249	587	*	20	15.741230410147	-2.38749748553102	-43.3780157678807	8.41750841750842e-05	0.000720661767173395	3876970	3876989	20	-0.897039603914604
scaffold_2315	414708	415104	397	*	38	29.9805369114814	-2.13584587250542	-42.7667799838776	8.41750841750842e-05	0.000720661767173395	4531866	4531903	38	-0.807766805545712
scaffold_2453	2397	2831	435	*	14	11.3664987685342	-2.32102091124973	-42.7461900898806	8.41750841750842e-05	0.000720661767173395	6026473	6026486	14	-0.882578419676507
scaffold_2240	4534269	4534353	85	*	8	5.71849229539071	-1.92298861154349	-42.4380688150958	8.41750841750842e-05	0.000720661767173395	172933	172940	8	-0.746459664794937
scaffold_2274	505090	510464	5375	*	138	105.562998283619	-2.0945661446774	-42.3888144913364	8.41750841750842e-05	0.000720661767173395	3152056	3152193	138	-0.751272439434818
scaffold_2277	1185902	1186583	682	*	36	19.3254383397144	-1.53701080161648	-42.1133836196474	8.41750841750842e-05	0.000720661767173395	3293919	3293954	36	-0.56928650263384
scaffold_2282	719008	719241	234	*	19	14.1524692342764	-2.04895819091031	-41.3769166462873	8.41750841750842e-05	0.000720661767173395	3495553	3495571	19	-0.826314885559751
scaffold_2252	1093752	1094358	607	*	73	37.8908373920655	-1.47529523781898	-41.3241596855766	8.41750841750842e-05	0.000720661767173395	1731533	1731605	73	-0.539945198102905
scaffold_2258	1571809	1572775	967	*	67	45.7260845818248	-1.69029608766438	-41.1419096706621	8.41750841750842e-05	0.000720661767173395	2232385	2232451	67	-0.694248710437978
scaffold_2305	173420	173563	144	*	12	10.4514444544815	-2.40571404161776	-40.3859895804765	8.41750841750842e-05	0.000720661767173395	4272537	4272548	12	-0.910046750181554
scaffold_2255	1826198	1828621	2424	*	96	56.8863215299137	-1.63040898288841	-39.977950863216	8.41750841750842e-05	0.000720661767173395	2017536	2017631	96	-0.599644199282655
scaffold_2292	722214	724763	2550	*	111	65.3215551860181	-1.66616295505022	-39.8200263209809	8.41750841750842e-05	0.000720661767173395	3880438	3880548	111	-0.589455494930845
scaffold_2315	533551	534660	1110	*	76	51.996406345018	-1.91966375330544	-39.6850484903509	8.41750841750842e-05	0.000720661767173395	4536641	4536716	76	-0.67118304261852
scaffold_2260	1724472	1726071	1600	*	147	74.0703111974655	-1.34514801154427	-39.5305713081797	8.41750841750842e-05	0.000720661767173395	2378809	2378955	147	-0.457112490526035
scaffold_2287	705439	706950	1512	*	40	17.4915269497241	-1.36475905657557	-39.304175439445	8.41750841750842e-05	0.000720661767173395	3704832	3704871	40	-0.469201081873784
scaffold_2343	93842	94589	748	*	64	49.7530427438965	-2.03526478204677	-38.8013833471035	8.41750841750842e-05	0.000720661767173395	5054254	5054317	64	-0.755635603545871
scaffold_2262	1191197	1192250	1054	*	90	56.160711854103	-1.71425977509402	-38.5776735887653	8.41750841750842e-05	0.000720661767173395	2489156	2489245	90	-0.616642969161662
scaffold_2253	403951	405908	1958	*	116	69.977336617502	-1.54961187911287	-38.5116989817911	8.41750841750842e-05	0.000720661767173395	1794805	1794920	116	-0.581949100316394
scaffold_2302	96902	97795	894	*	83	39.4561053926976	-1.38328760545184	-37.7887218949645	8.41750841750842e-05	0.000720661767173395	4183500	4183582	83	-0.51059743469382
scaffold_2317	502779	503968	1190	*	32	20.1990139301974	-1.83975653342794	-36.5705037563046	8.41750841750842e-05	0.000720661767173395	4575863	4575894	32	-0.687320404876319
scaffold_2298	287235	288589	1355	*	72	51.7195043987131	-1.89242655086044	-36.5699234390408	8.41750841750842e-05	0.000720661767173395	4067389	4067460	72	-0.715667832856195
