geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g68	scaffold_2240	257164	263798	263405	263627	222	decrease
g141	scaffold_2240	553693	555793	554705	555290	585	increase
g151	scaffold_2240	589511	595338	594342	594582	240	decrease
g153	scaffold_2240	601178	602568	600845	601306	129	increase
g157	scaffold_2240	614174	616658	614697	615495	798	increase
g344	scaffold_2240	1445711	1450321	1445484	1446114	404	decrease
g377	scaffold_2240	1646103	1647238	1646844	1647405	394	increase
g382	scaffold_2240	1671323	1675489	1674790	1675455	665	increase
g405	scaffold_2240	1781090	1787092	1784492	1784932	440	decrease
g411	scaffold_2240	1815180	1822528	1814757	1815535	356	increase
g411	scaffold_2240	1815180	1822528	1820856	1821693	837	increase
g418	scaffold_2240	1851750	1856662	1852786	1853288	502	increase
g435	scaffold_2240	1953649	1955837	1953777	1953946	169	increase
g535	scaffold_2240	2374947	2376447	2375311	2376084	773	increase
g548	scaffold_2240	2471327	2475058	2470622	2471330	4	increase
g600	scaffold_2240	2656478	2658124	2657638	2657965	327	increase
g617	scaffold_2240	2740554	2742444	2741634	2742179	545	increase
g632	scaffold_2240	2789904	2795306	2793850	2794131	281	decrease
g678	scaffold_2240	3023456	3027337	3023680	3024163	483	decrease
g682	scaffold_2240	3037737	3049837	3041672	3042240	568	decrease
g692	scaffold_2240	3093032	3094764	3093634	3094516	882	increase
g803	scaffold_2240	3548369	3554645	3548233	3548531	163	decrease
g1019	scaffold_2240	4551301	4560476	4554333	4554676	343	decrease
g1039	scaffold_2240	4635661	4640146	4636466	4636872	406	increase
g1110	scaffold_2240	4897261	4899111	4897292	4897789	497	decrease
g1133	scaffold_2240	4974472	4975756	4975352	4975463	111	increase
g1164	scaffold_2240	5108378	5111471	5109319	5109702	383	decrease
g1176	scaffold_2240	5156274	5157921	5157490	5157845	355	increase
g1209	scaffold_2240	5285308	5293079	5285784	5286272	488	increase
g1337	scaffold_2240	5774281	5775513	5774479	5775071	592	increase
g1362	scaffold_2240	5875661	5878001	5875790	5876125	335	decrease
g1423	scaffold_2240	6161374	6162727	6161825	6162409	584	increase
g1435	scaffold_2240	6233162	6234083	6233949	6234656	134	decrease
g1436	scaffold_2240	6234632	6236008	6233949	6234656	25	decrease
g1437	scaffold_2240	6236055	6243097	6237255	6237401	146	increase
g1461	scaffold_2240	6359898	6363257	6362423	6362658	235	increase
g1472	scaffold_2240	6420388	6421025	6420550	6420987	437	decrease
g1508	scaffold_2240	6570385	6572941	6571236	6571385	149	increase
g1517	scaffold_2240	6625095	6633870	6629449	6629863	414	decrease
g1518	scaffold_2240	6635485	6638076	6635171	6635628	144	decrease
g1547	scaffold_2240	6730493	6736260	6734580	6735568	988	increase
g1611	scaffold_2241	222182	231333	228080	228346	266	increase
g1644	scaffold_2241	386066	390497	387386	387675	289	decrease
g1661	scaffold_2241	447732	457269	447317	448578	847	increase
g1726	scaffold_2241	773606	774649	774229	774502	273	increase
g1819	scaffold_2241	1157480	1160271	1157218	1157775	296	decrease
g1884	scaffold_2241	1394217	1395349	1394258	1394830	572	increase
g2061	scaffold_2241	2206753	2211917	2209282	2209813	531	increase
g2095	scaffold_2241	2391139	2392924	2390882	2391432	294	decrease
g2275	scaffold_2241	3151283	3158048	3151491	3152127	636	decrease
g2329	scaffold_2241	3377010	3379192	3378393	3378889	496	decrease
g2335	scaffold_2241	3402721	3404242	3403625	3404162	537	increase
g2381	scaffold_2241	3589764	3591943	3589343	3589994	231	decrease
g2381	scaffold_2241	3589764	3591943	3591587	3592094	356	decrease
g2405	scaffold_2241	3684984	3687063	3685061	3685678	617	increase
g2493	scaffold_2241	4020746	4022241	4021063	4021887	824	increase
g2501	scaffold_2241	4048096	4053626	4048004	4048184	89	decrease
g2531	scaffold_2241	4163142	4164918	4164769	4164977	149	decrease
g2582	scaffold_2241	4377617	4378869	4377501	4378515	899	increase
g2625	scaffold_2241	4536758	4541216	4540546	4541263	670	increase
g2692	scaffold_2241	4789943	4791954	4791840	4792156	114	increase
g2693	scaffold_2241	4798739	4801324	4798942	4799316	374	increase
g2763	scaffold_2241	5130764	5132925	5131850	5133083	1075	increase
