seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_9,64777,66230,1454,*,58,31.8648432622692,-1.55551981622266,-43.9396030511132,4.13308534821244e-05,0.000777678614008434,5181530,5181587,58
scaffold_134,308425,309256,832,*,31,16.3310951344717,-1.60493262323104,-40.3937526317511,4.13308534821244e-05,0.000777678614008434,844658,844688,31
scaffold_177,197693,198685,993,*,73,28.4392807070885,-1.30003691259619,-39.5186445307368,4.13308534821244e-05,0.000777678614008434,1546393,1546465,73
scaffold_181,253900,259155,5256,*,159,78.0913562660208,-1.33104727481014,-38.9695839400413,4.13308534821244e-05,0.000777678614008434,1627190,1627348,159
scaffold_17,771868,773867,2000,*,85,39.8932925234019,-1.38817665538337,-35.7831004370554,4.13308534821244e-05,0.000777678614008434,1442929,1443013,85
scaffold_41,920233,921814,1582,*,97,45.3760852164135,-1.24427203886407,-35.3807200420758,4.13308534821244e-05,0.000777678614008434,3648676,3648772,97
scaffold_18,566500,567044,545,*,25,9.7651725072231,-1.33579994002623,-34.8617125256512,4.13308534821244e-05,0.000777678614008434,1584606,1584630,25
scaffold_916,795,1906,1112,*,43,27.1865235367758,-1.53676956618595,-33.5412316912916,4.13308534821244e-05,0.000777678614008434,5281099,5281141,43
scaffold_70,123127,123387,261,*,12,8.62674601354264,-1.97297855779236,-33.3036431847958,4.13308534821244e-05,0.000777678614008434,4711512,4711523,12
scaffold_7,584985,586123,1139,*,25,14.9850574832813,-1.69303086552565,-33.0324439839957,4.13308534821244e-05,0.000777678614008434,4662128,4662152,25
scaffold_17,769506,771033,1528,*,57,32.3279764924515,-1.50509897599393,-31.7020935272548,4.13308534821244e-05,0.000777678614008434,1442825,1442881,57
scaffold_177,191069,192647,1579,*,78,33.5974517827445,-1.20386119915675,-31.2772079696701,4.13308534821244e-05,0.000777678614008434,1546069,1546146,78
scaffold_4,1681684,1682974,1291,*,42,27.9577068790955,-1.72963391659178,-31.0211707337424,4.13308534821244e-05,0.000777678614008434,3549304,3549345,42
scaffold_233,38171,40422,2252,*,77,34.9082226300224,-1.35466068306206,-30.3762064809635,4.13308534821244e-05,0.000777678614008434,2321940,2322016,77
scaffold_97,473264,474552,1289,*,31,14.1402820670761,-1.40418583128202,-29.6405528247005,4.13308534821244e-05,0.000777678614008434,5380149,5380179,31
scaffold_402,2177,2940,764,*,38,9.56292357226868,-0.858853200063003,-29.242260447442,4.13308534821244e-05,0.000777678614008434,3613414,3613451,38
scaffold_122,184611,185243,633,*,38,21.8964555350841,-1.52069027897237,-29.1918573133708,4.13308534821244e-05,0.000777678614008434,628463,628500,38
scaffold_177,200008,201205,1198,*,50,20.8055588483851,-1.24233047104036,-29.181128528923,4.13308534821244e-05,0.000777678614008434,1546551,1546600,50
scaffold_11,1493912,1494628,717,*,22,13.3211547382692,-1.7155230460023,-29.1335376386987,4.13308534821244e-05,0.000777678614008434,389178,389199,22
scaffold_18,569436,570513,1078,*,59,23.9694970188604,-1.20304393096478,-29.0544475642304,4.13308534821244e-05,0.000777678614008434,1584757,1584815,59
scaffold_1564,1775,1990,216,*,8,6.80465543012297,-2.09749815770706,-28.9928606445504,4.13308534821244e-05,0.000777678614008434,1229387,1229394,8
scaffold_64,236776,237489,714,*,37,22.7936629510732,-1.62291383974807,-28.5064450316793,4.13308534821244e-05,0.000777678614008434,4507075,4507111,37
scaffold_325,90490,91473,984,*,44,16.1818881956981,-1.24388347034843,-28.1376703989509,4.13308534821244e-05,0.000777678614008434,3133124,3133167,44
scaffold_95,275678,276504,827,*,48,21.1494961594842,-1.35193458013573,-27.880891117774,4.13308534821244e-05,0.000777678614008434,5340238,5340285,48
scaffold_273,57341,58080,740,*,36,18.2521635542602,-1.48335409224493,-27.7778157329986,4.13308534821244e-05,0.000777678614008434,2676661,2676696,36
scaffold_72,610422,611561,1140,*,33,15.817682201135,-1.43417187629305,-27.5348570449435,4.13308534821244e-05,0.000777678614008434,4766312,4766344,33
scaffold_86,236529,237173,645,*,27,12.4116440790172,-1.33990184015733,-27.2491894502408,4.13308534821244e-05,0.000777678614008434,5112797,5112823,27
scaffold_150,62476,63246,771,*,36,13.638270101061,-1.13455990132869,-27.1733399294694,4.13308534821244e-05,0.000777678614008434,1148603,1148638,36
scaffold_17,1501696,1503614,1919,*,63,28.2941773061805,-1.31760633488166,-27.0194444788234,4.13308534821244e-05,0.000777678614008434,1463453,1463515,63
scaffold_100,90261,92375,2115,*,128,49.2671220309102,-0.989530898365775,-27.0067529567391,4.13308534821244e-05,0.000777678614008434,196503,196630,128
scaffold_140,414953,415336,384,*,14,9.47744036583091,-1.7896525943087,-26.2199814748216,4.13308534821244e-05,0.000777678614008434,985479,985492,14
scaffold_37,583759,586688,2930,*,132,55.7022521293042,1.18482473637105,25.8505211941869,4.13308534821244e-05,0.000777678614008434,3377306,3377437,132
scaffold_27,617777,619607,1831,*,71,36.5474547540722,1.37236614603031,25.6327647080149,4.13308534821244e-05,0.000777678614008434,2642040,2642110,71
scaffold_507,10994,11811,818,*,23,16.1893644210399,-1.83741726502254,-25.4634211545464,4.13308534821244e-05,0.000777678614008434,4079982,4080004,23
scaffold_64,219620,220707,1088,*,49,22.087205360353,-1.20497420783472,-25.0240529239831,4.13308534821244e-05,0.000777678614008434,4506725,4506773,49
scaffold_83,110945,111867,923,*,33,15.1183489770718,-1.29142463506595,-24.7623681219908,4.13308534821244e-05,0.000777678614008434,5052488,5052520,33
scaffold_76,575930,576439,510,*,24,6.00364422875685,-0.926706989850485,-24.6510564213667,4.13308534821244e-05,0.000777678614008434,4855539,4855562,24
scaffold_39,943423,944495,1073,*,38,18.3239308182439,-1.22636646212547,-24.4066389641906,4.13308534821244e-05,0.000777678614008434,3481169,3481206,38
scaffold_114,150357,150938,582,*,27,16.457245910885,-1.62867562723478,-24.3632904213971,4.13308534821244e-05,0.000777678614008434,461593,461619,27
scaffold_17,224694,225549,856,*,36,19.9934396791057,1.55874250791818,24.3182010450152,4.13308534821244e-05,0.000777678614008434,1428084,1428119,36
scaffold_835,7502,8169,668,*,36,21.6667564537122,-1.66382748135784,-24.1756698707839,4.13308534821244e-05,0.000777678614008434,5067985,5068020,36
scaffold_233,66991,67476,486,*,30,15.6608308268503,-1.47738124261258,-23.6324162453255,4.13308534821244e-05,0.000777678614008434,2322362,2322391,30
scaffold_177,183417,185160,1744,*,79,30.082999999267,-1.12129390331112,-23.4304761304505,4.13308534821244e-05,0.000777678614008434,1545764,1545842,79
scaffold_143,207165,208439,1275,*,49,25.2796197847783,-1.34930684061306,-23.0824164077194,4.13308534821244e-05,0.000777678614008434,1021743,1021791,49
scaffold_1089,2646,3091,446,*,20,7.81331479659463,-1.34149325632854,-22.9799200923682,4.13308534821244e-05,0.000777678614008434,331562,331581,20
scaffold_19,1337184,1338624,1441,*,87,32.773960131987,1.12916004196447,22.9220783859851,4.13308534821244e-05,0.000777678614008434,1735149,1735235,87
scaffold_670,729,1260,532,*,21,11.4059643463044,1.58572537572444,22.9187455677536,4.13308534821244e-05,0.000777678614008434,4596547,4596567,21
scaffold_920,41,2233,2193,*,92,35.8817350826247,-0.996004030279165,-22.8605676327887,4.13308534821244e-05,0.000777678614008434,5299063,5299154,92
scaffold_53,587847,591524,3678,*,154,35.9285732633152,-0.788151666066232,-22.6899937220586,4.13308534821244e-05,0.000777678614008434,4163816,4163969,154
scaffold_436,23678,24740,1063,*,37,17.4317130166069,-1.36873005092313,-22.6401565183879,4.13308534821244e-05,0.000777678614008434,3733376,3733412,37
scaffold_53,592459,593568,1110,*,50,26.8804394607133,-1.46385189642483,-21.8945692701271,4.13308534821244e-05,0.000777678614008434,4163998,4164047,50
scaffold_9,160851,161745,895,*,22,8.31819721046565,-1.39408921970101,-21.7484724652364,4.13308534821244e-05,0.000777678614008434,5184373,5184394,22
scaffold_156,306168,306281,114,*,8,3.5892666243511,-1.88499886786575,-21.494648446436,4.13308534821244e-05,0.000777678614008434,1226583,1226590,8
scaffold_204,196058,197226,1169,*,78,24.4172318165997,0.823799608808937,21.3274227438781,4.13308534821244e-05,0.000777678614008434,2008204,2008281,78
scaffold_283,78301,79338,1038,*,22,11.0521743994958,-1.52181224516727,-21.0418427594111,4.13308534821244e-05,0.000777678614008434,2751585,2751606,22
scaffold_14,1281885,1282877,993,*,39,18.3696133856156,-1.25519319638404,-21.0223559808285,4.13308534821244e-05,0.000777678614008434,957383,957421,39
scaffold_498,1711,2471,761,*,23,7.1532751978237,-1.1552414789395,-20.8112898649141,4.13308534821244e-05,0.000777678614008434,3956184,3956206,23
scaffold_135,287658,288606,949,*,25,17.7602376584152,-1.96681320981936,-20.7828614225629,4.13308534821244e-05,0.000777678614008434,858051,858075,25
scaffold_15,844558,845699,1142,*,30,8.19315443633634,-0.947007156111236,-20.5978664086245,4.13308534821244e-05,0.000777678614008434,1122944,1122973,30
scaffold_17,761888,763616,1729,*,39,13.5113026100692,-1.07332736563037,-20.5965015837269,4.13308534821244e-05,0.000777678614008434,1442720,1442758,39
scaffold_143,382488,383100,613,*,20,11.5282985880868,-1.49163333733893,-20.5959825074634,4.13308534821244e-05,0.000777678614008434,1026584,1026603,20
scaffold_315,52540,52976,437,*,28,4.43933036017409,0.393052842653154,20.5639677001227,4.13308534821244e-05,0.000777678614008434,3072335,3072362,28
