geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g74	scaffold_1	320480	325075	322921	324330	1409	decrease
g76	scaffold_1	329940	332219	331386	331854	468	increase
g106	scaffold_1	458671	463125	461855	462313	458	increase
g119	scaffold_1	531745	536939	536581	537088	358	decrease
g176	scaffold_1	786903	792308	790137	790400	263	decrease
g237	scaffold_1	1055154	1065507	1062415	1062748	333	increase
g281	scaffold_1	1253533	1265903	1264155	1264518	363	increase
g324	scaffold_1	1492919	1495664	1493096	1493539	443	increase
g342	scaffold_1	1558658	1562944	1559077	1559501	424	increase
g344	scaffold_1	1565065	1567564	1567559	1568028	5	decrease
g345	scaffold_1	1568019	1568514	1567559	1568028	10	decrease
g347	scaffold_1	1580269	1581339	1580175	1580379	111	decrease
g350	scaffold_1	1585854	1590118	1588125	1588848	723	increase
g384	scaffold_1	1711258	1718739	1713668	1713749	81	decrease
g474	scaffold_1	2153092	2157695	2156390	2156436	46	increase
g550	scaffold_1	2468128	2476395	2471592	2472477	885	increase
g565	scaffold_1	2533716	2536137	2534690	2535199	509	increase
g580	scaffold_1	2617367	2623287	2621375	2622033	658	increase
g585	scaffold_1	2635439	2638697	2636444	2636964	520	decrease
g648	scaffold_1	2879635	2882680	2882541	2883085	139	increase
g649	scaffold_1	2882706	2884370	2882541	2883085	380	increase
g668	scaffold_1	2972855	2973562	2972748	2973202	348	decrease
g677	scaffold_1	3024029	3026879	3025099	3026547	1448	increase
g680	scaffold_1	3030031	3036074	3035641	3035947	306	increase
g751	scaffold_1	3472222	3475713	3473720	3474317	597	decrease
g760	scaffold_1	3506687	3510323	3506929	3507604	675	increase
g800	scaffold_1	3688501	3692742	3691195	3691963	768	increase
g847	scaffold_1	3890122	3895236	3895038	3895229	191	decrease
g859	scaffold_1	3954982	3963759	3960216	3960414	198	decrease
g917	scaffold_1	4232771	4238808	4238168	4238902	640	increase
g961	scaffold_2	95958	98101	97735	98251	366	decrease
g1005	scaffold_2	275418	280312	276806	277516	710	decrease
g1018	scaffold_2	356238	358226	357245	357515	270	increase
g1049	scaffold_2	494846	498877	495781	495916	135	decrease
g1057	scaffold_2	529642	530622	529968	530548	580	increase
g1070	scaffold_2	579483	582489	579526	580084	558	increase
g1113	scaffold_2	805165	808749	805270	805470	200	decrease
g1122	scaffold_2	866146	868830	866479	866700	221	decrease
g1146	scaffold_2	972340	972877	972428	972689	261	decrease
g1153	scaffold_2	1001440	1003311	1003082	1003478	229	decrease
g1154	scaffold_2	1003400	1010391	1003082	1003478	79	decrease
g1279	scaffold_2	1595969	1597756	1596179	1596250	71	increase
g1318	scaffold_2	1830277	1832218	1830424	1830772	348	increase
g1350	scaffold_2	1976582	1978324	1976772	1977527	755	increase
g1389	scaffold_2	2215869	2218573	2217013	2217433	420	increase
g1462	scaffold_2	2585157	2590076	2585782	2586187	405	decrease
g1524	scaffold_2	2884616	2885729	2884914	2885435	521	decrease
g1543	scaffold_2	2963358	2972196	2967127	2967751	624	increase
g1550	scaffold_2	3009061	3010079	3008898	3009392	332	increase
g1624	scaffold_2	3348528	3350570	3348772	3348995	223	increase
g1648	scaffold_2	3471832	3473367	3472285	3472453	168	increase
g1667	scaffold_2	3554712	3556985	3555833	3556582	749	increase
g1815	scaffold_3	448284	455387	449262	449522	260	decrease
g1815	scaffold_3	448284	455387	451622	451784	162	decrease
g2034	scaffold_3	1356248	1360936	1360862	1361004	74	decrease
g2051	scaffold_3	1435111	1436503	1435973	1436330	357	decrease
g2126	scaffold_3	1810848	1819471	1811677	1811806	129	decrease
g2178	scaffold_3	2054948	2061790	2060597	2060715	118	increase
