seqnames	start	end	width	strand	dens
scaffold_1_RagTag	1	100000	100000	*	34264
scaffold_1_RagTag	100001	200000	100000	*	33265
scaffold_1_RagTag	200001	300000	100000	*	36910
scaffold_1_RagTag	300001	400000	100000	*	30669
scaffold_1_RagTag	400001	500000	100000	*	29387
scaffold_1_RagTag	500001	600000	100000	*	36781
scaffold_1_RagTag	600001	700000	100000	*	35332
scaffold_1_RagTag	700001	800000	100000	*	33624
scaffold_1_RagTag	800001	900000	100000	*	35613
scaffold_1_RagTag	900001	1000000	100000	*	30689
scaffold_1_RagTag	1000001	1100000	100000	*	32742
scaffold_1_RagTag	1100001	1200000	100000	*	31653
scaffold_1_RagTag	1200001	1300000	100000	*	32449
scaffold_1_RagTag	1300001	1400000	100000	*	32355
scaffold_1_RagTag	1400001	1500000	100000	*	33837
scaffold_1_RagTag	1500001	1600000	100000	*	30841
scaffold_1_RagTag	1600001	1700000	100000	*	31880
scaffold_1_RagTag	1700001	1800000	100000	*	32601
scaffold_1_RagTag	1800001	1900000	100000	*	31446
scaffold_1_RagTag	1900001	2000000	100000	*	32939
scaffold_1_RagTag	2000001	2100000	100000	*	35212
scaffold_1_RagTag	2100001	2200000	100000	*	29297
scaffold_1_RagTag	2200001	2300000	100000	*	30036
scaffold_1_RagTag	2300001	2400000	100000	*	31773
scaffold_1_RagTag	2400001	2500000	100000	*	35568
scaffold_1_RagTag	2500001	2600000	100000	*	33547
scaffold_1_RagTag	2600001	2700000	100000	*	31832
scaffold_1_RagTag	2700001	2800000	100000	*	32836
scaffold_1_RagTag	2800001	2900000	100000	*	33316
scaffold_1_RagTag	2900001	3000000	100000	*	35538
scaffold_1_RagTag	3000001	3100000	100000	*	33617
scaffold_1_RagTag	3100001	3200000	100000	*	32297
scaffold_1_RagTag	3200001	3300000	100000	*	27466
scaffold_1_RagTag	3300001	3400000	100000	*	34172
scaffold_1_RagTag	3400001	3500000	100000	*	35721
scaffold_1_RagTag	3500001	3600000	100000	*	31914
scaffold_1_RagTag	3600001	3700000	100000	*	34912
scaffold_1_RagTag	3700001	3800000	100000	*	36595
scaffold_1_RagTag	3800001	3900000	100000	*	36054
scaffold_1_RagTag	3900001	4000000	100000	*	36380
scaffold_1_RagTag	4000001	4100000	100000	*	36176
scaffold_1_RagTag	4100001	4200000	100000	*	36614
scaffold_1_RagTag	4200001	4300000	100000	*	32911
scaffold_1_RagTag	4300001	4400000	100000	*	35496
scaffold_1_RagTag	4400001	4500000	100000	*	35413
scaffold_1_RagTag	4500001	4600000	100000	*	34983
scaffold_1_RagTag	4600001	4700000	100000	*	34118
scaffold_1_RagTag	4700001	4800000	100000	*	32179
scaffold_1_RagTag	4800001	4900000	100000	*	35046
scaffold_1_RagTag	4900001	5000000	100000	*	34301
scaffold_1_RagTag	5000001	5100000	100000	*	36607
scaffold_1_RagTag	5100001	5200000	100000	*	33200
scaffold_1_RagTag	5200001	5300000	100000	*	27388
scaffold_1_RagTag	5300001	5400000	100000	*	33282
scaffold_1_RagTag	5400001	5500000	100000	*	35985
scaffold_1_RagTag	5500001	5600000	100000	*	37418
scaffold_1_RagTag	5600001	5700000	100000	*	35460
scaffold_1_RagTag	5700001	5800000	100000	*	36018
scaffold_1_RagTag	5800001	5900000	100000	*	35868
scaffold_1_RagTag	5900001	6000000	100000	*	32710
scaffold_1_RagTag	6000001	6100000	100000	*	36531
scaffold_1_RagTag	6100001	6200000	100000	*	36858
scaffold_1_RagTag	6200001	6300000	100000	*	36925
scaffold_1_RagTag	6300001	6400000	100000	*	32238
scaffold_1_RagTag	6400001	6500000	100000	*	36904
scaffold_1_RagTag	6500001	6600000	100000	*	35642
scaffold_1_RagTag	6600001	6700000	100000	*	35869
scaffold_1_RagTag	6700001	6800000	100000	*	35727
scaffold_1_RagTag	6800001	6900000	100000	*	36383
scaffold_1_RagTag	6900001	7000000	100000	*	28921
scaffold_1_RagTag	7000001	7100000	100000	*	34664
scaffold_1_RagTag	7100001	7200000	100000	*	29888
scaffold_1_RagTag	7200001	7300000	100000	*	33667
scaffold_1_RagTag	7300001	7400000	100000	*	31701
scaffold_1_RagTag	7400001	7500000	100000	*	31417
scaffold_1_RagTag	7500001	7600000	100000	*	34681
scaffold_1_RagTag	7600001	7700000	100000	*	32968
scaffold_1_RagTag	7700001	7800000	100000	*	34949
scaffold_1_RagTag	7800001	7900000	100000	*	34476
scaffold_1_RagTag	7900001	8000000	100000	*	32967
scaffold_1_RagTag	8000001	8100000	100000	*	35877
scaffold_1_RagTag	8100001	8200000	100000	*	34248
scaffold_1_RagTag	8200001	8300000	100000	*	34248
scaffold_1_RagTag	8300001	8400000	100000	*	36544
scaffold_1_RagTag	8400001	8500000	100000	*	28058
scaffold_1_RagTag	8500001	8600000	100000	*	29528
scaffold_1_RagTag	8600001	8700000	100000	*	32238
scaffold_1_RagTag	8700001	8800000	100000	*	31712
scaffold_1_RagTag	8800001	8900000	100000	*	31630
scaffold_1_RagTag	8900001	9000000	100000	*	29974
scaffold_1_RagTag	9000001	9100000	100000	*	31764
scaffold_1_RagTag	9100001	9200000	100000	*	30936
scaffold_1_RagTag	9200001	9300000	100000	*	29960
scaffold_1_RagTag	9300001	9400000	100000	*	31485
scaffold_1_RagTag	9400001	9500000	100000	*	31936
scaffold_1_RagTag	9500001	9600000	100000	*	33531
scaffold_1_RagTag	9600001	9700000	100000	*	35021
scaffold_1_RagTag	9700001	9800000	100000	*	30405
scaffold_1_RagTag	9800001	9900000	100000	*	34506
scaffold_1_RagTag	9900001	10000000	100000	*	30639
scaffold_1_RagTag	10000001	10100000	100000	*	32200
scaffold_1_RagTag	10100001	10200000	100000	*	34741
scaffold_1_RagTag	10200001	10300000	100000	*	33678
scaffold_1_RagTag	10300001	10400000	100000	*	30928
scaffold_1_RagTag	10400001	10500000	100000	*	34804
scaffold_1_RagTag	10500001	10600000	100000	*	31472
scaffold_1_RagTag	10600001	10700000	100000	*	36107
scaffold_1_RagTag	10700001	10800000	100000	*	35229
scaffold_1_RagTag	10800001	10900000	100000	*	32841
scaffold_1_RagTag	10900001	11000000	100000	*	31952
scaffold_1_RagTag	11000001	11100000	100000	*	28441
scaffold_1_RagTag	11100001	11200000	100000	*	33516
scaffold_1_RagTag	11200001	11300000	100000	*	35405
scaffold_1_RagTag	11300001	11400000	100000	*	29106
scaffold_1_RagTag	11400001	11500000	100000	*	32161
scaffold_1_RagTag	11500001	11600000	100000	*	25012
scaffold_1_RagTag	11600001	11700000	100000	*	26066
scaffold_1_RagTag	11700001	11800000	100000	*	33628
scaffold_1_RagTag	11800001	11900000	100000	*	29859
scaffold_1_RagTag	11900001	12000000	100000	*	29196
scaffold_1_RagTag	12000001	12100000	100000	*	29985
scaffold_1_RagTag	12100001	12200000	100000	*	33671
scaffold_1_RagTag	12200001	12300000	100000	*	32312
scaffold_1_RagTag	12300001	12400000	100000	*	27776
scaffold_1_RagTag	12400001	12500000	100000	*	31098
scaffold_1_RagTag	12500001	12600000	100000	*	32229
scaffold_1_RagTag	12600001	12700000	100000	*	26090
scaffold_1_RagTag	12700001	12800000	100000	*	32149
scaffold_1_RagTag	12800001	12900000	100000	*	33070
scaffold_1_RagTag	12900001	13000000	100000	*	32835
scaffold_1_RagTag	13000001	13100000	100000	*	30813
scaffold_1_RagTag	13100001	13200000	100000	*	30197
scaffold_1_RagTag	13200001	13300000	100000	*	33642
scaffold_1_RagTag	13300001	13400000	100000	*	33923
scaffold_1_RagTag	13400001	13500000	100000	*	33995
scaffold_1_RagTag	13500001	13600000	100000	*	28343
scaffold_1_RagTag	13600001	13700000	100000	*	33025
scaffold_1_RagTag	13700001	13800000	100000	*	34393
scaffold_1_RagTag	13800001	13900000	100000	*	31072
scaffold_1_RagTag	13900001	14000000	100000	*	31597
scaffold_1_RagTag	14000001	14100000	100000	*	31553
scaffold_1_RagTag	14100001	14200000	100000	*	30411
scaffold_1_RagTag	14200001	14300000	100000	*	30713
scaffold_1_RagTag	14300001	14400000	100000	*	28580
scaffold_1_RagTag	14400001	14500000	100000	*	27519
scaffold_1_RagTag	14500001	14600000	100000	*	29300
scaffold_1_RagTag	14600001	14700000	100000	*	24390
scaffold_1_RagTag	14700001	14800000	100000	*	30699
scaffold_1_RagTag	14800001	14900000	100000	*	25901
scaffold_1_RagTag	14900001	15000000	100000	*	32445
