seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_9,72126,73134,1009,*,115,27.7257383891119,0.532553167805068,18.6249006656032,7.24847781965787e-05,0.128587996520731,11581102,11581216,115
scaffold_2773,4580,5230,651,*,54,23.7036828545949,-1.14153041233469,-14.6371987435177,0.000217454334589736,0.192881994781096,8577726,8577779,54
scaffold_331,2857,3202,346,*,41,12.8418223778579,-1.02378156667915,-13.6501547151602,0.000652363003769208,0.273249492606553,9185623,9185663,41
scaffold_2365,290068,290913,846,*,85,25.1454188782033,-0.860252509910612,-13.136798887399,0.000652363003769208,0.273249492606553,7331457,7331541,85
scaffold_89,210419,211186,768,*,50,13.3644961094373,-0.691522809286972,-12.0961549490046,0.00123224122934184,0.273249492606553,11565148,11565197,50
scaffold_40,89957,91472,1516,*,72,7.98229258318439,-0.366946553093154,-11.9848485536403,0.00123224122934184,0.273249492606553,9705428,9705499,72
scaffold_2241,3378600,3379127,528,*,52,17.2932456317032,-0.963103607163579,-11.8542599501244,0.00123224122934184,0.273249492606553,2963560,2963611,52
scaffold_1,2959457,2959726,270,*,16,6.98041648110134,1.22147298621322,11.738799568647,0.00123224122934184,0.273249492606553,98166,98181,16
scaffold_2267,302340,302788,449,*,39,4.79760840753444,-0.441259484470873,-11.3496999814532,0.00152218034212815,0.300038658548371,5028166,5028204,39
scaffold_2290,721423,722075,653,*,30,4.11530581651982,-0.995717424419039,-11.1561772813907,0.00188460423311105,0.327314900234587,5931311,5931340,30
scaffold_2249,2462980,2464149,1170,*,31,12.8318619956303,-1.04946036458631,-11.0825432921834,0.0020295737895042,0.327314900234587,3930132,3930162,31
scaffold_14,440553,441006,454,*,31,6.28316914974276,-0.52044854403223,-10.9575597340885,0.00253696723688026,0.3343287909539,1076907,1076937,31
scaffold_1,4238561,4238903,343,*,37,6.23729414737019,-0.51858450742272,-10.8944454263298,0.00268193679327341,0.3343287909539,137859,137895,37
scaffold_18,866371,866874,504,*,23,5.36350131821701,-0.790902603575014,-10.7343002433338,0.00304436068425631,0.3343287909539,1870968,1870990,23
scaffold_136,52050,52231,182,*,19,4.22456100679553,-1.13944402484572,-10.6412582423452,0.00311684546245289,0.3343287909539,995060,995078,19
scaffold_79,95490,96172,683,*,30,7.66985730513697,-0.751798978267242,-10.5759610353853,0.0034067845752392,0.3343287909539,11254273,11254302,30
scaffold_876,6194,6998,805,*,31,7.11023003247783,0.683638660115425,10.5488505059095,0.00355175413163236,0.3343287909539,11537420,11537450,31
scaffold_2240,4897388,4897943,556,*,42,15.5104683126552,-0.937734711604247,-10.5323845263974,0.00355175413163236,0.3343287909539,2785229,2785270,42
scaffold_128,146264,146727,464,*,36,10.5962102461742,0.951827793500439,10.4808450865552,0.00362423890982894,0.3343287909539,811505,811540,36
scaffold_1200,2546,3349,804,*,37,8.4975144083532,-0.563916467524196,-10.4003078135622,0.00376920846622209,0.3343287909539,687242,687278,37
scaffold_5,2510763,2511450,688,*,36,7.96147038827758,-0.699492898273431,-10.2964901893781,0.00405914757900841,0.342901324055282,10232927,10232962,36
scaffold_4,2190599,2191245,647,*,22,5.07113902588665,-0.804592964831003,-10.0743979642787,0.00456654102638446,0.36359364533448,9672221,9672242,22
scaffold_580,5521,6025,505,*,36,6.5083223567099,0.71635396165677,9.98735214746155,0.00492896491736735,0.36359364533448,10560879,10560914,36
scaffold_20,1491357,1491700,344,*,30,3.51820759961896,-0.791615085531095,-9.86141995999126,0.00536387358654682,0.36359364533448,2309138,2309167,30
scaffold_79,246019,246131,113,*,26,2.8435517430024,0.720768410626702,9.84273766382507,0.00536387358654682,0.36359364533448,11258908,11258933,26
scaffold_38,77360,77966,607,*,64,8.34858864193624,0.394911488417198,9.79959936240855,0.0054363583647434,0.36359364533448,9492042,9492105,64
scaffold_124,424374,424631,258,*,24,3.44794339277947,0.759352101677763,9.73604265126917,0.00558132792113656,0.36359364533448,753700,753723,24
scaffold_107,488971,489526,556,*,39,6.40983600616323,-0.567839053196074,-9.6299125242726,0.0057987822557263,0.36359364533448,351671,351709,39
scaffold_42,579908,580162,255,*,32,8.52458654064813,1.06907025051808,9.61968698128951,0.00594375181211945,0.36359364533448,9815357,9815388,32
scaffold_16,590341,590999,659,*,46,5.16371173306097,-0.485398616828089,-9.45681788871966,0.00666859959408524,0.394059989337723,1498262,1498307,46
scaffold_9,1561567,1561660,94,*,12,3.27116492769252,-0.997019782388075,-9.32970950760244,0.00688605392867498,0.394059989337723,11634148,11634159,12
scaffold_501,4981,5307,327,*,23,3.92269737198814,0.428625327742194,9.28076754089446,0.00717599304146129,0.397109989255198,10285460,10285482,23
scaffold_2321,180441,180936,496,*,39,4.97518220125829,-0.413790640449412,-9.12857824325592,0.00746593215424761,0.397109989255198,6708116,6708154,39
scaffold_2253,395879,396643,765,*,34,9.5931702323186,0.759387567109876,9.0856950896692,0.00761090171064077,0.397109989255198,4211356,4211389,34
scaffold_371,13666,14395,730,*,42,6.66835985497015,-0.589828638768385,-9.00225910477437,0.0081907799362134,0.405546758257689,9464690,9464731,42
scaffold_41,261426,261706,281,*,17,3.04696766327083,-0.781105888283994,-8.96509466087429,0.00855320382719629,0.405546758257689,9760320,9760336,17
scaffold_89,36151,36632,482,*,15,3.87861841190591,-0.905360737103102,-8.89961788569823,0.0088431429399826,0.405546758257689,11560062,11560076,15
scaffold_2457,40619,41294,676,*,29,10.5074902457417,-1.16121532942549,-8.89947074438165,0.0088431429399826,0.405546758257689,7999617,7999645,29
scaffold_79,382176,382998,823,*,24,4.95888995694813,-0.637825652232766,-8.87466168318261,0.00891562771817918,0.405546758257689,11262969,11262992,24
scaffold_2269,932550,932838,289,*,25,3.31666690162787,1.19089376870069,8.83665581295187,0.00942302116555523,0.410256941280426,5152221,5152245,25
scaffold_2453,85677,86081,405,*,25,3.19814503337202,-0.666878909898058,-8.78644395596602,0.00964047550014497,0.410256941280426,7990022,7990046,25
scaffold_59,697460,697657,198,*,14,1.48649028056105,0.685987747556399,8.77482452958614,0.00971296027834155,0.410256941280426,10585572,10585585,14
scaffold_2361,271352,272064,713,*,28,6.86111387332239,0.784118219039972,8.60163100720481,0.0112351406204697,0.463514871179378,7280575,7280602,28
scaffold_2299,495089,495656,568,*,36,6.18438406309515,-0.491293300901272,-8.53605412047173,0.0117425340678458,0.465105519330302,6167194,6167229,36
scaffold_2290,403459,403850,392,*,33,3.69790240776238,-0.483155003659739,-8.51245812820935,0.0118150188460423,0.465105519330302,5919656,5919688,33
scaffold_2244,1329132,1329790,659,*,36,6.25624807269085,-0.759975646854704,-8.48003654854504,0.0122499275152218,0.465105519330302,3387994,3388029,36
scaffold_254,163704,164309,606,*,50,13.347163016819,-0.717412239275759,-8.44966447715882,0.0123224122934184,0.465105519330302,8260092,8260141,50
scaffold_2241,5872398,5872738,341,*,24,5.08175068480526,0.783169813181832,8.3036612027447,0.0140620469701363,0.507463343412169,3043776,3043799,24
scaffold_2381,46595,47065,471,*,26,3.23389430525374,0.554673134964541,8.29011112911783,0.014279501304726,0.507463343412169,7503659,7503684,26
scaffold_2330,112530,112543,14,*,5,0.825896134960588,-1.15883234305769,-8.19900923803734,0.0148593795302986,0.507463343412169,6850852,6850856,5
scaffold_2298,287404,288027,624,*,46,10.0980810415415,0.624854121139369,8.19525009926814,0.0148593795302986,0.507463343412169,6134427,6134472,46
scaffold_2276,1225299,1229617,4319,*,74,13.0986674027418,-0.522598312079717,-8.13974160703285,0.0153667729776747,0.507463343412169,5424920,5424993,74
scaffold_2253,1667756,1667985,230,*,24,2.94904883167001,0.513296857263873,8.11093703204613,0.015656712090461,0.507463343412169,4258680,4258703,24
scaffold_90,416050,416206,157,*,16,2.84495355744457,0.623183689589829,8.10497587857575,0.015656712090461,0.507463343412169,11670823,11670838,16
scaffold_2253,402011,402985,975,*,46,9.44036119006181,0.628236631430966,8.09203398148529,0.0158741664250507,0.507463343412169,4211643,4211688,46
scaffold_62,601555,601810,256,*,15,1.78932096282737,0.466357463718809,8.05393889934206,0.0160191359814439,0.507463343412169,10738478,10738492,15
scaffold_61,668411,668639,229,*,28,4.96897042873518,0.631308361192346,8.01429576076748,0.0166714989852131,0.518863845609966,10714055,10714082,28
scaffold_134,311534,312012,479,*,46,5.95969553412478,0.521396630260109,7.95989586729295,0.0177587706581618,0.533017985577867,969825,969870,46
scaffold_2431,15669,16407,739,*,57,9.68693200277946,-0.453770763997803,-7.93464509629621,0.0181211945491447,0.533017985577867,7895309,7895365,57
scaffold_144,40407,40470,64,*,12,1.3688249927532,-1.98113452973876,-7.91892301318504,0.018411133661931,0.533017985577867,1198012,1198023,12
scaffold_2299,146407,147038,632,*,64,8.05523755654041,-0.320005353957529,-7.91486561720809,0.0184836184401276,0.533017985577867,6156481,6156544,64
scaffold_16,1633427,1633630,204,*,26,7.43465055488298,-0.628208749373139,-7.8756010206623,0.0186285879965207,0.533017985577867,1529531,1529556,26
scaffold_2285,714515,715178,664,*,58,13.7075198605298,-0.622808830980795,-7.82298986429564,0.0192809510002899,0.542927096420863,5758161,5758218,58
scaffold_2277,282852,283322,471,*,25,3.593914950529,-0.43815627456764,-7.78657613597603,0.0197158596694694,0.546498985213105,5435816,5435840,25
scaffold_20,1318245,1318592,348,*,36,8.02026580305592,-0.683711572958002,-7.7461656472403,0.0200782835604523,0.547473136701899,2302586,2302621,36
scaffold_128,355937,356325,389,*,31,4.05817039439042,0.484041972768325,7.73509440033856,0.0203682226732386,0.547473136701899,818395,818425,31
scaffold_38,678093,678258,166,*,9,1.30148514451806,-0.630384921419081,-7.65054036687603,0.0213830095679907,0.560862538015953,9512845,9512853,9
scaffold_73,279079,279765,687,*,30,4.68741616552602,-0.66998610055005,-7.63449716455288,0.0215279791243839,0.560862538015953,11100731,11100760,30
scaffold_884,5449,6092,644,*,49,8.97771818594759,-0.623837058307135,-7.59938466319991,0.0221078573499565,0.560862538015953,11557916,11557964,49
scaffold_2691,1444,1975,532,*,46,11.4749244089066,-0.621977846974774,-7.53033717814503,0.0232676138011018,0.560862538015953,8479755,8479800,46
scaffold_42,195571,195925,355,*,13,3.00933394963328,-0.904210590163966,-7.49171103203498,0.0238474920266744,0.560862538015953,9802746,9802758,13
scaffold_222,50934,51137,204,*,15,3.07020672685395,-0.648257581423349,-7.48624995783056,0.0238474920266744,0.560862538015953,2605855,2605869,15
scaffold_2263,1320596,1320791,196,*,16,3.17296332600255,0.880438293285927,7.46288887661643,0.0242099159176573,0.560862538015953,4844405,4844420,16
scaffold_12,1014623,1014763,141,*,12,1.56662348271981,-0.688811316226367,-7.46178208314691,0.0242099159176573,0.560862538015953,648075,648086,12
scaffold_42,836314,836750,437,*,21,4.58374968824746,-0.601625994225229,-7.4616553761129,0.0242099159176573,0.560862538015953,9823825,9823845,21
scaffold_2292,622274,622786,513,*,27,3.14913712308742,-0.688291751144121,-7.45925949469413,0.0242824006958539,0.560862538015953,5989379,5989405,27
scaffold_186,267848,268096,249,*,9,1.14446938971263,1.1635106796865,7.43238732859487,0.0244998550304436,0.560862538015953,1965064,1965072,9
scaffold_2247,2309066,2309359,294,*,24,2.8542579006296,0.479776014921539,7.39192621565034,0.0250797332560162,0.560862538015953,3759016,3759039,24
scaffold_89,112176,112652,477,*,20,4.57002786240958,-0.716946261654484,-7.36239603294021,0.0255871267033923,0.560862538015953,11562290,11562309,20
scaffold_131,386638,386694,57,*,6,1.41016483538914,-1.27204515938956,-7.35727491961511,0.0255871267033923,0.560862538015953,928248,928253,6
scaffold_157,278404,279186,783,*,38,5.06126521399133,-0.379720500409242,-7.33951418109609,0.0261670049289649,0.560862538015953,1448299,1448336,38
scaffold_2253,1198723,1199311,589,*,54,7.30910219499939,-0.375007387954541,-7.32969844907306,0.0266019135981444,0.560862538015953,4240365,4240418,54
scaffold_2245,2153975,2154627,653,*,36,5.07499580336715,-0.704165591395579,-7.32124260534012,0.0269643374891273,0.560862538015953,3530632,3530667,36
scaffold_18,256872,257472,601,*,29,3.80984635601353,-0.427533967705955,-7.29062118742881,0.0276891852710931,0.560862538015953,1846975,1847003,29
scaffold_2263,537423,538163,741,*,42,6.9639442761445,-0.55028872049262,-7.28530498820331,0.0278341548274862,0.560862538015953,4828931,4828972,42
scaffold_2471,60487,60934,448,*,34,3.85936911127989,-0.298633007353033,-7.27530818240916,0.028051609162076,0.560862538015953,8055968,8056001,34
scaffold_2244,720731,721090,360,*,22,3.68089149365438,-0.593484700549218,-7.26691211839334,0.0282690634966657,0.560862538015953,3364031,3364052,22
scaffold_134,435549,435989,441,*,31,5.62428247521368,-0.490854443223919,-7.24670610979084,0.0287764569440417,0.560862538015953,973162,973192,31
scaffold_239,75947,76176,230,*,19,2.1539904189839,0.733956603665099,7.23112453940352,0.0292838503914178,0.560862538015953,7586910,7586928,19
scaffold_2346,322896,323153,258,*,38,4.09954078964061,0.310114035074287,7.23048165302378,0.0292838503914178,0.560862538015953,7091331,7091368,38
