geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g447	scaffold_1	2023624	2030138	2027297	2028043	746	decrease
g925	scaffold_1	4258653	4260449	4259809	4260609	640	decrease
g1010	scaffold_2	292318	296436	292425	292913	488	increase
g1010	scaffold_2	292318	296436	295629	295985	356	increase
g1146	scaffold_2	972340	972877	972580	973550	297	increase
g1177	scaffold_2	1084198	1085085	1084221	1084949	728	decrease
g1427	scaffold_2	2386058	2391676	2387717	2388323	606	decrease
g1639	scaffold_2	3434506	3440400	3437985	3438565	580	decrease
g1968	scaffold_3	1092477	1096479	1093039	1093509	470	decrease
g2137	scaffold_3	1861789	1867591	1864426	1864931	505	decrease
g2659	scaffold_4	689611	690618	690194	690489	295	decrease
g2861	scaffold_4	1584853	1586611	1585070	1585505	435	decrease
g3021	scaffold_4	2417056	2433386	2420736	2421029	293	decrease
g3196	scaffold_5	256740	257573	257501	257901	72	decrease
g3367	scaffold_5	1083830	1086032	1084093	1084765	672	decrease
g3524	scaffold_5	1872742	1874110	1873303	1874553	807	decrease
g3550	scaffold_5	2017337	2022147	2020008	2020563	555	decrease
g3765	scaffold_5	3084264	3087614	3086018	3086792	774	increase
g3855	scaffold_6	490475	492778	492653	492795	125	increase
g4454	scaffold_7	1084819	1089748	1088338	1088584	246	decrease
g4903	scaffold_8	735154	735757	734929	735352	199	decrease
g4908	scaffold_8	750714	753464	752684	752996	312	decrease
g5074	scaffold_8	1496032	1497408	1497040	1497413	368	decrease
g5460	scaffold_9	881924	886562	881863	882628	705	decrease
g5460	scaffold_9	881924	886562	884441	884906	465	decrease
g6555	scaffold_11	1259492	1260961	1259398	1259980	489	increase
g6597	scaffold_11	1447195	1450221	1449172	1449835	663	increase
g6796	scaffold_12	498494	499795	499681	500443	114	decrease
g7626	scaffold_14	950669	956252	950550	951070	402	increase
g7670	scaffold_14	1163871	1167281	1164928	1165634	706	increase
g7964	scaffold_15	844005	845715	844657	844876	219	decrease
g8114	scaffold_15	1678642	1682409	1681100	1681540	440	decrease
g8419	scaffold_16	1440559	1444915	1442748	1443455	707	decrease
g8430	scaffold_16	1495669	1497237	1496067	1496970	903	decrease
g8463	scaffold_16	1663449	1665377	1664362	1664816	454	increase
g8563	scaffold_17	319793	325414	319891	320926	1035	decrease
g8614	scaffold_17	583382	589162	586582	587149	567	decrease
g8750	scaffold_17	1338889	1340410	1338490	1339143	255	decrease
g8854	scaffold_18	146126	146706	146458	146837	248	decrease
g8934	scaffold_18	565298	572820	569841	570347	506	decrease
g9182	scaffold_19	518545	521369	519497	519944	447	increase
g9201	scaffold_19	640066	644764	644470	644761	291	increase
g9208	scaffold_19	677007	678614	677878	678371	493	decrease
g9249	scaffold_19	898733	903241	902837	903249	404	increase
g9564	scaffold_20	856018	870725	870709	871049	16	increase
g9565	scaffold_20	870869	871863	870709	871049	181	increase
g9679	scaffold_20	1409211	1410536	1410457	1410947	79	decrease
g10373	scaffold_23	16196	22057	18807	19229	422	decrease
g10374	scaffold_23	26266	32318	28833	29291	458	decrease
g10382	scaffold_23	68776	70572	70098	71078	474	decrease
g10539	scaffold_23	739050	741686	741142	741700	544	decrease
g10558	scaffold_23	857440	860831	856970	857611	172	decrease
g10721	scaffold_24	27456	29251	28673	28755	82	decrease
g11252	scaffold_25	1074562	1077885	1075737	1076073	336	increase
g11319	scaffold_26	6566	8584	6514	6635	70	increase
g11352	scaffold_26	160566	162981	160629	160917	288	increase
g11422	scaffold_26	503987	505617	505169	505614	445	decrease
g11542	scaffold_26	1021766	1043239	1026156	1026322	166	decrease
g12120	scaffold_28	760354	766261	760393	761037	644	decrease
g12679	scaffold_30	682984	688901	683229	684326	1097	decrease
g12988	scaffold_31	801940	804718	802389	802964	575	increase
g13299	scaffold_32	1138826	1139510	1139110	1139432	322	increase
g13805	scaffold_35	12236	18641	12104	12617	382	decrease
g13893	scaffold_35	465355	467606	465039	465388	34	increase
g14056	scaffold_36	108778	109781	109127	109736	609	decrease
g14153	scaffold_36	561894	563061	561869	562539	646	decrease
g14260	scaffold_36	1069740	1074114	1072024	1072372	348	decrease
g14468	scaffold_37	913109	919262	912770	913521	413	decrease
g14484	scaffold_37	991556	993904	991880	992483	603	decrease
g14575	scaffold_38	271351	273173	272985	273213	188	decrease
g14581	scaffold_38	295198	301493	294954	295496	299	decrease
g14582	scaffold_38	301621	303733	303415	303966	318	decrease
g14627	scaffold_38	522023	528305	525144	526070	926	decrease
g14917	scaffold_39	1065125	1071249	1070739	1071147	408	increase
g15140	scaffold_41	140057	143691	140519	140875	356	decrease
g15862	scaffold_44	772217	775689	773971	774205	234	decrease
g15915	scaffold_45	124133	124801	123849	124464	332	decrease
g15956	scaffold_45	339850	350244	341362	342106	744	decrease
g16007	scaffold_45	591291	595001	593788	594257	469	decrease
g16181	scaffold_46	542119	542977	542887	543155	90	decrease
g16217	scaffold_46	745689	753772	745857	746483	626	decrease
