seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_2562,2238,2687,450,*,118,12.8363499464114,-0.845409372535697,-18.8830525344641,8.98311174991017e-05,0.247664390945023,43251552,43251669,118
scaffold_2247,2339257,2339919,663,*,178,32.7326454235553,-0.517490491369287,-15.563633456836,0.000179662234998203,0.247664390945023,19787366,19787543,178
scaffold_2511,34361,34928,568,*,159,21.2398138450425,-0.501527308216647,-13.0987448731887,0.000449155587495508,0.371496586417535,42842434,42842592,159
scaffold_17,587517,587751,235,*,57,5.92517417424636,-0.59071429885358,-12.1322648380166,0.000808480057491915,0.371496586417535,8812809,8812865,57
scaffold_128,342852,343536,685,*,151,19.770486791342,-0.428825947353193,-11.6733875198125,0.000988142292490119,0.371496586417535,4326442,4326592,151
scaffold_205,210332,210778,447,*,131,18.4110536304394,-0.407479495776018,-11.3236158044977,0.00112288896873877,0.371496586417535,12312718,12312848,131
scaffold_2415,124517,124538,22,*,6,0.860491490951954,0.974619391122653,11.1303186375697,0.00121272008623787,0.371496586417535,40908790,40908795,6
scaffold_876,6458,6831,374,*,74,9.45676432698067,0.630349086442385,10.9878169762489,0.00130255120373697,0.371496586417535,60076345,60076418,74
scaffold_3587,1351,1494,144,*,23,3.89559937209237,0.746066284722553,10.8268775556926,0.00143729787998563,0.371496586417535,48716194,48716216,23
scaffold_2675,10858,11108,251,*,71,7.52256688387254,-0.987082351399989,-10.5503390467849,0.00157204455623428,0.371496586417535,44073198,44073268,71
scaffold_2265,158927,159059,133,*,34,11.5071642934454,-1.04927709411619,-10.4070366592329,0.00175170679123248,0.371496586417535,25951204,25951237,34
scaffold_113,377547,377680,134,*,32,3.5087156420953,1.006629900794,10.4019036562276,0.00175170679123248,0.371496586417535,2717560,2717591,32
scaffold_17,1673013,1673054,42,*,5,1.77915264234321,1.08049686948369,10.3158815572278,0.00188645346748114,0.371496586417535,9001405,9001409,5
scaffold_2255,665691,665837,147,*,38,14.833506124592,-1.14992106832204,-10.2971849486001,0.00188645346748114,0.371496586417535,23103154,23103191,38
scaffold_1445,212,538,327,*,82,13.0097190191064,-0.709681058471497,-10.0977050841361,0.00220086237872799,0.404518505210205,6352748,6352829,82
scaffold_9,1044435,1044492,58,*,16,2.16487016128501,0.530278795570829,9.90493501141243,0.0026500179662235,0.43667142613991,60485253,60485268,16
scaffold_25,1272349,1272467,119,*,29,2.92009771333085,0.751410926930219,9.69916519958596,0.0028296802012217,0.43667142613991,42675247,42675275,29
scaffold_1,2959428,2959821,394,*,92,11.6725853459528,0.526799257085946,9.64323539518426,0.00300934243621991,0.43667142613991,532616,532707,92
scaffold_89,36190,36588,399,*,106,13.2097358671504,-0.813860094513565,-9.6007379468821,0.00300934243621991,0.43667142613991,60199646,60199751,106
scaffold_222,12333,13036,704,*,177,26.2970381294997,-0.525378501378419,-9.51235845526119,0.00323392022996766,0.445795903701042,13534367,13534543,177
scaffold_2486,33332,33488,157,*,37,6.81576010837819,-0.612076643092804,-9.46552627414571,0.00350341358246497,0.455382912382785,42300217,42300253,37
scaffold_2254,232450,232556,107,*,29,4.72262729064136,0.414976717371193,9.28138694869914,0.00395256916996047,0.455382912382785,22638195,22638223,29
scaffold_2253,395876,396353,478,*,93,13.5609408659553,0.598135308793199,9.22336053757456,0.00417714696370823,0.455382912382785,22216644,22216736,93
scaffold_136,51863,52352,490,*,89,16.103419289416,-0.934101709359822,-9.18351080436472,0.00431189363995688,0.455382912382785,5264254,5264342,89
scaffold_2413,116202,116556,355,*,90,10.2194667280736,0.955565026801873,9.17137764282916,0.00435680919870643,0.455382912382785,40861646,40861735,90
scaffold_2263,146628,146710,83,*,26,9.81125906786914,-1.46979839933153,-9.16812281226413,0.00435680919870643,0.455382912382785,25488074,25488099,26
scaffold_2303,741274,741864,591,*,171,20.5564654547097,0.280305483597533,9.14546356171108,0.00449155587495508,0.455382912382785,33258433,33258603,171
scaffold_2319,93299,94030,732,*,211,25.2976753383546,0.298169842522678,9.0193749420071,0.00485088034495149,0.455382912382785,35056144,35056354,211
scaffold_2295,333746,333975,230,*,52,5.66186522033107,0.490721748376084,8.93135229109598,0.00507545813869925,0.455382912382785,31900099,31900150,52
scaffold_2316,161245,161792,548,*,139,16.4326721207175,0.417626929656097,8.89719165400621,0.0051203736974488,0.455382912382785,34754902,34755040,139
scaffold_2859,2170,2231,62,*,14,1.42242123248338,0.666753475742314,8.86558235941625,0.0051203736974488,0.455382912382785,45172572,45172585,14
scaffold_258,89990,90014,25,*,5,1.1849418611043,-0.929861654457134,-8.61342674786293,0.00646784045993532,0.551616143468461,43354999,43355003,5
scaffold_2280,497264,497393,130,*,23,4.62079800895182,1.14516996685774,8.58966145805389,0.00660258713618397,0.551616143468461,29316332,29316354,23
scaffold_72,275768,276099,332,*,64,8.5713333634446,0.889678648033531,8.48388084434954,0.00705174272367948,0.571813373211304,57685855,57685918,64
scaffold_2361,301113,301174,62,*,18,2.00537878979574,0.792441035021171,8.43803066972969,0.00736615163492634,0.580242287356912,38250260,38250277,18
scaffold_253,101148,101224,77,*,34,3.71178816442985,0.407816273182206,8.21940111807492,0.00884836507366152,0.677637291891244,43000143,43000176,34
scaffold_2258,1282602,1282997,396,*,75,7.67271355146912,0.262781281917819,8.09595472307414,0.00956701401365433,0.699651904419691,24131287,24131361,75
scaffold_556,17,129,113,*,23,3.6135414877714,0.463976345295561,8.03226935705739,0.00974667624865253,0.699651904419691,54476435,54476457,23
scaffold_2249,2463094,2464526,1433,*,219,32.1073174628098,-0.370265432732805,-7.95543832938851,0.0100610851598994,0.699651904419691,20698944,20699162,219
scaffold_2428,88442,88992,551,*,133,18.0436261478207,-0.498638578094769,-7.93679427592252,0.0101509162773985,0.699651904419691,41273604,41273736,133
scaffold_1,178823,179011,189,*,53,6.58662698631692,-0.849868300088991,-7.82954138567834,0.0109144807761409,0.733932280483423,32875,32927,53
scaffold_2314,631591,631801,211,*,52,6.0558426769402,-0.427006279107428,-7.75552184291592,0.0116780452748832,0.74299317283507,34628062,34628113,52
scaffold_2284,438783,438840,58,*,12,1.26943802277928,0.617855034215771,7.71012345212356,0.0122619475386274,0.74299317283507,30146176,30146187,12
scaffold_2244,1543955,1544028,74,*,18,2.87861036827302,-0.848002881438302,-7.69060462192121,0.012396694214876,0.74299317283507,17806655,17806672,18
scaffold_121,110698,111212,515,*,116,13.796863288346,0.404626781789343,7.67871724167184,0.0124416097736256,0.74299317283507,3684209,3684324,116
scaffold_83,592142,592292,151,*,39,8.25901608286665,0.84510829999414,7.66451909012717,0.0126212720086238,0.74299317283507,59583109,59583147,39
scaffold_12,1395045,1395089,45,*,11,2.36157957744646,0.892289754314314,7.59988100477671,0.0132051742723679,0.74299317283507,3507789,3507799,11
scaffold_78,452166,452491,326,*,93,11.9245922359952,0.626262299529292,7.59427919372773,0.0132051742723679,0.74299317283507,58535542,58535634,93
scaffold_2808,51,135,85,*,17,2.34327716513696,0.394539758921896,7.58496356989245,0.0132500898311175,0.74299317283507,45008185,45008201,17
scaffold_2333,345333,345901,569,*,143,16.6660967556839,-0.249116680563257,-7.54438383381711,0.0136094143011139,0.74299317283507,36371526,36371668,143
scaffold_278,131779,132130,352,*,81,8.70854071898162,0.380336759228139,7.52322966402871,0.0138789076536112,0.74299317283507,44687054,44687134,81
