seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	rawDiff
scaffold_17	771956	773583	1628	*	68	59.0191834558849	-2.41841009578902	-111.24069425884	7.0032915470271e-05	0.000885672079831009	1371372	1371439	68	-0.883736219595738
scaffold_835	7339	8505	1167	*	76	63.824654489825	-2.34628983921001	-84.8489388726167	7.0032915470271e-05	0.000885672079831009	4853752	4853827	76	-0.873603680124163
scaffold_273	57273	58266	994	*	56	51.0862790523761	-2.47916675068781	-76.0345208896164	7.0032915470271e-05	0.000885672079831009	2589443	2589498	56	-0.861287774707061
scaffold_283	78488	79513	1026	*	36	31.9655944750326	-2.51564869456283	-63.8585361271889	7.0032915470271e-05	0.000885672079831009	2669111	2669146	36	-0.887765615700441
scaffold_423	28498	29109	612	*	26	22.0411613865252	-2.49047760108238	-63.7598227902152	7.0032915470271e-05	0.000885672079831009	3511771	3511796	26	-0.913693476747959
scaffold_11	1493898	1494622	725	*	14	10.7614895372108	-2.4011899895296	-58.3222174756698	7.0032915470271e-05	0.000885672079831009	332433	332446	14	-0.883819791477279
scaffold_137	346472	347112	641	*	48	23.8922586581977	-2.62706705843066	-57.4406812313	7.0032915470271e-05	0.000885672079831009	789853	789900	48	-0.356414350843555
scaffold_16	957393	958650	1258	*	66	44.5667209304699	1.65045636826216	55.9649871138234	7.0032915470271e-05	0.000885672079831009	1213651	1213716	66	0.648489422321873
scaffold_6	423920	424528	609	*	22	15.3753203407948	-2.29255182869681	-54.921811338325	7.0032915470271e-05	0.000885672079831009	4178791	4178812	22	-0.884035404168686
scaffold_140	414927	415236	310	*	13	10.6906545782228	-2.39265448024562	-52.1369902458791	7.0032915470271e-05	0.000885672079831009	892947	892959	13	-0.907599263908534
scaffold_916	567	1653	1087	*	76	57.3017948463693	-1.85306006845709	-50.8781426373052	7.0032915470271e-05	0.000885672079831009	5070935	5071010	76	-0.748082561910971
scaffold_48	487442	488881	1440	*	87	73.6378668517733	2.22007995997376	50.6978787293843	7.0032915470271e-05	0.000885672079831009	3732667	3732753	87	0.83536479322153
scaffold_74	561391	562088	698	*	34	27.7856827098091	2.30229361236794	49.9959106014569	7.0032915470271e-05	0.000885672079831009	4620102	4620135	34	0.863215689859288
scaffold_283	76234	76402	169	*	9	6.92458733761963	-2.63019201779547	-49.8916364058488	7.0032915470271e-05	0.000885672079831009	2669102	2669110	9	-0.966405505441168
scaffold_7	585096	586193	1098	*	44	36.5695368290461	-2.19237201759745	-49.0017633578381	7.0032915470271e-05	0.000885672079831009	4493391	4493434	44	-0.860410686053042
scaffold_814	3258	4597	1340	*	36	29.7654094011506	-2.34128198219022	-48.2177719911034	7.0032915470271e-05	0.000885672079831009	4811179	4811214	36	-0.858147868017543
scaffold_181	253708	259167	5460	*	132	99.3152492841523	-1.92432457329475	-46.9951350445821	7.0032915470271e-05	0.000885672079831009	1565748	1565879	132	-0.714705456108476
scaffold_24	910273	910432	160	*	16	14.8058689036351	-2.42737748910458	-46.5753665277409	7.0032915470271e-05	0.000885672079831009	2328613	2328628	16	-0.924551461824523
scaffold_233	38309	39046	738	*	20	11.579108785003	-1.68764725981838	-45.5836229856062	7.0032915470271e-05	0.000885672079831009	2297832	2297851	20	-0.621167051510162
scaffold_177	183380	184026	647	*	62	41.0945572223061	-1.84556973740269	-44.4600624486986	7.0032915470271e-05	0.000885672079831009	1479712	1479773	62	-0.646476246587581
scaffold_5	2738430	2739138	709	*	39	30.2260510585297	-2.32863671640538	-43.5726203871696	7.0032915470271e-05	0.000885672079831009	3870311	3870349	39	-0.863035822190255
scaffold_98	381077	381706	630	*	29	24.4586713342536	-2.06711628578148	-43.0086836582405	7.0032915470271e-05	0.000885672079831009	5173200	5173228	29	-0.836407391257316
scaffold_69	115984	116064	81	*	8	7.71322507017761	2.62862108102441	42.658617821915	7.0032915470271e-05	0.000885672079831009	4460238	4460245	8	0.977678571428571
scaffold_196	97109	97564	456	*	15	11.2484565969402	-2.13864433706876	-41.6629476108189	7.0032915470271e-05	0.000885672079831009	1742929	1742943	15	-0.831590149616465
scaffold_5	398825	399356	532	*	36	25.5153497300081	-1.99376432403958	-41.1495304323085	7.0032915470271e-05	0.000885672079831009	3801703	3801738	36	-0.834911889810947
scaffold_17	1501720	1503359	1640	*	44	36.9362614224145	-2.21335441108547	-41.0111087156336	7.0032915470271e-05	0.000885672079831009	1393087	1393130	44	-0.846883654533464
scaffold_2	529968	530548	581	*	22	16.8148732639874	-2.12457133451482	-38.674296983956	7.0032915470271e-05	0.000885672079831009	1788080	1788101	22	-0.847321549145479
scaffold_965	1702	3726	2025	*	42	30.1417664560627	-2.05549715859745	-38.3238086264939	7.0032915470271e-05	0.000885672079831009	5151947	5151988	42	-0.757017013663134
scaffold_255	161248	161980	733	*	39	29.2594895774524	-2.01538117779068	-37.6505404833012	7.0032915470271e-05	0.000885672079831009	2448355	2448393	39	-0.747735136431481
scaffold_40	90795	91578	784	*	35	29.8509595485128	-2.19680736314849	-37.1618665536299	7.0032915470271e-05	0.000885672079831009	3464299	3464333	35	-0.851846613565054
scaffold_233	39833	40358	526	*	16	8.54474141535929	-1.54926328833433	-36.7890852792324	7.0032915470271e-05	0.000885672079831009	2297874	2297889	16	-0.586644123863046
scaffold_70	343574	343943	370	*	48	15.6388828160322	0.837934607956779	36.3697299249861	7.0032915470271e-05	0.000885672079831009	4521980	4522027	48	0.379271685214133
scaffold_128	355103	356427	1325	*	40	35.1139339409836	-2.29920680666261	-36.2262160808021	7.0032915470271e-05	0.000885672079831009	612094	612133	40	-0.850135301119316
scaffold_72	610567	611213	647	*	26	19.6725487087395	-1.90988461811376	-35.6807280968214	7.0032915470271e-05	0.000885672079831009	4574694	4574719	26	-0.75848294684147
scaffold_104	428186	428310	125	*	8	4.90266274452491	-1.68774819513459	-35.4760447841181	7.0032915470271e-05	0.000885672079831009	207757	207764	8	-0.622903287301507
scaffold_232	154983	156611	1629	*	30	25.2458959733398	-2.27839853974433	-35.0803836634086	7.0032915470271e-05	0.000885672079831009	2294929	2294958	30	-0.832564812607087
scaffold_36	203394	204133	740	*	28	20.4606082882383	-1.96059276792072	-34.7724765720322	7.0032915470271e-05	0.000885672079831009	3188584	3188611	28	-0.761375332482543
scaffold_471	25120	25258	139	*	8	5.62047676357215	-2.31751289586257	-34.2675117934519	7.0032915470271e-05	0.000885672079831009	3707424	3707431	8	-0.885919401918587
scaffold_436	23631	24500	870	*	40	31.5707254592057	-2.09627455684479	-34.2639995692735	7.0032915470271e-05	0.000885672079831009	3552691	3552730	40	-0.792304131157365
scaffold_9	161073	161869	797	*	24	13.8785061654138	-1.6159768777243	-34.2318889617198	7.0032915470271e-05	0.000885672079831009	4977219	4977242	24	-0.602764248018105
scaffold_114	150299	151018	720	*	11	8.96429393916869	-2.117917139403	-34.0119624451019	7.0032915470271e-05	0.000885672079831009	404401	404411	11	-0.821023417183704
scaffold_166	232095	232521	427	*	38	26.8817775169178	1.89178610050835	33.8796950398208	7.0032915470271e-05	0.000885672079831009	1311984	1312021	38	0.716801889943445
scaffold_81	608477	608855	379	*	18	11.5741016862503	-1.97457679335197	-33.5350522813919	7.0032915470271e-05	0.000885672079831009	4809376	4809393	18	-0.751642757707603
scaffold_64	335943	336932	990	*	50	40.5407271950724	-2.27038837308374	-33.5143325907376	7.0032915470271e-05	0.000885672079831009	4347189	4347238	50	-0.798332067716649
scaffold_371	13762	14712	951	*	31	25.7559092809693	-2.22944170359614	-33.044821224258	7.0032915470271e-05	0.000885672079831009	3265957	3265987	31	-0.834383838235096
scaffold_111	470019	470542	524	*	37	25.5879788631833	-2.21210563330134	-33.0438650932328	7.0032915470271e-05	0.000885672079831009	371291	371327	37	-0.795326850595305
scaffold_107	382929	383687	759	*	38	31.4864954607733	-2.04610804157012	-33.043117228823	7.0032915470271e-05	0.000885672079831009	252994	253031	38	-0.793297647665497
scaffold_17	769575	770803	1229	*	43	33.2674815613899	-1.9134103526581	-32.3537610469303	7.0032915470271e-05	0.000885672079831009	1371285	1371327	43	-0.751950061989281
scaffold_222	215257	215380	124	*	8	6.29885873009686	-2.43259822438422	-32.1767395923225	7.0032915470271e-05	0.000885672079831009	2190529	2190536	8	-0.920446516990635
scaffold_233	65652	65727	76	*	8	4.80259881007888	-1.90238127538705	-31.6805408242273	7.0032915470271e-05	0.000885672079831009	2298312	2298319	8	-0.781371406371406
scaffold_69	218706	220080	1375	*	48	40.3958960448885	-2.24092316713528	-31.3887697797787	7.0032915470271e-05	0.000885672079831009	4460796	4460843	48	-0.845815921933495
scaffold_37	953581	953911	331	*	48	29.7207682327873	1.90763154832387	31.2735820152042	7.0032915470271e-05	0.000885672079831009	3259246	3259293	48	0.805441730601904
scaffold_86	236802	237479	678	*	33	18.5606027423349	-1.61442532629989	-31.1932731875529	7.0032915470271e-05	0.000885672079831009	4902329	4902361	33	-0.571864180355111
scaffold_75	288787	289151	365	*	34	16.7811381372913	2.17044046392212	31.0156961742787	7.0032915470271e-05	0.000885672079831009	4635706	4635739	34	0.827038593215064
scaffold_269	88548	89187	640	*	23	16.0721742078958	-2.1439566735445	-30.8425376319003	7.0032915470271e-05	0.000885672079831009	2555698	2555720	23	-0.761605911782326
scaffold_155	81748	82693	946	*	42	28.4116663967023	-2.03832596476064	-30.8381385304118	7.0032915470271e-05	0.000885672079831009	1132005	1132046	42	-0.752366997044868
scaffold_57	668913	669455	543	*	47	22.3754910420248	1.88813806863958	30.8342087822006	7.0032915470271e-05	0.000885672079831009	4103298	4103344	47	0.742912998447386
scaffold_53	589247	593292	4046	*	124	62.5709430537413	-1.45484730390659	-30.6899185179677	7.0032915470271e-05	0.000885672079831009	3985504	3985627	124	-0.525234403696787
scaffold_20	85505	85700	196	*	13	10.6275243013007	2.22875545425197	30.6511571046362	7.0032915470271e-05	0.000885672079831009	1887146	1887158	13	0.869223440377286
scaffold_5	504492	505729	1238	*	70	34.829520948579	-1.47707859496639	-30.6433017351247	7.0032915470271e-05	0.000885672079831009	3804494	3804563	70	-0.46500253295585
scaffold_40	669228	672037	2810	*	27	22.0291208326787	2.31850691869027	30.5751410981031	7.0032915470271e-05	0.000885672079831009	3467148	3467174	27	0.804938271604938
scaffold_20	1535320	1535498	179	*	16	11.8590577012137	-1.80703282556997	-30.5157756299932	7.0032915470271e-05	0.000885672079831009	1928234	1928249	16	-0.699033027158027
scaffold_15	184564	186213	1650	*	34	24.0309237919779	-1.9049411994942	-30.5044087738204	7.0032915470271e-05	0.000885672079831009	1020549	1020582	34	-0.668704323473188
scaffold_3	3184533	3184743	211	*	14	9.93637383219875	1.99785824302505	30.337891762626	7.0032915470271e-05	0.000885672079831009	2817641	2817654	14	0.745942397938196
scaffold_293	97042	98570	1529	*	62	43.1357507322011	-1.81107580720326	-30.064485275128	7.0032915470271e-05	0.000885672079831009	2744514	2744575	62	-0.70610381452188
scaffold_7	588271	588492	222	*	15	9.64420170057761	-1.99627408764102	-29.7847009550945	7.0032915470271e-05	0.000885672079831009	4493489	4493503	15	-0.744393644327499
scaffold_3	1693312	1693844	533	*	17	14.2201184209591	2.14156802924653	29.3373205281274	7.0032915470271e-05	0.000885672079831009	2776371	2776387	17	0.812134676430861
scaffold_832	4063	4882	820	*	60	38.4879264928962	-2.00322414342555	-29.2628327267709	7.0032915470271e-05	0.000885672079831009	4852795	4852854	60	-0.743004828198322
scaffold_78	444402	445279	878	*	53	34.7296934632306	1.77558717909751	29.2314624283069	7.0032915470271e-05	0.000885672079831009	4705550	4705602	53	0.743295338049215
scaffold_6	777421	777563	143	*	12	1.93170635762262	1.01298962527462	28.8454144660792	7.0032915470271e-05	0.000885672079831009	4188638	4188649	12	0.286235574925324
