geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g12	scaffold_2240	43706	50663	43827	44004	177	decrease
g23	scaffold_2240	86936	92102	86920	87884	949	decrease
g68	scaffold_2240	257164	263798	263087	263905	711	decrease
g70	scaffold_2240	270503	275289	274478	275169	691	decrease
g90	scaffold_2240	353208	354336	353740	354045	305	decrease
g99	scaffold_2240	393576	400613	398190	398653	463	decrease
g103	scaffold_2240	409235	413823	409240	409782	542	decrease
g150	scaffold_2240	584380	589428	589377	590110	51	decrease
g151	scaffold_2240	589511	595338	594005	594810	805	decrease
g151	scaffold_2240	589511	595338	589377	590110	600	decrease
g158	scaffold_2240	617703	624467	617384	617848	146	decrease
g172	scaffold_2240	673366	677655	674378	674926	548	decrease
g172	scaffold_2240	673366	677655	676912	677641	729	decrease
g187	scaffold_2240	757330	764895	757744	757948	204	decrease
g199	scaffold_2240	822130	826597	821770	822498	369	decrease
g232	scaffold_2240	973487	978581	973550	974112	562	decrease
g232	scaffold_2240	973487	978581	978240	978638	341	decrease
g318	scaffold_2240	1306129	1309955	1306049	1306261	133	decrease
g318	scaffold_2240	1306129	1309955	1308209	1308679	470	decrease
g368	scaffold_2240	1569523	1571945	1571475	1571537	62	decrease
g374	scaffold_2240	1633301	1635018	1634423	1634889	466	increase
g385	scaffold_2240	1682993	1687195	1685195	1685661	466	decrease
g386	scaffold_2240	1687773	1695909	1688777	1689808	1031	decrease
g389	scaffold_2240	1702072	1706788	1703451	1703763	312	decrease
g411	scaffold_2240	1815180	1822528	1821338	1821679	341	increase
g416	scaffold_2240	1833801	1840825	1835922	1836004	82	decrease
g416	scaffold_2240	1833801	1840825	1836216	1836312	96	increase
g416	scaffold_2240	1833801	1840825	1836644	1836702	58	decrease
g432	scaffold_2240	1932172	1940140	1939721	1939826	105	decrease
g449	scaffold_2240	2009193	2010117	2009230	2009316	86	decrease
g455	scaffold_2240	2033034	2037447	2035589	2036640	1051	decrease
g459	scaffold_2240	2063404	2075889	2063398	2063593	190	decrease
g459	scaffold_2240	2063404	2075889	2065904	2066127	223	increase
g502	scaffold_2240	2257532	2262735	2260481	2260692	211	decrease
g531	scaffold_2240	2363593	2366117	2365919	2365974	55	decrease
g535	scaffold_2240	2374947	2376447	2376131	2376467	316	increase
g596	scaffold_2240	2632029	2633324	2633126	2633418	198	decrease
g607	scaffold_2240	2693966	2707614	2702119	2702243	124	decrease
g607	scaffold_2240	2693966	2707614	2704320	2704511	191	decrease
g615	scaffold_2240	2732560	2735904	2734362	2734753	391	decrease
g636	scaffold_2240	2829871	2835228	2832266	2832377	111	decrease
g650	scaffold_2240	2883761	2884793	2884135	2885998	658	decrease
g676	scaffold_2240	3016932	3018749	3016779	3019145	1818	decrease
g692	scaffold_2240	3093032	3094764	3093671	3094350	679	increase
g702	scaffold_2240	3137839	3141279	3139389	3139768	379	decrease
g705	scaffold_2240	3146929	3151921	3151412	3151528	116	decrease
g790	scaffold_2240	3482693	3487465	3486483	3487068	585	decrease
g837	scaffold_2240	3700411	3705752	3700097	3700446	36	decrease
g838	scaffold_2240	3705831	3707825	3706112	3706876	764	decrease
g854	scaffold_2240	3780828	3790346	3790321	3790338	17	decrease
g874	scaffold_2240	3891379	3894491	3894365	3894566	126	decrease
g875	scaffold_2240	3895355	3898181	3897970	3898096	126	increase
g913	scaffold_2240	4080376	4084333	4084152	4085318	181	decrease
g914	scaffold_2240	4084962	4086213	4084152	4085318	357	decrease
g914	scaffold_2240	4084962	4086213	4086204	4086403	9	decrease
g933	scaffold_2240	4167130	4175288	4170578	4171268	690	decrease
g934	scaffold_2240	4181882	4183945	4181930	4182027	97	decrease
g934	scaffold_2240	4181882	4183945	4182399	4182481	82	decrease
g939	scaffold_2240	4212340	4215921	4212281	4212450	111	decrease
g1019	scaffold_2240	4551301	4560476	4558901	4559014	113	decrease
g1094	scaffold_2240	4843741	4844612	4844465	4844630	147	decrease
g1095	scaffold_2240	4844622	4845586	4844465	4844630	9	decrease
g1110	scaffold_2240	4897261	4899111	4897441	4898670	1229	decrease
g1125	scaffold_2240	4943990	4946976	4946855	4947158	121	decrease
g1133	scaffold_2240	4974472	4975756	4973506	4974597	126	decrease
g1133	scaffold_2240	4974472	4975756	4975220	4975590	370	increase
g1176	scaffold_2240	5156274	5157921	5157833	5157968	88	increase
g1178	scaffold_2240	5163239	5164831	5164797	5165012	34	decrease
g1198	scaffold_2240	5248548	5253893	5248369	5249490	943	decrease
g1202	scaffold_2240	5266308	5267539	5266261	5266413	106	decrease
g1239	scaffold_2240	5403982	5404690	5404455	5404503	48	decrease
g1267	scaffold_2240	5519842	5522664	5520032	5520119	87	increase
g1312	scaffold_2240	5674784	5683476	5678232	5679455	1223	decrease
g1322	scaffold_2240	5709004	5711266	5708888	5712467	2263	decrease
g1323	scaffold_2240	5711775	5714489	5708888	5712467	693	decrease
g1337	scaffold_2240	5774281	5775513	5774661	5774754	93	increase
g1356	scaffold_2240	5834982	5839726	5834682	5835300	319	decrease
g1389	scaffold_2240	6003516	6011768	6007055	6007429	374	decrease
g1423	scaffold_2240	6161374	6162727	6161847	6161924	77	decrease
g1425	scaffold_2240	6167792	6177030	6174154	6174526	372	decrease
g1430	scaffold_2240	6199381	6205227	6200121	6200629	508	decrease
g1437	scaffold_2240	6236055	6243097	6237272	6237473	201	increase
g1437	scaffold_2240	6236055	6243097	6240765	6241642	877	decrease
g1477	scaffold_2240	6444632	6447600	6444385	6445139	508	decrease
g1495	scaffold_2240	6503025	6507955	6504714	6505463	749	decrease
g1498	scaffold_2240	6524096	6524740	6523764	6524103	8	decrease
g1508	scaffold_2240	6570385	6572941	6572791	6572935	144	decrease
g1512	scaffold_2240	6596626	6601040	6596779	6596847	68	decrease
g1516	scaffold_2240	6618675	6625042	6618647	6618718	44	decrease
g1517	scaffold_2240	6625095	6633870	6631530	6632127	597	decrease
g1526	scaffold_2240	6662039	6663000	6662893	6663141	107	decrease
g1529	scaffold_2240	6672316	6674730	6674078	6674376	298	decrease
g1532	scaffold_2240	6680825	6682010	6680957	6681914	957	decrease
g1543	scaffold_2240	6713835	6719499	6714189	6714551	362	decrease
g1544	scaffold_2240	6720605	6722014	6720168	6720704	100	decrease
g1547	scaffold_2240	6730493	6736260	6734041	6734107	66	decrease
g1557	scaffold_2241	19568	22491	19374	19590	23	decrease
g1609	scaffold_2241	207398	208653	206625	207492	95	decrease
g1611	scaffold_2241	222182	231333	226709	227019	310	decrease
g1611	scaffold_2241	222182	231333	228720	228807	87	decrease
g1614	scaffold_2241	255728	257895	256867	257566	699	decrease
g1625	scaffold_2241	296515	297513	297424	298053	89	decrease
g1644	scaffold_2241	386066	390497	387301	387776	475	decrease
g1661	scaffold_2241	447732	457269	456528	457244	716	decrease
g1666	scaffold_2241	482192	489848	481486	482321	130	decrease
g1668	scaffold_2241	494612	498689	496618	497514	896	decrease
g1669	scaffold_2241	500732	503744	501533	501910	377	decrease
g1685	scaffold_2241	558914	561303	560367	560663	296	decrease
g1693	scaffold_2241	608874	614415	611335	611945	610	decrease
g1696	scaffold_2241	622934	625219	623828	624195	367	decrease
g1703	scaffold_2241	655995	661579	660301	661044	743	decrease
g1711	scaffold_2241	703188	707731	704014	704198	184	decrease
g1711	scaffold_2241	703188	707731	706597	706748	151	decrease
g1717	scaffold_2241	728688	729681	728196	728782	95	decrease
g1725	scaffold_2241	761532	771771	764291	764702	411	decrease
g1748	scaffold_2241	856336	860132	855908	856350	15	decrease
g1799	scaffold_2241	1058983	1063962	1059071	1059703	632	decrease
g1811	scaffold_2241	1101850	1103495	1102234	1102755	521	decrease
g1819	scaffold_2241	1157480	1160271	1157204	1158196	717	decrease
g1823	scaffold_2241	1172578	1180815	1175947	1176109	162	decrease
g1840	scaffold_2241	1235430	1238244	1237946	1238095	149	decrease
g1889	scaffold_2241	1410337	1414310	1413364	1414515	946	decrease
g1915	scaffold_2241	1532954	1536167	1535168	1535708	540	decrease
g1938	scaffold_2241	1628416	1631060	1628788	1629448	660	decrease
g1939	scaffold_2241	1631496	1637242	1633599	1634426	827	decrease
g1943	scaffold_2241	1663296	1665796	1663535	1664097	562	decrease
g1943	scaffold_2241	1663296	1665796	1665237	1665745	508	decrease
g1955	scaffold_2241	1733976	1744428	1742257	1742510	253	decrease
g1960	scaffold_2241	1761857	1765141	1761531	1761898	42	decrease
g1975	scaffold_2241	1838698	1839686	1839105	1839197	92	decrease
g1976	scaffold_2241	1840218	1854446	1843016	1844072	1056	decrease
g1991	scaffold_2241	1905058	1909183	1908909	1909405	274	decrease
g2019	scaffold_2241	2045610	2050023	2047994	2048766	772	decrease
g2028	scaffold_2241	2080954	2083603	2081231	2081700	469	decrease
g2028	scaffold_2241	2080954	2083603	2082516	2084028	1087	decrease
g2095	scaffold_2241	2391139	2392924	2390825	2391342	204	decrease
g2105	scaffold_2241	2433529	2440014	2439371	2439475	104	decrease
g2109	scaffold_2241	2456230	2461116	2460005	2460646	641	decrease
