seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	rawDiff
scaffold_2740	5744	6676	933	*	220	95.9120106532456	-1.21249191611344	-62.3618024308264	4.68515742128936e-05	0.000230487374718494	21791360	21791579	220	-0.436790501983246
scaffold_2283	42256	45849	3594	*	690	101.362753271044	0.641757394053716	60.8715257455673	4.68515742128936e-05	0.000230487374718494	11341143	11341832	690	0.195653885186234
scaffold_2352	305588	307858	2271	*	479	66.5419410463327	0.635322704797104	59.1796440006851	4.68515742128936e-05	0.000230487374718494	17478430	17478908	479	0.167018974848686
scaffold_2528	29928	30019	92	*	45	27.5063578692819	1.66954128991904	57.5448316452551	4.68515742128936e-05	0.000230487374718494	21346895	21346939	45	0.624551795069848
scaffold_2240	5708888	5712467	3580	*	659	189.679614687035	0.938042405770201	57.1887190011864	4.68515742128936e-05	0.000230487374718494	204028	204686	659	0.294684003502319
scaffold_2273	747321	747441	121	*	28	24.1759854035142	2.2333302719657	55.348096012387	4.68515742128936e-05	0.000230487374718494	9589907	9589934	28	0.870215961188984
scaffold_2251	412325	415741	3417	*	663	72.2665469909562	-0.459758080929379	-53.0400271831002	4.68515742128936e-05	0.000230487374718494	4409438	4410100	663	-0.126607291265017
scaffold_2282	201934	206257	4324	*	999	144.720118909798	0.503037229216857	51.6090460744775	4.68515742128936e-05	0.000230487374718494	11162240	11163238	999	0.186685575827594
scaffold_2289	494084	498884	4801	*	1087	175.783429378652	0.527214011523505	51.4354923590568	4.68515742128936e-05	0.000230487374718494	12245432	12246518	1087	0.198061470056374
scaffold_2365	42741	43637	897	*	155	71.0046074409133	1.74794747626842	50.1851669704027	4.68515742128936e-05	0.000230487374718494	18134812	18134966	155	0.514584129957864
scaffold_2302	230	668	439	*	106	31.3464854696374	1.41729175461987	45.7595274508679	4.68515742128936e-05	0.000230487374718494	13680435	13680540	106	0.468774943746964
scaffold_2350	54898	56958	2061	*	470	58.7523675269389	0.383899205246611	44.7896652613089	4.68515742128936e-05	0.000230487374718494	17362143	17362612	470	0.140483903378259
scaffold_2241	4376912	4378463	1552	*	286	64.8637307399186	-0.748812771257635	-44.5939120917911	4.68515742128936e-05	0.000230487374718494	798506	798791	286	-0.236536031115595
scaffold_2308	221686	223422	1737	*	407	64.9909167569915	0.535725149267763	44.4371858519103	4.68515742128936e-05	0.000230487374718494	14376291	14376697	407	0.201342224991008
scaffold_2828	3040	3874	835	*	198	32.5928313211317	0.612210845894416	43.9165826899514	4.68515742128936e-05	0.000230487374718494	21864749	21864946	198	0.209812536608792
scaffold_2351	91891	96898	5008	*	402	107.828102499366	0.802845435895233	41.2843238001387	4.68515742128936e-05	0.000230487374718494	17426697	17427098	402	0.295357389830687
scaffold_2267	97567	97714	148	*	25	16.0985470341628	2.01410168132805	40.7303902764952	4.68515742128936e-05	0.000230487374718494	8572344	8572368	25	0.825701063353193
scaffold_2327	224098	226705	2608	*	611	71.0629248823522	-0.400972833073669	-40.3359964633051	4.68515742128936e-05	0.000230487374718494	15798600	15799210	611	-0.103931796042071
scaffold_2246	2065203	2065377	175	*	34	3.45389719459304	1.79178117572074	39.9147844441673	4.68515742128936e-05	0.000230487374718494	2943218	2943251	34	0.749776697572216
scaffold_2242	4471889	4475209	3321	*	787	94.7284521461346	-0.38357101442426	-39.7349466392685	4.68515742128936e-05	0.000230487374718494	1581709	1582495	787	-0.116935572894794
scaffold_2243	916044	919222	3179	*	608	79.4253509245721	0.502853930139891	39.4140434698261	4.68515742128936e-05	0.000230487374718494	1777284	1777891	608	0.172278908901181
scaffold_2293	272931	274074	1144	*	276	113.09049093517	-1.13898223980582	-39.3618239475445	4.68515742128936e-05	0.000230487374718494	12710737	12711012	276	-0.323873253146047
scaffold_2310	500746	500856	111	*	25	23.5299919285931	2.24315571652599	38.9554389782619	4.68515742128936e-05	0.000230487374718494	14565622	14565646	25	0.883467490641404
scaffold_2272	976204	976584	381	*	90	37.1586896192213	1.12390556506086	38.4247369701315	4.68515742128936e-05	0.000230487374718494	9459152	9459241	90	0.478874740602777
scaffold_2308	16099	17183	1085	*	253	48.7763119392679	0.662232701938607	37.8034358739424	4.68515742128936e-05	0.000230487374718494	14340042	14340294	253	0.213396729778083
scaffold_2249	2163789	2164291	503	*	97	48.7394448205854	1.19922096959235	37.67922008228	4.68515742128936e-05	0.000230487374718494	4057611	4057707	97	0.503760463323209
scaffold_2243	3403932	3405625	1694	*	314	56.1307219458219	0.589900849009567	37.299295333233	4.68515742128936e-05	0.000230487374718494	2239215	2239528	314	0.197382133664448
scaffold_2251	298167	301583	3417	*	757	108.535244067346	0.415017226639244	37.1019823076317	4.68515742128936e-05	0.000230487374718494	4388141	4388897	757	0.165854735252887
scaffold_2248	520897	523067	2171	*	511	85.8274956978173	0.576691186925741	36.6436430879938	4.68515742128936e-05	0.000230487374718494	3637032	3637542	511	0.190384704187462
scaffold_2489	26525	27439	915	*	250	38.6350769834215	0.516061722287082	36.5331057676141	4.68515742128936e-05	0.000230487374718494	21084863	21085112	250	0.1777390454426
scaffold_2298	287267	288512	1246	*	203	85.1329036537145	-1.19311733887188	-36.4884999502929	4.68515742128936e-05	0.000230487374718494	13193065	13193267	203	-0.390665298195612
scaffold_2285	695480	697201	1722	*	432	64.661886458161	-0.547831481673524	-36.4420532146655	4.68515742128936e-05	0.000230487374718494	11841744	11842175	432	-0.156476006443131
scaffold_2250	1065485	1068518	3034	*	725	94.3060766920081	0.380524476007516	36.0421141190203	4.68515742128936e-05	0.000230487374718494	4107013	4107737	725	0.149250736305912
scaffold_2297	235693	237142	1450	*	250	78.3663754464626	0.9152469044903	35.9822478449646	4.68515742128936e-05	0.000230487374718494	13138785	13139034	250	0.344329374822453
scaffold_3100	1874	3918	2045	*	496	58.2644775138978	0.421687606454406	35.9559149849284	4.68515742128936e-05	0.000230487374718494	22036351	22036846	496	0.152484289372679
scaffold_2262	501388	503250	1863	*	421	63.5575566277353	0.460557038450722	35.907002131844	4.68515742128936e-05	0.000230487374718494	7484878	7485298	421	0.176980023141052
scaffold_2328	302928	305654	2727	*	492	66.8333747538838	-0.517350292440965	-35.4888918692412	4.68515742128936e-05	0.000230487374718494	15907738	15908229	492	-0.140067638441677
scaffold_2251	409188	410768	1581	*	345	49.4274421311361	-0.508077539017932	-34.9433077554227	4.68515742128936e-05	0.000230487374718494	4408760	4409104	345	-0.168672689964975
scaffold_2434	26515	27732	1218	*	300	74.0231296108737	-0.912413598620067	-34.8720930123682	4.68515742128936e-05	0.000230487374718494	20415353	20415652	300	-0.243567276531394
scaffold_2455	11714	13364	1651	*	423	70.8237392664625	0.470788747706086	34.7695792217554	4.68515742128936e-05	0.000230487374718494	20734795	20735217	423	0.194102711154249
scaffold_2243	527320	528228	909	*	217	90.8096294738176	1.21794078758645	34.6147264656587	4.68515742128936e-05	0.000230487374718494	1706680	1706896	217	0.476976516674288
scaffold_2520	21218	22096	879	*	237	37.4700918897088	0.604076127690752	34.5015722965325	4.68515742128936e-05	0.000230487374718494	21310275	21310511	237	0.163039369832765
scaffold_2293	391831	395102	3272	*	777	111.845573686974	0.357205743619128	34.5014273717206	4.68515742128936e-05	0.000230487374718494	12732864	12733640	777	0.142286135754361
scaffold_2287	705700	706926	1227	*	342	48.2727283676787	-0.583706498646152	-34.1770042599909	4.68515742128936e-05	0.000230487374718494	12087870	12088211	342	-0.16049477447654
scaffold_2333	333336	334667	1332	*	293	90.5079694789887	0.829104664552938	33.9720068072422	4.68515742128936e-05	0.000230487374718494	16257791	16258083	293	0.305679649513202
scaffold_2332	166492	166874	383	*	114	67.075130191301	1.54817780537711	33.821440738905	4.68515742128936e-05	0.000230487374718494	16149919	16150032	114	0.572940572546504
scaffold_2442	60608	63695	3088	*	752	87.2502810323835	0.364086717334099	33.7715728741135	4.68515742128936e-05	0.000230487374718494	20547091	20547842	752	0.127517172082733
scaffold_2336	325288	326581	1294	*	351	96.94967417579	0.846297299155646	33.7618568095371	4.68515742128936e-05	0.000230487374718494	16509036	16509386	351	0.301415871475651
scaffold_2439	24928	25711	784	*	99	50.6201614412696	-1.80776581980918	-33.5569673390297	4.68515742128936e-05	0.000230487374718494	20508308	20508406	99	-0.531103033644014
scaffold_2308	190928	192315	1388	*	373	44.6191465729103	0.405947676473941	33.4873169433075	4.68515742128936e-05	0.000230487374718494	14370347	14370719	373	0.153777276952327
scaffold_2244	1813805	1813852	48	*	8	6.51791625875467	1.88647300456573	33.4509966117772	4.68515742128936e-05	0.000230487374718494	2266554	2266561	8	0.800408296625402
scaffold_2302	2227	3021	795	*	171	67.2234869809622	1.58565922976178	33.3031750564535	4.68515742128936e-05	0.000230487374718494	13680915	13681085	171	0.403510478679249
scaffold_2253	683910	685427	1518	*	408	81.3901538755042	0.596676020901127	33.3013117943717	4.68515742128936e-05	0.000230487374718494	5297122	5297529	408	0.226223715519554
scaffold_2439	49018	51050	2033	*	459	90.102341802497	0.525531099839578	33.1833008654791	4.68515742128936e-05	0.000230487374718494	20513561	20514019	459	0.20697258345777
scaffold_2241	2918532	2919737	1206	*	298	88.6397850734637	0.91931457678839	33.1321609886527	4.68515742128936e-05	0.000230487374718494	758288	758585	298	0.302894769364637
