geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g44	scaffold_1	167713	177265	175009	175381	372	decrease
g45	scaffold_1	177903	179013	178388	179011	623	decrease
g61	scaffold_1	252851	254568	253281	253386	105	decrease
g72	scaffold_1	304563	307420	306874	307386	512	decrease
g189	scaffold_1	836873	841485	841057	841550	428	decrease
g240	scaffold_1	1072351	1076949	1076626	1077009	323	decrease
g316	scaffold_1	1439047	1441394	1440556	1440689	133	decrease
g350	scaffold_1	1585854	1590118	1588134	1588851	717	increase
g363	scaffold_1	1630424	1633775	1631574	1631769	195	decrease
g403	scaffold_1	1820771	1821614	1820268	1820840	70	decrease
g447	scaffold_1	2023624	2030138	2027073	2027881	808	increase
g447	scaffold_1	2023624	2030138	2029911	2030337	227	decrease
g448	scaffold_1	2030243	2042986	2029911	2030337	95	decrease
g482	scaffold_1	2212690	2214132	2213253	2213687	434	decrease
g538	scaffold_1	2418990	2422037	2421610	2421732	122	decrease
g675	scaffold_1	3009521	3011290	3011134	3011333	156	decrease
g683	scaffold_1	3039682	3044844	3043993	3044352	359	increase
g751	scaffold_1	3472222	3475713	3474204	3474408	204	decrease
g786	scaffold_1	3609961	3614103	3610513	3611152	639	decrease
g800	scaffold_1	3688501	3692742	3691057	3692623	1566	increase
g841	scaffold_1	3867689	3871350	3869853	3870524	671	decrease
g1045	scaffold_2	470392	474351	473681	473861	180	decrease
g1097	scaffold_2	708354	711860	709045	709252	207	decrease
g1106	scaffold_2	742565	743376	743051	743329	278	decrease
g1122	scaffold_2	866146	868830	866413	866870	457	decrease
g1146	scaffold_2	972340	972877	972518	973620	359	decrease
g1156	scaffold_2	1016190	1017799	1017206	1017566	360	decrease
g1177	scaffold_2	1084198	1085085	1084222	1085023	801	decrease
g1291	scaffold_2	1682001	1683041	1682451	1682991	540	decrease
g1350	scaffold_2	1976582	1978324	1976718	1977132	414	increase
g1369	scaffold_2	2106799	2112031	2107767	2110126	2359	decrease
g1437	scaffold_2	2478381	2482646	2482542	2482660	104	increase
g1495	scaffold_2	2742751	2746133	2742637	2743239	489	decrease
g1549	scaffold_2	3003478	3008846	3004110	3004805	695	decrease
g1639	scaffold_2	3434506	3440400	3437725	3437999	274	increase
g1668	scaffold_2	3558122	3562563	3562042	3562345	303	decrease
g1673	scaffold_2	3590476	3599637	3598346	3599117	771	decrease
g1704	scaffold_3	7220	11661	7206	7337	118	decrease
g1939	scaffold_3	967805	973909	973670	974443	239	decrease
g2034	scaffold_3	1356248	1360936	1360566	1360825	259	decrease
g2098	scaffold_3	1687156	1688164	1686496	1687239	84	decrease
g2204	scaffold_3	2162062	2165419	2162021	2162429	368	decrease
g2358	scaffold_3	2825946	2833736	2832194	2833364	1170	decrease
g2360	scaffold_3	2836337	2838031	2836607	2837121	514	decrease
g2449	scaffold_3	3195315	3196147	3195662	3196047	385	decrease
g2486	scaffold_4	13767	16071	15765	16121	306	decrease
g2655	scaffold_4	666041	675145	666727	667145	418	decrease
g2662	scaffold_4	704313	710503	707761	708521	760	decrease
g2885	scaffold_4	1681537	1683236	1681444	1682412	876	increase
g2897	scaffold_4	1732091	1738800	1733656	1734166	510	decrease
g2897	scaffold_4	1732091	1738800	1738269	1738766	497	decrease
g2991	scaffold_4	2261296	2264799	2262872	2263173	301	increase
g3081	scaffold_4	2765785	2767025	2765574	2765851	67	decrease
g3168	scaffold_5	114984	120471	116005	116286	281	decrease
g3183	scaffold_5	191410	193704	191120	191427	18	decrease
g3196	scaffold_5	256740	257573	257494	257961	79	decrease
g3238	scaffold_5	492124	494556	493129	493543	414	increase
g3239	scaffold_5	501638	504870	504552	505410	318	increase
g3240	scaffold_5	505078	509285	504552	505410	333	increase
g3240	scaffold_5	505078	509285	506318	506821	503	increase
g3240	scaffold_5	505078	509285	507373	507643	270	increase
g3259	scaffold_5	601788	603102	602935	603246	167	increase
g3305	scaffold_5	805795	810483	809801	810453	652	decrease
g3367	scaffold_5	1083830	1086032	1085540	1086216	492	decrease
g3382	scaffold_5	1139567	1144318	1141174	1141653	479	decrease
g3412	scaffold_5	1285339	1287013	1286610	1287159	403	decrease
g3421	scaffold_5	1328856	1330054	1328934	1329525	591	increase
g3567	scaffold_5	2114802	2120734	2115030	2115531	501	decrease
g3667	scaffold_5	2629320	2631824	2631800	2632291	24	decrease
g3689	scaffold_5	2738469	2741136	2738389	2738949	481	increase
g3691	scaffold_5	2745399	2747432	2746332	2746916	584	decrease
g3743	scaffold_5	2985417	2989661	2986295	2986506	211	decrease
g3757	scaffold_5	3055732	3056629	3055670	3055787	56	decrease
g3769	scaffold_6	997	4891	4740	5047	151	increase
g3780	scaffold_6	83606	88397	83592	84035	430	increase
g3780	scaffold_6	83606	88397	84765	84912	147	decrease
g3811	scaffold_6	252478	253323	253230	253494	93	decrease
g3855	scaffold_6	490475	492778	490180	490514	40	decrease
g3971	scaffold_6	1071495	1074742	1071433	1071804	310	increase
g3974	scaffold_6	1082285	1083840	1082514	1082887	373	decrease
g3984	scaffold_6	1124901	1127240	1127125	1127814	115	decrease
g3985	scaffold_6	1127505	1128303	1127125	1127814	310	decrease
g4021	scaffold_6	1289416	1291043	1290720	1291272	323	decrease
g4095	scaffold_6	1687019	1691636	1687543	1687820	277	increase
g4214	scaffold_6	2221229	2224031	2223578	2224040	453	decrease
g4222	scaffold_6	2261246	2262919	2262891	2263383	28	decrease
g4225	scaffold_6	2266116	2272845	2268009	2268428	419	decrease
g4276	scaffold_7	209013	214718	208228	209080	68	decrease
g4339	scaffold_7	527616	533161	531606	531806	200	decrease
g4349	scaffold_7	585594	586141	584933	586375	548	increase
g4350	scaffold_7	587515	588921	588154	588707	553	increase
g4420	scaffold_7	897105	901369	900865	901402	504	decrease
g4457	scaffold_7	1097413	1099687	1099428	1100097	259	decrease
g4564	scaffold_7	1566770	1574763	1567463	1568117	654	decrease
g4601	scaffold_7	1707288	1711843	1711379	1711845	464	increase
g4668	scaffold_7	2007266	2010125	2008839	2009391	552	increase
g4852	scaffold_8	475235	480084	479412	479722	310	decrease
g4927	scaffold_8	811914	817099	812871	813261	390	increase
g4953	scaffold_8	946932	956429	954783	955045	262	decrease
g5032	scaffold_8	1324699	1328690	1324816	1325592	776	decrease
g5105	scaffold_8	1620231	1621789	1620298	1620848	550	decrease
g5121	scaffold_8	1711994	1715370	1715139	1715654	231	increase
g5167	scaffold_8	1932108	1933651	1932225	1932363	138	decrease
g5203	scaffold_8	2088889	2092640	2089368	2089970	602	decrease
g5211	scaffold_8	2109344	2111784	2111588	2112043	196	decrease
g5215	scaffold_8	2127259	2135977	2135162	2135668	506	decrease
g5237	scaffold_8	2243686	2244589	2244398	2244682	191	decrease
g5255	scaffold_9	49916	51141	49764	49993	78	decrease
g5260	scaffold_9	63596	68078	65138	65767	629	increase
g5271	scaffold_9	109665	110971	109825	110694	869	decrease
g5386	scaffold_9	581906	588147	587529	588224	618	decrease
g5450	scaffold_9	832783	840158	832839	833306	467	decrease
g5450	scaffold_9	832783	840158	837394	837475	81	decrease
g5452	scaffold_9	855583	858737	855475	855798	216	decrease
g5460	scaffold_9	881924	886562	881740	882184	261	decrease
g5514	scaffold_9	1102497	1105409	1104166	1104293	127	decrease
g5514	scaffold_9	1102497	1105409	1105039	1105673	370	decrease
g5515	scaffold_9	1106440	1111489	1107707	1108180	473	decrease
g5523	scaffold_9	1144055	1145389	1144703	1145281	578	increase
g5565	scaffold_9	1362674	1363323	1362259	1362748	75	decrease
g5606	scaffold_9	1539880	1544973	1542647	1543291	644	increase
g5621	scaffold_9	1608498	1610358	1608179	1608519	22	decrease
g5633	scaffold_9	1647361	1651853	1650505	1650774	269	decrease
g5743	scaffold_9	2118804	2126461	2126036	2126219	183	decrease
g5855	scaffold_10	422042	430125	424735	425313	578	decrease
g5909	scaffold_10	664990	667374	665076	665633	557	decrease
g6141	scaffold_10	1595922	1603509	1595756	1596018	97	decrease
g6141	scaffold_10	1595922	1603509	1603204	1603618	305	decrease
g6283	scaffold_11	93551	95991	95862	95985	123	increase
g6302	scaffold_11	175695	181031	178671	179141	470	increase
g6429	scaffold_11	693091	698389	697979	698145	166	increase
g6597	scaffold_11	1447195	1450221	1447942	1448483	541	increase
