geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g9	scaffold_2240	29196	32204	30950	31630	680	increase
g10	scaffold_2240	32237	34861	32919	33314	395	decrease
g141	scaffold_2240	553693	555793	553661	554129	437	increase
g153	scaffold_2240	601178	602568	600898	601287	110	increase
g160	scaffold_2240	632077	633298	632193	632456	263	increase
g170	scaffold_2240	661316	663048	661313	661453	138	increase
g248	scaffold_2240	1046365	1046963	1046751	1047161	212	increase
g279	scaffold_2240	1161218	1167700	1162479	1163046	567	decrease
g306	scaffold_2240	1261973	1264584	1263878	1263931	53	increase
g325	scaffold_2240	1338290	1342254	1337609	1338336	47	increase
g344	scaffold_2240	1445711	1450321	1445594	1446245	535	decrease
g354	scaffold_2240	1490147	1496761	1491147	1491460	313	increase
g357	scaffold_2240	1515988	1517641	1515793	1516095	108	decrease
g364	scaffold_2240	1553823	1559008	1556389	1556678	289	decrease
g371	scaffold_2240	1588891	1593148	1590704	1590867	163	increase
g377	scaffold_2240	1646103	1647238	1646037	1646485	383	decrease
g382	scaffold_2240	1671323	1675489	1674613	1675220	607	increase
g388	scaffold_2240	1701793	1702039	1701738	1701980	188	decrease
g405	scaffold_2240	1781090	1787092	1784521	1784839	318	decrease
g411	scaffold_2240	1815180	1822528	1820913	1821615	702	increase
g418	scaffold_2240	1851750	1856662	1852724	1853332	608	increase
g429	scaffold_2240	1922092	1927899	1923022	1923435	413	increase
g432	scaffold_2240	1932172	1940140	1932772	1932941	169	increase
g432	scaffold_2240	1932172	1940140	1935638	1936307	669	increase
g437	scaffold_2240	1957237	1962147	1958007	1958420	413	increase
g440	scaffold_2240	1971259	1974927	1973159	1973638	479	increase
g458	scaffold_2240	2039646	2057857	2040508	2040764	256	decrease
g486	scaffold_2240	2178473	2189479	2187723	2188051	328	increase
g496	scaffold_2240	2240632	2244068	2240630	2241263	632	decrease
g498	scaffold_2240	2247914	2250137	2248238	2248894	656	increase
g535	scaffold_2240	2374947	2376447	2375386	2376231	845	increase
g617	scaffold_2240	2740554	2742444	2741689	2742249	560	increase
g632	scaffold_2240	2789904	2795306	2788500	2790131	228	decrease
g632	scaffold_2240	2789904	2795306	2793669	2794133	464	decrease
g663	scaffold_2240	2962077	2963277	2962953	2963407	324	increase
g678	scaffold_2240	3023456	3027337	3023695	3024222	527	decrease
g682	scaffold_2240	3037737	3049837	3041757	3042346	589	decrease
g692	scaffold_2240	3093032	3094764	3093689	3094634	945	increase
g790	scaffold_2240	3482693	3487465	3486714	3487345	631	increase
g856	scaffold_2240	3812022	3816481	3811762	3812083	62	decrease
g876	scaffold_2240	3899162	3907921	3901545	3901670	125	decrease
g934	scaffold_2240	4181882	4183945	4183827	4184342	118	decrease
g1019	scaffold_2240	4551301	4560476	4554493	4554735	242	decrease
g1053	scaffold_2240	4682609	4688663	4685238	4687316	2078	increase
g1054	scaffold_2240	4688733	4691224	4690003	4690642	639	increase
g1074	scaffold_2240	4766631	4773124	4766877	4767557	680	decrease
g1082	scaffold_2240	4795879	4797719	4797251	4797515	264	increase
g1083	scaffold_2240	4797901	4799844	4798649	4798667	18	increase
g1110	scaffold_2240	4897261	4899111	4897261	4898127	866	decrease
g1123	scaffold_2240	4936981	4937477	4936656	4937497	497	decrease
g1144	scaffold_2240	5035749	5037071	5035643	5036113	365	increase
g1172	scaffold_2240	5143186	5146474	5144351	5144450	99	decrease
g1182	scaffold_2240	5174676	5175844	5175470	5175856	374	increase
g1198	scaffold_2240	5248548	5253893	5248526	5248588	41	decrease
g1209	scaffold_2240	5285308	5293079	5286148	5286872	724	increase
g1212	scaffold_2240	5297618	5302051	5298827	5299777	950	increase
g1218	scaffold_2240	5320222	5329573	5326456	5327020	564	increase
g1236	scaffold_2240	5389111	5396617	5393387	5394152	765	decrease
g1250	scaffold_2240	5444107	5446077	5444077	5444648	542	decrease
g1268	scaffold_2240	5522968	5524137	5523909	5524259	228	decrease
g1322	scaffold_2240	5709004	5711266	5711209	5712400	57	increase
g1323	scaffold_2240	5711775	5714489	5711209	5712400	626	increase
g1337	scaffold_2240	5774281	5775513	5774267	5774732	452	increase
g1353	scaffold_2240	5819272	5823036	5819435	5820002	567	increase
g1356	scaffold_2240	5834982	5839726	5835779	5836218	439	decrease
g1362	scaffold_2240	5875661	5878001	5875729	5876268	539	decrease
g1389	scaffold_2240	6003516	6011768	6010013	6010512	499	decrease
g1420	scaffold_2240	6154182	6155505	6155079	6155099	20	increase
g1430	scaffold_2240	6199381	6205227	6202254	6203499	1245	decrease
g1437	scaffold_2240	6236055	6243097	6237181	6237438	257	increase
g1472	scaffold_2240	6420388	6421025	6420548	6420901	353	decrease
g1510	scaffold_2240	6585995	6589442	6585908	6586555	561	decrease
g1529	scaffold_2240	6672316	6674730	6674048	6674180	132	decrease
g1547	scaffold_2240	6730493	6736260	6735528	6735786	258	increase
g1548	scaffold_2240	6736522	6740890	6737523	6737756	233	increase
g1583	scaffold_2241	110696	112601	110537	110723	28	increase
g1589	scaffold_2241	132847	133341	133016	133606	325	increase
g1590	scaffold_2241	134227	137461	135846	136656	810	increase
g1611	scaffold_2241	222182	231333	227964	228285	321	increase
g1611	scaffold_2241	222182	231333	231224	231317	93	increase
g1629	scaffold_2241	326858	330230	327329	327831	502	decrease
g1661	scaffold_2241	447732	457269	447267	448451	720	increase
g1672	scaffold_2241	513564	521867	513931	514473	542	increase
g1720	scaffold_2241	742137	744591	743836	744287	451	decrease
g1725	scaffold_2241	761532	771771	764415	764710	295	decrease
g1738	scaffold_2241	815500	820911	818993	819350	357	decrease
g1884	scaffold_2241	1394217	1395349	1394174	1394706	490	increase
g1930	scaffold_2241	1592569	1596119	1595197	1595462	265	increase
g2008	scaffold_2241	2012582	2013723	2013255	2013588	333	decrease
g2028	scaffold_2241	2080954	2083603	2083119	2083676	484	decrease
g2038	scaffold_2241	2122812	2123717	2123221	2123961	496	increase
g2095	scaffold_2241	2391139	2392924	2390934	2391280	142	decrease
g2174	scaffold_2241	2728175	2729818	2729028	2729386	358	increase
g2205	scaffold_2241	2822506	2825213	2823871	2823919	48	increase
g2235	scaffold_2241	2965971	2967831	2966392	2966962	570	decrease
g2319	scaffold_2241	3342482	3344495	3343467	3344206	739	increase
g2329	scaffold_2241	3377010	3379192	3378539	3379127	588	decrease
g2335	scaffold_2241	3402721	3404242	3403921	3404167	246	increase
g2347	scaffold_2241	3443627	3447956	3445082	3446621	1539	increase
g2348	scaffold_2241	3448167	3455422	3449044	3452184	3140	increase
g2348	scaffold_2241	3448167	3455422	3453202	3453702	500	increase
g2349	scaffold_2241	3455429	3457292	3456957	3458289	335	increase
g2350	scaffold_2241	3457387	3463540	3462211	3463366	1155	increase
g2350	scaffold_2241	3457387	3463540	3456957	3458289	903	increase
g2351	scaffold_2241	3464037	3469839	3466026	3466641	615	increase
g2351	scaffold_2241	3464037	3469839	3467010	3468116	1106	decrease
g2353	scaffold_2241	3471847	3473361	3473002	3473294	292	decrease
g2356	scaffold_2241	3478206	3483672	3480526	3480914	388	increase
g2357	scaffold_2241	3484807	3485750	3484410	3484928	122	increase
g2361	scaffold_2241	3495412	3497722	3495767	3495899	132	increase
g2405	scaffold_2241	3684984	3687063	3685001	3685741	740	increase
g2467	scaffold_2241	3930986	3934193	3933156	3934707	1037	decrease
g2468	scaffold_2241	3934197	3936801	3933156	3934707	511	decrease
g2471	scaffold_2241	3946021	3948451	3946459	3946681	222	decrease
g2476	scaffold_2241	3963366	3965474	3964297	3964332	35	increase
g2491	scaffold_2241	4014596	4015821	4014786	4014823	37	increase
g2493	scaffold_2241	4020746	4022241	4021029	4021929	900	increase
g2546	scaffold_2241	4225203	4226539	4225086	4225233	31	increase
g2578	scaffold_2241	4361217	4362421	4361808	4362144	336	increase
g2581	scaffold_2241	4373603	4375472	4373858	4373989	131	increase
g2582	scaffold_2241	4377617	4378869	4376028	4378391	775	increase
g2607	scaffold_2241	4471468	4476146	4473902	4475466	1564	increase
g2625	scaffold_2241	4536758	4541216	4540819	4541482	397	increase
g2693	scaffold_2241	4798739	4801324	4799001	4799433	432	increase
g2701	scaffold_2241	4822940	4826654	4825265	4825495	230	decrease
g2726	scaffold_2241	4921799	4929779	4926261	4926613	352	increase
g2739	scaffold_2241	4989024	4990507	4989283	4989321	38	decrease
g2763	scaffold_2241	5130764	5132925	5132624	5132930	301	increase
g2772	scaffold_2241	5175514	5178527	5178379	5178484	105	increase
g2853	scaffold_2241	5500223	5503579	5503335	5503368	33	increase
g2864	scaffold_2241	5549538	5555508	5552260	5552483	223	increase
g2864	scaffold_2241	5549538	5555508	5553102	5553603	501	decrease
g2905	scaffold_2241	5707093	5713008	5710245	5710428	183	increase
g2905	scaffold_2241	5707093	5713008	5711792	5712025	233	increase
g2923	scaffold_2241	5794343	5798111	5795081	5795237	156	increase
g2985	scaffold_2241	6091912	6097153	6092942	6093373	431	decrease
g2987	scaffold_2241	6098962	6102112	6100532	6101106	574	increase
g3006	scaffold_2241	6175768	6180022	6178797	6178882	85	increase
g3030	scaffold_2241	6284010	6293353	6287446	6287642	196	decrease
g3030	scaffold_2241	6284010	6293353	6288710	6290699	1989	decrease
g3031	scaffold_2241	6294252	6301013	6299133	6299200	67	decrease
g3152	scaffold_2242	488455	489063	488024	490455	609	increase
g3272	scaffold_2242	959508	965998	963043	963258	215	increase
g3347	scaffold_2242	1323437	1326130	1326096	1326359	34	increase
g3455	scaffold_2242	1796742	1799652	1798620	1799292	672	increase
g3488	scaffold_2242	1933064	1934249	1933287	1933729	442	increase
g3491	scaffold_2242	1937865	1944459	1943052	1943742	690	decrease
g3518	scaffold_2242	2046859	2056199	2047162	2047212	50	increase
g3547	scaffold_2242	2166210	2171479	2168568	2168797	229	increase
g3564	scaffold_2242	2253524	2258299	2258267	2258472	32	increase
g3595	scaffold_2242	2442467	2443351	2443310	2443778	41	decrease
g3619	scaffold_2242	2519933	2527161	2526065	2526285	220	increase
g3645	scaffold_2242	2656423	2663398	2659772	2660190	418	decrease
g3656	scaffold_2242	2720803	2727185	2725327	2725791	464	decrease
g3670	scaffold_2242	2779118	2783382	2779019	2780372	1255	increase
g3670	scaffold_2242	2779118	2783382	2781751	2783134	1383	increase
g3703	scaffold_2242	2938948	2950601	2938890	2939463	516	decrease
g3703	scaffold_2242	2938948	2950601	2941317	2942371	1054	increase
g3730	scaffold_2242	3065322	3068553	3066444	3066695	251	decrease
g3736	scaffold_2242	3096352	3098186	3097055	3097214	159	increase
g3746	scaffold_2242	3128409	3131447	3131113	3131290	177	decrease
g3786	scaffold_2242	3297963	3300885	3297922	3298028	66	decrease
g3790	scaffold_2242	3324098	3325139	3324073	3324257	160	decrease
g3801	scaffold_2242	3377889	3380599	3378171	3379475	1304	decrease
