geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g411	scaffold_2240	1815180	1822528	1821127	1821569	442	increase
g435	scaffold_2240	1953649	1955837	1955675	1955913	162	increase
g663	scaffold_2240	2962077	2963277	2962953	2963345	324	increase
g692	scaffold_2240	3093032	3094764	3093611	3094495	884	increase
g867	scaffold_2240	3858996	3860881	3859226	3859552	326	decrease
g867	scaffold_2240	3858996	3860881	3860477	3861007	404	decrease
g1053	scaffold_2240	4682609	4688663	4686569	4687118	549	increase
g1133	scaffold_2240	4974472	4975756	4975353	4975597	244	increase
g1144	scaffold_2240	5035749	5037071	5035939	5036112	173	increase
g1176	scaffold_2240	5156274	5157921	5157542	5157964	379	increase
g1323	scaffold_2240	5711775	5714489	5711539	5712399	625	decrease
g1353	scaffold_2240	5819272	5823036	5819867	5820001	134	increase
g1516	scaffold_2240	6618675	6625042	6623034	6623546	512	increase
g1609	scaffold_2241	207398	208653	207095	207547	150	decrease
g2028	scaffold_2241	2080954	2083603	2083119	2083480	361	increase
g3085	scaffold_2242	181269	185183	184899	185479	284	decrease
g3645	scaffold_2242	2656423	2663398	2659771	2660190	419	increase
g3656	scaffold_2242	2720803	2727185	2725407	2725818	411	increase
g3669	scaffold_2242	2778033	2778903	2778860	2779783	43	decrease
g3670	scaffold_2242	2779118	2783382	2778860	2779783	666	decrease
g3703	scaffold_2242	2938948	2950601	2938990	2939463	473	decrease
g3940	scaffold_2242	4095931	4099516	4099478	4099616	38	decrease
g4182	scaffold_2243	557811	562121	560988	561222	234	decrease
g4187	scaffold_2243	577131	581310	581074	581394	236	increase
g4773	scaffold_2243	3136317	3145120	3137570	3138505	935	decrease
g4781	scaffold_2243	3170916	3172170	3171035	3171672	637	decrease
g4888	scaffold_2244	117926	122201	119411	120380	969	increase
g4959	scaffold_2244	409315	411550	410156	410308	152	increase
g5362	scaffold_2244	2355662	2359034	2357023	2357344	321	increase
g5438	scaffold_2244	2705496	2709942	2709395	2710210	547	increase
g5536	scaffold_2244	3152223	3154260	3153825	3154237	412	increase
g5695	scaffold_2245	510845	512970	512496	512712	216	decrease
g5883	scaffold_2245	1422153	1423364	1423263	1423424	101	increase
g7111	scaffold_2247	600365	606322	601195	601694	499	decrease
g7518	scaffold_2248	966	5953	3166	4739	1573	decrease
g8053	scaffold_2248	2422888	2426942	2422624	2423077	190	decrease
g8896	scaffold_2250	492808	494843	494741	495008	102	increase
g9413	scaffold_2251	273765	275297	274576	274900	324	increase
g10284	scaffold_2252	1867381	1869701	1869036	1869637	601	increase
g10417	scaffold_2253	239817	242085	241655	242115	430	decrease
g10444	scaffold_2253	385483	389423	388719	389324	605	decrease
g10448	scaffold_2253	399493	401867	401780	402560	87	decrease
g10450	scaffold_2253	404226	405928	404106	406288	1703	decrease
g10451	scaffold_2253	410293	413807	412921	415229	886	decrease
g10452	scaffold_2253	413993	417585	412921	415229	1237	decrease
g10468	scaffold_2253	483953	485425	484883	485443	542	decrease
g10471	scaffold_2253	491383	497504	497251	497377	126	decrease
g10499	scaffold_2253	618205	627276	625436	625538	102	increase
g10673	scaffold_2253	1458508	1459098	1459079	1459153	19	decrease
g10774	scaffold_2253	1909054	1909703	1908969	1909479	426	increase
g10943	scaffold_2254	434145	436920	436715	436970	205	increase
g11056	scaffold_2254	1049420	1051872	1051425	1052464	447	increase
g11073	scaffold_2254	1152650	1155951	1155473	1155539	66	increase
g11139	scaffold_2254	1463225	1464829	1463448	1463848	400	increase
g11204	scaffold_2254	1836220	1837810	1837243	1838635	567	decrease
g11274	scaffold_2255	167757	169471	168579	169502	892	increase
