geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g150	scaffold_2240	584380	589428	589426	590074	2	increase
g151	scaffold_2240	589511	595338	589426	590074	564	increase
g411	scaffold_2240	1815180	1822528	1821051	1821691	640	increase
g692	scaffold_2240	3093032	3094764	3093627	3094077	450	increase
g875	scaffold_2240	3895355	3898181	3897439	3897515	76	increase
g1133	scaffold_2240	4974472	4975756	4974476	4975515	1039	increase
g1322	scaffold_2240	5709004	5711266	5709136	5712395	2130	decrease
g1323	scaffold_2240	5711775	5714489	5709136	5712395	621	decrease
g1516	scaffold_2240	6618675	6625042	6623349	6624540	1191	increase
g1517	scaffold_2240	6625095	6633870	6631911	6632202	291	decrease
g1557	scaffold_2241	19568	22491	19749	20467	718	increase
g1568	scaffold_2241	55743	61891	61112	61765	653	increase
g1629	scaffold_2241	326858	330230	327133	327802	669	increase
g1661	scaffold_2241	447732	457269	447317	448250	519	decrease
g1930	scaffold_2241	1592569	1596119	1594749	1595051	302	increase
g2961	scaffold_2241	5988666	5990287	5989076	5989705	629	increase
g3518	scaffold_2242	2046859	2056199	2046781	2047254	396	increase
g3645	scaffold_2242	2656423	2663398	2660030	2660262	232	increase
g3670	scaffold_2242	2779118	2783382	2779192	2780229	1037	decrease
g3703	scaffold_2242	2938948	2950601	2939079	2939474	395	decrease
g4043	scaffold_2242	4642082	4646482	4645517	4646370	853	increase
g4107	scaffold_2243	237158	246197	237030	237186	29	increase
g4263	scaffold_2243	935766	943494	936635	936715	80	increase
g4380	scaffold_2243	1436429	1439650	1436545	1436775	230	decrease
g5194	scaffold_2244	1581073	1586122	1585526	1585643	117	decrease
g5302	scaffold_2244	2102157	2106941	2106595	2106816	221	increase
g5305	scaffold_2244	2120276	2122159	2121688	2121718	30	increase
g5536	scaffold_2244	3152223	3154260	3153575	3154046	471	increase
g5537	scaffold_2244	3155061	3160630	3156267	3156539	272	increase
g5695	scaffold_2245	510845	512970	511013	512669	1656	decrease
g5722	scaffold_2245	649203	649696	649057	649214	12	increase
g5768	scaffold_2245	868716	870349	870173	870349	176	decrease
g5908	scaffold_2245	1537089	1540313	1537912	1538248	336	increase
g6483	scaffold_2246	846581	852494	847585	848459	874	increase
g6634	scaffold_2246	1526662	1531853	1526730	1527457	727	increase
g6679	scaffold_2246	1741087	1746737	1740935	1741555	469	increase
g6691	scaffold_2246	1801302	1805789	1805160	1805471	311	increase
g6845	scaffold_2246	2513552	2515860	2514489	2515560	1071	increase
g7216	scaffold_2247	1234289	1235231	1234480	1235037	557	increase
g7325	scaffold_2247	1782202	1784801	1783675	1783856	181	increase
g7518	scaffold_2248	966	5953	2988	3415	427	decrease
g8051	scaffold_2248	2415436	2416593	2415497	2416022	525	increase
g8053	scaffold_2248	2422888	2426942	2422633	2423118	231	decrease
g8085	scaffold_2248	2556443	2560216	2558577	2558859	282	decrease
g8100	scaffold_2248	2646127	2648543	2647263	2648331	1068	increase
g8448	scaffold_2249	1310626	1315013	1310525	1310668	43	increase
g9364	scaffold_2251	85486	86124	85325	85917	432	increase
g9417	scaffold_2251	295865	300564	300105	300973	459	increase
g9684	scaffold_2251	1586725	1589805	1587199	1587979	780	increase
g9687	scaffold_2251	1604439	1605370	1604389	1604853	415	increase
g10284	scaffold_2252	1867381	1869701	1869079	1869890	622	increase
