seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_38,546548,547021,474,*,123,39.0825135763252,1.58498911226524,49.3408797063024,4.69241236919901e-05,0.000879781673190094,17103447,17103569,123
scaffold_76,606929,611159,4231,*,683,143.279912366929,0.657639944834773,44.8958561256186,4.69241236919901e-05,0.000879781673190094,24285869,24286551,683
scaffold_243,2178,3743,1566,*,396,70.9159425162775,0.615749857821055,36.9068045651209,4.69241236919901e-05,0.000879781673190094,12190064,12190459,396
scaffold_40,244195,244359,165,*,26,22.7953326715236,2.05444739513621,35.2330320625667,4.69241236919901e-05,0.000879781673190094,17964103,17964128,26
scaffold_363,29271,29456,186,*,38,17.0224348874502,1.37558769560507,30.2871947262117,4.69241236919901e-05,0.000879781673190094,16722239,16722276,38
scaffold_407,276,2607,2332,*,628,104.054013582899,0.375129738111107,30.2789869895773,4.69241236919901e-05,0.000879781673190094,18048227,18048854,628
scaffold_133,232725,233324,600,*,131,19.1953292735994,0.67810641306487,29.0413190365368,4.69241236919901e-05,0.000879781673190094,3861024,3861154,131
scaffold_204,117615,119055,1441,*,243,58.0262228140459,-0.800372573054219,-28.7628348660498,4.69241236919901e-05,0.000879781673190094,10243686,10243928,243
scaffold_371,12919,13444,526,*,123,44.49856874443,1.11030405463844,28.2391560396042,4.69241236919901e-05,0.000879781673190094,16955156,16955278,123
scaffold_189,66952,67500,549,*,130,52.6914623372232,1.67232506388378,28.0661843404495,4.69241236919901e-05,0.000879781673190094,8533538,8533667,130
scaffold_16,957698,958663,966,*,218,26.5326259683014,0.524298914579685,27.3114314509605,4.69241236919901e-05,0.000879781673190094,6351437,6351654,218
scaffold_64,342419,343115,697,*,162,18.9529126141319,0.392680086440202,26.2784282979919,4.69241236919901e-05,0.000879781673190094,22598715,22598876,162
scaffold_19,383051,384468,1418,*,325,71.6496476777866,0.495325634491145,26.1404094016329,4.69241236919901e-05,0.000879781673190094,8627135,8627459,325
scaffold_520,20595,22050,1456,*,373,54.5038048255454,0.333749551902524,25.900221103878,4.69241236919901e-05,0.000879781673190094,20538927,20539299,373
scaffold_867,7071,7695,625,*,149,41.4824191726217,0.908319527745818,25.132218269283,4.69241236919901e-05,0.000879781673190094,25580455,25580603,149
scaffold_155,361292,362905,1614,*,450,132.009070412013,0.626100980981174,24.940758059093,4.69241236919901e-05,0.000879781673190094,5959092,5959541,450
scaffold_137,71741,74016,2276,*,385,51.3385479724842,0.285046100415254,24.8926320348935,4.69241236919901e-05,0.000879781673190094,4121457,4121841,385
scaffold_140,245073,246716,1644,*,408,65.2533768162196,0.380980278374165,24.8580213142658,4.69241236919901e-05,0.000879781673190094,4653596,4654003,408
