geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
g35	scaffold_2240	141889	142741	142021	142171	150	decrease
g68	scaffold_2240	257164	263798	262751	263627	876	decrease
g70	scaffold_2240	270503	275289	270717	274415	3698	increase
g141	scaffold_2240	553693	555793	554831	555347	516	increase
g150	scaffold_2240	584380	589428	589331	589955	97	decrease
g151	scaffold_2240	589511	595338	590492	593829	3337	increase
g151	scaffold_2240	589511	595338	594235	594622	387	decrease
g151	scaffold_2240	589511	595338	589331	589955	445	decrease
g157	scaffold_2240	614174	616658	614748	615508	760	increase
g187	scaffold_2240	757330	764895	759472	763010	3538	increase
g204	scaffold_2240	858306	860287	858304	859598	1293	increase
g230	scaffold_2240	962096	965179	962146	963428	1282	increase
g232	scaffold_2240	973487	978581	974249	975279	1030	increase
g279	scaffold_2240	1161218	1167700	1162799	1165049	2250	decrease
g290	scaffold_2240	1193599	1197724	1193687	1193981	294	decrease
g290	scaffold_2240	1193599	1197724	1194893	1195607	714	increase
g292	scaffold_2240	1199649	1214869	1200077	1200699	622	decrease
g318	scaffold_2240	1306129	1309955	1307498	1308066	568	decrease
g336	scaffold_2240	1400386	1410466	1405565	1405714	149	decrease
g344	scaffold_2240	1445711	1450321	1445482	1446246	536	decrease
g368	scaffold_2240	1569523	1571945	1571710	1571875	165	decrease
g377	scaffold_2240	1646103	1647238	1645953	1646462	360	decrease
g382	scaffold_2240	1671323	1675489	1674698	1675298	600	increase
g405	scaffold_2240	1781090	1787092	1784523	1784841	318	decrease
g407	scaffold_2240	1799590	1801295	1800797	1800905	108	decrease
g411	scaffold_2240	1815180	1822528	1820950	1821585	635	increase
g418	scaffold_2240	1851750	1856662	1852892	1853130	238	increase
g419	scaffold_2240	1865941	1868105	1866606	1867487	881	increase
g456	scaffold_2240	2037553	2038087	2037585	2039077	502	increase
g457	scaffold_2240	2038152	2039317	2037585	2039077	926	increase
g459	scaffold_2240	2063404	2075889	2067706	2068580	874	decrease
g469	scaffold_2240	2110414	2112652	2111645	2112195	550	decrease
g496	scaffold_2240	2240632	2244068	2240632	2240853	221	decrease
g511	scaffold_2240	2288182	2292630	2290381	2290571	190	increase
g535	scaffold_2240	2374947	2376447	2375309	2376156	847	increase
g540	scaffold_2240	2415095	2418612	2416589	2416947	358	decrease
g563	scaffold_2240	2518307	2523125	2518889	2519864	975	increase
g563	scaffold_2240	2518307	2523125	2520520	2524588	2605	increase
g564	scaffold_2240	2523197	2524190	2520520	2524588	994	increase
g600	scaffold_2240	2656478	2658124	2657638	2657994	356	increase
g607	scaffold_2240	2693966	2707614	2703796	2705334	1538	increase
g617	scaffold_2240	2740554	2742444	2741671	2742137	466	increase
g620	scaffold_2240	2758151	2760162	2759101	2759978	877	increase
g632	scaffold_2240	2789904	2795306	2788961	2789989	86	decrease
g632	scaffold_2240	2789904	2795306	2791423	2792328	905	increase
g632	scaffold_2240	2789904	2795306	2793794	2794336	542	decrease
g650	scaffold_2240	2883761	2884793	2884590	2885513	203	increase
g678	scaffold_2240	3023456	3027337	3023667	3024034	367	decrease
g682	scaffold_2240	3037737	3049837	3041672	3042240	568	decrease
g692	scaffold_2240	3093032	3094764	3093695	3094518	823	increase
g718	scaffold_2240	3185749	3186803	3186459	3186798	339	increase
g734	scaffold_2240	3244929	3249281	3247785	3248627	842	increase
g740	scaffold_2240	3270725	3275213	3272384	3273347	963	increase
g790	scaffold_2240	3482693	3487465	3486791	3487300	509	increase
g803	scaffold_2240	3548369	3554645	3549355	3550279	924	increase
g803	scaffold_2240	3548369	3554645	3550816	3553719	2903	increase
g821	scaffold_2240	3622259	3625896	3624988	3625639	651	decrease
g827	scaffold_2240	3654781	3661552	3655603	3660875	5272	increase
g835	scaffold_2240	3690765	3695516	3691714	3692521	807	increase
g835	scaffold_2240	3690765	3695516	3694492	3694961	469	increase
g837	scaffold_2240	3700411	3705752	3701027	3706626	4725	increase
g838	scaffold_2240	3705831	3707825	3701027	3706626	796	increase
g848	scaffold_2240	3761091	3763465	3762561	3763188	627	increase
g875	scaffold_2240	3895355	3898181	3897979	3898312	202	increase
g929	scaffold_2240	4154820	4156283	4155388	4155775	387	increase
g933	scaffold_2240	4167130	4175288	4172226	4173184	958	increase
g973	scaffold_2240	4357537	4363111	4359509	4361317	1808	increase
g1019	scaffold_2240	4551301	4560476	4554168	4554731	563	decrease
g1039	scaffold_2240	4635661	4640146	4636608	4636971	363	increase
g1074	scaffold_2240	4766631	4773124	4766703	4767259	556	decrease
g1110	scaffold_2240	4897261	4899111	4897292	4898112	820	decrease
g1123	scaffold_2240	4936981	4937477	4937101	4937541	376	decrease
g1133	scaffold_2240	4974472	4975756	4975047	4975515	468	increase
g1144	scaffold_2240	5035749	5037071	5035770	5036114	344	increase
g1163	scaffold_2240	5104082	5106701	5104742	5105831	1089	decrease
g1187	scaffold_2240	5201729	5204843	5202548	5203933	1385	increase
g1190	scaffold_2240	5210652	5213263	5211021	5211523	502	decrease
g1233	scaffold_2240	5382812	5383493	5382278	5383004	193	decrease
g1236	scaffold_2240	5389111	5396617	5393649	5394227	578	decrease
g1250	scaffold_2240	5444107	5446077	5444130	5444466	336	decrease
g1267	scaffold_2240	5519842	5522664	5519802	5520433	592	increase
g1322	scaffold_2240	5709004	5711266	5709435	5711893	1831	increase
g1323	scaffold_2240	5711775	5714489	5709435	5711893	119	increase
g1337	scaffold_2240	5774281	5775513	5774479	5775018	539	increase
g1353	scaffold_2240	5819272	5823036	5822614	5822686	72	increase
g1356	scaffold_2240	5834982	5839726	5835953	5836071	118	decrease
g1357	scaffold_2240	5845471	5847079	5845513	5847015	1502	increase
g1362	scaffold_2240	5875661	5878001	5875790	5876308	518	decrease
g1389	scaffold_2240	6003516	6011768	6008896	6009547	651	increase
g1389	scaffold_2240	6003516	6011768	6010210	6010612	402	decrease
g1395	scaffold_2240	6038983	6043519	6040464	6041297	833	increase
g1407	scaffold_2240	6105494	6107097	6105720	6106042	322	decrease
g1413	scaffold_2240	6128453	6133417	6128098	6129475	1023	increase
g1413	scaffold_2240	6128453	6133417	6131335	6131993	658	increase
g1423	scaffold_2240	6161374	6162727	6161711	6162193	482	increase
g1425	scaffold_2240	6167792	6177030	6171274	6172287	1013	increase
g1430	scaffold_2240	6199381	6205227	6201648	6203237	1589	decrease
g1437	scaffold_2240	6236055	6243097	6237159	6237480	321	increase
g1468	scaffold_2240	6402726	6405693	6402760	6403154	394	increase
g1471	scaffold_2240	6416688	6419313	6417560	6418633	1073	increase
g1472	scaffold_2240	6420388	6421025	6420550	6420980	430	decrease
g1493	scaffold_2240	6495165	6500922	6496874	6498318	1444	increase
g1502	scaffold_2240	6537298	6539580	6539569	6540012	11	decrease
g1508	scaffold_2240	6570385	6572941	6570110	6571854	1470	increase
g1510	scaffold_2240	6585995	6589442	6586201	6586768	567	decrease
g1518	scaffold_2240	6635485	6638076	6635356	6635628	144	decrease
g1543	scaffold_2240	6713835	6719499	6714210	6714469	259	decrease
g1547	scaffold_2240	6730493	6736260	6734618	6735570	952	increase
g1553	scaffold_2240	6766016	6768250	6765929	6766439	424	increase
g1557	scaffold_2241	19568	22491	19703	20416	713	decrease
g1589	scaffold_2241	132847	133341	132946	133277	331	increase
g1611	scaffold_2241	222182	231333	228080	228314	234	increase
