seqnames	start	end	width	strand	dens
scaffold_1_RagTag	1	100000	100000	*	31714
scaffold_1_RagTag	100001	200000	100000	*	38174
scaffold_1_RagTag	200001	300000	100000	*	36804
scaffold_1_RagTag	300001	400000	100000	*	34370
scaffold_1_RagTag	400001	500000	100000	*	31999
scaffold_1_RagTag	500001	600000	100000	*	31042
scaffold_1_RagTag	600001	700000	100000	*	30178
scaffold_1_RagTag	700001	800000	100000	*	32003
scaffold_1_RagTag	800001	900000	100000	*	34450
scaffold_1_RagTag	900001	1000000	100000	*	31636
scaffold_1_RagTag	1000001	1100000	100000	*	36056
scaffold_1_RagTag	1100001	1200000	100000	*	33958
scaffold_1_RagTag	1200001	1300000	100000	*	35001
scaffold_1_RagTag	1300001	1400000	100000	*	33287
scaffold_1_RagTag	1400001	1500000	100000	*	29428
scaffold_1_RagTag	1500001	1600000	100000	*	34309
scaffold_1_RagTag	1600001	1700000	100000	*	31450
scaffold_1_RagTag	1700001	1800000	100000	*	34971
scaffold_1_RagTag	1800001	1900000	100000	*	35063
scaffold_1_RagTag	1900001	2000000	100000	*	33624
scaffold_1_RagTag	2000001	2100000	100000	*	29232
scaffold_1_RagTag	2100001	2200000	100000	*	31762
scaffold_1_RagTag	2200001	2300000	100000	*	34063
scaffold_1_RagTag	2300001	2400000	100000	*	31623
scaffold_1_RagTag	2400001	2500000	100000	*	35072
scaffold_1_RagTag	2500001	2600000	100000	*	31339
scaffold_1_RagTag	2600001	2700000	100000	*	34897
scaffold_1_RagTag	2700001	2800000	100000	*	36137
scaffold_1_RagTag	2800001	2900000	100000	*	32607
scaffold_1_RagTag	2900001	3000000	100000	*	35175
scaffold_1_RagTag	3000001	3100000	100000	*	35646
scaffold_1_RagTag	3100001	3200000	100000	*	34470
scaffold_1_RagTag	3200001	3300000	100000	*	32670
scaffold_1_RagTag	3300001	3400000	100000	*	36172
scaffold_1_RagTag	3400001	3500000	100000	*	35352
scaffold_1_RagTag	3500001	3600000	100000	*	29541
scaffold_1_RagTag	3600001	3700000	100000	*	32114
