seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_2251,409193,417521,8329,*,527,331.791718665735,-1.61871596047416,-97.1073962425152,2.98107020420331e-05,0.000508803622275983,1211456,1211982,527
scaffold_2276,1220174,1228301,8128,*,462,286.998926623197,-1.65532539668483,-77.4645543724672,2.98107020420331e-05,0.000508803622275983,2409839,2410300,462
scaffold_2328,302901,307985,5085,*,248,176.936869852962,-1.87670979919265,-77.1915263371984,2.98107020420331e-05,0.000508803622275983,3563555,3563802,248
scaffold_2242,4470963,4475512,4550,*,339,174.820821471405,-1.39646211407364,-70.167177075183,2.98107020420331e-05,0.000508803622275983,475862,476200,339
scaffold_2268,1012282,1012835,554,*,31,25.5367256122794,-2.15622303975221,-65.9470435093061,2.98107020420331e-05,0.000508803622275983,2089404,2089434,31
scaffold_2740,5690,6984,1295,*,101,82.8709913552472,-2.17874885189675,-64.2029076342755,2.98107020420331e-05,0.000508803622275983,4650891,4650991,101
scaffold_2311,64664,70938,6275,*,286,188.045866954422,-1.71419879280624,-63.5252379821848,2.98107020420331e-05,0.000508803622275983,3305586,3305871,286
scaffold_2340,323716,330748,7033,*,411,204.49348423915,-1.41398176316996,-62.6159370014137,2.98107020420331e-05,0.000508803622275983,3712332,3712742,411
scaffold_2241,4377027,4378647,1621,*,97,76.8123703323725,-1.98184724528666,-62.1919213337171,2.98107020420331e-05,0.000508803622275983,308069,308165,97
scaffold_2691,1156,7749,6594,*,344,190.928703715486,-1.52048184663285,-61.004055530602,2.98107020420331e-05,0.000508803622275983,4639819,4640162,344
scaffold_2294,421727,425595,3869,*,230,134.008981465121,-1.58462524524341,-60.5222480560441,2.98107020420331e-05,0.000508803622275983,2910194,2910423,230
scaffold_2342,189796,192685,2890,*,157,104.966881530293,-1.75652654749625,-60.0993799596119,2.98107020420331e-05,0.000508803622275983,3736652,3736808,157
scaffold_2274,540878,546431,5554,*,344,114.209837618127,-1.03044501105877,-57.1932427730807,2.98107020420331e-05,0.000508803622275983,2349786,2350129,344
scaffold_2298,287440,288387,948,*,46,41.1605288857333,-2.29799814454423,-56.4647340312011,2.98107020420331e-05,0.000508803622275983,3018071,3018116,46
scaffold_2280,446511,450127,3617,*,170,99.8461064743605,-1.64057085075567,-55.4951470709123,2.98107020420331e-05,0.000508803622275983,2498133,2498302,170
scaffold_2274,445541,449383,3843,*,287,159.31010554027,-1.5346688525376,-52.8425695715001,2.98107020420331e-05,0.000508803622275983,2347061,2347347,287
scaffold_2309,599767,600695,929,*,33,23.6993710064894,-2.04692842110741,-47.4634589878831,2.98107020420331e-05,0.000508803622275983,3278895,3278927,33
scaffold_2253,2187558,2190974,3417,*,180,94.8734718271022,-1.47093761237839,-47.3635750205417,2.98107020420331e-05,0.000508803622275983,1342532,1342711,180
scaffold_2365,287057,291394,4338,*,211,112.835767947683,-1.47246214176373,-47.212903839753,2.98107020420331e-05,0.000508803622275983,3982487,3982697,211
scaffold_2346,322287,323198,912,*,70,48.1999798000123,-1.80480898159664,-47.1699464345574,2.98107020420331e-05,0.000508803622275983,3782760,3782829,70
scaffold_2293,272708,274288,1581,*,114,84.891732174848,-2.01166135031635,-46.591727549532,2.98107020420331e-05,0.000508803622275983,2871871,2871984,114
scaffold_2327,221435,228304,6870,*,363,156.099433362979,-1.32644351847378,-46.1406693761147,2.98107020420331e-05,0.000508803622275983,3552652,3553014,363
scaffold_2263,112368,113955,1588,*,69,50.7190642635071,-2.04122611532927,-45.8878530716212,2.98107020420331e-05,0.000508803622275983,1833267,1833335,69
scaffold_2249,1725691,1726894,1204,*,66,49.7230588825607,-1.84782234537298,-44.3861068337789,2.98107020420331e-05,0.000508803622275983,1068238,1068303,66
scaffold_2285,695505,697343,1839,*,95,62.3333969791996,-1.78075240085402,-43.8874330127798,2.98107020420331e-05,0.000508803622275983,2636638,2636732,95
scaffold_2274,507018,509984,2967,*,155,83.2267309068466,-1.46349844444246,-42.4368114675945,2.98107020420331e-05,0.000508803622275983,2348694,2348848,155
scaffold_2253,412560,416851,4292,*,225,97.0338196755752,-1.22958429809444,-41.1665569302534,2.98107020420331e-05,0.000508803622275983,1286949,1287173,225
scaffold_2359,313963,317490,3528,*,196,113.807513057822,-1.58609983492154,-41.1145797265944,2.98107020420331e-05,0.000508803622275983,3919796,3919991,196
scaffold_2247,683889,684719,831,*,51,37.1173180184897,-1.928718701008,-41.0708786850977,2.98107020420331e-05,0.000508803622275983,826684,826734,51
scaffold_2283,42306,45693,3388,*,99,49.0936682545896,1.3513609501221,40.9122779788948,2.98107020420331e-05,0.000508803622275983,2566969,2567067,99
scaffold_2247,1182888,1187783,4896,*,241,100.680667732214,-1.19947154663902,-40.7889544072797,2.98107020420331e-05,0.000508803622275983,843377,843617,241
scaffold_2273,276908,278974,2067,*,156,79.727566512666,-1.32535312556016,-40.699537743389,2.98107020420331e-05,0.000508803622275983,2299261,2299416,156
scaffold_2505,41149,41377,229,*,15,9.73678655713606,-1.84085002184248,-39.6123557309779,2.98107020420331e-05,0.000508803622275983,4529035,4529049,15
scaffold_2286,476013,478091,2079,*,103,61.9461804401086,-1.65147069769194,-39.275061214181,2.98107020420331e-05,0.000508803622275983,2664004,2664106,103
scaffold_2262,1191434,1194254,2821,*,102,55.5581754060604,-1.48124611426271,-39.1374434753481,2.98107020420331e-05,0.000508803622275983,1828381,1828482,102
scaffold_2375,176571,177326,756,*,33,15.2135889975947,-1.48805986088661,-38.6257186124146,2.98107020420331e-05,0.000508803622275983,4063425,4063457,33
scaffold_2434,26693,32540,5848,*,303,178.24354276437,-1.4184848510008,-38.0393256756574,2.98107020420331e-05,0.000508803622275983,4374035,4374337,303
scaffold_2303,572743,573568,826,*,31,18.8933108683074,-1.79122667537805,-37.9789884098338,2.98107020420331e-05,0.000508803622275983,3154990,3155020,31
scaffold_2267,722128,722878,751,*,27,21.5498863860373,-2.00892542118672,-37.2818970190145,2.98107020420331e-05,0.000508803622275983,2062194,2062220,27
scaffold_3250,112,1500,1389,*,97,64.5854700179789,-1.71998105448578,-37.0263304324508,2.98107020420331e-05,0.000508803622275983,4704031,4704127,97
scaffold_2253,404369,406029,1661,*,120,60.8160029870657,-1.3580678034321,-36.8797654690745,2.98107020420331e-05,0.000508803622275983,1286647,1286766,120
scaffold_2299,146018,148179,2162,*,169,56.7349022662252,-1.00790950507382,-36.7843547237815,2.98107020420331e-05,0.000508803622275983,3038552,3038720,169
scaffold_2267,633995,634888,894,*,39,25.7878306036312,-1.76343547064676,-36.5223032335659,2.98107020420331e-05,0.000508803622275983,2061490,2061528,39
scaffold_2250,1951804,1954210,2407,*,177,47.0199295140907,-0.954396138725256,-36.3663563262556,2.98107020420331e-05,0.000508803622275983,1179706,1179882,177
scaffold_2290,703325,704638,1314,*,77,37.2421548422595,-1.41793934078562,-36.2766319530413,2.98107020420331e-05,0.000508803622275983,2795563,2795639,77
scaffold_3510,87,373,287,*,20,12.8829106242691,-1.67554319142651,-35.9671967955878,2.98107020420331e-05,0.000508803622275983,4717705,4717724,20
scaffold_2247,599807,601354,1548,*,52,31.1781176438248,-1.6335801605943,-35.2194127094919,2.98107020420331e-05,0.000508803622275983,824439,824490,52
scaffold_2310,305828,306598,771,*,38,20.9797723024718,-1.60225383198891,-34.8033067059103,2.98107020420331e-05,0.000508803622275983,3292489,3292526,38
scaffold_2273,1072113,1074021,1909,*,121,43.412571644012,-1.0750019897262,-33.9581854512297,2.98107020420331e-05,0.000508803622275983,2325702,2325822,121
scaffold_2827,3628,6048,2421,*,157,22.6635150723611,-0.3327103707064,-33.9126981311636,2.98107020420331e-05,0.000508803622275983,4664250,4664406,157
scaffold_2257,1299395,1299504,110,*,12,9.15514955690807,-2.27787844073803,-33.3817651774798,2.98107020420331e-05,0.000508803622275983,1593561,1593572,12
scaffold_2384,255050,257368,2319,*,118,61.6063536415766,-1.38487520236779,-32.8890763718724,2.98107020420331e-05,0.000508803622275983,4112181,4112298,118
scaffold_2244,555522,556468,947,*,53,38.2913260789856,-1.8664058383929,-32.559802584412,2.98107020420331e-05,0.000508803622275983,522067,522119,53
scaffold_2263,71853,73204,1352,*,69,39.049028609813,-1.44965069481203,-32.4020300853542,2.98107020420331e-05,0.000508803622275983,1832007,1832075,69
scaffold_2241,4021102,4021887,786,*,50,27.3926541021195,-1.47519601717004,-32.2588735831157,2.98107020420331e-05,0.000508803622275983,307609,307658,50
scaffold_2241,5131852,5132935,1084,*,43,27.9475686136563,-1.73083968802474,-32.0695348750247,2.98107020420331e-05,0.000508803622275983,309181,309223,43
scaffold_2624,3698,4488,791,*,56,25.6208248010129,-1.26840175901912,-31.163950535431,2.98107020420331e-05,0.000508803622275983,4618921,4618976,56
scaffold_2308,646604,647156,553,*,23,13.7278538574968,-1.58652470148968,-31.1358398044459,2.98107020420331e-05,0.000508803622275983,3260729,3260751,23
scaffold_2691,11591,13307,1717,*,130,18.3985584726112,-0.316894064849851,-30.8723458646277,2.98107020420331e-05,0.000508803622275983,4640259,4640388,130
scaffold_2282,708098,708392,295,*,32,24.1340442071587,-1.87890043454535,-30.8135932716554,2.98107020420331e-05,0.000508803622275983,2550641,2550672,32
scaffold_2301,414791,415819,1029,*,58,27.308491604313,-1.54060792259508,-30.7434867649523,2.98107020420331e-05,0.000508803622275983,3097676,3097733,58
scaffold_2245,644489,644857,369,*,19,14.8032849486778,-1.99668641236447,-30.7059703420263,2.98107020420331e-05,0.000508803622275983,617252,617270,19
scaffold_2299,492493,494782,2290,*,137,29.4577762644496,-0.743475683319112,-30.3521460260612,2.98107020420331e-05,0.000508803622275983,3049357,3049493,137
scaffold_2302,134857,136232,1376,*,61,39.3219083886107,-1.73936167879242,-30.2438762306335,2.98107020420331e-05,0.000508803622275983,3112735,3112795,61
scaffold_2247,1170890,1177256,6367,*,275,85.1321495498894,-0.913344401395889,-29.9928690395839,2.98107020420331e-05,0.000508803622275983,842984,843258,275
scaffold_2249,2462848,2463783,936,*,42,28.7017110899565,-1.83164323906688,-29.9877533052635,2.98107020420331e-05,0.000508803622275983,1094701,1094742,42
scaffold_2286,835077,836067,991,*,28,16.5467051827251,-1.52549163665448,-29.9501138574066,2.98107020420331e-05,0.000508803622275983,2673088,2673115,28
scaffold_2278,26910,28294,1385,*,84,13.4367085352893,-0.331572799509938,-29.7521198229986,2.98107020420331e-05,0.000508803622275983,2420931,2421014,84
scaffold_2260,1606975,1607009,35,*,10,6.65948886762965,1.90747221787888,29.3031903589459,2.98107020420331e-05,0.000508803622275983,1774020,1774029,10
scaffold_2300,745418,746370,953,*,57,21.1530910709738,-1.07629287694505,-29.1457916542181,2.98107020420331e-05,0.000508803622275983,3085190,3085246,57
scaffold_2367,276756,278140,1385,*,92,37.9167184627251,-1.12780568711003,-29.0535739754695,2.98107020420331e-05,0.000508803622275983,4004039,4004130,92
scaffold_2317,502866,503889,1024,*,46,24.7961335809165,-1.49317576348027,-29.0206675373587,2.98107020420331e-05,0.000508803622275983,3415879,3415924,46
scaffold_2253,401837,403049,1213,*,45,21.3613599979854,-1.4763858866439,-28.8346318674893,2.98107020420331e-05,0.000508803622275983,1286564,1286608,45
scaffold_2276,934295,935797,1503,*,55,31.8148377362464,-1.53712977187516,-28.6940449588701,2.98107020420331e-05,0.000508803622275983,2400799,2400853,55
scaffold_2463,22344,23868,1525,*,107,51.0167068141779,-1.39917498617825,-28.4374741821643,2.98107020420331e-05,0.000508803622275983,4453096,4453202,107
scaffold_2363,245403,247093,1691,*,63,9.74593840622923,-0.336218243510036,-28.354408530665,2.98107020420331e-05,0.000508803622275983,3959457,3959519,63
scaffold_2260,194511,194943,433,*,29,15.7385739035632,1.74627967529814,28.3310424008548,2.98107020420331e-05,0.000508803622275983,1733119,1733147,29
scaffold_2274,171551,174531,2981,*,260,34.9534217543133,-0.31292562782026,-28.322682155061,2.98107020420331e-05,0.000508803622275983,2338875,2339134,260
scaffold_2307,596000,597011,1012,*,50,19.3613771874993,-1.19643591041065,-28.2910582727942,2.98107020420331e-05,0.000508803622275983,3254003,3254052,50
