seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_2257,1441419,1443467,2049,*,155,43.4412334215195,-0.835135187970474,-22.7762164767323,1.95744514259988e-05,0.0689705795995067,4737454,4737608,155
scaffold_2365,287925,290742,2818,*,151,34.2854031833932,-0.685540823169394,-20.672664318385,1.95744514259988e-05,0.0689705795995067,7540862,7541012,151
scaffold_2294,420826,424510,3685,*,227,53.6918729532334,-0.565304584717059,-18.815145358054,1.95744514259988e-05,0.0689705795995067,6255647,6255873,227
scaffold_2299,492539,494730,2192,*,152,21.282734804765,-0.415089065321839,-17.4022703769331,1.95744514259988e-05,0.0689705795995067,6381708,6381859,152
scaffold_2299,146806,149647,2842,*,171,28.5971756235811,-0.394657518915678,-15.3940198892596,7.82978057039952e-05,0.183921545598685,6371891,6372061,171
scaffold_2276,1223867,1227780,3914,*,207,47.8120484616291,-0.651129933142096,-15.3647981078283,7.82978057039952e-05,0.183921545598685,5645232,5645438,207
scaffold_9,64910,66090,1181,*,77,14.3966317033979,-0.448785611754618,-13.9502770825792,0.000117446708555993,0.20691173879852,11795466,11795542,77
scaffold_2257,1445461,1446366,906,*,51,13.3913189611341,-0.843381643217771,-13.6910668885377,0.000117446708555993,0.20691173879852,4737708,4737758,51
scaffold_2276,1233096,1235603,2508,*,127,22.1962005519765,-0.523957362177463,-12.6425608735836,0.000215318965685987,0.219906195824514,5645619,5645745,127
scaffold_2243,289900,292700,2801,*,173,25.3936219298114,-0.471475417197176,-12.3741948407331,0.000215318965685987,0.219906195824514,3326620,3326792,173
scaffold_16,1633420,1634864,1445,*,85,12.4545483018861,-0.395527142889957,-12.2961247993388,0.000274042319963983,0.219906195824514,1564287,1564371,85
scaffold_293,96971,97998,1028,*,65,12.681102900103,-0.405310207287908,-12.094591893573,0.000332765674241979,0.219906195824514,8943523,8943587,65
scaffold_2562,2103,2567,465,*,28,5.11624063939481,-0.937852610496869,-11.9697815325545,0.000352340125667978,0.219906195824514,8478984,8479011,28
scaffold_879,6691,7516,826,*,37,3.88094258886514,-0.213539623062545,-11.9236239381437,0.000371914577093977,0.219906195824514,11752050,11752086,37
scaffold_136,52052,52224,173,*,25,8.37747189786987,-1.48276771344648,-11.8783641834312,0.000371914577093977,0.219906195824514,1032827,1032851,25
scaffold_2250,901263,903590,2328,*,143,17.9286280369653,-0.340600065318411,-11.817075538962,0.000371914577093977,0.219906195824514,4137168,4137310,143
scaffold_2298,732440,734600,2161,*,132,23.2744847468569,-0.447702345880559,-11.7877103868184,0.000371914577093977,0.219906195824514,6364251,6364382,132
scaffold_2525,202,934,733,*,27,9.18963822715827,-0.979771094123047,-11.3878324049287,0.000508935737075968,0.219906195824514,8417652,8417678,27
scaffold_359,55028,56874,1847,*,93,12.2298920018539,-0.333670228056409,-11.2923736321664,0.000508935737075968,0.219906195824514,9556795,9556887,93
scaffold_1282,1116,1748,633,*,47,6.42822120145718,-0.323310939384213,-11.2687676609231,0.000508935737075968,0.219906195824514,860709,860755,47
scaffold_4,2190699,2191309,611,*,28,3.99835028811212,-0.651460472306005,-11.2067215767779,0.000508935737075968,0.219906195824514,9869890,9869917,28
scaffold_89,112009,112689,681,*,43,10.4392028663934,-0.64361765748633,-11.125779028234,0.000508935737075968,0.219906195824514,11777052,11777094,43
scaffold_198,220465,222484,2020,*,112,15.14190129251,-0.304040364163706,-11.0805004842682,0.000508935737075968,0.219906195824514,2165983,2166094,112
